"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKBAR AHMAD DUMPY","2 - OM PRAKASH","3 - KIRTI VARDHAN SINGH","4 - NANDITA SHUKLA","5 - BENI PRASAD VERMA","6 - AJAY  KUMAR  PRABHAKAR","7 - PREM KUMAR","8 - MASOOD ALAM KHAN","9 - MAHESH KUMAR","10 - MASHOOQ AHMAD","11 - RAJENDRA PRASAD","12 - RAJESH  KUMAR  MAURYA","13 - SATYA PRAKASH","14 - TILAK RAM","15 - BRIJNANDAN TIWARI","16 - None of the Above","Total Votes Secured"
1,"KOYLI JANGAL",500,445,0,945,345,235,0,580,580,0,46,14,437,39,22,3,0,0,1,0,1,1,3,3,4,6,580
2,"KOYLI JANGAL",315,278,0,593,192,158,0,350,350,0,14,12,288,17,7,0,0,2,0,0,0,1,3,1,0,5,350
3,"LODHIYA GHATA",827,692,0,1519,499,348,0,847,847,0,84,14,659,32,27,4,4,1,1,1,1,2,4,6,1,6,847
4,PUREKHAL,577,509,0,1086,398,208,0,606,606,0,29,19,412,81,34,3,0,1,1,7,0,2,4,7,2,4,606
5,CHETPUR,535,469,0,1004,315,227,0,542,542,0,37,9,403,72,6,1,1,0,3,0,0,1,0,5,0,4,542
6,CHETPUR,193,186,0,379,103,90,0,193,193,0,57,2,122,8,3,0,0,0,0,0,1,0,0,0,0,0,193
7,NAGWA,611,558,0,1169,361,288,0,649,17,0,73,18,355,163,13,1,1,0,2,0,1,2,7,5,2,6,649
8,NAGWA,676,589,0,1265,400,308,0,708,704,0,60,14,263,311,11,3,4,10,1,1,3,3,1,6,2,15,708
9,NAGWA,439,368,0,807,285,221,0,506,506,0,46,8,229,185,16,1,0,2,0,4,0,5,5,3,0,2,506
10,BANKASHIYA,304,302,0,606,212,221,0,433,432,0,19,10,299,80,16,1,2,1,0,1,0,1,1,1,1,0,433
11,BANGHUSRA,671,601,0,1272,420,310,0,730,730,0,148,26,470,44,9,3,0,1,1,3,0,3,0,7,5,10,730
12,"JAGDEESHPUR KATRA",519,459,0,978,312,226,0,538,538,0,57,16,357,80,16,1,0,1,0,3,0,0,1,4,0,2,538
13,"JAGDEESHPUR KATRA",516,433,0,949,216,239,0,455,455,0,219,5,129,35,13,3,4,41,1,0,1,0,0,0,1,3,455
14,BALHARAI,301,281,1,583,175,186,0,361,361,0,41,2,170,131,7,1,0,0,1,0,0,1,3,2,0,2,361
15,BHATBABHNI,202,187,0,389,141,100,0,241,232,0,36,9,145,36,3,0,0,1,0,1,0,0,3,3,0,4,241
16,IMILIYA,341,293,0,634,194,181,0,375,373,0,57,8,245,45,5,2,0,0,0,1,0,3,0,6,1,2,375
17,HATHINAG,320,263,0,583,213,122,0,335,329,0,47,7,217,46,8,0,2,0,0,0,0,0,1,3,1,3,335
18,DODHIYAPARA,773,677,0,1450,418,289,0,707,705,0,41,30,445,72,69,0,2,11,2,2,3,3,7,8,2,10,707
19,ACHALPUR,347,316,0,663,236,176,0,412,412,0,37,4,237,84,2,1,0,39,0,2,1,0,3,0,0,2,412
20,ACHALPUR,563,482,0,1045,317,281,0,598,598,0,221,6,93,104,7,2,4,140,3,1,0,2,1,8,2,4,598
21,SAHIBAPUR,777,705,0,1482,345,308,0,653,616,0,97,19,429,68,12,0,1,3,8,1,3,1,2,3,2,4,653
22,KAROUNDA,442,379,0,821,263,239,0,502,502,0,98,10,175,167,43,1,0,0,0,0,0,1,1,3,1,2,502
23,ASHOKPUR,758,612,0,1370,440,360,0,800,779,0,62,8,338,132,9,1,9,214,0,4,2,1,7,5,3,5,800
24,BARKUIYA,430,338,0,768,292,182,0,474,474,0,58,4,169,232,4,0,0,0,0,2,0,0,0,1,0,4,474
25,"प्राइमरी पाठशाला मिरजापुर",203,191,0,394,130,109,0,239,239,0,52,2,107,68,3,0,0,3,0,0,0,0,1,1,0,2,239
26,SOHNA,805,713,0,1518,375,321,0,696,695,0,109,23,307,80,113,15,3,4,0,2,5,2,5,8,4,16,696
27,PEDRAHI,551,498,0,1049,342,284,0,626,626,0,38,16,513,26,13,2,2,0,1,0,1,2,4,4,0,4,626
28,BHIKHAMPUR,522,453,1,976,277,241,0,518,518,0,71,14,295,87,24,2,0,6,1,1,2,1,5,6,1,2,518
29,DUMRIHADEEH,648,548,0,1196,353,213,0,566,516,0,63,11,349,95,33,2,1,0,1,1,1,0,1,3,3,2,566
30,KHIRIYA,758,674,0,1432,491,336,0,827,827,0,81,12,659,31,21,2,1,0,2,0,2,1,3,4,0,8,827
31,MAJHGAWA,821,700,0,1521,381,285,0,666,662,0,36,18,460,114,13,2,0,1,0,3,0,1,1,8,1,8,666
32,MATHEPUR,347,306,0,653,239,156,0,395,393,0,87,10,284,5,3,0,0,3,0,0,0,0,1,1,1,0,395
