"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANIL KUMAR MAURYA","2 - TARUN PATEL URF TARUNENDRA CHAND PATEL","3 - DR MAHENDRA NATH PANDEY","4 - RAMKISHUN","5 - IRSHAD","6 - CHANCHAL","7 - JITENDRA","8 - MRITUNJAYA PANDEY","9 - RAMASHANKER SINGH MAURYA","10 - RAJA JAISWAL","11 - RAJENDRA","12 - RAM DULAR","13 - VINAI KUMAR SINGH","14 - SHASHI SINHA","15 - SANJEEV SINGH","16 - DR. HARIDWAR SINGH YADAV","17 - HEERALAL","18 - GULAVAS","19 - BINDU","20 - RAJNARAYAN","21 - SANJAY","22 - None of the Above","Total Votes Secured"
30,"RAMESHWAR MAHADEO U.M.VIDHYALAY CHANDMARI R.NO.3",849,720,0,1569,398,358,0,756,740,0,49,57,582,17,37,0,0,0,2,1,0,0,0,1,1,4,0,0,0,0,0,5,756
31,"RAMESHWAR MAHADEO U.M.VIDHYALAY CHANDMARI R.NO.4",793,667,0,1460,382,390,0,772,736,0,65,31,597,25,38,0,0,0,0,2,0,1,0,2,0,5,1,1,2,0,1,1,772
32,"P.P. RAMDUTTAPUR (HASIMPUR)  R.NO. 1",533,468,1,1002,317,281,0,598,598,0,32,44,404,40,51,1,0,1,1,3,2,1,1,3,2,2,0,1,0,6,0,3,598
33,"P.P. RAMDUTTAPUR (HASIMPUR)  R.NO. 2",666,534,0,1200,364,301,0,665,655,0,49,24,461,78,31,0,3,1,1,6,0,0,0,2,1,1,1,0,2,3,1,0,665
34,"P.P. RAMDUTTAPUR (HASIMPUR)  R.NO. 3",774,624,0,1398,373,329,0,702,702,0,114,55,356,56,89,1,0,1,1,5,3,0,1,1,1,4,4,3,2,3,1,1,702
35,"J.H. SCHOOL RAMDUTTAPUR R.NO. 1",681,544,0,1225,357,298,0,655,655,0,177,32,338,31,53,0,1,1,1,3,1,1,2,1,2,4,4,0,0,2,0,1,655
36,"J.H. SCHOOL RAMDUTTAPUR R.NO. 2",600,476,0,1076,358,224,0,582,573,0,152,20,345,25,30,0,0,0,0,1,0,2,0,0,0,1,0,1,0,2,2,1,582
37,"P.P. SOYEPUR R.NO.-1",644,548,0,1192,454,382,0,836,836,0,76,37,654,23,14,1,0,1,2,4,0,3,4,1,1,2,3,2,1,4,1,2,836
38,"P.P. SOYEPUR R.NO.-2",773,643,0,1416,465,402,0,867,867,0,90,39,640,24,36,0,1,1,0,7,0,4,4,2,0,12,2,0,1,2,0,2,867
39,"J.H. SCHOOL B.V. MARHAWA R.NO.-1",572,460,0,1032,405,267,0,672,663,0,183,28,373,29,26,0,0,1,0,8,0,2,3,3,2,7,2,0,0,2,0,3,672
40,"J.H. SCHOOL B.V. MARHAWA R.NO.-2",502,394,0,896,363,202,0,565,565,0,98,25,365,26,32,0,1,0,0,2,0,1,1,2,0,2,4,1,2,0,2,1,565
41,"P.P. MARHAWA LAMAHI",638,566,0,1204,399,380,0,779,750,0,99,63,499,36,44,1,2,1,1,7,3,1,3,5,4,4,0,0,1,2,2,1,779
42,"P.P. RASULPUR",601,509,0,1110,424,308,0,732,730,0,235,31,382,19,32,1,0,2,1,8,4,3,1,3,2,3,1,0,0,1,1,2,732
43,"P.P. MAJHAMITIYA",260,256,0,516,179,164,0,343,343,0,24,17,250,25,11,0,0,0,0,2,0,0,0,1,1,3,1,0,5,2,1,0,343
44,"SARDAR PATEL I.C. BAWANBIGHA HARBALLABHPUR",668,561,0,1229,453,342,0,795,795,0,251,14,392,44,29,0,0,2,1,16,1,1,4,9,4,9,6,0,3,3,4,2,795
45,"P.P. BANWARIPUR",351,280,0,631,263,200,0,463,433,0,66,4,334,17,26,0,1,2,0,3,0,2,2,0,0,3,0,0,1,2,0,0,463
46,"P.P. BANIYAPUR",347,296,0,643,191,201,0,392,340,0,147,5,117,97,4,0,1,1,1,1,0,0,3,2,2,4,3,1,0,1,0,2,392
47,"P.P. CHANDAPUR R.NO.-1",640,462,0,1102,359,269,0,628,627,0,37,45,453,43,10,0,0,2,2,4,0,1,5,7,3,7,1,1,1,2,1,3,628
48,"P.P. CHANDAPUR R.NO.-2",454,362,0,816,308,226,0,534,502,0,257,7,103,132,4,2,3,1,0,0,0,2,2,1,2,11,6,1,0,0,0,0,534
49,"PANCHAYAT BHAWAN UDAIPUR",778,593,0,1371,504,387,0,891,770,0,296,48,447,32,6,1,8,2,1,10,1,3,8,0,5,9,7,0,2,0,0,5,891
50,"P.P. UDAIPUR",686,511,0,1197,456,367,0,823,823,0,132,53,523,18,6,3,16,2,3,8,0,1,4,5,3,19,2,2,6,8,6,3,823
51,"P.P. ADAMPUR R.NO. 1",804,577,0,1381,524,363,0,887,880,0,122,32,585,65,12,4,1,4,2,16,3,5,5,2,3,7,3,0,3,7,1,5,887
52,"P.P. ADAMPUR R.NO. 2",340,271,0,611,218,130,0,348,348,0,51,7,195,69,7,0,3,0,0,3,1,0,0,1,2,3,2,0,1,2,0,1,348
53,"P.P. TARAPUR",239,213,0,452,166,131,0,297,291,0,8,12,231,20,16,0,1,0,1,4,0,0,1,0,0,0,0,0,1,2,0,0,297
54,"P.P. HRIDAIPUR R.NO.-1",799,674,0,1473,548,540,0,1088,950,0,115,62,703,121,30,2,1,5,2,11,1,1,5,8,3,8,1,3,2,2,1,1,1088
55,"P.P. HRIDAIPUR R.NO.-2",210,195,0,405,144,128,0,272,270,0,14,6,206,20,14,0,1,0,2,5,1,0,0,1,0,2,0,0,0,0,0,0,272
56,"P.P. RAJANAHIYA",498,396,0,894,349,264,0,613,590,0,44,13,410,101,9,0,1,1,0,6,0,2,2,0,0,1,1,2,1,13,3,3,613
57,"SRI SANKAT MOCHAN I.C. SINGHPUR R.NO. 1",444,346,0,790,290,209,0,499,498,0,152,42,212,29,30,0,0,0,2,2,1,0,5,3,3,7,3,0,1,3,2,2,499
58,"SRI SANKAT MOCHAN I.C. SINGHPUR R.NO. 2",620,493,0,1113,387,271,0,658,620,0,49,38,212,276,38,2,3,0,0,7,1,1,3,0,2,3,0,2,7,9,3,2,658
59,"P.P. GOITHAHA R.NO. 1",686,562,0,1248,327,274,0,601,594,0,30,32,474,28,14,0,1,1,0,5,0,0,5,2,1,3,1,1,1,2,0,0,601
60,"P.P. GOITHAHA R.NO. 2",749,597,0,1346,424,383,0,807,800,0,23,48,637,22,17,2,6,0,0,14,5,2,0,7,2,9,1,0,1,7,2,2,807
61,"P.P. NAWAPURA R.NO.-1",811,673,0,1484,508,375,0,883,843,0,73,72,349,305,20,3,5,1,6,7,4,2,6,6,3,10,0,2,0,5,1,3,883
