"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - REKHA","2 - ANAND BHADAURIYA","3 - AJAY VERMA","4 - ANAND KUMAR","5 - KIRTI SINGH","6 - SWAMI DAYAL","7 - DAUD AHMAD","8 - KUWAR JITIN PRASAD","9 - LEKHRAJ","12 - RAM BALI","13 - RAJENDRA KUMAR SINGH","14 - SUKHVINDRA SINGH","15 - VIVEK MISHRA","16 - VIJAY KUMAR TIWARI","17 - MALA DEVI","18 - None of the Above","Total Votes Secured"
1,DEVARI,676,582,0,1258,558,444,0,1002,999,0,333,377,3,7,3,2,123,123,6,0,2,6,3,5,1,8,1002
2,NEEMGAWN,457,385,0,842,328,253,0,581,579,0,264,49,3,5,0,2,104,129,12,1,1,2,2,1,0,6,581
3,NEEMGAWN,562,464,0,1026,333,298,0,631,631,0,174,39,2,2,1,3,235,164,2,0,0,2,3,1,1,2,631
4,NEEMGAWN,652,551,0,1203,416,327,0,743,743,0,283,75,4,2,0,1,57,304,4,2,1,0,2,3,0,5,743
5,NEEMGAWN,708,658,0,1366,496,340,0,836,836,0,525,82,7,8,0,3,62,118,13,3,2,4,1,3,1,4,836
6,PAILA,437,361,0,798,315,234,0,549,545,0,137,66,2,4,0,0,254,73,2,1,1,1,1,4,0,3,549
7,PAILA,459,364,0,823,277,230,0,507,507,0,210,45,0,2,0,0,162,77,0,0,0,1,2,2,1,5,507
8,PAILA,483,413,0,896,373,269,0,642,637,0,283,84,4,2,1,1,131,118,5,1,0,1,4,2,1,4,642
9,PAILA,502,404,0,906,296,217,0,513,486,0,148,53,4,2,1,1,234,58,3,1,0,1,1,1,2,3,513
10,KAIMAKHURD,679,615,0,1294,496,408,0,904,904,0,286,123,6,6,2,0,214,253,4,2,0,0,1,3,1,3,904
11,KAIMAKHURD,757,648,0,1405,562,409,0,971,958,0,445,135,6,2,2,1,88,266,5,0,0,6,1,9,0,5,971
12,LAKHAHA,607,556,0,1163,486,425,0,911,911,0,626,51,3,1,3,1,79,118,12,2,0,1,5,2,2,5,911
