"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANSHUL VERMA","2 - USHA VERMA","3 - SHIVE PRASAD VERMA","4 - SARVESH KUMAR","5 - CHANDRAPAL","6 - RAMDAYAL","7 - RAMLAKHAN GAUTAM","8 - SANJAY KUMAR","9 - SANTRAM","10 - HIRA LAL VERMA","11 - RAMPAL","12 - SHIVEKUMAR","13 - SAROJ KUMAR","14 - SARVESH","15 - SUNIL BHARTI","16 - None of the Above","Total Votes Secured"
1,"P.P. BANDRHA",666,580,0,1246,425,336,0,761,758,0,263,48,395,20,3,8,2,0,1,0,1,4,4,6,3,3,761
2,"P.P.K.N,2 BANDRHA",727,619,0,1346,410,331,0,741,741,0,295,267,133,7,2,3,0,1,3,1,3,5,5,4,4,8,741
3,"J.H.SCHOOL SARAAWAR",817,690,0,1507,566,441,0,1007,1007,0,542,68,355,11,1,0,0,1,1,2,3,4,5,3,4,7,1007
4,"P.P. KUNWARPURBAHELA",602,520,0,1122,437,372,0,809,789,0,63,88,618,9,0,2,1,2,1,1,1,9,5,6,1,2,809
5,"DELPANDRWA  J.H.SCHOOL K.N.1",488,415,0,903,316,282,0,598,593,0,305,86,181,7,0,0,0,0,0,0,0,3,2,1,2,11,598
6,"DELPANDRWA  J.H.SCHOOL K.N.2",377,336,0,713,279,211,0,490,490,0,176,23,264,5,2,1,0,1,1,0,1,6,2,3,1,4,490
7,"MAHMOODPURBHAGAT P.P.",318,268,0,586,238,178,0,416,376,0,252,58,89,5,0,1,0,0,0,0,0,0,0,6,1,4,416
8,"AMBARI P.P.",842,717,0,1559,656,541,0,1197,1107,0,212,717,194,18,0,0,2,2,1,1,2,4,9,6,20,9,1197
9,"HANNPASIGWAN P.P.",626,542,0,1168,472,394,0,866,850,0,581,158,108,2,1,1,0,1,2,1,1,1,0,2,2,5,866
10,"DHAMAPUR P.P.",445,384,0,829,313,262,0,575,411,0,280,55,215,3,1,0,1,0,1,1,1,3,1,2,3,8,575
11,"SARAIYA  M.MAHEMUNDPURSARAIYA P.P.K.N.1",797,684,0,1481,432,375,0,807,759,0,24,629,48,94,1,0,0,0,0,1,0,0,2,0,2,6,807
12,"MHEMUNDPURSARAIYA P.P.1",458,426,0,884,300,214,0,514,514,0,71,345,66,24,0,3,0,0,0,0,1,0,0,1,3,0,514
13,"MHEMUNDPURSARAIYA P.P.2",445,365,0,810,263,206,0,469,462,0,151,148,134,14,0,4,0,0,0,0,0,5,5,1,4,3,469
14,"JARUNA P.P.",829,716,0,1545,458,516,0,974,974,0,439,94,335,55,4,1,1,1,1,4,0,13,1,7,2,16,974
15,"HARIHARPUR P.P.",258,238,0,496,181,160,0,341,341,0,144,41,149,1,0,0,0,0,0,0,0,1,1,2,1,1,341
16,"KUVARPURBASITH P.P.",690,646,0,1336,457,320,0,777,757,0,386,200,149,20,0,2,0,1,0,0,1,4,2,3,0,9,777
17,"KAYAMPUR P.P.",298,245,0,543,216,181,0,397,397,0,156,155,56,24,0,0,0,0,1,1,1,1,0,0,0,2,397
18,"GORIYA P.P.",267,232,0,499,214,169,0,383,383,0,159,199,22,0,0,0,0,0,0,0,0,2,0,0,0,1,383
19,"RAIGAI J.H.SCHOOL",866,753,0,1619,565,388,0,953,925,0,374,126,311,103,5,1,0,0,2,1,0,4,5,3,4,14,953
