"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKMAL KHAN URF CHAMAN","2 - DHARMENDRA YADAV","3 - VAGISH PATHAK","4 - AJEET PAL SINGH","5 - ANIL KUMAR SHARMA","6 - PAGLANAND","7 - MADAN LAL","8 - MAHENDRA PAL","9 - REENA","10 - VIRENDRA PAL GUPTA","11 - SANTOSH KUMAR GUPTA SATYMARGI","12 - HEMA MEHRA","13 - ATUL KUMAR","14 - MUNSHI LAL","15 - HAR BHAGWAN","16 - None of the Above","Total Votes Secured"
1,"DOONGO PR. SCHOOL ROOM NO.-1",535,480,0,1015,236,240,0,476,420,0,59,382,23,1,0,1,0,0,0,0,1,2,0,0,2,5,476
2,"DOONGO PR. SCHOOL ROOM NO.-2",377,300,0,677,159,177,0,336,310,0,3,223,100,1,2,0,0,0,2,0,2,0,1,1,0,1,336
3,"LAHRALADPUR PR. SCHOOL ROOM NO.-1",853,716,0,1569,506,457,0,963,940,0,23,459,433,4,1,5,1,0,6,0,2,3,8,8,4,6,963
4,"LAHRALADPUR PR. SCHOOL ROOM NO.-2",797,634,0,1431,498,370,0,868,850,0,133,131,568,0,2,2,2,3,3,0,4,1,3,6,3,7,868
5,"SURSAINA PR. SCHOOL ROOM NO.-1",767,680,0,1447,444,407,0,851,840,0,9,234,512,8,3,43,0,1,2,0,1,2,7,17,3,9,851
6,"SURSAINA PR. SCHOOL ROOM NO.-2",246,196,0,442,123,99,0,222,220,0,5,122,82,0,0,0,0,0,2,0,0,0,1,5,3,2,222
7,"CHINJARI PR. SCHOOL ROOM NO.-1",460,408,0,868,310,274,0,584,560,0,528,25,12,0,0,1,0,0,1,1,0,0,0,0,2,14,584
8,"MEERAPUR PR. SCHOOL ROOM NO.-1",536,413,0,949,330,282,0,612,590,0,146,64,339,4,2,18,0,0,1,1,3,9,8,4,2,11,612
9,"RAMDANDI PR. SCHOOL ROOM NO.-1",302,254,1,557,269,220,0,489,470,0,466,15,4,0,0,1,0,0,0,0,1,0,0,0,0,2,489
10,"WAZIRGANJ MUNNALAL INTER COLLEGE ROOM NO.-1 EAST PART",754,625,0,1379,460,341,0,801,790,0,402,109,283,0,0,1,0,1,0,0,0,1,3,1,0,0,801
11,"WAZIRGANJ MUNNALAL INTER COLLEGE ROOM NO.-2 EAST PART",271,231,0,502,170,132,0,302,290,0,7,112,176,0,2,0,0,0,0,0,0,1,0,1,0,3,302
12,"WAZIRGANJ MUNNALAL INTER COLLEGE ROOM NO.-3 EAST PART",454,373,0,827,292,206,0,498,490,0,13,68,399,1,2,1,1,0,0,0,1,1,1,2,5,3,498
13,"WAZIRGANJ MUNNALAL INTER COLLEGE ROOM NO.-4 EAST PART",470,403,0,873,346,267,0,613,600,0,5,76,515,7,1,4,1,0,1,0,0,1,1,0,0,1,613
14,"WAZIRGANJ MUNNALAL INTER COLLEGE ROOM NO.-5 WEST PART",678,577,0,1255,373,285,0,658,650,0,302,44,290,1,2,2,1,2,1,0,1,1,2,1,5,3,658
15,"WAZIRGANJ MUNNALAL INTER COLLEGE ROOM NO.-6 WEST PART",375,266,0,641,204,145,0,349,340,0,173,11,157,0,1,0,0,0,0,0,0,0,1,0,2,4,349
16,"WAZIRGANJ PR. SCHOOL ROOM NO.-1",478,387,0,865,279,219,0,498,485,0,1,259,227,2,1,1,0,0,1,0,0,3,1,0,1,1,498
17,"WAZIRGANJ PR. SCHOOL ROOM NO.-3",623,549,0,1172,340,205,0,545,530,0,4,442,84,0,0,0,0,0,1,0,0,0,0,2,9,3,545
18,"WAZIRGANJ PR. SCHOOL ROOM NO.-2",703,590,0,1293,405,313,0,718,700,0,13,162,523,1,3,3,0,0,1,1,2,3,1,3,0,2,718
19,"WAZIRGANJ JR. HIGH SCHOOL ROOM NO.-1",740,623,0,1363,388,315,0,703,690,0,48,303,336,1,1,0,0,1,3,0,0,3,2,2,1,2,703
20,"WAZIRGANJ NAGAR PANCHAYAT MEETING HALL",841,661,0,1502,453,414,0,867,860,0,31,453,350,5,0,0,0,1,1,2,2,2,3,2,8,7,867
21,"WAZIRGANJ BLOCK OFFICE ROOM NO.-1",682,480,0,1162,414,306,0,720,704,0,32,654,23,1,0,2,0,0,0,0,0,0,0,1,4,3,720
22,"WAZIRGANJ BLOCK OFFICE ROOM NO.-2",419,378,0,797,209,212,0,421,400,0,13,403,2,0,0,1,0,0,0,0,0,0,0,0,1,1,421
23,"WAZIRGANJ BLOCK OFFICE ROOM NO.-3",929,728,0,1657,565,466,0,1031,1025,0,26,667,296,2,2,8,1,0,1,0,1,3,4,8,7,5,1031
24,"NIMTHOLI PR. SCHOOL ROOM NO.-1",255,199,0,454,199,137,0,336,325,0,48,203,70,2,0,0,0,0,0,0,0,0,0,1,7,5,336
25,"TIKURI PR. SCHOOL ROOM NO.-1",814,599,0,1413,423,295,0,718,709,0,51,242,386,2,5,2,1,0,0,1,2,1,6,7,4,8,718
26,"KALLIYA KAZAMPUR PR. SCHOOL ROOM NO.-1",675,545,1,1221,444,352,0,796,786,0,17,154,592,7,2,0,0,0,3,1,0,0,6,7,4,3,796
27,"KASER PANAUTA PR. SCHOOL ROOM NO.-1 EAST PART",531,409,0,940,309,229,0,538,529,0,158,172,165,3,2,11,1,0,2,1,2,1,7,4,6,3,538
28,"KASER PANAUTA PR. SCHOOL ROOM NO.-2 EAST PART",354,331,0,685,190,173,0,363,359,0,123,75,96,1,2,58,1,0,0,0,0,0,5,1,0,1,363
29,"KASER PANAUTA PR. SCHOOL ROOM NO.-3 WEST PART",271,219,0,490,175,134,0,309,304,0,286,14,5,0,0,0,0,0,0,0,0,0,1,1,0,2,309
30,"PANAUTA MAZRA KASER PANAUTA PR. SCHOO ROOM NO-1",519,423,0,942,375,285,0,660,655,0,17,63,532,8,3,2,2,0,3,0,1,1,9,9,4,6,660
31,"HARNATHPUR MUSTKHARJA PR. SCHOOL ROOM NO.-1",547,431,0,978,365,301,0,666,655,0,366,111,145,30,0,0,0,0,0,0,2,0,2,4,1,5,666
32,"BAGARPUR PR. SCHOOL ROOM NO.-1",306,268,0,574,198,165,0,363,359,0,56,128,163,2,3,0,0,0,0,0,1,0,3,2,1,4,363
33,"GARRUIYA MAZRA BANKOTA JR. HIGH SCHOOL ROOM NO.-1",613,464,0,1077,437,297,0,734,728,0,3,596,117,1,1,0,0,0,1,1,1,2,2,2,5,2,734
34,"GARRUIYA MAZRA BANKOTA JR. HIGH SCHOOL ROOM NO.-2",496,398,0,894,326,196,0,522,521,0,23,434,47,1,0,1,0,0,0,0,0,3,4,4,1,4,522
35,"BANKOTA PR. SCHOOL ROOM NO.-1",731,539,0,1270,391,281,0,672,669,0,57,148,423,4,1,9,0,0,0,0,0,3,9,12,3,3,672
36,"BANKOTA PR. SCHOOL ROOM NO.-2",170,137,1,308,99,66,1,166,158,0,1,16,141,1,0,0,0,0,1,0,0,2,1,3,0,0,166
37,"NINWA MAZRA BANKOTA PR. SCHOOL ROOM NO.-1",335,250,0,585,189,126,0,315,310,0,96,9,70,1,0,117,1,1,1,1,2,1,11,1,0,3,315
38,"JAKHAULIYA PR. SCHOOL ROOM NO.-1",470,391,0,861,258,252,0,510,506,0,144,70,272,1,0,3,1,0,2,0,2,3,0,6,0,6,510
39,"GOTHA PR. SCHOOL ROOM NO.-1",743,560,0,1303,402,300,0,702,698,0,4,189,457,0,3,12,2,1,2,1,1,2,6,14,3,5,702
40,"GOTHA PR. SCHOOL ROOM NO.-2",316,234,0,550,187,125,0,312,311,0,113,38,153,2,0,0,0,0,0,0,0,0,0,1,2,3,312
41,"MANWAI MAZRA GOTHA PR. SCHOOL ROOM NO.-1",221,167,0,388,147,131,0,278,275,0,251,15,6,0,0,0,0,0,1,0,0,0,1,0,0,4,278
42,"KARKATPUR PR. SCHOOL ROOM NO.-1",607,455,0,1062,408,280,0,688,685,0,19,246,360,2,0,44,0,0,0,1,1,0,2,5,5,3,688
43,"KOTRA RASULA PR. SCHOOL ROOM NO.-1",320,266,0,586,268,176,0,444,440,0,2,69,360,3,0,0,0,0,0,0,1,1,1,6,0,1,444
44,"PACHTAUR PR. SCHOOL ROOM NO.-1",266,217,0,483,156,133,0,289,288,0,21,52,205,1,1,1,0,0,1,0,0,2,1,2,1,1,289
45,"RUPPURA PR. SCHOOL ROOM NO.-1",414,358,0,772,264,219,0,483,480,0,148,45,106,0,5,133,3,0,3,2,7,1,18,3,3,6,483
46,"ROTA PR. SCHOOL ROOM NO.-1",612,514,0,1126,319,265,0,584,580,0,3,43,498,0,1,10,0,0,7,2,2,3,3,7,3,2,584
47,"ROTA PR. SCHOOL ROOM NO.-2",331,264,0,595,170,129,0,299,295,0,8,110,165,1,2,7,1,0,0,0,0,0,3,0,2,0,299
48,"ROTA NAVEEN PR. SCHOOL BUILDING",461,390,0,851,254,208,0,462,460,0,264,128,60,2,0,0,2,1,1,0,1,1,1,1,0,0,462
49,"NAGARIYA PR. SCHOOL ROOM NO.-1",286,249,0,535,174,161,0,335,330,0,54,73,199,3,0,0,0,0,0,0,0,0,0,4,1,1,335
50,"DHARMPUR MAZRA ROTA PR. SCHOOL ROOM NO.-1",375,319,0,694,258,217,0,475,470,0,413,26,13,1,1,3,0,0,0,0,1,1,3,0,2,11,475
51,"SOI PR. SCHOOL ROOM NO.-1",703,591,0,1294,363,333,0,696,690,0,5,192,472,4,3,0,0,0,0,1,1,2,2,6,3,5,696
52,"PR. SCHOOL RAJLAMAI R.NO. 1",196,171,0,367,174,134,0,308,305,0,142,84,71,1,0,0,0,0,2,0,0,1,1,1,4,1,308
53,"PR. SCHOOL KUNAR R.NO. 1",449,364,0,813,254,217,0,471,470,0,214,33,208,0,2,1,2,1,1,2,1,0,0,1,1,4,471
