"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKBAR HUSAIN","2 - NAWAB KAZIM ALI KHAN","3 - NASEER AHMAD KHAN","4 - DR. NEPAL SINGH","5 - JANNAT NISHA","6 - VIJENDRA SINGH","7 - SYED SALMAN ALI","8 - AKBAR MASOOD","9 - JAGDISH SARAN SAGAR","10 - JAGMOHAN","11 - TEJPAL SINGH","12 - NAVED MIAN","13 - None of the Above","Total Votes Secured"
1,"PRIMARY SCHOOL CHANDELA",512,468,0,980,265,298,0,563,1,0,171,26,44,302,6,1,3,0,3,0,0,2,5,563
2,"PRIMARY SCHOOL NAYA BHAWAN MANUNAGAR",457,440,0,897,288,215,0,503,498,0,63,20,184,227,1,0,2,0,1,0,1,1,3,503
3,"INTER COLLEGE NAWABGANJ",761,700,0,1461,481,419,0,900,899,0,148,74,233,386,2,1,32,1,1,2,4,4,12,900
4,"PRIMERY SCHOOL CHAKFERI",264,227,0,491,152,150,0,302,280,0,9,48,137,103,0,0,3,1,0,0,0,1,0,302
5,"JUNIOR HIGH SCHOOL BDA BOSENA",361,353,0,714,241,237,0,478,382,0,56,56,210,140,1,0,6,0,0,2,0,2,5,478
6,"PRIMERY SCHOOL GULADIYA TEULA",305,269,0,574,206,209,0,415,242,0,40,15,118,219,3,3,4,0,2,6,0,1,4,415
7,"PRIMERY SCHOOL KHAMRI",470,461,0,931,290,261,0,551,1,0,56,35,24,419,6,1,2,1,2,1,0,2,2,551
8,"PRIMERY SCHOOL  ROOM NO-1 HAMIDABAD",589,490,0,1079,399,317,0,716,487,0,298,48,206,155,2,0,0,1,2,1,2,0,1,716
9,"PRIMERY SCHOOL  ROOM NO-2 HAMIDABAD",530,559,0,1089,323,306,0,629,1,0,121,94,302,97,0,2,0,0,0,3,2,0,8,629
10,"PRIMERY SCHOOL CHANDAYAN",375,305,0,680,205,178,0,383,222,0,100,26,41,192,1,1,5,1,3,1,1,3,8,383
11,"PRIMERY SCHOOL JAFRABAD",347,342,0,689,222,179,0,401,392,0,18,28,95,240,1,1,11,1,2,2,1,1,0,401
12,"PRIMERY SCHOOL DIBDIBA",527,472,0,999,295,259,0,554,334,0,6,32,47,445,6,5,5,2,1,1,1,3,0,554
13,"PRIMERY SCHOOL DIBDIBA",577,479,0,1056,214,267,0,481,458,0,10,20,32,403,0,2,9,1,0,0,0,1,3,481
14,"JUNIOR HIGH SCHOOL ROOM NO-2 DIBDIBA",964,752,0,1716,395,302,0,697,595,0,16,23,129,481,5,5,10,1,1,3,3,4,16,697
15,"JUNIOR HIGH SCHOOL ROOM NO-3 DIBDIBA",434,319,0,753,230,185,0,415,415,0,3,15,113,264,3,0,5,1,2,0,0,1,8,415
16,"JUNIOR HIGH SCHOOL ROOM NO-1 DIBDIBA",883,722,1,1606,390,279,0,669,669,0,5,25,169,427,2,1,25,0,1,0,2,3,9,669
17,"PRIMERY SCHOOL MANIHAR KHEDA",504,462,0,966,349,320,0,669,657,0,33,97,235,271,6,2,5,0,4,3,2,6,5,669
18,"PRIMERY SCHOOL TEMRA",406,377,0,783,281,257,0,538,537,0,19,20,379,105,0,0,4,0,2,0,4,0,5,538
19,"PRIMERY SCHOOL KAUSHALGANJ [DHURYAI]",524,506,0,1030,329,295,0,624,620,0,28,30,214,322,3,3,16,0,2,2,1,1,2,624
20,"PRIMERY SCHOOL KHANPUR",334,302,1,637,262,255,0,517,92,0,139,23,207,126,4,0,9,1,0,1,3,2,2,517
21,"PRIMERY SCHOOL SUANAGLA",371,293,0,664,209,166,0,375,60,0,21,53,200,95,1,0,2,0,0,1,0,1,1,375
22,"PRIMERY SCHOOL HAJRATPUR NAYA BHAWAN",450,372,0,822,264,220,0,484,131,0,17,9,201,240,1,2,4,0,1,1,2,4,2,484
23,"GOVT.HIGHER SECONDARY SCHOOL  ASHOKNAGAR [MANPUR OJHA] ROOM NO-1",563,499,0,1062,472,423,0,895,868,0,23,28,248,581,1,2,1,0,1,2,1,1,6,895
24,"GOVT.HIGHER SECONDARY SCHOOL ASHOKNAGAR [MANPUR OJHA] ROOM NO-2",616,488,0,1104,515,392,0,907,1,0,6,15,202,660,6,3,1,3,2,2,0,4,3,907
25,"GOVT.HIGHER SECONF\DARY SCHOOL ASHOKNAGAR [MANPUR OJHA]",616,514,0,1130,515,368,0,883,882,0,20,37,191,608,3,2,5,0,1,2,3,3,8,883
26,"GOVT.HIGHER SECONDARY SCHOOL ASHOKNAGAR [MANPUR OJHA]",345,298,0,643,286,246,0,532,502,0,36,27,141,325,0,0,1,0,0,0,0,0,2,532
27,"PRIMERY SCHOOL GOKAL NAGRI",385,324,0,709,347,275,0,622,1,0,34,19,367,193,1,1,0,0,2,1,1,1,2,622
28,"PRIMERY SCHOOL ROOM NO-1  KOTA ALINAGAR",698,574,0,1272,386,258,0,644,639,0,64,25,265,268,4,2,3,0,1,4,5,1,2,644
29,"GANDHI SHATABDI SMARAK I. COLLEGE ROOM NO-1 LALPUR",755,700,0,1455,439,418,0,857,801,0,6,434,159,237,1,1,3,0,2,3,3,6,2,857
30,"GANDHI SHATABDI SMARAK I. COLLEGE ROOM NO-2  LALPUR",379,325,0,704,222,202,0,424,424,0,13,108,47,249,2,2,1,0,0,0,2,0,0,424
31,"PRIMERY SCHOOL SIHOR",238,219,0,457,184,140,0,324,1,0,16,82,39,176,0,3,4,1,1,1,0,0,1,324
32,"PRIMERY SCHOOL GAGANPUR [HAMIDNAGR]",559,516,0,1075,326,287,0,613,183,0,9,358,74,141,3,3,16,1,0,0,2,2,4,613
33,"PRIMERY SCHOOL SHIVNAGAR NEAR RAMNAGAR",405,367,0,772,302,252,0,554,1,0,5,117,199,220,3,0,6,0,0,1,1,1,1,554
34,"PRIMERY SCHOOL KADRIGANJ",230,226,0,456,172,172,0,344,1,0,79,11,31,217,1,0,0,0,0,1,0,1,3,344
35,"PRIMERY SCHOOL BERKHEDA",356,350,0,706,193,279,0,472,1,0,140,18,158,150,2,1,0,0,0,0,1,0,2,472
