"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AQEEL UR REHMAN KHAN","2 - ACHARYA PRAMOD KRISHNAM","3 - DR SHAFIQ UR RAHMAN BARQ","4 - SATYAPAL SINGH","5 - MOHD ASLAM URF PASHA","6 - DHARAM YADAV","7 - DR. RASHID ALI","8 - REKHA DEVI YADAV","9 - AQEEL AHMAD","10 - NANAD RAM KHADAGVANSHI","11 - NUTAN VIJAY ADVOCATE","12 - FIROZ HAIDER","13 - RASHID","14 - None of the Above","Total Votes Secured"
1,"P.S. NARAYANPUR DEVA",681,547,0,1228,437,363,0,800,800,0,63,1,53,646,4,6,0,1,0,0,19,2,2,3,800
2,"P.S. ALAHDADPUR",344,302,0,646,254,232,0,486,486,0,370,5,46,47,1,2,1,1,1,0,0,2,2,8,486
3,"P.S. JAMALPUR",711,595,0,1306,472,386,0,858,858,0,279,15,108,433,4,4,2,2,1,1,2,0,1,6,858
4,"P.S. NAMAINI UDAIA",465,410,0,875,292,275,0,567,567,0,92,4,138,297,6,0,1,2,2,1,11,2,4,7,567
5,"P.S. MADVA",315,273,0,588,208,185,0,393,393,0,147,5,5,221,3,1,0,0,0,2,3,0,1,5,393
6,"P.S. IBRAHEEMPUR ROOM-1",535,465,0,1000,370,331,0,701,701,0,6,10,142,493,11,23,1,2,0,1,5,2,0,5,701
7,"P.S.IBRHEEMPUR ROOM-2",543,461,0,1004,360,346,0,706,706,0,219,8,403,62,0,1,0,0,0,1,1,2,2,7,706
8,"JUNIOR HIGH SCHOOL ROOM -1 JARGAOV",626,463,0,1089,355,273,0,628,628,0,444,13,102,38,1,9,0,0,5,2,3,0,1,10,628
9,"JUNIOR HIGH SCHOOL ROOM -2 JARGAOV",580,479,0,1059,367,302,0,669,628,0,19,9,103,418,5,87,1,1,5,3,5,2,4,7,669
10,"P.S. JATPURA JHADU",294,251,0,545,209,215,0,424,422,0,112,0,52,238,3,3,0,1,0,2,3,3,1,6,424
11,"PRIMARY SCHOOL KAMALPUR CHANDORA",686,511,0,1197,411,301,0,712,706,0,108,7,57,501,2,5,0,0,2,3,15,1,4,7,712
12,"P.S. AHMDABAD KASORA",405,303,0,708,265,213,0,478,478,0,214,4,205,32,2,8,0,0,0,0,2,1,1,9,478
13,"PRIMARY SCHOOL KHASEPUR",217,180,0,397,184,136,0,320,320,0,41,0,0,273,1,0,0,1,1,0,1,2,0,0,320
14,"P.S. BAROLI RUSTAMPUR ROOM-1",692,626,0,1318,403,402,0,805,804,0,272,14,14,452,2,4,1,0,3,2,18,2,5,16,805
15,"PRIMARY SCHOOL ROOM -2 BAROLI RUSTAMPUR",458,411,0,869,310,278,0,588,586,0,13,12,2,511,7,8,0,1,2,6,18,4,1,3,588
16,"P.S. UMRA GOPAL PUR",249,191,0,440,172,126,0,298,298,0,2,1,8,268,0,11,0,1,1,0,3,1,0,2,298
17,"P.S. SAIFPUR JAGNA",301,254,0,555,152,167,0,319,319,0,310,0,2,0,1,0,0,1,1,1,0,0,0,3,319
18,"P.S. ASALATNAGAR KALIJPUR",847,645,0,1492,485,369,0,854,853,0,234,27,243,302,2,6,9,1,1,0,15,3,3,8,854
19,"JUNIOR HIGH SCHOOL ROOM-1 MOHD SADIKPUR",781,658,0,1439,442,338,0,780,776,0,17,10,128,532,8,32,14,3,1,2,15,8,3,7,780
20,"J.H.S. MOHAMMAD SADIKPUR ROOM -2",671,581,0,1252,389,333,0,722,719,0,312,12,114,209,1,31,1,4,2,4,11,5,1,15,722
21,"J.H.S. SARTHAL ROOM-6",726,604,0,1330,411,334,0,745,743,0,12,18,83,568,9,4,1,1,3,4,13,10,6,13,745
22,"J.H.S. SARTHAL ROOM-7",647,471,0,1118,376,290,0,666,665,0,332,7,81,232,2,1,1,0,0,0,3,1,1,5,666
23,"P.S. NAGLA GUJAR",434,381,0,815,312,270,0,582,554,0,379,2,105,74,3,14,0,0,0,0,1,2,0,2,582
24,"P.S. DOLATPUR BHARKAU",181,158,0,339,113,102,0,215,207,0,3,1,9,195,0,2,0,0,0,2,2,0,1,0,215
25,"J.H.S.BEHTA SARTHAL ROOM -1",842,635,0,1477,601,306,0,907,906,0,278,12,550,28,0,3,28,0,0,0,5,0,2,1,907
26,"J.H.S BEHTA SARTHAL ROOM -2",701,546,0,1247,477,355,0,832,832,0,187,7,610,4,1,3,8,2,1,1,2,1,1,4,832
27,"P.S. NURUDDINPUR URF GANJ",460,354,0,814,284,239,0,523,521,0,397,12,14,81,3,2,0,1,2,0,5,0,0,6,523
28,"P.S. CHIDIA BHAVAN ROOM -1",839,667,0,1506,344,293,0,637,637,0,89,4,130,319,3,59,2,1,2,5,11,4,3,5,637
29,"P.S. CHIDIA BHAVAN ROOM -2",295,236,0,531,107,98,0,205,149,0,194,5,0,1,0,0,1,0,1,0,0,0,0,3,205
30,"P.S. MAKANPUR",266,220,0,486,191,166,0,357,354,0,10,6,21,290,0,9,0,2,0,0,8,2,2,7,357
31,"P.S. DEVRI",480,393,0,873,343,260,0,603,603,0,20,1,155,163,1,226,2,4,3,1,5,5,5,12,603
32,"P.S. DINORA",218,172,0,390,171,104,0,275,275,0,5,1,53,156,0,56,0,0,0,0,4,0,0,0,275
33,"P.S. KHANPUR",499,402,0,901,330,266,0,596,596,0,41,8,196,127,7,187,3,2,4,2,5,9,2,3,596
34,"PRIMARY SCHOOL VIJAYPUR",844,637,0,1481,557,390,0,947,795,0,119,6,100,656,12,15,2,2,1,2,21,4,4,3,947
35,"P.S. PIPLI ROOM -1",614,498,0,1112,412,339,0,751,751,0,42,2,172,498,0,5,5,0,1,4,9,2,4,7,751
36,"P.S. PIPLI ROOM -2",322,277,0,599,197,161,0,358,354,0,32,4,285,23,0,0,6,1,0,0,1,1,1,4,358
37,"P.S. HAJIPUR",774,563,0,1337,449,344,0,793,793,0,400,7,94,189,3,54,0,1,2,3,22,5,2,11,793
38,"P.S. KHATA",312,245,0,557,209,163,0,372,354,0,153,2,55,133,1,18,0,0,0,2,5,3,0,0,372
39,"P.S. HAMJAPUR",293,251,0,544,224,178,0,402,399,0,2,1,98,131,2,151,1,1,2,2,5,2,3,1,402
40,"P.S. KARSARA ROOM -1",591,538,0,1129,421,300,0,721,721,0,322,5,95,249,1,11,1,0,5,3,12,2,2,13,721
41,"P.S. KARSARA ROOM- 2",292,248,0,540,199,182,0,381,381,0,7,3,260,99,1,1,1,0,1,1,3,1,1,2,381
42,"P.S. NARSARA",240,195,0,435,200,149,0,349,349,0,14,1,116,80,2,133,1,0,0,0,2,0,0,0,349
43,"PRIMARY SCHOOL BAGPURA",410,284,0,694,278,185,0,463,460,0,15,6,188,126,1,114,0,0,2,1,3,3,0,4,463
44,"P.S. RAMNAGAR GANGPUR",869,681,0,1550,539,411,0,950,945,0,188,7,136,557,8,13,1,4,2,2,15,3,5,9,950
45,"P.S. NOSHNA SYONDARA",641,524,0,1165,356,285,0,641,611,0,84,7,278,153,3,96,4,4,1,0,2,3,1,5,641
46,"P.S. ABUSAIDPUR",333,270,0,603,287,217,0,504,503,0,4,0,76,118,8,271,4,2,5,2,3,3,2,6,504
47,"J.H.S ROOM-1 SISONA",491,489,0,980,337,323,0,660,660,0,82,10,498,47,1,12,1,0,0,0,5,0,0,4,660
48,"J.H.S.SISONA ROOM-2",175,158,0,333,135,94,0,229,228,0,4,1,68,134,2,4,1,0,0,1,8,4,0,2,229
49,"P.S. GORA SHAHGADH",740,527,0,1267,479,330,0,809,800,0,96,19,343,150,5,154,3,2,4,8,9,4,3,9,809
50,"P.S. SAIDNAGAR URF NAYAGAOV",336,269,0,605,213,188,0,401,401,0,140,4,59,167,3,8,0,1,2,1,6,1,2,7,401
