"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKBAR HUSAIN","2 - NAWAB KAZIM ALI KHAN","3 - NASEER AHMAD KHAN","4 - DR. NEPAL SINGH","5 - JANNAT NISHA","6 - VIJENDRA SINGH","7 - SYED SALMAN ALI","8 - AKBAR MASOOD","9 - JAGDISH SARAN SAGAR","10 - JAGMOHAN","11 - TEJPAL SINGH","12 - NAVED MIAN","13 - None of the Above","Total Votes Secured"
1,"PRIMARI SCHOOL CHAKFERI",697,625,0,1322,423,405,0,828,828,0,42,63,550,153,6,0,1,1,3,1,0,1,7,828
2,"PRIMARI SCHOOL DHARMPUR",285,250,0,535,163,195,0,358,358,0,23,12,37,269,4,0,0,1,1,6,1,1,3,358
3,"PRIMARI SCHOOL NEW BHAVAN CLASS NO-01  SRAY MAHESH",537,414,0,951,359,262,0,621,621,0,31,164,128,276,10,1,0,2,2,1,2,1,3,621
4,"PRIMARI SCHOOL NEW BHAVAN CLASS NO-02 SRAY MAHESH",509,465,0,974,317,300,0,617,617,0,28,211,135,224,5,1,0,0,1,2,2,3,5,617
5,"PRIMARI SCHOOL CLASS NO-01 CHITOUNI",509,384,0,893,333,261,0,594,594,0,9,341,92,128,5,0,2,0,4,5,2,5,1,594
6,"PRIMARI SCHOOL CLASS NO-02 CHITOUNI",450,464,0,914,253,264,0,517,517,0,15,296,137,56,2,1,1,3,0,0,2,1,3,517
7,"PRIMARI SCHOOL SADDIKNAGAR",242,193,0,435,228,151,0,379,379,0,2,1,29,343,0,1,0,0,0,0,1,1,1,379
8,"PRIMARI SCHOOL KARANPUR",558,476,0,1034,379,352,0,731,731,0,271,31,164,259,2,1,0,1,0,1,0,0,1,731
9,"JUNIOR HIGH SCHOOL LEHTORA",206,176,0,382,133,130,0,263,263,0,57,1,30,170,0,0,0,0,0,2,0,1,2,263
10,"PRIAMARI SCHOOL DNIYAPUR",746,567,0,1313,508,377,0,885,885,0,346,81,143,296,5,2,1,1,1,3,1,1,4,885
11,"PRIMARI SCHOOL TAJPUR BEHTA",412,370,0,782,325,274,0,599,599,0,545,6,5,28,1,0,1,0,1,0,0,3,9,599
12,"NEW PRIAMARI SCHOOL SAIFNI",476,384,0,860,275,223,0,498,498,0,331,34,4,117,0,1,2,0,0,0,1,2,6,498
13,"NEW PRIAMARI SCHOOL SAIFNI EXTRA ROOM",545,438,0,983,336,247,0,583,583,0,108,117,112,231,2,1,0,2,0,3,0,2,5,583
14,"NEW PRIAMARI SCHOOL SAIFNI",944,692,0,1636,514,362,0,876,876,0,15,96,135,591,10,6,5,1,1,4,4,5,3,876
15,"SHANTI DEVI KANYA JUNIOR HIGH SCHOOL SAIFNI",835,703,1,1539,473,347,0,820,820,0,12,79,373,335,2,1,1,0,2,1,2,4,8,820
16,"SHANTI DEVI KANYA JUNIOR HIGH SCHOOL SAIFNI  N.R.",891,773,0,1664,490,378,0,868,868,0,8,426,217,204,4,2,1,0,1,0,2,1,2,868
17,"JANTA INTER COLLEGE SAIFNI CLASS NO-01",527,407,0,934,283,189,0,472,455,0,5,104,161,184,2,1,1,1,2,3,3,0,5,472
18,"JANTA INTER COLLEGE SAIFNI CLASS NO-02",576,449,0,1025,226,218,0,444,444,0,7,181,134,107,0,0,1,1,1,1,4,1,6,444
19,"JANTA INTER COLLEGE SAIFNI CLASS NO-03",906,709,0,1615,435,353,0,788,788,0,16,412,276,62,0,1,2,1,0,5,1,4,8,788
20,"JANTA INTER COLLEGE SAIFNI CLASS NO-04",919,606,0,1525,410,268,0,678,678,0,7,302,349,6,0,1,1,1,2,2,1,0,6,678
21,"JANTA INTER COLLEGE SAIFNI CLASS NO-05",577,426,0,1003,272,167,0,439,439,0,20,242,124,36,2,0,0,0,0,0,4,1,10,439
22,"JANTA INTER COLLEGE SAIFNI CLASS NO-06",647,432,0,1079,326,216,0,542,542,0,7,223,287,8,1,0,1,1,1,2,0,3,8,542
23,"JUNIOR HIGH SCHOOL JATPURA",596,481,0,1077,387,374,0,761,761,0,112,155,305,163,6,0,1,3,3,4,3,2,4,761
24,"PRIMARI SCHOOL CHANDPURA KALAN CLASS NO-01",533,396,0,929,359,251,0,610,610,0,3,15,185,387,9,3,0,1,3,2,0,0,2,610
25,"PRIMARI SCHOOL CHANDPURA KALAN CLASS NO-02",546,504,0,1050,342,274,0,616,616,0,56,15,177,353,3,1,0,2,1,5,2,0,1,616
26,"PRIMARI SCHOOL BARUA NORTH DISHA",801,599,0,1400,474,385,0,859,859,0,185,106,519,35,1,0,0,1,1,0,0,1,10,859
27,"PRIMARI SCHOOL BARUA N.R.",608,458,0,1066,377,285,0,662,662,0,4,30,444,173,3,3,2,0,1,0,1,0,1,662
28,"PRIMARI SCHOOL MAJHARA",556,520,0,1076,361,347,0,708,708,0,109,55,264,265,1,0,2,0,0,3,2,2,5,708
29,"PRIMARI SCHOOL BHAJANPUR  ROOM NO-01",534,394,0,928,308,243,0,551,551,0,21,212,271,30,2,1,1,0,2,2,2,3,4,551
30,"PRIMARI SCHOOL BHAJANPUR ROOM NO-2",541,561,0,1102,266,305,0,571,571,0,36,198,291,25,2,2,4,1,2,1,3,4,2,571
31,"JUNIOR HIGH SCHOOL MADHUPARI EAST DISHA",824,693,0,1517,498,469,0,967,967,0,6,9,415,509,6,3,0,2,4,3,0,3,7,967
32,"032 JUNIOR HIGH SCHOOL MADHUPARI WEST DISHA",674,602,0,1276,410,401,0,811,811,0,357,6,179,249,1,1,0,0,0,3,1,2,12,811
33,"JUNIOR HIGH SCHOOL NEW SAGARPUR, BISOULI ROOM NO-1",754,560,0,1314,468,369,0,837,837,0,19,91,240,462,3,3,0,0,1,1,5,0,12,837
34,"JUNIOR HIGH SCHOOL NEW SAGARPUR, BISOULI ROOM NO-2",495,383,0,878,309,227,0,536,536,0,22,153,340,11,1,1,0,0,0,0,0,1,7,536
35,"JUNIOR HIGH SCHOOL NEW SAGARPUR, BISOULI ROOM NO-03",461,403,0,864,234,213,0,447,447,0,58,94,223,57,3,1,0,0,0,1,1,1,8,447
36,"PRIMARI SCHOOL DHANOURA",477,402,0,879,321,282,0,603,603,0,221,20,167,174,2,2,0,1,0,3,2,0,11,603
