"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANURADHA SHARMA","2 - UMA BHARATI","3 - DR. CHANDRAPAL SINGH YADAV","4 - PRADEEP JAIN ADITYA","5 - ARCHANA","6 - CHINTAMANI","7 - NARESH KUMAR","8 - MAULANA MOHAMMAD","9 - SUNIL MASSEY","10 - KULDEEP KUMAR","11 - TULA RAM","12 - DILSHAD AHMAD","13 - RACHNA SHARMA","14 - RAJENDRA KUMAR","15 - RAM KUMAR ANK SHASTRI","16 - None of the Above","Total Votes Secured"
1,"PRI SCHOOL KOCCHABHAWAR",648,542,0,1190,499,375,0,874,874,0,229,286,298,27,1,1,3,3,1,2,3,3,1,4,6,6,874
2,"PRI SCHOOL KOCCHABHAWAR PART-2",573,480,0,1053,397,313,0,710,710,0,187,227,267,8,2,0,1,2,0,0,0,1,3,3,6,3,710
3,"KANYA KRAMOTTAR JUNIOR HIGH SCHOOL KOCHABANWER",568,510,0,1078,396,310,0,706,706,0,67,355,207,51,3,2,4,1,1,1,2,0,2,3,2,5,706
4,"BU EN COLLEGE SC BHAWAN PART-1",467,404,0,871,258,247,0,505,505,0,287,139,63,9,3,0,0,0,1,0,0,0,0,1,0,2,505
5,"BU EN COLLEGE SC BHAWAN PART-2",463,402,0,865,291,264,0,555,555,0,46,328,142,26,4,0,0,0,0,0,0,0,1,3,1,4,555
6,"GURUKUL INTER COLLEGE GUMNAWARA PICHOR PART-1",691,568,0,1259,346,231,0,577,577,0,81,317,86,81,7,0,1,0,0,0,0,0,0,0,1,3,577
7,"GURUKUL INTER COLLEGE GUMNAWARA PICHOR PART - 2",826,621,0,1447,430,347,0,777,777,0,59,437,197,51,14,0,0,4,0,0,2,1,1,3,3,5,777
8,"BASIC PRI  KANYA SCHOOL PICHOR PART-1",724,631,0,1355,459,389,0,848,848,0,98,439,234,48,2,1,4,2,2,1,2,2,2,2,3,6,848
9,"BASIC PRI  KANYA SCHOOL PICHOR PART-2",718,574,0,1292,396,297,0,693,693,0,50,427,174,29,6,0,0,0,0,0,0,1,1,0,3,2,693
10,"PRI SCHOOL  PICHOR",676,561,0,1237,355,268,0,623,623,0,62,385,112,46,6,0,2,1,0,0,1,0,1,0,3,4,623
11,"ADERSH HIGH SCHOOL BU AV.PARISAR PART-1",713,619,1,1333,279,221,0,500,500,0,50,316,99,30,0,0,0,1,0,0,1,0,0,1,0,2,500
12,"ADERSH JU HIGH SCHOOL BU AV.PARISAR PART-2",619,492,0,1111,298,256,0,554,554,0,58,398,54,20,8,2,2,0,0,0,0,0,1,1,7,3,554
13,"ADERSH JU HIGH SCHOOL BU AV.PARISAR PART-3",627,517,0,1144,388,285,0,673,673,0,93,433,70,63,9,0,1,0,0,0,0,0,0,0,2,2,673
14,"ADERSH JU HIGH SCHOOL BU AV.PARISAR PART-4",629,509,0,1138,350,285,0,635,635,0,52,432,92,44,8,0,0,0,1,0,0,0,1,1,1,3,635
15,"PRI SCHOOL MAIRY PART-1",478,402,0,880,305,240,0,545,544,0,144,44,318,11,2,1,1,0,1,1,1,2,5,2,2,10,545
16,"PRI SCHOOL MAIRY PART-2",331,332,0,663,251,215,0,466,466,0,56,79,311,6,0,0,3,0,1,1,0,2,0,3,0,4,466
17,"PRI SCHOOL BUDHA",683,650,0,1333,493,424,0,917,917,0,151,341,345,46,0,1,2,0,1,1,3,2,2,6,10,6,917
18,"PRI SCHOOL SIMARDHA PART-1",645,486,0,1131,340,211,0,551,550,0,97,177,213,45,4,1,2,0,0,0,0,1,2,3,2,4,551
19,"PRI SCHOOL SIMARDHA PART-1 EXTRA ROOM",488,376,0,864,242,217,0,459,459,0,73,143,207,26,2,0,0,0,0,0,0,0,1,4,0,3,459
20,"PRI SCHOOL SIMARDHA PART-2",704,513,0,1217,389,275,0,664,664,0,84,402,125,38,0,2,0,1,0,3,1,1,1,1,1,4,664
21,"JUNIOR HIGH SCHOOL SIMARDHA",408,309,0,717,206,155,0,361,361,0,54,219,64,13,2,0,2,0,0,0,0,1,0,0,2,4,361
22,"UC PRI SCHOOL KARARI PART-1",702,563,0,1265,476,381,0,857,857,0,300,353,143,19,3,0,2,1,1,3,2,1,1,3,14,11,857
23,"PU MADHYAMIK SCHOOL KARARI PART-2",448,353,0,801,287,223,0,510,510,0,132,214,118,27,2,1,1,1,0,0,1,0,2,1,3,7,510
24,"BAHUMANJALI PU MA SCHOOL MA KASHIRAM SHEHARI GARIB AVAS KARARI",715,839,0,1554,368,448,0,816,816,0,541,125,97,23,1,0,2,1,0,2,0,0,1,3,3,17,816
25,"PRI SCHOOL LAHARGIRD PART-1",611,543,0,1154,324,244,0,568,568,0,84,377,50,42,8,1,0,0,0,0,0,1,0,0,1,4,568
26,"PRI SCHOOL LAHARGIRD PART-2",427,330,1,758,251,185,1,437,437,0,81,284,36,28,4,1,0,0,0,0,1,0,0,0,0,2,437
27,"PU MAD SCHOOL LAHERGIRD PART-1",647,524,0,1171,372,290,0,662,662,0,251,260,91,46,6,0,0,0,0,0,0,1,0,0,3,4,662
28,"PU MAD SCHOOL LAHERGIRD PART-2",547,448,0,995,386,303,0,689,689,0,93,319,219,44,1,0,0,0,0,1,0,2,0,2,1,7,689
29,"PANCHAYAT BHAWAN LAHAR GIRD",536,509,0,1045,330,262,0,592,592,0,64,391,71,51,3,0,0,0,0,0,0,1,4,0,4,3,592
30,"PU MAD SCHOOL LAHER GIRD PART-3",587,510,0,1097,372,284,0,656,656,0,63,362,149,65,11,0,1,0,0,0,0,1,0,0,1,3,656
31,"MAHATMA GANDHI SARASWATI VIDYA MANDIR PART-1",486,480,1,967,363,333,0,696,696,0,263,197,198,15,2,0,1,0,0,0,1,0,1,7,3,8,696
32,"MAHATMA GANDHI SARASWATI VIDYA MANDIR PART-2",405,356,0,761,294,229,0,523,523,0,234,160,101,15,3,0,1,0,2,0,0,2,1,2,2,0,523
33,"SARASWATI INTER COLLEGE PART-1 SIPRI BAZAR",536,477,0,1013,273,274,0,547,547,0,75,333,59,68,5,1,0,1,0,0,1,0,0,0,3,1,547
34,"SARASWATI INTER COLLEGE PART-2 SIPRI BAZAR",434,400,0,834,270,215,0,485,485,0,37,295,50,89,5,0,2,0,0,1,1,0,1,0,3,1,485
35,"SARASWATI INTER COLLEGE PART-3 SIPRI BAZAR",516,477,0,993,292,234,0,526,526,0,26,331,86,76,4,0,0,0,0,0,0,0,0,0,2,1,526
36,"SARASWATI INTER COLLEGE PART-4",633,516,0,1149,334,248,0,582,582,0,38,351,107,79,3,0,0,0,0,1,0,0,0,0,0,3,582
37,"SARASWATI INTER COLLEGE PART-5 SIPRI BAZAR",397,371,0,768,278,252,0,530,530,0,11,376,88,46,6,0,0,0,0,0,0,0,0,1,0,2,530
38,"SARASWATI INTER COLLEGE PART-6 SIPRI BAZAR",575,517,2,1094,336,304,0,640,640,0,43,390,128,69,3,0,1,0,0,1,1,0,1,1,1,1,640
39,"SAINTMAIRY JUNIOR HIGH SCHOOL PART-1",506,534,0,1040,302,280,0,582,582,0,19,348,60,146,6,0,3,0,0,0,0,0,0,0,0,0,582
40,"SAINTMAIRY JUNIOR HIGH SCHOOL PART-2",491,426,0,917,214,201,0,415,415,0,24,285,67,30,4,0,0,0,1,1,0,0,0,1,1,1,415
41,"SAINTMAIRY JUNIOR HIGH SCHOOL PART-3",417,350,0,767,239,192,0,431,431,0,7,249,127,42,5,0,0,0,0,0,0,0,1,0,0,0,431
42,"SAINTMAIRY JUNIOR HIGH SCHOOL PART-4",375,314,0,689,191,176,0,367,367,0,9,259,85,11,2,0,0,0,0,0,0,0,0,1,0,0,367
43,"SAINTMAIRY JUNIOR HIGH SCHOOL PART-5",630,539,0,1169,356,285,0,641,641,0,92,322,168,44,7,0,0,0,0,1,0,1,1,1,3,1,641
44,"SAINTMAIRY JUNIOR HIGH SCHOOL PART-6",610,515,0,1125,356,280,0,636,636,0,150,281,140,54,3,0,0,0,0,1,1,0,0,1,2,3,636
45,"SAINTMAIRY JUNIOR HIGH SCHOOL PART-7",558,477,0,1035,296,238,0,534,534,0,221,114,157,30,0,0,0,0,0,0,0,2,0,1,2,7,534
46,"SAINTMAIRY JUNIOR HIGH SCHOOL PART-8",594,497,0,1091,381,294,0,675,675,0,220,239,162,38,1,1,1,1,1,0,1,0,1,3,1,5,675
47,"GURUNANAK KHALSHA INTER COLLEGE PART-1",439,556,0,995,261,298,0,559,559,0,58,191,172,128,3,0,1,0,0,0,0,0,0,1,1,4,559
48,"GURUNANAK KHALSHA INTER COLLEGE PART - 2",518,464,0,982,277,246,0,523,523,0,31,328,87,71,2,0,0,0,1,0,0,1,0,0,0,2,523
49,"GURUNANAK KHALSHA INTER COLLEGE PART-3",540,490,0,1030,285,270,0,555,555,0,44,322,121,53,7,0,0,0,1,0,0,0,1,3,1,2,555
50,"GURUNANAK KHALSHA INTER COLLEGE PART-4",628,487,0,1115,273,239,0,512,512,0,54,299,78,64,12,0,2,0,0,0,0,0,1,0,0,2,512
51,"ARYA KANYA INTER COLLEGE SIPRI BAZAR PART-1",690,571,0,1261,410,296,0,706,706,0,21,432,146,102,3,0,0,0,0,0,0,0,0,0,2,0,706
52,"ARYA KANYA INTER COLLEGE SIPRI BAZAR PART-2",364,338,1,703,213,162,0,375,375,0,18,220,75,61,0,0,0,0,0,0,0,0,0,0,0,1,375
53,"ARYA KANYA INTER COLLEGE SIPRI BAZAR PART-3",380,338,0,718,245,185,0,430,430,0,32,250,66,75,3,1,1,0,0,0,0,0,0,0,0,2,430
54,"ARYA KANYA INTER COLLEGE SIPRI BAZAR PART-4",668,615,0,1283,397,303,0,700,700,0,62,414,123,91,1,0,2,0,0,1,0,0,0,2,2,2,700
55,"ARYA KANYA INTER COLLEGE SIPRI BAZAR PART-5",648,584,0,1232,364,300,0,664,664,0,29,501,62,58,9,0,1,0,0,0,0,0,0,0,1,3,664
56,"ARYA KANYA DEGREE COLLEGE PART-1",623,570,0,1193,374,338,0,712,712,0,132,334,153,76,5,1,0,0,0,0,0,0,0,5,2,4,712
