"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANIL KUMAR MAURYA","2 - TARUN PATEL URF TARUNENDRA CHAND PATEL","3 - DR MAHENDRA NATH PANDEY","4 - RAMKISHUN","5 - IRSHAD","6 - CHANCHAL","7 - JITENDRA","8 - MRITUNJAYA PANDEY","9 - RAMASHANKER SINGH MAURYA","10 - RAJA JAISWAL","11 - RAJENDRA","12 - RAM DULAR","13 - VINAI KUMAR SINGH","14 - SHASHI SINHA","15 - SANJEEV SINGH","16 - DR. HARIDWAR SINGH YADAV","17 - HEERALAL","18 - GULAVAS","19 - BINDU","20 - RAJNARAYAN","21 - SANJAY","22 - None of the Above","Total Votes Secured"
1,"P.P.CHAMAV R.NO1",602,491,0,1093,413,318,0,731,670,0,56,9,519,70,23,1,8,2,1,15,2,1,7,2,1,3,0,2,4,4,0,1,731
2,"P.P.CHAMAV R.NO 2",388,335,0,723,303,259,0,562,462,0,255,10,251,13,6,1,8,0,1,7,0,0,1,0,0,7,1,0,0,1,0,0,562
3,"P.P.CHAMAV R.NO 3",801,619,0,1420,502,331,0,833,728,0,145,6,103,517,17,3,0,1,0,4,0,2,5,3,0,3,4,1,1,8,4,6,833
4,P.P.KOIRAN,769,618,0,1387,554,449,0,1003,900,0,290,12,559,40,22,2,3,3,3,9,3,3,2,1,0,11,2,2,16,11,3,6,1003
5,"KASHI KRISHAK I.C. HARAHUA R.NO.1",537,492,0,1029,374,295,0,669,522,0,66,23,525,29,3,1,2,2,1,5,0,0,0,1,0,5,1,1,1,2,0,1,669
6,"KASHI KRISHAK I.C. HARAHUA R.NO.2",601,491,0,1092,380,318,0,698,573,0,283,16,315,30,14,3,3,1,2,6,0,3,5,2,0,6,4,1,0,3,1,0,698
7,"KASHI KRISHAK I.C. HARAHUA R.NO.3",399,324,0,723,290,207,0,497,457,0,32,11,265,122,8,1,5,2,2,12,3,4,5,0,1,1,5,4,2,8,1,3,497
8,"KASHI KRISHAK I.C. HARAHUA R.NO.4",717,543,0,1260,385,444,0,829,686,0,138,21,139,485,23,1,2,1,0,2,1,0,4,2,0,0,1,1,1,4,0,3,829
9,"K.J.H.SCHOOL. HARAHUA",806,696,1,1503,563,453,0,1016,850,0,384,56,350,58,118,0,1,1,2,2,1,0,1,3,3,10,5,0,7,5,4,5,1016
10,"J.H.SCHOOL. HARAHUA",377,321,0,698,260,219,0,479,435,0,170,23,234,10,13,2,1,2,0,2,0,0,1,0,3,8,2,2,1,1,1,3,479
11,"B.P.P. HARAHUA",603,518,0,1121,417,326,0,743,700,0,63,23,523,14,55,2,2,2,3,13,4,2,6,8,1,9,1,2,2,3,2,3,743
12,"P.P. BHAGATUPUR R.NO.1",539,482,0,1021,358,309,0,667,567,0,299,21,231,35,46,1,2,1,0,3,0,0,3,2,1,7,3,0,3,4,2,3,667
13,"P.P. BHAGATUPUR R.NO.2",562,480,0,1042,394,287,0,681,597,0,162,24,298,116,42,2,2,2,0,3,0,1,5,2,0,4,2,1,4,4,4,3,681
14,"P.P. BHAGATUPUR R.NO.3",515,437,0,952,303,230,0,533,414,0,110,38,287,21,48,1,6,3,2,2,0,1,0,2,1,4,0,1,0,2,1,3,533
15,"PANCHAYAT BHAWAN MANSHAPUR",237,210,0,447,146,140,0,286,203,0,20,9,227,6,21,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,286
16,"PANCHAYAT BHAWAN RAMSINGHPUR",269,246,0,515,139,137,0,276,252,0,17,13,238,0,2,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,1,276
17,"P.P. SINGHAPUR",403,355,0,758,266,225,0,491,458,0,171,7,252,6,18,0,1,0,1,4,0,0,4,2,0,5,4,1,6,4,2,3,491
18,"P.P. ANAURA",502,384,0,886,288,265,0,553,502,0,14,12,372,36,5,5,22,2,2,5,2,0,5,6,3,13,3,30,2,10,2,2,553
19,"P.P. AUSANPUR R.NO. 1",673,605,0,1278,416,366,0,782,770,0,266,22,378,46,7,1,3,0,4,8,4,1,5,2,5,9,8,2,1,4,4,2,782
20,"P.P. AUSANPUR R.NO. 2",498,414,0,912,307,229,0,536,449,0,121,15,296,58,23,0,0,0,1,6,3,1,3,1,1,2,1,0,0,0,0,4,536
21,"P.P. KAROMA",779,691,0,1470,517,411,0,928,802,0,263,28,380,167,25,0,0,4,1,11,0,1,6,5,3,16,6,4,2,3,0,3,928
22,"P.P. CHAKKA",790,648,0,1438,503,432,0,935,735,0,97,19,519,157,23,2,3,2,4,17,7,6,10,11,13,17,5,4,9,3,3,4,935
23,"P.P.GADAVA R.NO. 1",579,490,0,1069,382,309,0,691,535,0,137,13,390,110,5,0,1,2,1,6,5,1,0,3,3,4,2,2,3,0,0,3,691
24,"P.P.GADAVA R.NO. 2",540,441,0,981,346,268,0,614,414,0,32,47,374,113,10,2,2,2,0,5,1,1,1,2,3,3,6,2,3,1,1,3,614
25,"P.P. CHANDIPATTI",622,551,0,1173,416,324,0,740,631,0,138,14,482,48,7,0,4,1,0,7,0,2,4,7,0,5,4,1,3,8,2,3,740
26,"P.P. SARAYKAJI R.NO. 1",729,599,0,1328,475,425,0,900,886,0,140,61,556,71,38,1,5,1,0,4,3,1,5,3,1,0,1,0,2,2,3,2,900
27,"P.P. SARAYKAJI R.NO. 2",507,406,0,913,296,236,0,532,423,0,179,18,290,4,16,2,2,1,1,2,0,1,2,1,1,4,2,1,2,0,2,1,532
28,"P.P. BHATAULEE R.NO. 1",720,581,0,1301,465,375,0,840,729,0,255,19,429,26,23,0,4,1,4,14,2,4,11,4,4,8,17,2,2,5,4,2,840
29,"P.P. BHATAULEE R.NO. 2",497,398,0,895,279,237,0,516,483,0,65,23,369,9,13,0,0,2,0,10,1,3,5,2,1,6,0,2,1,2,0,2,516
30,"P.P. BERAVA",692,560,1,1253,430,344,0,774,684,0,333,16,369,17,9,0,2,1,0,4,0,2,2,0,1,7,3,0,1,5,2,0,774
31,"P.P. SEHAMALPUR R.NO. 1",470,381,0,851,336,266,0,602,584,0,312,25,208,7,4,1,1,1,0,3,1,1,5,2,1,6,7,3,2,3,3,6,602
32,"P.P. SEHAMALPUR R.NO. 2",523,439,0,962,319,254,0,573,456,0,60,14,419,31,14,0,0,2,1,4,4,2,4,5,0,5,1,2,1,2,1,1,573
33,"B.P.P. RASOOLPUR R.NO. 1",827,675,0,1502,442,363,0,805,651,0,161,25,420,144,8,0,1,2,1,3,3,2,5,3,5,7,4,0,2,4,2,3,805
34,"B.P.P. RASOOLPUR R.NO. 2",648,535,0,1183,390,310,0,700,606,0,172,13,189,274,11,0,2,0,2,9,0,2,5,2,3,4,4,2,1,0,0,5,700
35,"J.H. SCHOOL RASOOLPUR",393,336,0,729,243,222,0,465,322,0,98,11,237,65,10,0,6,2,1,7,3,0,4,1,0,4,7,2,2,4,1,0,465
36,"P.P. SALAWAHANPUR",702,574,0,1276,388,384,0,772,650,0,323,7,232,157,9,0,0,0,0,1,1,4,5,3,3,8,6,3,3,3,2,2,772
37,"P.P. LOKAPUR",592,468,0,1060,343,289,0,632,514,0,275,13,292,24,5,0,1,0,0,3,1,0,1,3,1,7,2,1,0,0,1,2,632
38,"B.P.P. INDARPUR",551,483,0,1034,447,347,0,794,701,0,50,13,120,571,7,4,4,0,1,2,2,0,2,2,3,2,5,0,0,1,2,3,794
39,"P.P. KRISHNAPUR KALA",293,246,0,539,184,177,0,361,310,0,63,10,168,77,27,0,1,2,2,2,0,1,4,0,0,3,0,0,0,1,0,0,361
40,"P.P HATHIWAR NANDAPUR R.NO. 1",587,475,0,1062,314,293,0,607,588,0,209,24,325,14,12,0,1,0,2,4,2,0,1,4,0,2,3,1,1,0,1,1,607
41,"P.P. HATHIWAR NANDAPUR R.NO. 2",818,666,0,1484,513,401,0,914,895,0,350,14,386,123,11,1,1,2,0,1,0,0,4,1,1,11,3,1,1,0,1,2,914
42,"P.P. KRISHNAPUR KHURD",845,663,0,1508,530,384,0,914,813,0,173,18,391,252,17,0,2,3,2,5,1,4,8,7,4,14,3,0,1,5,3,1,914
43,"J.H. SCHOOL TIKAREE KHURD",660,519,0,1179,365,310,0,675,596,0,138,22,376,37,37,0,8,1,4,13,1,1,2,2,2,4,5,1,6,10,0,5,675
44,"P.P. TIKAREE",480,428,0,908,251,249,0,500,382,0,130,16,245,31,33,2,5,1,2,5,2,5,4,2,1,5,4,2,2,1,1,1,500
45,"P.P. RAMNAGAR",538,467,0,1005,287,277,0,564,401,0,51,46,361,59,5,0,1,0,1,4,1,1,1,0,3,8,4,4,2,7,3,2,564
46,"P.P. SHAIRA GOPALPUR",169,141,0,310,70,61,0,131,128,0,6,7,101,8,1,0,0,1,0,1,1,0,1,0,0,2,1,0,0,1,0,0,131
