"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ARUN SHANKAR SHUKLA","2 - BRAJESH PATHAK","3 - SUKHDEV","4 - SWAMI SACHCHIDANAND HARI SAKSHI","5 - SUMIT TEWARI","6 - ANIL KUMAR MISHRA","7 - SHALU DHARMENDRA","8 - ANIL KUMAR CHAUDHARY","9 - ANNU TANDON","10 - ARVIND KUMAR","11 - ROOP NARAYAN SINGH","12 - GIRJA SHANKAR RAJU","13 - SHIVNATH","14 - RAKESH KUMAR","15 - ANIL KUMAR","16 - RAMESHWAR","17 - MOHAMMAD AMIR KHAN","18 - RAJNIKANT","19 - SHIVKANT","20 - AKHILESH KUMAR","21 - CHETRAM PASI","22 - None of the Above","Total Votes Secured"
1,"PRIMARI SCHOOL DALKHEDA M. NAVABAD GRUN",466,360,0,826,262,206,0,468,468,0,18,57,1,341,3,1,2,0,14,4,2,3,3,1,2,5,1,0,0,4,3,3,468
2,"PRIMARI SCHOOL GAORIYA KALA",795,591,0,1386,430,305,0,735,167,0,100,271,1,262,4,1,0,4,34,1,0,2,4,1,1,29,3,2,6,2,2,5,735
3,"SAMU.VI.BH.GAORIYA KALA",489,367,0,856,268,164,0,432,432,0,82,74,2,201,2,0,4,2,33,0,1,2,1,0,4,8,3,1,8,3,1,0,432
4,"J.H.SCHOOL K.NO.1 GAORIYA KALA",773,579,0,1352,432,279,0,711,705,0,238,176,6,162,1,0,1,12,77,1,2,6,4,0,0,11,2,4,3,3,1,1,711
5,"J.H.SCHOOL K.NO.2 GAORIYA KALA",325,272,0,597,176,124,0,300,198,0,28,105,0,99,2,0,0,0,32,0,1,5,3,0,4,17,2,1,0,0,0,1,300
6,"PRIMARI SCHOOL DHOLAOVA",660,533,0,1193,388,301,0,689,688,0,168,65,4,243,6,2,6,14,138,4,2,8,1,2,3,5,3,2,1,6,1,5,689
7,"PRIMARI SCHOOL PIDANA",552,460,0,1012,357,307,0,664,664,0,94,131,8,295,1,0,0,9,78,1,4,6,5,0,4,14,1,1,2,2,2,6,664
8,"PRIMARI SCHOOL SIKANDARPUR",262,191,0,453,151,119,0,270,3,0,50,88,1,81,2,0,0,3,33,1,1,0,0,0,1,0,2,0,6,1,0,0,270
9,"PRIMARI SCHOOL SHERPUR KALA PURVA",759,634,0,1393,434,372,0,806,701,0,417,146,4,103,7,1,1,7,74,4,2,2,3,3,4,11,3,4,1,2,3,4,806
10,"PRIMARI SCHOOL SHERPUR KALA PASCHIM",339,281,0,620,234,165,0,399,300,0,95,18,4,227,2,1,0,7,9,0,1,4,5,2,2,2,4,3,5,4,0,4,399
11,"PRIMARI SCHOOL SADABAD",598,509,1,1108,359,246,0,605,20,0,101,129,0,303,0,2,0,3,36,2,8,3,1,0,1,4,0,1,2,5,4,0,605
12,"PRIMARI SCHOOL KANHAU",527,410,0,937,307,238,0,545,520,0,55,195,1,206,1,0,1,3,44,5,0,2,2,2,1,14,3,0,1,5,2,2,545
13,"PRIMARI SCHOOL PESHARI",687,592,0,1279,338,350,0,688,500,0,232,69,7,139,3,0,2,6,183,1,2,5,5,2,7,1,7,3,2,3,4,5,688
14,"PRIMARI SCHOOL NIGOHI UTTAR",530,344,0,874,287,118,0,405,389,0,26,140,4,161,0,2,0,5,17,0,0,1,3,1,0,23,2,0,4,4,3,9,405
15,"PRIMARI SCHOOL NIGOHI DAXIN",440,364,0,804,193,143,0,336,328,0,15,112,2,164,2,0,3,2,18,2,0,4,0,1,2,6,0,0,1,2,0,0,336
16,"J.H.SCHOOL NIGOHI UTTAR",456,383,0,839,265,220,0,485,485,0,48,55,3,260,1,2,0,5,46,3,1,3,7,2,0,10,4,4,17,4,3,7,485
17,"J.H.SCHOOL NIGOHI DAXIN",541,415,0,956,285,198,0,483,483,0,66,47,4,214,0,1,0,2,136,1,0,1,1,1,0,0,0,3,2,3,0,1,483
18,"PRIMARI SCHOOL TANDAMITA",477,380,0,857,253,197,0,450,450,0,24,114,0,71,1,1,1,2,200,1,0,1,1,1,0,8,11,0,10,1,0,2,450
19,"PRIMARI SCHOOL PATAOLI DAXIN",666,523,0,1189,422,282,0,704,689,0,70,43,9,407,2,2,4,4,141,2,1,2,0,1,2,3,0,1,2,5,2,1,704
20,"PRIMARI SCHOOL NASIRPUR",273,246,0,519,165,157,0,322,322,0,8,56,0,195,2,1,0,1,34,0,0,5,1,1,0,7,1,1,3,5,0,1,322
21,"PRIMARI SCHOOL TIKANA",805,641,0,1446,422,294,0,716,416,0,241,176,2,68,3,2,1,11,187,1,2,1,3,0,1,6,3,0,1,2,2,3,716
22,"PRIMARI SCHOOL RAJEPUR GRANT",626,510,0,1136,386,262,0,648,246,0,284,179,0,103,4,0,0,7,17,0,1,0,6,0,5,19,5,7,3,2,0,6,648
23,"PRIMARI SCHOOL BARITHANA",771,626,0,1397,374,220,0,594,392,0,25,87,3,279,3,2,3,10,128,5,1,0,3,2,3,10,5,4,5,2,2,12,594
24,"J.H.SCHOOL BARITHANA UTTAR",721,623,0,1344,350,289,0,639,638,0,15,52,3,282,1,0,1,5,245,0,0,2,0,2,1,8,6,4,6,2,1,3,639
25,"J.H.SCHOOL BARITHANA DAXIN",878,657,0,1535,459,265,0,724,724,0,172,127,1,285,3,3,1,9,84,9,2,11,0,1,0,6,0,0,1,4,3,2,724
