"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ABHISHEK MISRA","2 - NAKUL DUBEY","3 - RAJ NATH SINGH","4 - PROF. RITA BAHUGUNA JOSHI","5 - SYED JAVED AHMED JAFRI","6 - TARA PATKAR","7 - NAND KUMAR LODHI RAJPOOT","8 - RABI DUBEY","9 - RAJ KUMAR SINGH","10 - RADHA KRISHNAN","11 - RAMPHAL RAWAT","12 - VIJAY BAHADUR SINGH","13 - SHISHU PAL YADAV","14 - MOHD. SARWAR MALIK","15 - SUNIL SINGH","16 - SUMAN VERMA","17 - SANJEEV MEHROTRA ALIAS PIKKU BHAI","18 - HARI RAM ALIAS HARIBHAI PATEL","19 - SYED ALI HUSAIN","20 - ASOK PANDE","21 - ADARSH SHASTRI","22 - GHANSHYAM SINGH","23 - PADAM CHANDRA GUPTA","24 - MANOJ SINGH","25 - YOGESH CHANDRA BHATT","26 - RAJEEV RANJAN TIWARI ALIAS RAJ BEHARI","27 - VINAY PRAKASH MISHRA","28 - SHAILENDRA SINGH YADAV","29 - SUBHASH CHANDRA LEHRI","30 - None of the Above","Total Votes Secured"
11,"PURWA MADHAYAMIK SCHOOL MADHOPUR ROOM NO-2",844,738,0,1582,405,343,0,748,306,0,49,140,428,103,4,1,0,0,0,1,0,2,0,2,0,1,0,0,1,0,1,1,4,2,0,0,0,3,2,3,748
12,"PURWA MADHAYAMIK SCHOOL MADHOPUR ROOM NO-3",794,664,0,1458,374,259,0,633,582,0,40,125,264,184,3,2,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,3,2,2,633
13,"PURWA MADHAYAMIK SCHOOL MADHOPUR ROOM NO-4",832,575,0,1407,389,227,0,616,567,0,46,78,232,232,13,0,0,1,0,0,0,1,0,2,0,1,0,1,1,0,0,1,2,2,0,1,0,0,0,2,616
14,"PRIMARY SCHOOL MADHOPUR ROOM N0-1",844,658,0,1502,415,284,0,699,643,0,94,85,413,59,5,2,0,0,0,0,1,1,2,1,2,6,4,3,0,2,1,1,4,3,2,0,1,3,0,4,699
15,"M.B.PUBLIC SCHOOL FAREEDIPUR ROOM NO-1",767,575,0,1342,388,308,0,696,640,0,29,181,292,150,6,1,0,1,1,0,0,0,2,8,3,2,2,0,1,1,1,1,2,2,0,0,2,4,1,3,696
16,"M.B.PUBLIC SCHOOL FAREEDIPUR ROOM NO-2",716,622,0,1338,373,285,0,658,605,0,33,193,241,154,2,0,0,0,0,3,1,3,4,3,5,5,2,1,0,1,1,0,0,3,0,0,2,0,0,1,658
17,"PURWA MADHAYAMIK SCHOOL BHUHAR ROOM NO-1",851,657,0,1508,421,247,0,668,615,0,99,93,375,73,3,3,0,2,0,0,2,0,3,2,1,3,3,0,2,0,0,0,1,1,1,0,0,1,0,0,668
18,"PRIMARY SCHOOL BHAMRAULI SHAHPUR ROOM NO-1",735,611,0,1346,510,331,0,841,774,0,27,183,507,66,4,4,4,0,1,1,0,4,2,3,4,2,4,1,1,3,1,1,4,4,2,2,0,1,2,3,841
19,"R.D.MEMORIAL PUBLIC INTER COLLEGE MOHAN ROAD ALAMNAGAR LUCKNOW ROOM NO-1",665,526,0,1191,345,204,0,549,505,0,110,120,193,92,1,0,1,1,2,0,3,2,0,2,2,4,2,2,0,2,1,0,3,0,0,0,1,0,0,5,549
20,"R.D.MEMORIAL PUBLIC INTER COLLEGE MOHAN ROAD ALAMNAGAR LUCKNOW ROOM NO-2",697,541,0,1238,320,203,0,523,481,0,56,73,313,64,4,0,0,0,0,0,2,0,1,0,0,3,2,0,1,0,1,0,0,0,0,0,1,0,2,0,523
