"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANJU BALA","2 - ASHOK KUMAR RAWAT","3 - OM PRAKASH","4 - JAI PRAKASH","5 - KANEDI","6 - NAGPAL","7 - MANSHARAM GAUTAM","8 - RAJESH KUMAR S/O PARMESHWAR DEEN","9 - HARINAM","10 - RAJESH KUMAR S/O BABOORAM","11 - RAMPAL","12 - SHABNUM","13 - SWADESH KUMAR","14 - HANS MUKHI KATHERIA","15 - None of the Above","Total Votes Secured"
1,"P.S.R.N 1 JALEPARA",601,508,0,1109,389,365,0,754,754,0,224,357,10,145,4,1,0,0,0,1,1,0,1,7,3,754
2,"P.P.R.N 2 JALEPARA",380,293,0,673,247,175,0,422,422,0,110,51,2,253,0,1,1,0,0,0,0,0,1,1,2,422
3,"P.S R.N.1 HASKHERA",379,350,0,729,241,185,0,426,426,0,148,195,7,65,1,0,0,0,0,0,1,1,0,4,4,426
4,"P.S.R.N.1 DEVPARA",374,304,0,678,285,220,0,505,505,0,53,237,8,201,1,0,0,1,1,0,1,1,0,1,0,505
5,"P.S R.N.1MADER",583,535,0,1118,317,250,0,567,559,0,244,259,6,43,1,0,0,0,0,2,1,0,1,6,4,567
6,"P.S R.N1 ATARI",481,423,0,904,354,281,0,635,635,0,158,400,12,41,1,2,1,1,2,0,1,1,3,9,3,635
7,"P.S R,N.1 SAHASAPUR",791,706,0,1497,483,364,0,847,847,0,331,266,30,190,1,2,0,3,0,0,2,3,8,4,7,847
8,"P.S R.N1 DHAKIYA",526,445,0,971,303,211,0,514,513,0,304,83,20,69,2,2,1,0,0,1,1,0,1,6,24,514
9,"P.S.R.N 2 DHAKIYA",536,418,0,954,315,175,0,490,488,0,178,243,14,45,0,0,0,3,0,0,1,0,1,4,1,490
10,"P.S R.N1NIGHUWAMU",521,421,0,942,330,220,0,550,549,0,226,191,10,113,1,1,0,0,0,1,1,0,0,2,4,550
11,"P.S R.N1 NEVADIYA",235,199,0,434,164,124,0,288,285,0,170,25,3,83,0,0,0,1,0,0,0,0,2,1,3,288
12,"P.S R.N1 BHADEBHAR",668,498,0,1166,425,258,0,683,683,0,442,103,11,118,1,0,0,1,0,0,1,0,1,3,2,683
13,"P.S R.N1 HISAMPUR JAKRIYA",277,224,0,501,184,131,0,315,315,0,200,65,3,39,1,0,0,0,0,0,0,0,0,5,2,315
14,"P.S R.N1 DADEVRA",612,514,0,1126,426,296,0,722,722,0,223,369,13,93,0,1,0,0,2,0,4,3,3,5,6,722
15,"P.S R.N1 DALELNAGAR",362,296,0,658,256,180,0,436,435,0,214,116,1,101,0,0,1,0,0,0,0,0,0,1,2,436
16,"P.S R.N1 KINHAUTI",535,472,0,1007,338,265,0,603,603,0,212,219,34,116,1,1,1,1,1,0,0,2,2,9,4,603
17,"P.S.R.N 2 KINHAUTI",531,462,0,993,353,286,0,639,636,0,281,299,8,28,1,0,0,0,0,2,2,0,2,8,8,639
18,"P.S R.N1 KATIYA",604,504,0,1108,441,308,0,749,749,0,267,191,25,242,1,2,2,2,1,1,2,1,2,5,5,749
19,"P.S R.N1 SURJANPUR",379,329,1,709,278,222,0,500,500,0,71,153,14,256,2,1,0,0,0,0,1,0,0,2,0,500
20,"P.S R.N1 GOPLAPUR",324,258,0,582,228,191,0,419,419,0,86,222,2,100,1,0,0,1,0,0,1,0,1,4,1,419
21,"P.S R.N1 PARSADA",513,400,0,913,322,218,0,540,540,0,198,243,20,71,0,2,1,0,2,0,0,0,0,1,2,540
22,"P.S R.N 2 PARSADA",528,422,0,950,340,269,0,609,609,0,326,112,4,157,1,0,0,1,0,0,1,0,1,3,3,609
23,"P.S R.N1PAUDAVER",821,653,0,1474,539,378,0,917,917,0,248,443,15,190,3,2,0,0,3,0,3,0,1,4,5,917
24,"P.S R.N1 CHITREHATA",579,441,0,1020,377,268,0,645,645,0,133,240,9,241,6,1,0,1,0,1,3,0,2,6,2,645
25,"P.S R.N 2 CHITREHATA",451,344,0,795,274,191,0,465,465,0,136,214,2,105,0,0,0,0,1,1,2,0,0,3,1,465
26,"P.S R.N1 KANDUVAPARA",715,651,0,1366,510,436,0,946,946,0,350,326,17,211,7,3,2,1,3,2,2,4,2,9,7,946
27,"P.S R.N1 JAMALPUR NORTH",256,223,0,479,184,150,0,334,334,0,52,183,3,85,1,0,0,0,1,0,0,0,0,5,4,334
28,"P.S R.N1 BAREPARA",317,263,0,580,220,175,0,395,395,0,33,217,7,130,1,0,0,0,1,0,0,1,0,5,0,395
29,"P.S R.N1 DHARAU H/O SAKRARA",426,336,0,762,281,207,0,488,488,0,188,221,14,51,0,2,2,1,0,2,2,0,1,2,2,488
30,"P.S R.N 2 SAKRARA",610,460,0,1070,419,286,0,705,705,0,180,255,34,219,0,0,1,1,1,1,1,0,1,8,3,705
31,"J.H.S R.N 1GOVRIYA",796,704,1,1501,536,404,0,940,940,0,482,214,43,154,3,1,0,2,2,2,5,1,2,8,21,940
32,"J.H.S R.N 2GOVRIYA",587,450,0,1037,448,318,0,766,766,0,228,410,49,59,3,0,1,1,0,1,0,1,1,6,6,766
33,"P.S R.N1 AKKILPUR",278,227,0,505,170,130,0,300,300,0,38,186,15,56,0,0,0,1,1,0,2,0,0,0,1,300
