"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AMAR SINGH","2 - BABULAL","3 - RANI PAKSHALIKA SINGH","4 - SEEMA UPADHYAY","5 - ASHOK KUMAR","6 - PEETAM SINGH","7 - PITAM SINGH","8 - PANKAJ KUMAR SHARMA","9 - MANIK","10 - MUNNA LAL","11 - MEGH SINGH","12 - ROHAN SINGH","13 - LAXMI","14 - VIJAY SINGH KUSHWAHA","15 - ANIL KUMAR","16 - AMBEDKARI HASNURAM AMBEDKARI","17 - KHEMRAJ SINGH","18 - DIWAN SINGH","19 - NATHOLI","20 - BRAJENDR SINGH","21 - MAHAVIR SINGH SOLANKI","22 - RAKESH SINGH DHANKAR","23 - RAM KUMAR DIXIT","24 - RAM BRAJ YADAV","25 - SHOBHNA BAUDDHA","26 - SATISH KUMAR","27 - SANTOSH KUMAR","28 - SEEMA DEVI","29 - None of the Above","Total Votes Secured"
25,"PRA.VID.BAIKHERA R.NO.-1",280,223,0,503,209,142,0,351,94,0,4,54,232,49,0,0,0,0,0,0,0,0,0,2,0,0,0,2,5,0,0,0,0,0,1,0,1,0,1,351
26,"PRA.VID.BAIKHERA R.NO.-2",292,264,0,556,236,188,0,424,305,0,0,27,31,330,5,2,0,1,0,0,0,0,1,2,3,4,1,0,0,10,0,0,2,1,0,0,3,0,1,424
27,"PRA.VID.KHERA BHAGOR R.NO.-1",579,453,0,1032,405,305,0,710,710,0,91,262,106,219,4,1,0,0,1,2,1,1,7,3,5,1,0,1,2,1,0,0,1,0,0,0,0,0,1,710
28,"PRA.VID.KHERA BHAGOR R.NO.-2",435,352,0,787,311,230,0,541,541,0,41,127,75,256,0,0,0,1,1,0,0,1,8,5,3,4,1,4,3,2,0,0,1,0,1,2,1,2,2,541
29,"PRA.VID. GAMRI",694,550,1,1245,460,333,0,793,791,0,101,313,34,298,3,1,0,0,0,1,1,3,4,6,9,3,0,3,1,2,1,0,2,1,0,0,1,3,2,793
30,"PRA.VID.KHALUAA R.NO.-1",730,546,0,1276,477,321,0,798,450,0,118,583,19,31,0,0,1,0,0,0,0,1,16,0,5,3,0,6,1,0,2,1,0,1,4,2,2,1,1,798
31,"PRA.VID.KHALUAA R.NO.2",827,643,0,1470,451,360,0,811,568,0,150,490,12,115,0,2,0,1,0,0,2,1,12,4,11,0,1,2,0,1,0,0,1,1,0,1,1,1,2,811
32,"PUR.MAD.VID.GADSANI R.NO-1",551,449,0,1000,362,244,0,606,43,0,90,398,19,67,0,1,0,1,0,0,0,0,2,1,2,2,0,1,0,0,0,1,0,0,2,17,1,1,0,606
33,"PUR.MAD.VID.GADSANI R.NO-2",490,351,0,841,340,224,0,564,562,0,7,182,10,346,3,0,0,0,1,0,1,1,2,2,1,2,0,1,0,1,0,0,1,1,0,0,1,1,0,564
34,"PRA,VID. SUTADI",443,354,0,797,325,260,0,585,87,0,99,314,9,150,1,1,0,0,0,1,0,0,0,0,3,0,1,1,0,1,0,0,2,0,0,1,0,0,1,585
35,"PRA.VID.NAGLA HATTI",353,289,0,642,276,201,0,477,477,0,192,134,3,110,0,0,0,0,0,0,1,2,2,2,15,4,0,0,0,4,0,0,1,1,3,0,2,0,1,477
36,"PRA.VID.NAGLA BHURIYA",490,371,0,861,359,250,0,609,600,0,160,339,8,73,0,0,1,0,1,0,0,0,13,0,3,0,2,2,0,1,0,0,2,2,1,0,0,0,1,609
37,"PUR.MAD.VID.BARARA R.NO-1",568,385,0,953,343,196,0,539,526,0,3,375,81,36,1,0,0,6,0,0,0,0,7,7,3,3,0,1,0,2,0,1,0,1,1,6,2,0,3,539
38,"PUR.MAD.VID.BARARA R.NO-2",263,185,0,448,178,112,0,290,46,0,9,144,2,118,1,1,0,0,1,0,0,0,4,0,1,0,1,1,2,0,0,0,1,1,0,1,1,1,0,290
39,"PUR.MAD.VID.BARARA R.NO-3",762,640,0,1402,526,375,0,901,901,0,10,562,11,223,2,1,1,1,0,0,0,0,4,4,3,3,2,2,1,4,1,1,2,1,2,53,6,1,0,901
40,"PRA.VID.BARARA R.NO.-1",543,469,0,1012,365,246,0,611,440,0,3,437,22,112,0,0,0,2,0,0,0,1,1,6,3,0,0,6,1,0,0,0,2,0,0,11,1,0,3,611
41,"PRA.VID.BARARA R.NO.-2",641,488,0,1129,441,299,0,740,740,0,3,338,68,258,2,0,0,3,1,1,2,2,5,3,6,3,1,3,1,3,1,1,1,1,2,25,2,2,2,740
42,PRA.VID.MIRJAPUR,544,438,0,982,389,302,0,691,691,0,5,594,8,39,3,1,1,2,0,2,0,2,4,6,3,3,1,7,2,0,0,0,2,0,1,0,2,0,3,691
43,"PRA.VID.GADI GULJARI",528,386,0,914,327,237,0,564,542,0,35,308,1,178,3,1,2,2,0,0,0,2,1,5,2,2,6,8,0,0,0,0,2,1,0,0,2,1,2,564
44,"PUR.MAD.VID.MIDHAKUR R.NO-1 EAST PART",448,345,0,793,325,196,0,521,521,0,97,293,8,90,1,0,0,2,0,0,0,0,1,0,10,4,1,2,0,2,0,0,2,2,1,0,2,2,1,521
