"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - GHANSHAYAM ANURAGI","2 - BRIJLAL KHABRI","3 - BHANU PRATAP SINGH VERMA","4 - VIJAY CHAUDHARI","5 - GANGASINGH","6 - JAYRAM","7 - DALCHANDRA ANURAGI","8 - MANOJ KUMAR","9 - RAJKUMAR","10 - RAMNARAYAN","11 - RAM SINGH","12 - None of the Above","Total Votes Secured"
1,CHURKHIWAL,590,506,0,1096,395,311,0,706,706,0,70,41,538,50,0,0,0,1,1,1,4,0,706
2,"CHURKHIWAL JALAUN",487,410,0,897,280,231,0,511,511,0,14,142,313,29,0,0,3,2,1,1,2,4,511
3,"CHAURKHIWAL JALAUN",526,432,0,958,322,227,0,549,549,0,62,73,378,27,2,0,0,2,0,1,4,0,549
4,"BHVANIRAM JALAUN",731,618,0,1349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"BHVANIRAM JALAUN",746,634,0,1380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,RAVTAN,449,376,0,825,256,220,0,476,476,0,40,56,343,31,0,0,2,1,0,0,0,3,476
7,RAVTAN,366,339,0,705,256,180,0,436,436,0,146,72,205,8,1,0,0,0,0,0,1,3,436
8,JOSIYANA,690,596,0,1286,410,308,0,718,718,0,28,47,549,86,2,0,2,2,0,2,0,0,718
9,FARDANVEES,366,312,0,678,238,188,0,426,426,0,15,135,232,30,0,0,1,0,2,3,5,3,426
10,FARDANVEES,349,308,1,658,232,203,0,435,435,0,15,64,297,40,1,1,2,0,2,0,10,3,435
11,HARIPURA,544,474,0,1018,380,253,0,633,633,0,10,319,260,32,3,1,0,3,0,0,2,3,633
12,"MU,KATARA",461,410,0,871,316,241,0,557,557,0,65,16,190,257,3,0,4,4,2,1,6,9,557
13,DHARMSHALA,231,203,0,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,HIRDEHSHAH,689,565,0,1254,472,374,0,846,846,0,123,86,359,230,1,1,3,2,3,2,34,2,846
15,DABGRAN,490,366,0,856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,CHAAUDHARYANA,687,570,0,1257,412,330,0,742,742,0,26,35,621,42,0,1,0,4,1,2,3,7,742
17,MURLIMANOHAR,424,371,0,795,301,221,0,522,522,0,194,58,201,61,1,0,0,0,1,1,2,3,522
18,MURLIMANOHAR,357,286,0,643,236,177,0,413,413,0,114,18,234,45,0,0,0,0,0,1,1,0,413
19,GANESHJI,436,358,0,794,318,244,0,562,562,0,19,6,490,41,1,0,1,1,1,1,0,1,562
20,CHIMANDUBY,594,496,0,1090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,CHIMANDUBY,617,510,0,1127,385,301,0,686,686,0,233,235,126,85,0,0,3,0,1,1,0,2,686
22,"PURANI NAJHAI",330,289,0,619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"PURANI HAAT",304,272,0,576,219,176,0,395,395,0,31,30,285,39,0,0,0,0,1,1,1,7,395
