"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KUNWAR RATANJIT PRATAP NARAIN SINGH","2 - RAJESH PANDEY URF GUDDU","3 - RADHE SHYAM SINGH","4 - DR. SANGAM MISHRA","5 - AKHAND","6 - AMEERUDDIN","7 - ARVIND","8 - KASHEEM ALI","9 - GOBARDHAN PRASAD","10 - JAHID","11 - BACHCHOOLAAL","12 - MARKANDE","13 - RAMDHANEE","14 - RAMPRATAP","15 - None of the Above","Total Votes Secured"
1,"PRIMARY SCHOOL SHAHPUR",714,605,0,1319,352,402,0,754,7,0,77,420,85,160,0,3,3,0,0,2,0,3,1,0,0,754
2,"PRIMARY SCHOOL MAHUAWA BUJURUG",547,464,0,1011,324,287,0,611,386,0,59,248,136,143,3,0,1,0,0,1,2,2,7,4,5,611
3,"PRIMARY SCHOOL GHURAHUPUR",494,415,0,909,250,260,0,510,6,0,23,270,83,119,2,4,4,0,0,0,0,1,0,0,4,510
4,"PRIMARY SCHOOL MANSOORGANJ ROOM NO.-1",796,611,0,1407,419,370,0,789,9,0,199,304,38,224,3,5,3,0,0,1,1,4,3,1,3,789
5,"PRIMARY SCHOOL MANSOORGANJ ROOM NO.-2",726,511,0,1237,360,283,0,643,43,0,196,251,141,46,0,0,0,0,1,0,0,0,1,4,3,643
6,"PRIMARY SCHOOL BHISWA",392,314,0,706,236,242,0,478,310,0,21,303,50,77,2,1,3,1,1,0,3,3,7,1,5,478
7,"PRIMARY SCHOOL LAXMIPUR ROOM NO.-1",667,538,0,1205,332,383,0,715,14,0,32,557,35,67,1,1,1,2,0,0,0,2,3,6,8,715
8,"PRIMARY SCHOOL LAXMIPUR ROOM NO.2",680,559,0,1239,365,298,0,663,3,0,135,392,62,55,1,1,3,0,0,4,1,1,2,3,3,663
9,"PRIMARY SCHOOL HARPUR MACHAGAR ROOM NO.-1",532,424,0,956,286,280,0,566,60,0,151,257,24,93,3,4,9,1,1,0,7,2,2,2,10,566
10,"PRIMARY SCHOOL HARPUR MACHAGAR ROOM NO.-2",455,376,0,831,217,148,0,365,35,0,163,149,8,32,0,2,3,1,1,0,0,0,3,0,3,365
11,"PRIMARY SCHOOL HARPUR MACHAGAR ROOM NO.-3",741,599,0,1340,373,367,0,740,10,0,377,246,52,25,1,1,3,2,0,0,2,12,8,4,7,740
12,"PRIMARY SCHOOL BHISAWA URF VISUNPUR",276,218,1,495,137,156,0,293,23,0,47,119,38,74,0,0,2,1,0,0,2,0,3,2,5,293
13,"PRIMARY SCHOOL BASANTPUR",810,684,0,1494,462,434,0,896,2,0,363,405,26,67,4,5,2,0,2,3,2,3,4,4,6,896
14,"PRIMARY SCHOOL BADHARA NAGA",634,518,0,1152,368,344,0,712,14,0,150,257,83,181,0,2,5,1,1,0,3,3,4,3,19,712
15,"PRIMARY SCHOOL MUJDIHA",652,529,0,1181,377,371,0,748,300,0,244,376,26,48,2,6,0,1,1,2,4,0,8,10,20,748
16,"PRIMARY SCHOOL RAGHUNATHPUR",483,377,0,860,260,249,0,509,15,0,183,269,11,28,0,1,2,0,0,1,1,1,3,1,8,509
17,"PRIMARY SCHOOL LAKHIMA",955,701,1,1657,528,433,0,961,10,0,116,497,151,147,4,4,12,2,2,7,4,1,4,4,6,961
18,"PRIMARY SCHOOL TAVAKKALPUR",245,228,0,473,141,160,0,301,9,0,48,163,6,71,0,2,0,0,1,2,0,1,0,4,3,301
19,"PRIMARY SCHOOL PAKDI",666,572,0,1238,412,344,0,756,56,0,182,441,50,69,2,1,4,0,2,1,0,0,2,2,0,756
20,"PRIMARY SCHOOL SOHRAUNA",545,497,0,1042,351,324,0,675,107,0,129,370,54,96,1,3,3,3,2,2,1,1,5,4,1,675
21,"PRIMARY SCHOOL BHATGAWA",326,271,0,597,169,190,0,359,60,0,24,274,13,26,0,2,0,1,0,0,0,1,5,8,5,359
22,"PRIMARY SCHOOL PARTAWAL",757,608,0,1365,450,354,0,804,4,0,138,263,86,252,3,5,7,2,2,2,6,2,10,10,16,804
