"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - GHANSHAYAM ANURAGI","2 - BRIJLAL KHABRI","3 - BHANU PRATAP SINGH VERMA","4 - VIJAY CHAUDHARI","5 - GANGASINGH","6 - JAYRAM","7 - DALCHANDRA ANURAGI","8 - MANOJ KUMAR","9 - RAJKUMAR","10 - RAMNARAYAN","11 - RAM SINGH","12 - None of the Above","Total Votes Secured"
1,NIJAMPUR,307,234,0,541,195,150,0,345,345,0,39,102,177,18,0,0,1,0,0,3,3,2,345
2,KUTHEELA,227,197,0,424,140,117,0,257,257,0,49,10,184,6,1,0,1,3,0,1,2,0,257
3,MIHAUNA,483,375,0,858,355,207,0,562,562,0,365,100,70,22,1,0,1,1,1,0,0,1,562
4,DAULATPUR,515,407,0,922,304,196,0,500,500,0,182,86,179,40,0,0,1,2,2,1,2,5,500
5,"ROMAI MUSTKIL",662,504,0,1166,376,215,0,591,591,0,17,135,390,32,1,0,2,4,3,2,3,2,591
6,HASANPUR,262,210,0,472,192,152,0,344,344,0,8,156,167,3,0,0,0,2,1,3,1,3,344
7,CHAUTH,401,365,0,766,233,170,0,403,403,0,59,32,272,23,0,0,2,4,2,3,0,6,403
8,"KHEDA MUSTKIL",394,310,0,704,262,202,0,464,464,0,19,61,357,11,0,2,1,5,1,1,2,4,464
9,"BAGHAWALI MUSTKIL",388,332,0,720,280,237,0,517,517,0,25,14,461,10,1,0,0,1,0,3,0,2,517
10,"SHANKARPUR MUSTKIL",481,346,0,827,257,201,0,458,458,0,15,169,243,15,0,2,2,1,0,0,3,8,458
11,"HARSHANKARPUR MUSTKIL",446,357,0,803,238,190,0,428,428,0,31,42,320,24,1,0,1,1,1,2,0,5,428
12,"HARSHANKARPUR MUSTKIL",405,321,0,726,200,175,0,375,375,0,11,57,283,13,0,0,0,3,1,2,2,3,375
13,"UMARI MUSTKIL",297,248,0,545,194,176,0,370,370,0,5,312,14,32,1,0,0,0,0,0,2,4,370
14,NAINAPUR,641,525,0,1166,402,225,0,627,627,0,86,194,270,52,1,0,0,4,0,3,6,11,627
15,"ITHA KALPI",304,260,0,564,148,145,0,293,293,0,31,29,176,38,1,1,5,1,0,3,1,7,293
16,"SALEMPUR KALPI",400,310,0,710,286,196,0,482,482,0,32,97,304,40,4,0,0,0,0,2,0,3,482
17,AAL,361,314,0,675,221,208,0,429,429,0,10,158,171,72,1,0,0,2,2,3,2,8,429
18,BIJWAHA,313,251,0,564,206,184,0,390,390,0,94,186,86,17,0,1,0,1,0,2,2,1,390
19,"JUGRAJPUR MUSTKIL",384,288,0,672,274,171,0,445,445,0,73,4,342,16,0,0,0,3,0,2,2,3,445
20,"BHADEKH DIWARA",394,293,0,687,170,125,0,295,295,0,57,22,174,20,1,1,4,1,0,3,4,8,295
21,"BHADEKH DIWARA",345,233,0,578,177,75,0,252,252,0,55,5,169,19,1,0,1,0,1,0,0,1,252
22,"BHADEKH DIWARA",684,542,0,1226,402,295,0,697,697,0,31,223,389,41,1,0,1,3,0,0,1,7,697
23,"KARMUKHA DIWARA",214,174,0,388,112,114,0,226,226,0,23,59,136,6,0,0,0,0,0,2,0,0,226
24,"TIKRI MUSTKIL",533,433,0,966,301,215,0,516,516,0,158,56,256,15,1,0,0,4,2,7,6,11,516
25,"TIKRI MUSTKIL",360,233,0,593,182,103,0,285,285,0,43,102,122,9,1,0,1,1,0,0,3,3,285
26,"LOHAI DIWARA",698,480,0,1178,385,194,0,579,579,0,14,75,437,16,1,3,2,2,2,14,4,9,579
27,KARAHIYA,593,458,0,1051,399,226,0,625,625,0,325,82,187,11,1,1,0,1,3,2,2,10,625
28,"LAHAR KANAR",627,517,0,1144,361,209,0,570,570,0,332,95,120,6,1,2,2,2,1,1,2,6,570
29,"MAU KANAR",173,133,0,306,97,85,0,182,182,0,45,120,10,4,1,0,0,1,0,0,1,0,182
30,RANDHEERPUR,465,351,0,816,246,177,0,423,423,0,20,64,312,16,2,0,2,1,0,0,3,3,423
31,NAUREJPUR,601,472,0,1073,303,231,0,534,534,0,24,162,279,56,0,0,0,4,1,2,2,4,534
32,"PEEPRI GAHARWAR",535,428,0,963,304,189,0,493,493,0,114,134,206,24,0,2,4,2,1,1,1,4,493
33,NAWASI,328,275,0,603,220,182,0,402,402,0,2,151,230,17,1,0,0,1,0,0,0,0,402
34,PANDITPUR,419,364,0,783,261,212,0,473,473,0,0,167,190,90,3,1,3,4,1,5,3,6,473
35,HARSINGPUR,367,295,0,662,207,180,0,387,387,0,25,92,165,99,1,1,0,2,0,0,2,0,387
36,BARIYAPUR,252,221,0,473,152,133,0,285,28,0,22,97,143,8,3,0,1,5,2,2,0,2,285
37,"MADNEPUR JALAUN",393,309,0,702,255,200,0,455,455,0,35,111,272,30,2,0,2,2,0,1,0,0,455
38,NAHILI,452,397,0,849,286,230,0,516,516,0,37,247,192,25,0,2,0,1,0,3,3,6,516
39,MALPUR,296,235,0,531,215,187,0,402,402,0,26,30,321,20,0,1,1,0,0,2,1,0,402
40,"DHARAMPUR BARAILA",378,311,0,689,294,225,0,519,519,0,288,157,26,7,25,0,1,0,0,1,6,8,519
41,"ROORA JAITIYA",196,162,0,358,123,107,0,230,230,0,15,74,117,19,0,1,1,0,0,1,1,1,230
