"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AJAY PAL SINGH JATAV","2 - ASHOK KUMAR DOHAREY","3 - PREMDAS KATERIYA","4 - HANS MUKHI KORI","5 - UJIYARE LAL DOHARE","6 - PREM CHANDRA","7 - DR MUKESH SINGH DOHARE","8 - VINEET KUMAR GAUTAM","9 - SIYA RAM PASWAN","10 - HAR BILASH DOHERY","11 - None of the Above","Total Votes Secured"
1,"PRATHMIK VIDHAYALAY SINGHPUR",330,260,0,590,215,159,0,374,374,0,50,238,70,3,0,0,2,4,0,1,6,374
2,"PRATHMIK VIDHAYALAY RASWAL RAWATGAON",475,403,0,878,311,270,0,581,581,0,237,218,112,3,0,0,1,2,1,1,6,581
3,"PRATHMIK VIDHAYALAY  BACHIT PURWA PURVI KAKSH",503,395,1,899,253,207,0,460,460,0,48,298,94,5,0,3,0,5,0,1,6,460
4,"PRATHMIK VIDYALAY ATIRIKT KAKSH",494,398,0,892,273,193,0,466,466,0,48,217,189,4,1,0,1,4,1,0,1,466
5,"PRATHMIK VIDYALAYPASCHIMI KAKSH BAHITPURWA",565,449,0,1014,355,242,0,597,597,0,156,128,300,4,0,0,0,3,0,0,6,597
6,"PRATHMIK VIDYALAY PURVI KAKSH BANIPARA JINAI",485,412,0,897,305,249,0,554,554,0,178,248,118,3,3,0,0,2,0,1,1,554
7,"PRATHMIK VIDYALAY PASCHIMI KAKSH BANIPARA JINAI",462,399,0,861,263,205,0,468,456,0,119,269,68,3,0,2,0,1,0,0,6,468
8,"PRATHMIK VIDYALAY DEVKIPURWA",268,234,0,502,163,148,0,311,269,0,35,171,94,1,4,0,0,3,0,1,2,311
9,"PRATHMIK VIDYALAY JAJMUIYA",731,595,0,1326,377,300,0,677,654,0,80,212,365,7,0,4,1,1,1,0,6,677
10,"PRATHMIK VIDYALAY BANIPARA JOUHAR",402,327,0,729,257,201,0,458,57,0,353,88,9,2,0,1,0,0,0,0,5,458
11,"PRATHMIK VIDYALAY BANIPARA DAGRAHA UTTARI KAKSH",623,480,0,1103,356,243,0,599,579,0,205,323,57,2,0,1,1,2,0,1,7,599
12,"PRATHMIK VIDYALAY DAKSHINI KAKSH BANIPARA DAGRAHA",390,329,1,720,210,184,0,394,394,0,208,112,67,2,2,1,0,0,1,0,1,394
13,"NAVEEN PRATHMIK VIDHYALAY BANIPARA MAHARAJ UTTARI KAKSH",515,384,0,899,231,163,0,394,394,0,43,264,74,5,3,0,0,3,0,0,2,394
14,"NAVEEN PRATHMIK VIDHYALAY BANIPARA MAHARAJ DAKSHINI KAKSH",434,353,0,787,228,155,0,383,372,0,97,194,76,6,0,1,2,5,0,0,2,383
15,"PRATHMIK VIDYALAY ROOM NO-1 BANSHI NIVADA MAJRA BANIPARA MAHARAJ",482,448,0,930,248,182,0,430,430,0,97,293,26,2,0,2,0,7,0,2,1,430
16,"PRATHMIK VIDYALAY ROOM NO-2 BANSHI NIVADA MAJRA BANIPARA MAHARAJ",473,412,0,885,257,173,0,430,430,0,57,201,164,2,1,2,0,1,0,0,2,430
17,"PRATHMIK VIDYALAY ROOM NO-3 BANSHI NIVADA MAJRA BANIPARA MAHARAJ",317,258,0,575,159,111,0,270,264,0,67,37,162,1,0,1,0,0,0,1,1,270
18,"PRATHMIK VIDYALAY MULIYA PURVA MAJRA BACHIT JASU",158,131,0,289,105,78,0,183,183,0,3,9,158,10,1,1,0,0,1,0,0,183
19,"GIRLS PRATHMIK VIDYALAY BACHIT JASU PURVI KAKSH",475,408,0,883,234,210,0,444,444,0,38,210,182,4,1,0,0,0,1,1,7,444
20,"GIRLS PRATHMIK VIDYALAY BACHIT JASU PASCHIMI KAKSH",458,373,0,831,209,190,0,399,399,0,70,174,142,7,1,1,0,0,1,0,3,399
21,"PURV MADHYAMIK VIDYALAY UTTARI KAKSH BACHIT BHARTHU",509,400,0,909,333,258,0,591,591,0,8,98,473,4,1,1,1,1,1,1,2,591
22,"PURV MADHYAMIK VIDYALAY  DAKSHINI KAKSH BACHIT BHARTHU",531,408,0,939,407,179,0,586,544,0,60,125,382,5,0,1,1,2,2,2,6,586
23,"PRATHMIK VIDYALAY PURVI KAKSH JALIHAPUR",628,499,0,1127,339,227,0,566,566,0,36,343,156,13,1,4,2,8,0,1,2,566
24,"PRATHMIK VIDYALAY  PASHIMI KAKSH JALIHAPUR",532,456,0,988,279,142,0,421,418,0,73,220,108,4,0,4,0,4,4,2,2,421
25,"PRATHMIK VIDYALAY JURIYA",775,568,0,1343,457,326,0,783,783,0,105,328,318,7,3,2,0,4,3,3,10,783
26,"PRATHMIK VIDYALAY MUDERA VIKRAM SINGH",334,269,0,603,232,168,0,400,400,0,60,295,17,8,3,3,3,5,0,2,4,400
27,"PRATHMIK VIDYALAY AMOULI THAKURAN PURVI KAKSH",484,413,0,897,286,230,0,516,516,0,97,265,147,3,1,0,0,0,0,1,2,516
28,"PRATHMIK VIDYALAY PASCHIMI KAKSH AMOULI THAKURAN",522,395,0,917,271,161,0,432,432,0,125,215,84,7,1,0,0,0,0,0,0,432
29,"PURV MADHYAMIK VIDYALAY  ROOM NO-1 SITHMARA",496,401,0,897,327,241,0,568,568,0,158,206,188,6,1,1,1,2,1,3,1,568
30,"PURV MADHYAMIK VIDYALAY ROOM NO-2 SITHMARA",491,410,0,901,312,251,0,563,563,0,214,221,107,15,0,0,1,0,1,1,3,563
31,"PURV MADHYAMIK VIDYALAY  ROOM NO-3 SITHMARA",698,543,0,1241,400,260,0,660,660,0,118,238,260,27,3,1,0,5,0,3,5,660
32,"PRATHMIK VIDYALAY MAMORIPUR (MAHARAJPUR)",308,261,0,569,197,156,0,353,300,0,64,235,37,1,2,3,0,7,1,1,2,353
33,"PRATHMIK VIDYALAY PURVI KAKSH GENDAMAU",741,579,0,1320,325,224,0,549,549,0,194,284,43,15,0,1,0,4,1,2,5,549
34,"PRATHMIK VIDYALAY PASCHIMI KAKSH GENDAMAU",374,287,0,661,174,100,0,274,274,0,64,100,97,5,1,2,0,1,0,2,2,274
35,"PRATHMIK VIDYALAY INJUVARAMPUR",576,443,0,1019,339,262,0,601,601,0,137,354,83,12,7,0,1,1,1,0,5,601
36,"PRATHMIK VIDYALAY ALAVALPUR",315,272,0,587,179,151,0,330,330,0,80,204,34,6,1,2,0,2,1,0,0,330
37,"PRATHMIK VIDYALAY AMBIYAPUR",410,339,0,749,237,185,0,422,300,0,167,139,99,8,0,0,0,3,1,0,5,422
38,"PRATHMIK VIDYALAY SERKOUDA",371,318,0,689,196,175,0,371,371,0,62,227,55,14,2,0,1,2,1,0,7,371
39,"PRATHMIK VIDYALAY KAMALPUR",738,646,0,1384,537,408,0,945,945,0,28,795,105,6,1,1,1,6,0,1,1,945
40,"PRATHMIK VIDYALAY RAIPUR MAJRA KAMALPUR",331,290,0,621,216,173,0,389,389,0,3,50,329,1,1,1,0,1,0,1,2,389
41,"NEW PRATHMIK VIDYALAY KHANPUR CHAIN",548,466,0,1014,245,188,0,433,433,0,100,233,81,3,1,3,1,6,0,3,2,433
42,"PRATHMIK VIDYALAY UTTARI KAKSH AKARU",458,372,0,830,286,207,0,493,493,0,82,196,201,9,0,0,1,2,1,0,1,493
43,"PRATHMIK VIDYALAY UTTARI KAKSH AKARU",455,375,0,830,232,181,0,413,413,0,93,223,75,5,6,2,0,4,2,0,3,413
44,"PRATHMIK VIDYALAY IKRAMPUR",621,529,1,1151,282,230,0,512,500,0,185,249,46,10,1,1,1,2,3,4,10,512
45,"PRATHMIK VIDYALAY PASCHIMI KAKSH DILOULIYA",541,432,0,973,288,194,0,482,482,0,183,210,74,5,1,2,1,4,0,0,2,482
46,"PRATHMIK VIDYALAY PURVI KAKSH DILOULIYA",531,399,0,930,184,176,0,360,360,0,44,288,12,3,2,1,1,1,0,4,4,360
47,"PRATHMIK VIDYALAY BAHIRI UMRI",647,550,0,1197,343,257,0,600,600,0,94,386,73,29,6,0,1,2,0,2,7,600
48,"PURV MADHYAMIK VIDYALAY RERI PURVI KAKSH",373,288,0,661,237,168,0,405,405,0,202,67,119,10,0,0,0,2,0,3,2,405
49,"MADHYAMIK VIDYALAY RERI PASHIMI KAKSH",430,321,0,751,216,173,0,389,389,0,137,144,80,24,0,0,0,1,1,0,2,389
50,"PRATHMIK VIDYALAY RERI",221,191,0,412,131,106,0,237,237,0,140,41,38,2,4,1,0,3,0,3,5,237
51,"PRATHMIK VIDYALAY TIDHVA",376,305,0,681,208,158,0,366,366,0,83,160,116,1,0,2,0,2,0,1,1,366
52,"PRATHMIK VIDYALAYA CHILOULI PURVI KAKSH",515,408,0,923,225,321,0,546,546,0,157,339,29,13,4,1,0,2,0,1,0,546
53,"NEW PRATHMIK VIDYALAY CHILOULI EKAL KAKSH",453,332,0,785,254,146,0,400,400,0,107,162,118,7,0,0,0,2,0,1,3,400
54,"NEW PRATHMIK VIDYALAY CHILOULI PASCHIMI KAKSH",722,541,0,1263,391,235,0,626,626,0,148,216,224,28,3,2,0,2,0,1,2,626
55,"PRATHMIK VIDYALAY JIGNISH",485,408,0,893,277,223,0,500,500,0,151,247,83,6,5,4,0,2,2,0,0,500
