"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DR. ARVIND KUMAR SINGH","2 - ZAFAR ALAM","3 - BIJENDRA SINGH","4 - SATISH KUMAR","5 - AMITA SINGH JAT","6 - DURGESH CHANDRA GAUTAM","7 - DEVANAND","8 - PRADEEP KUMAR","9 - BADSHAH","10 - RAKESH CHANDRA RAWAT","11 - VINOD KUMAR BAGHEL","12 - MOHD. SABIR RAHI","13 - NATTHI LAL SHARMA","14 - SANJAY KUMAR","15 - None of the Above","Total Votes Secured"
1,"ARIYAN CALCHAR AKEDAMI INTER COLLAGE ,RAIPUR MUJAPTA  ROOM NO.-1",676,587,0,1263,389,297,0,686,618,0,71,15,33,557,1,1,0,0,0,0,0,1,5,0,2,686
2,"ARIYAN CALCHAR AKEDAMI INTER COLLAGE ,RAIPUR MUJAPTA  ROOM NO.-2",345,297,0,642,182,135,0,317,314,0,263,8,2,37,1,0,0,0,0,0,3,0,1,0,2,317
3,"PRIMARY SCHOOL SHERPUR",419,336,0,755,222,192,0,414,413,0,5,2,23,374,0,2,0,0,0,1,0,4,2,0,1,414
4,"PRIMARY SCHOOL JAMUNA ROON NO.-1",632,566,0,1198,360,259,0,619,600,0,73,12,35,472,2,6,1,0,0,0,1,8,8,0,1,619
5,"PRIMARY SCHOOL JAMUNA ROON NO.-2",746,648,0,1394,316,264,0,580,275,0,189,11,16,340,2,0,0,0,1,1,0,11,3,2,4,580
6,"J.K.H.S.S., KAJIMABAD ROOM NO.-1",736,593,0,1329,414,283,0,697,697,0,41,3,27,598,2,5,2,0,0,6,2,5,4,0,2,697
7,"J.K.H.S.S., KAJIMABAD ROOM NO.-2",782,649,0,1431,508,410,0,918,896,0,42,179,12,668,2,0,2,0,1,0,0,6,4,0,2,918
8,"J.K.H.S.S., KAJIMABAD ROOM NO.-3",720,580,0,1300,302,263,0,565,563,0,405,42,13,81,0,0,0,0,2,0,0,4,1,1,16,565
9,"PRIMARY SCHOOL GADAIPUR MAZRA KASIMPUR",533,462,0,995,310,275,0,585,585,0,48,4,18,479,7,0,3,0,1,0,5,7,8,1,4,585
10,"PRIMARY SCHOOL ALAMPUR KAYASTHAN",488,414,0,902,355,331,0,686,686,0,24,2,5,649,1,0,0,0,0,0,0,0,3,0,2,686
11,"PRIMARY SCHOOL BASAI MAZRA KASIMPUR",549,508,0,1057,337,360,0,697,696,0,3,22,20,626,5,3,3,1,0,0,1,5,3,2,3,697
12,"PRIMARY SCHOOL KASIMPUR",529,472,0,1001,380,340,0,720,720,0,1,5,14,670,6,3,1,0,0,0,2,7,5,0,6,720
13,"P.P. SINDHAURA",244,216,0,460,189,164,0,353,348,0,9,2,6,324,0,4,0,0,0,1,0,2,3,0,2,353
14,"J.H.S. BADHAULI ROOM NO.-1",507,418,0,925,198,175,0,373,366,0,96,38,14,215,1,0,0,1,0,0,0,3,1,0,4,373
15,"J.H.S. BADHAULI ROOM NO.-2",484,406,0,890,264,250,0,514,490,0,11,0,14,466,1,4,0,2,0,0,0,7,6,1,2,514
16,"J.H.S. BADHAULI ROOM NO.-3",599,496,0,1095,339,302,0,641,595,0,97,14,9,505,3,1,0,0,2,0,1,5,2,2,0,641
17,"P.P. USMANPUR",499,434,0,933,335,271,0,606,606,0,19,0,25,544,3,2,0,0,0,0,1,3,7,1,1,606
