"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KUNWAR PUSHPENDRA SINGH CHANDEL","2 - PRITAM SINGH LODHI","3 - BISHAMBHAR PRASAD NISHAD","4 - RAKESH KUMAR GOSWAMI","5 - ATUL KUMAR PRAJAPATI","6 - ANIL KUMAR","7 - AVINASH KUMAR MISHRA","8 - KAILASH PRASAD NISHAD","9 - RAMESH PRAJAPATI","10 - RAMSAJIVAN","11 - VIVEK KUMAR","12 - SHRIPAL","13 - KIRAN","14 - PRAVESH KUMAR VYAS","15 - VIMLESH","16 - None of the Above","Total Votes Secured"
1,CHIKASI,501,438,0,939,294,260,0,554,446,0,292,62,129,49,2,1,4,0,0,1,1,3,3,0,2,5,554
2,CHIKASI,380,327,0,707,200,184,0,384,159,0,249,27,44,39,2,0,2,0,0,1,2,0,4,2,4,8,384
3,MANGRAUTH,661,619,0,1280,412,368,0,780,780,0,281,16,131,271,5,3,8,0,0,0,7,5,7,6,15,25,780
4,"CHANDWARI DANDA",536,452,0,988,323,168,0,491,476,0,313,44,67,34,3,5,1,0,0,0,4,3,1,2,4,10,491
5,BILGAON,204,186,0,390,130,97,0,227,221,0,129,11,30,10,2,5,2,1,1,0,0,0,2,1,33,0,227
6,RIHUNTA,482,436,0,918,342,267,0,609,506,0,413,36,82,37,5,2,2,0,1,0,4,1,4,1,10,11,609
7,RIHUNTA,496,427,0,923,323,240,0,563,556,0,242,49,54,138,5,1,4,1,0,2,2,1,3,2,37,22,563
8,"SIKRAUNDHA KHARKA",436,373,0,809,256,150,0,406,406,0,273,47,20,43,1,2,1,1,2,0,1,2,0,1,8,4,406
9,ATRA,701,589,0,1290,455,319,0,774,772,0,425,14,174,116,2,2,4,1,0,0,5,2,4,7,6,12,774
10,"BARAULI KHARKA",505,434,0,939,335,260,0,595,595,0,241,48,176,73,9,2,2,0,1,1,6,2,2,8,8,16,595
11,"BARAULI KHARKA",458,395,0,853,295,201,0,496,496,0,229,45,150,30,10,3,3,2,0,0,3,3,4,3,6,5,496
12,HARDUWA,513,409,0,922,313,229,0,542,493,0,259,16,158,70,4,5,2,0,1,0,2,0,1,5,15,4,542
13,BIRHAT,437,397,0,834,185,134,0,319,315,0,118,22,25,117,1,4,0,0,0,1,3,1,0,1,21,5,319
14,"BARERA KHALSA",364,293,0,657,199,166,0,365,365,0,116,30,152,30,4,0,1,1,0,5,7,1,1,7,2,8,365
15,ISLAMPUR,502,405,0,907,243,108,0,351,348,0,129,52,73,74,1,1,1,0,0,2,4,1,0,1,4,8,351
16,ISLAMPUR,561,476,0,1037,272,144,0,416,410,0,275,17,57,35,1,5,7,1,2,1,2,0,1,0,2,10,416
17,"BARERA MAF",224,186,0,410,101,78,0,179,159,0,46,35,46,36,1,1,1,0,0,1,2,1,0,1,5,3,179
18,BANDHAULI,542,470,0,1012,288,203,0,491,305,0,203,87,31,81,29,3,3,1,0,5,7,3,2,2,21,13,491
19,BAUKHAR,436,365,0,801,229,163,0,392,352,0,243,29,62,21,0,3,3,0,2,1,2,1,3,4,11,7,392
20,BAUKHAR,456,371,0,827,249,152,0,401,399,0,193,91,50,38,8,0,4,0,0,0,1,0,3,2,8,3,401
21,"BENDA DANDA",265,231,0,496,157,116,0,273,261,0,69,35,78,68,0,3,7,0,1,0,0,2,4,0,5,1,273
22,ICHHAURA,544,465,0,1009,323,195,0,518,509,0,150,58,234,49,3,9,1,1,0,0,3,1,2,0,5,2,518
23,"JITKIRI DANDA",579,514,0,1093,323,254,0,577,577,0,225,46,124,106,6,8,5,2,1,0,5,3,3,1,38,4,577
24,"JAMAURI DANDA",560,490,0,1050,355,271,0,626,325,0,93,16,386,87,4,1,8,2,2,1,5,4,2,2,6,7,626
25,CHANDAUT,763,627,0,1390,410,282,0,692,640,0,387,75,110,40,10,4,6,1,3,2,4,4,2,6,16,22,692
26,CHANDAUT,715,626,0,1341,366,282,0,648,119,0,414,74,61,55,4,8,7,2,2,1,3,1,4,0,3,9,648
27,CHANDAUT,675,563,0,1238,354,243,0,597,591,0,387,24,129,28,0,7,4,0,0,0,2,0,2,1,8,5,597
28,BASARIYA,403,350,0,753,253,155,0,408,405,0,165,45,155,16,3,7,7,0,0,1,0,5,0,1,0,3,408
29,"RIRUWA BUJURG DANDA",414,321,0,735,267,169,0,436,436,0,285,19,82,12,1,3,3,0,0,0,6,1,2,3,5,14,436
30,"NYULI BANSA",553,448,0,1001,305,171,0,476,476,0,283,47,62,31,10,7,6,1,1,0,4,0,2,3,13,6,476
31,INDARPURA,474,385,0,859,302,216,0,518,518,0,360,16,20,70,3,9,2,3,3,2,3,2,4,6,9,6,518
32,INDARPURA,421,349,0,770,242,177,0,419,419,0,260,30,11,94,0,2,2,0,1,2,3,1,1,1,6,5,419
33,LODHIPURA,577,466,0,1043,358,294,0,652,652,0,375,20,146,69,2,4,4,0,1,1,3,2,0,1,18,6,652
34,BARHARA,570,469,0,1039,266,159,0,425,422,0,124,159,58,36,4,4,2,0,0,3,2,5,1,4,14,9,425
35,BARHARA,576,492,0,1068,318,221,0,539,538,0,227,107,33,104,11,2,5,1,2,3,3,3,2,5,27,4,539
36,KADAURA,399,312,0,711,254,179,0,433,433,0,58,13,66,124,3,1,3,0,0,3,3,4,1,2,149,3,433
37,HARSUNDI,872,665,0,1537,493,311,0,804,792,0,342,165,101,67,3,12,6,3,3,1,8,6,2,11,55,19,804
38,KHANDAUT,357,280,0,637,189,141,0,330,327,0,17,13,87,27,1,0,0,0,0,0,4,1,2,5,164,9,330
39,MASIDAN,437,403,0,840,297,260,0,557,557,0,41,2,245,42,2,0,2,2,0,1,3,1,3,7,203,3,557
40,JALALPUR,492,411,0,903,260,232,0,492,490,0,142,17,55,165,3,2,0,2,2,1,3,0,3,2,85,10,492
41,JALALPUR,421,319,1,741,226,173,0,399,398,0,274,14,62,23,1,0,0,0,0,0,0,2,0,0,16,7,399
42,"BHERI DANDA",752,679,0,1431,447,360,0,807,767,0,415,34,150,110,5,3,13,2,2,3,9,6,9,4,30,12,807
43,"BHERI DANDA",856,726,0,1582,422,303,0,725,723,0,411,29,118,89,5,4,12,4,1,5,3,6,3,5,16,14,725
44,KUPRA,657,484,0,1141,320,156,0,476,265,0,279,15,75,37,3,2,3,2,2,3,3,3,4,1,27,17,476
45,KUPRA,320,266,0,586,170,129,0,299,299,0,101,10,76,51,4,3,15,1,2,6,2,3,0,5,12,8,299
46,"HASAUPUR SESA",183,138,0,321,118,80,0,198,196,0,36,6,45,4,0,1,4,1,0,1,0,0,1,2,88,9,198
47,"DHIRAUNDA KYOTRA",593,488,0,1081,303,153,0,456,456,0,111,2,249,4,0,1,5,1,1,2,3,0,5,7,53,12,456
48,"DHAUHAL BUJURG",675,619,0,1294,407,259,0,666,250,0,355,21,116,128,2,2,6,0,2,1,3,3,3,3,15,6,666
49,"DHAUHAL BUJURG",531,443,0,974,257,143,0,400,400,0,53,23,100,83,2,3,0,1,0,3,2,1,2,0,122,5,400
50,DEVKHARI,149,113,0,262,98,72,0,170,164,0,97,2,25,15,0,2,1,0,1,3,4,2,1,0,10,7,170
51,RAJAMAU,273,239,0,512,204,159,0,363,345,0,38,5,246,11,1,4,1,2,1,1,4,1,0,0,47,1,363
52,"CHHERI BENI",334,281,0,615,179,121,0,300,298,0,84,33,100,54,0,0,0,0,0,1,0,1,0,0,26,1,300
