"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ARUN SHANKAR SHUKLA","2 - BRAJESH PATHAK","3 - SUKHDEV","4 - SWAMI SACHCHIDANAND HARI SAKSHI","5 - SUMIT TEWARI","6 - ANIL KUMAR MISHRA","7 - SHALU DHARMENDRA","8 - ANIL KUMAR CHAUDHARY","9 - ANNU TANDON","10 - ARVIND KUMAR","11 - ROOP NARAYAN SINGH","12 - GIRJA SHANKAR RAJU","13 - SHIVNATH","14 - RAKESH KUMAR","15 - ANIL KUMAR","16 - RAMESHWAR","17 - MOHAMMAD AMIR KHAN","18 - RAJNIKANT","19 - SHIVKANT","20 - AKHILESH KUMAR","21 - CHETRAM PASI","22 - None of the Above","Total Votes Secured"
1,"GANGA PRASAD MAHTO VIDYALAYA ROOM NO.1 KATRI PIPARKHEDA",586,496,0,1082,323,212,0,535,424,0,30,84,1,290,0,0,1,0,117,1,0,2,0,2,0,1,1,0,2,1,0,2,535
2,"GANGA PRASAD MAHTO VIDYALAYA ROOM NO.2 KATRI PIPARKHEDA",432,349,0,781,216,143,0,359,231,0,24,97,1,140,0,0,0,2,86,1,0,0,1,0,0,4,0,0,2,1,0,0,359
3,"GANGA PRASAD MAHTO VIDYALAYA ROOM NO.3 KATRI PIPARKHEDA",734,649,0,1383,379,302,0,681,421,0,111,97,2,62,2,0,0,1,395,4,0,0,0,0,0,4,0,0,1,0,1,1,681
4,"GANGA PRASAD MAHTO VIDYALAYA ROOM NO.4 KATRI PIPARKHEDA",397,295,0,692,183,127,0,310,260,0,41,47,0,128,1,0,0,3,83,0,1,3,0,0,1,2,0,0,0,0,0,0,310
5,"GANGA PRASAD MAHTO VIDYALAYA ROOM NO.5 KATRI PIPARKHEDA",478,342,0,820,205,143,0,348,119,0,19,9,0,279,1,0,0,0,38,0,0,0,0,1,0,0,0,0,0,0,0,1,348
6,"GANGA PRASAD MAHTO VIDYALAYA ROOM NO. 6 KATRI PIPARKHEDA",661,505,0,1166,391,262,0,653,562,0,12,29,0,525,0,0,1,5,70,2,0,0,1,1,1,0,0,0,0,4,1,1,653
7,"GANGA PRASAD MAHTO VIDYALAYA ROOM NO. 7 KATRI PIPARKHEDA",935,725,0,1660,624,402,0,1026,1015,0,14,28,0,844,0,2,1,1,83,17,1,2,0,1,2,2,0,0,20,5,1,2,1026
8,"GANGA PRASAD MAHTO VIDYALAYA ROOM NO.8 KATRI PIPARKHEDA",642,448,0,1090,365,234,0,599,451,0,12,16,1,523,0,0,0,0,44,0,0,2,0,0,0,0,0,0,0,0,0,1,599
9,"PRAIMARI PATHSALA RAVIDAS NAGAR ROOM.NO.1 KATRI PIPARKHEDA",901,637,0,1538,481,367,0,848,671,0,83,228,0,362,0,0,1,5,137,4,8,0,0,0,1,8,3,2,2,1,2,1,848
10,"PRAIMARI PATHSALA RAVIDAS NAGAR ROOM .NO.2 KATRI PIPARKHEDA",803,588,0,1391,475,329,0,804,800,0,61,53,0,510,1,0,0,5,154,2,4,3,2,0,3,0,0,1,1,3,0,1,804
