"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - UMED SINGH KASHYAP","2 - KRISHNA RAJ","3 - CHETRAM","4 - MITHILESH KUMAR","5 - KISHAN LAL","6 - PYARE ALIAS RAJKUMAR GAUTAM","7 - MEVARAM","8 - RAMMURTI","9 - RAMLAL VERMA","10 - SMT REETA SINGH ALIAS REETA BHARTI","11 - SUNITA SUJATA NAGPAL","12 - RAKESH","13 - ROSHAN LAL ALIAS ROSHAN KANAUJIYA","14 - None of the Above","Total Votes Secured"
1,"P. P. MUSTAFABAD URF BHUDELI",352,289,0,641,245,191,0,436,433,0,138,226,4,42,0,2,2,2,0,2,1,4,8,5,436
2,GURGAWAN,506,418,0,924,294,226,0,520,516,0,124,316,4,46,1,0,1,2,5,1,11,1,2,6,520
3,GURGAWAN,450,380,0,830,266,226,0,492,488,0,257,163,17,20,1,1,0,2,15,0,3,2,3,8,492
4,FARIDAPUR,330,290,0,620,241,174,0,415,412,0,110,275,7,12,0,0,0,1,0,0,0,4,3,3,415
5,"ISMAILPUR NAVADA",431,354,0,785,338,230,0,568,563,0,36,382,10,129,1,0,1,0,0,1,1,2,2,3,568
6,KHADKARI,302,280,0,582,182,164,0,346,343,0,38,258,2,42,2,0,0,0,0,1,0,0,1,2,346
7,ALAMPUR,254,189,0,443,194,118,0,312,310,0,49,4,19,229,2,0,0,0,0,0,5,1,2,1,312
8,SULTANPUR,375,283,0,658,208,166,0,374,371,0,97,211,2,52,1,0,0,0,0,0,2,0,1,8,374
9,DHANELA,407,339,0,746,215,175,0,390,387,0,25,308,4,46,0,0,0,1,0,0,2,0,3,1,390
10,LAKHOHA,574,466,0,1040,351,290,0,641,636,0,68,373,12,146,6,6,3,0,1,2,11,1,7,5,641
11,RAINA,354,294,0,648,222,147,0,369,366,0,22,154,5,170,4,2,1,5,0,0,2,1,2,1,369
12,"BARKHEDA JAIPAL",561,481,0,1042,312,189,0,501,497,0,126,295,13,40,5,0,0,0,0,5,2,0,5,10,501
13,KABILPUR,416,351,0,767,271,214,0,485,481,0,224,96,11,136,3,1,0,1,0,1,1,0,5,6,485
14,"TAH BANARAS",353,287,0,640,259,164,0,423,420,0,6,219,5,177,2,0,1,0,0,0,1,2,5,5,423
15,PITHNAPUR,322,287,0,609,249,166,0,415,412,0,14,183,8,194,2,0,1,5,2,0,0,1,3,2,415
16,BANDHICHAQ,321,237,0,558,231,139,0,370,367,0,12,237,2,111,2,0,0,1,2,0,0,1,1,1,370
17,SHIVDASPUR,217,174,0,391,178,123,0,301,299,0,1,148,5,136,3,0,1,0,0,1,1,1,1,3,301
18,"DHANELI MAHESH",422,312,0,734,302,193,0,495,491,0,34,156,10,283,5,0,0,0,1,0,1,2,2,1,495
19,"JODHPUR NAVADIYA",409,246,0,655,308,170,0,478,474,0,19,161,13,266,4,0,2,0,2,1,3,1,4,2,478
20,"GAUSGANJ DIYUTRA",502,359,0,861,305,142,0,447,443,0,67,251,2,109,2,0,3,0,1,1,0,3,3,5,447
21,"NAGLA BANNU URF NAGARIA",307,249,0,556,237,178,0,415,412,0,35,337,8,29,3,1,0,0,0,0,0,1,0,1,415
22,"FATTEPUR GAISRA",288,228,0,516,221,165,0,386,383,0,17,300,4,56,1,0,0,0,1,1,2,0,4,0,386
23,TAI,266,207,0,473,146,105,0,251,249,0,30,100,8,27,1,0,0,3,71,1,1,4,2,3,251
24,BANDHA,402,326,0,728,238,161,0,399,396,0,100,177,12,88,2,0,0,1,4,1,7,3,2,2,399
25,RAJANPUR,693,562,0,1255,438,327,0,765,759,0,101,583,5,48,2,0,2,1,2,5,4,1,3,8,765
26,HARBHANPUR,742,602,1,1345,480,270,0,750,744,0,132,492,11,73,1,0,1,2,1,2,3,7,14,11,750
27,"NARSA NAGLA",237,198,0,435,208,142,0,350,347,0,39,283,1,26,0,0,0,0,0,0,0,0,0,1,350
28,"TALLVIPUR URF DIYORIA",255,245,0,500,208,197,0,405,402,0,3,393,0,6,0,1,0,0,0,0,0,0,2,0,405
29,"FATTEHPUR BUJURG",184,172,0,356,165,137,0,302,300,0,10,286,1,2,0,0,0,0,0,0,1,1,1,0,302
30,"BIRIYAGANJ J.H.S",588,503,0,1091,281,172,0,453,449,0,68,9,4,363,3,0,0,1,0,1,3,0,0,1,453
31,"BIRIYAGANJ J.H.S",344,296,0,640,188,158,0,346,343,0,12,132,3,183,1,0,0,0,0,0,4,3,4,4,346
32,UMMARPUR,612,535,0,1147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,UMMARPUR,514,400,0,914,229,195,0,424,421,0,74,240,11,74,2,0,0,0,1,3,12,0,3,4,424
34,UMMARPUR,430,330,0,760,245,158,0,403,400,0,69,43,11,254,2,1,1,0,5,3,7,0,0,7,403
35,"BATLAIYA SA0 S0 SAMITI",740,638,0,1378,367,252,0,619,614,0,91,116,13,370,2,0,0,1,0,3,16,1,4,2,619
