"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - JAIVEER SINGH","2 - MUKESH RAJPUT","3 - RAMESHWAR SINGH YADAV","4 - SALMAN KHURSHID","5 - ANJU","6 - KRISHAN KUMAR DIXIT ALIAS K. K. DIXIT","7 - MO. TAMAJID","8 - TARIK PARVEZ","9 - DAYA SHANKAR","10 - RAMNIWAS KATHERIA","11 - ANURAG RAJPUT","12 - ANOKHEY LAL","13 - IMAMUDDIN HUSAIN HUSAIN","14 - ANSHU MAHAN","15 - KISHAN PAL SINGH","16 - MALIKHAN SINGH ADVOCATE","17 - MUKESH RAJPUT","18 - RAM KISHORE DIWEDI","19 - VIMLA DEVI","20 - VRAHMA SARAN JATAV","21 - SACHIN SINGH YADAV","22 - SURESH SARASWAT ALAIS ILLAYCHIWALA","23 - None of the Above","Total Votes Secured"
1,"BADI GULRIYA MAJRA KATRI GANGPUR",267,207,0,474,230,155,0,385,385,0,22,126,179,1,0,2,0,1,0,0,0,0,2,2,3,3,0,2,0,1,41,0,0,385
2,"MATADEEN KI MADIYA MAJRA KATRI DHARAMPUR",530,374,0,904,364,244,0,608,608,0,63,452,28,12,0,2,3,1,4,0,3,3,1,2,2,3,0,13,1,2,9,0,4,608
3,"PANKHIYAN MADAIYA MAJRA KATRI DHRAMPUR",331,319,0,650,239,197,0,436,436,0,12,6,77,297,10,3,0,1,0,0,0,1,1,1,0,6,2,4,4,5,3,2,1,436
4,KUBERPURGHAT,555,445,0,1000,445,247,0,692,692,0,108,281,269,3,0,4,3,1,1,0,0,2,1,0,0,1,4,6,3,0,3,1,1,692
5,"SIRMAURA TARAI",235,194,0,429,188,149,0,337,337,0,27,95,158,2,1,1,1,0,4,0,0,1,0,0,2,1,0,2,0,0,40,1,1,337
6,AMILPUR,253,162,0,415,172,91,0,263,263,0,2,12,242,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,0,1,263
7,"BISALPUR TARAI",438,350,0,788,265,136,0,401,401,0,128,180,57,2,0,4,1,1,1,1,0,0,0,2,3,4,2,2,1,1,11,0,0,401
8,AVAJPUR,806,592,0,1398,489,293,0,782,782,0,376,209,120,5,0,1,0,2,1,0,2,0,1,0,0,6,4,0,0,2,51,0,2,782
9,GANGOLI,552,439,0,991,337,207,0,544,544,0,159,302,44,18,0,2,0,0,1,0,1,1,0,0,3,4,1,3,1,0,2,2,0,544
10,RASIDPUR,616,494,0,1110,365,236,0,601,601,0,245,240,47,37,1,1,0,0,0,0,1,0,0,2,3,5,2,2,0,11,2,0,2,601
11,"AKALGANJ MAJRA BARAUN",417,357,0,774,347,259,0,606,606,0,49,531,4,11,0,0,0,0,0,0,2,0,0,1,1,2,0,3,0,0,0,0,2,606
12,"SAMSER NAGAR MAJRA BARAUN",349,256,0,605,250,182,0,432,432,0,83,292,36,5,0,2,0,1,2,0,0,0,1,2,2,1,1,1,0,0,2,0,1,432
13,BARUAN,317,290,0,607,172,142,0,314,314,0,38,216,22,19,1,1,0,2,0,0,1,1,0,1,1,1,4,0,0,0,2,4,0,314
14,"NAGLA GULAL MAJRA BARAUN",244,208,0,452,144,126,0,270,270,0,28,130,65,15,2,0,0,0,0,0,0,1,0,0,0,0,1,4,0,1,23,0,0,270
15,BARAUN,841,670,1,1512,425,341,0,766,766,0,45,362,27,300,2,1,1,1,1,0,0,4,0,1,2,7,1,4,0,2,3,0,2,766
16,JIJUIYA,302,238,0,540,230,203,0,433,433,0,41,359,10,0,0,0,0,0,0,0,0,0,0,0,5,7,2,4,0,0,0,2,3,433
17,MAHLAI,795,629,0,1424,500,426,0,926,926,0,53,804,23,5,1,1,2,1,0,0,0,0,0,1,2,4,0,4,3,1,19,0,2,926
18,"SALEMPUR RATAN",329,285,0,614,249,203,0,452,452,0,36,389,14,1,0,0,0,0,0,0,1,0,1,0,5,0,0,4,0,0,0,0,1,452
19,"SILHA AJRA BASELI",361,300,0,661,261,163,0,424,424,0,2,269,102,3,2,0,2,2,1,0,0,0,0,1,1,0,1,2,0,0,35,0,1,424
20,BASELI,619,478,0,1097,408,220,0,628,628,0,27,483,42,6,2,0,1,0,1,2,1,2,1,0,4,3,2,2,0,0,48,1,0,628
21,"RAJARAMPUR MEI",329,282,0,611,206,180,0,386,386,0,22,40,97,181,1,0,0,0,1,0,1,0,0,4,0,1,0,4,2,1,29,1,1,386
22,"RAJARAMPUR MEI",430,371,0,801,228,136,0,364,364,0,122,127,30,52,1,1,0,1,0,0,2,0,1,1,2,4,2,0,1,0,17,0,0,364
23,"NAGLA CHANDELA",436,369,0,805,286,234,0,520,520,0,159,173,109,40,1,1,2,2,0,0,1,1,2,1,0,2,3,4,0,2,10,1,6,520
24,"MAHAMADPUR KARSAN",322,290,1,613,290,244,0,534,534,0,15,487,22,0,0,4,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,534
