"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AJAY PAL SINGH JATAV","2 - ASHOK KUMAR DOHAREY","3 - PREMDAS KATERIYA","4 - HANS MUKHI KORI","5 - UJIYARE LAL DOHARE","6 - PREM CHANDRA","7 - DR MUKESH SINGH DOHARE","8 - VINEET KUMAR GAUTAM","9 - SIYA RAM PASWAN","10 - HAR BILASH DOHERY","11 - None of the Above","Total Votes Secured"
1,"PRIMARY SCHOOL BAHADURPUR LUHIA",518,427,0,945,290,179,0,469,420,0,32,233,189,3,1,1,1,3,2,0,4,469
2,"JUNIOR HIGH SCHOOL BAHADURPUR LUHIA",309,259,0,568,180,140,0,320,310,0,131,45,125,8,0,1,1,1,0,0,8,320
3,"PRIMAR SCHOOL LUHIA KALAN",451,379,0,830,292,222,0,514,450,0,45,128,287,37,0,2,1,3,1,2,8,514
4,"PRIMARY SCHOOL BHADAMAI",277,226,0,503,218,139,0,357,354,0,42,17,288,0,8,0,0,1,1,0,0,357
5,"PRIMARY SCHOOL BHADWA SAWRAN",643,488,0,1131,381,247,0,628,627,0,52,92,470,4,1,2,0,1,1,1,4,628
6,"PRIMARY SCHOOL RASOOLABAD",415,329,0,744,234,176,0,410,385,0,113,105,175,1,2,2,0,4,4,1,3,410
7,"PRIMARY SCHOOL RITOULI",575,413,0,988,398,244,0,642,640,0,95,46,485,3,0,2,2,3,1,2,3,642
8,"PRIMARY SCHOOL AYARA LUHIA",507,436,0,943,282,231,0,513,507,0,158,117,217,8,2,0,1,0,2,2,6,513
9,"PRIMARY SCHOOL AYARA LUHIA",315,297,0,612,189,179,0,368,368,0,172,41,148,4,0,0,0,0,0,0,3,368
10,"PRIMARY SCHOOL JAITPUR TOTARAM",396,314,0,710,277,220,0,497,497,0,152,32,301,4,2,0,1,0,3,0,2,497
11,"PRIMARY SCHOOL ASHA NANDPUR",411,364,0,775,392,298,0,690,690,0,1,15,662,11,0,1,0,0,0,0,0,690
12,"JUNIOR HIGH SCHOOL SHERPUR BASGAWAN",776,532,0,1308,580,236,0,816,800,0,36,43,729,3,4,0,0,1,0,0,0,816
13,"PRIMARY SCHOOL VISHUNPUR LOHRAI",379,311,0,690,246,231,0,477,473,0,41,60,355,8,3,1,1,1,3,2,2,477
14,"PRIMARY SCHOOL RAMPURA",409,310,0,719,241,173,0,414,414,0,26,43,330,8,2,1,1,0,1,1,1,414
15,"PRIMARY SCHOOL KHARKOULI",459,364,0,823,323,221,0,544,544,0,14,151,361,4,4,3,0,3,2,0,2,544
16,"PRIMARY SCHOOL KHARKOULI",500,397,0,897,323,227,0,550,547,0,42,186,307,7,2,2,0,0,0,1,3,550
17,"PRIMARY SCHOOL YASEEN NAGAR",518,437,0,955,325,253,0,578,540,0,52,88,423,6,1,0,0,1,1,2,4,578
18,"PRIMARY SCHOOL NAGLA SEETA",299,282,0,581,228,193,0,421,421,0,16,45,348,3,5,0,0,0,1,2,1,421
19,"PRIMARY SCHOOL KHURISAR",539,434,1,974,287,208,0,495,495,0,23,182,268,7,4,2,0,1,3,1,4,495
20,"PRIMARY SCHOOL KHURISAR",265,212,0,477,111,81,0,192,189,0,53,64,68,2,0,0,0,3,0,1,1,192
21,"PRIMARY SCHOOL HARNATHPUR",337,301,0,638,205,161,0,366,348,0,67,164,123,4,1,1,0,1,0,1,4,366
22,"PRIMARY SCHOOL BADRIPOOTH",843,658,0,1501,439,336,0,775,691,0,94,384,266,15,4,1,0,4,2,2,3,775
23,"PRIMARY SCHOOL BANKATI KHURD",352,282,0,634,183,151,0,334,302,0,72,106,129,18,3,0,0,2,1,1,2,334
24,"PRIMARY SCHOOL SARAIYA",561,471,0,1032,388,323,0,711,705,0,448,60,180,4,0,1,0,2,2,6,8,711
25,"PRIMARY SCHOOL AKBARPUR",660,496,0,1156,416,278,0,694,670,0,37,175,448,10,1,3,2,2,5,5,6,694
26,"PRIMARY SCHOOL AKBARPUR",484,376,0,860,323,210,0,533,455,0,28,66,430,2,0,1,1,1,4,0,0,533
27,"PRIMARY SCHOOL LALPUR",219,210,0,429,202,121,0,323,323,0,4,50,258,2,0,3,0,4,0,0,2,323
28,"JAN S.BALIKA INTER COLLEGEBASREHAR",579,498,0,1077,410,297,0,707,707,0,12,451,230,2,3,2,0,1,1,1,4,707
29,"MANBHAWATI KUW INTER COLLEGE BASREHAR",555,509,0,1064,353,262,0,615,613,0,10,250,346,8,0,0,1,0,0,0,0,615
30,"MANBHAWATI KUW INTER COLLEGE BASREHAR",823,624,0,1447,513,363,0,876,763,0,136,439,257,19,4,1,3,5,1,3,8,876
31,"MANBHAWATI KUW INTER COLLEGE BASREHAR",709,537,0,1246,435,245,0,680,662,0,79,383,178,17,7,0,0,3,2,3,8,680
32,"PRIMARY SCHOOL SHANKERPUR",400,312,0,712,294,209,0,503,503,0,107,203,176,4,0,0,0,6,1,2,4,503
33,"JHS MUHABBATPUR LUDHPURA",702,546,1,1249,459,310,0,769,754,0,77,501,156,6,3,3,0,8,2,2,11,769
34,"NAVEEN PANCHAYAT BHAWAN TIKUPUR",166,141,0,307,136,88,0,224,224,0,39,16,164,4,1,0,0,0,0,0,0,224
35,"PRIMARY SCHOOL SARAY MALPURA",621,484,0,1105,311,219,0,530,530,0,116,200,181,7,0,6,3,3,3,5,6,530
36,"PRIMARY SCHOOL MALPURA",396,346,0,742,271,247,0,518,518,0,244,160,90,12,0,1,0,4,1,0,6,518
37,"PRIMARY SCHOOL RAJPURA TOTARAM",388,324,0,712,279,223,0,502,502,0,103,32,351,12,1,0,0,0,1,1,1,502
38,"PRIMARY SCHOOL KILLI SULTANPUR",576,493,0,1069,333,219,0,552,552,0,65,284,183,4,0,1,5,2,2,2,4,552
39,"PRIMARY SCHOOL KILLI SULTANPUR",552,403,0,955,293,171,0,464,399,0,47,104,293,8,0,0,4,6,0,0,2,464
40,"PRIMARY SCHOOL KELAMAU",183,184,0,367,111,87,0,198,198,0,5,137,50,1,1,0,1,1,0,1,1,198
41,"PURVA JUNIOR HIGH SCHOOL BAMANPURA (KELAMAU)",214,198,0,412,161,148,0,309,307,0,12,62,228,1,1,0,0,0,1,0,4,309
42,"PRIMARY SCHOOL BULAKIPUR LUDHPURA",238,176,0,414,203,136,0,339,338,0,25,23,287,3,0,0,0,1,0,0,0,339
43,"PRIMARY SCHOOL DUGAWALI",631,530,0,1161,454,334,0,788,771,0,276,62,426,10,1,2,2,0,2,1,6,788
44,"PRIMARY SCHOOL DUGAWALI",125,89,0,214,103,65,0,168,168,0,1,13,153,0,1,0,0,0,0,0,0,168
45,"PRIMARY SCHOOL CHAMPANER",423,370,0,793,353,277,0,630,630,0,8,23,595,0,1,0,1,0,1,0,1,630
46,"PRIMARY SCHOOL SANTOSHPUR GHAT",657,529,0,1186,375,284,0,659,659,0,38,426,155,10,3,1,5,7,4,1,9,659
47,"NAVEEN PRIMARY SCHOOL SIRSA ETAWAH",527,422,0,949,296,231,0,527,478,0,14,322,159,9,2,1,4,13,1,2,0,527
48,"NAVEEN PRIMARY SCHOOL SIRSA ETAWAH",749,573,0,1322,415,273,0,688,688,0,23,390,260,5,0,1,0,0,2,2,5,688
49,"PRIMARY SCHOOL CHAKWA BUJURG",417,331,0,748,209,136,0,345,332,0,43,118,178,3,0,0,0,2,0,0,1,345
50,"PRIMARY SCHOOL CHAKWA BUJURG",443,305,0,748,214,161,0,375,375,0,12,66,280,2,1,4,0,2,0,2,6,375
