"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANIL SHUKLA WARSI","2 - DEVENDRA SINGH BHOLE SINGH","3 - RAJARAM PAL","4 - LAL SINGH TOMAR","5 - AMAR SINGH","6 - ARVIND KUMAR","7 - DR. OMKAR NATH KATIYAR","8 - GOPI RAMAN","9 - JASWANT SINGH","10 - DR. BAJARANG PRATAP SONKAR","11 - RAMA KANT VERMA","12 - RAMENDRA SINGH TOMAR","13 - ASHOK YADAV","14 - NEERAJ KUMAR ADVOCATE","15 - BHARTI DEVI PASI ADVOCATE","16 - MUNNI DEVI","17 - RAM SEVAK","18 - VIJAY KUMAR SHARMA","19 - None of the Above","Total Votes Secured"
32,"PRIMARY SCHOOL RURA",704,595,0,1299,469,315,0,784,768,0,103,265,70,325,2,0,0,0,1,0,0,1,2,2,4,4,0,2,3,784
33,"PRIMARY SCHOOL RURA",455,408,0,863,280,198,0,478,478,0,53,201,36,179,2,5,1,0,0,0,0,0,0,0,0,1,0,0,0,478
34,"PRIMARY SCHOOL RURA",570,497,0,1067,344,263,0,607,595,0,173,227,43,149,1,5,0,0,0,0,0,1,1,0,1,2,2,1,1,607
35,"JUNIYAR  HIGH SCHOOL RURA",537,499,0,1036,296,294,0,590,500,0,137,345,35,62,0,2,0,0,0,0,0,0,0,0,3,2,0,2,2,590
36,"JUNIYAR  HIGH SCHOOL RURA",332,289,1,622,181,157,0,338,320,0,101,147,8,76,1,0,0,0,0,0,0,0,0,0,1,0,2,0,2,338
37,"JUNIYAR  HIGH SCHOOL RURA",539,443,0,982,327,254,0,581,387,0,98,304,39,128,0,4,0,0,1,0,0,1,0,0,1,3,0,1,1,581
38,"JUNIYAR  HIGH SCHOOL RURA",374,352,0,726,198,168,0,366,317,0,45,208,25,80,0,0,0,0,0,0,0,0,1,1,0,2,2,2,0,366
39,"R0 P0 S0 INTAR COLAGEGE RURA",654,535,1,1190,322,251,0,573,515,0,134,179,30,218,4,0,0,0,0,0,0,0,2,0,2,2,0,0,2,573
40,"R0 P0 S0 INTAR COLAGEGE RURA",700,575,0,1275,392,303,0,695,672,0,193,269,20,200,2,0,0,0,1,0,1,1,1,2,0,1,1,0,3,695
41,"R0 P0 S0 INTAR COLAGEGE RURA",420,373,0,793,245,221,0,466,466,0,175,167,13,103,3,1,0,1,0,0,0,0,1,0,0,2,0,0,0,466
42,"R0 P0 S0 INTAR COLAGEGE RURA",513,455,0,968,338,270,0,608,547,0,128,313,40,116,0,1,0,0,0,1,0,4,1,0,0,1,1,0,2,608
43,"KANYA  JUNIYAR HIGH SCHOOL RURA",815,679,0,1494,473,376,0,849,835,0,177,469,39,141,3,3,0,0,0,1,1,2,0,0,3,1,2,6,1,849
44,"R0 P0 S0 INTAR COLAGEGE RURA",373,330,0,703,229,197,0,426,426,0,58,207,9,148,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,426
45,"PRIMARY SCHOOL JAGDEESHPUR",226,201,0,427,148,137,0,285,209,0,182,52,11,35,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,285
46,"PRIMARY SCHOOL SRAYAN",789,674,0,1463,471,391,0,862,798,0,332,317,49,141,4,0,0,1,1,0,0,1,3,1,4,3,2,1,2,862
47,"PRIMARY SCHOOL SRAYAN",682,555,0,1237,381,315,0,696,696,0,291,297,7,74,1,0,0,2,0,1,0,0,1,0,2,2,4,6,8,696
48,"PRIMARY SCHOOL NAVABPURVA HAMLET SARAYAN",189,182,0,371,154,146,0,300,293,0,259,13,3,13,0,0,0,0,0,0,0,0,1,0,0,2,4,2,3,300
49,"PRIMARY SCHOOL KISHUNPUR",294,252,0,546,217,176,0,393,393,0,110,245,8,26,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,393
50,"PRIMARY SCHOOL BHATAULI",767,623,0,1390,437,388,0,825,807,0,486,222,19,79,0,0,0,1,0,0,1,3,1,0,3,6,2,0,2,825
51,"PRIMARY SCHOOL ATIRIKT KAKSH BHATOULI",629,522,0,1151,321,277,0,598,598,0,170,299,19,94,0,2,0,0,0,0,0,2,0,3,1,3,0,2,3,598
52,"PRIMARY SCHOOL SOUTH KAKSH  BHATAULI",484,391,0,875,281,203,0,484,484,0,128,249,13,78,1,4,0,1,0,0,1,0,0,0,2,4,1,0,2,484
53,"PRIMARY SCHOOL GAHOLIYA",499,432,0,931,311,222,0,533,455,0,177,196,29,110,1,0,1,0,1,0,2,4,1,1,2,4,1,1,2,533
54,"NEW PRIMARY SCHOOL GAHOLIYA",443,364,0,807,198,170,0,368,368,0,66,131,4,154,0,0,1,0,0,0,1,0,1,1,1,5,0,3,0,368
55,"PRIMARY SCHOOL NARTH KAKSH HASNAPUR",495,395,0,890,261,189,0,450,444,0,123,162,29,111,2,0,0,1,0,0,0,1,1,0,0,5,2,12,1,450
56,"PRIMARY SCHOOL SOUTH KAKSH HASNAPUR",472,410,0,882,244,181,0,425,375,0,38,129,139,106,3,0,0,0,0,0,0,0,0,0,3,3,1,3,0,425
57,"PRIMARY SCHOOL THAKURAN GADEVA HAMLET HASNAPUR",482,410,1,893,280,251,0,531,509,0,186,166,82,47,0,0,0,0,1,0,0,0,0,0,2,7,11,20,9,531
58,"PRIMARY SCHOOL PUR",461,369,1,831,253,163,0,416,287,0,38,142,6,220,1,2,0,0,1,0,0,0,1,0,0,2,0,2,1,416
59,"PRIMARY SCHOOL PUR",473,377,0,850,354,246,0,600,583,0,268,153,31,145,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,600
60,"PRIMARY SCHOOL SHAHBAJPUR NARIHA",370,291,0,661,225,165,0,390,100,0,53,55,13,258,1,0,0,1,0,0,0,3,1,1,1,1,1,1,0,390
61,"PRIMARY SCHOOL ASANDA",452,369,0,821,293,206,0,499,498,0,165,118,7,191,3,0,0,0,0,0,1,0,0,1,3,3,2,2,3,499
62,"PRIMARY SCHOOL BUDHIYA",294,239,0,533,221,147,0,368,368,0,46,212,14,85,0,0,0,0,2,0,0,0,0,2,3,1,1,1,1,368
63,"PRIMARY SCHOOL SARAYHARPALI",446,395,0,841,283,204,0,487,487,0,84,115,6,259,0,1,0,0,2,0,0,1,0,1,0,2,3,2,11,487
64,"PRIMARY SCHOOL RURVAHAR",619,520,0,1139,379,292,0,671,671,0,83,358,5,197,1,2,0,2,0,1,1,4,1,3,4,5,1,2,1,671
65,"PRIMARY SCHOOL MUKHLISPUR",453,395,0,848,280,212,0,492,487,0,185,67,119,82,1,0,0,0,0,1,0,0,3,1,1,1,11,6,14,492
66,"PRIMARY SCHOOL BIVAIN",503,415,0,918,299,231,0,530,530,0,180,140,11,182,1,0,1,1,0,0,0,2,2,0,2,5,1,0,2,530
67,"PRIMARY SCHOOL BIVAIN",394,326,0,720,242,127,0,369,367,0,43,111,17,186,0,0,1,0,1,1,1,0,0,0,0,1,0,7,0,369
68,"PRIMARY SCHOOL BIVAIN",385,346,0,731,246,179,0,425,423,0,160,45,36,173,1,0,0,1,0,1,0,0,1,1,1,2,1,1,1,425
69,"PRIMARY SCHOOL HITMAPUR HAMLET BIVAIN",267,198,0,465,207,148,0,355,337,0,30,93,55,168,0,0,0,1,1,0,0,0,0,2,2,1,1,1,0,355
70,"PRIMARY SCHOOL MATIYAMAU",486,409,0,895,350,283,0,633,633,0,371,82,21,153,1,0,0,0,0,0,1,0,0,0,0,1,0,1,2,633
71,"PRIMARY SCHOOL BILAI",341,294,0,635,250,162,0,412,300,0,16,34,15,337,2,0,0,0,0,0,1,1,0,0,3,3,0,0,0,412
72,"PRIMARY SCHOOL BILVAHAR",400,316,0,716,258,186,0,444,444,0,96,200,37,97,0,0,0,1,0,0,1,1,1,1,5,2,0,0,2,444
73,"PRIMARY SCHOOL PURVI  KAKSH KISHARVAL",728,553,0,1281,286,442,0,728,723,0,164,434,51,53,1,4,4,1,2,1,1,1,0,0,7,1,1,2,0,728
74,"PRIMARY SCHOOL KISHARVAL",589,497,0,1086,332,171,0,503,253,0,195,103,51,109,34,4,1,0,1,0,0,0,0,2,0,2,0,1,0,503
75,"PRIMARY SCHOOL PARSAULI",495,399,0,894,298,176,0,474,300,0,12,182,23,229,0,0,0,0,0,0,0,17,0,0,1,0,0,7,3,474
76,"PRIMARY SCHOOL KARCHAL",612,491,0,1103,371,239,0,610,310,0,263,196,18,111,0,0,1,2,1,0,0,0,1,1,1,3,5,3,4,610
77,"PRIMARY SCHOOL KARBAK",660,519,0,1179,410,317,0,727,65,0,324,200,98,46,38,6,1,0,0,0,0,1,0,1,5,4,0,2,1,727
78,"PRIMARY SCHOOL BHAVAN",579,422,0,1001,355,206,0,561,561,0,72,180,127,160,0,0,1,1,1,1,1,2,6,3,1,2,1,0,2,561
79,"PRIMARY SCHOOL BHUJPURA",417,344,0,761,256,181,0,437,437,0,120,108,33,164,2,0,1,1,0,1,0,0,0,1,2,2,0,1,1,437
80,"PRIMARY SCHOOL BHUJPURA",492,412,0,904,298,201,0,499,499,0,100,96,23,256,1,0,0,0,0,0,1,4,1,0,5,6,3,0,3,499
81,"PRIMARY SCHOOL ALIYAPUR",722,597,0,1319,470,335,0,805,640,0,135,549,11,95,2,1,1,1,0,0,0,0,1,0,0,0,4,3,2,805
82,"NYA PRIMARY SCHOOL SUNVARSA",575,456,0,1031,212,157,0,369,365,0,62,196,31,66,1,2,0,0,2,0,0,0,2,1,0,0,0,3,3,369
83,"PRIMARY SCHOOL SUNVARSA KHAS",396,351,0,747,252,211,0,463,463,0,64,182,190,17,0,0,0,0,1,0,0,0,2,1,2,1,0,0,3,463
84,"PRIMARY SCHOOL BEHTA",672,565,2,1239,410,270,0,680,680,0,310,140,92,116,2,0,1,0,0,0,0,1,0,2,5,7,2,1,1,680
85,"PRIMARY SCHOOL KAIRANI",362,272,0,634,252,179,0,431,400,0,121,108,5,182,2,1,0,0,0,1,0,0,0,1,2,0,1,6,1,431
86,"JUNIYAR HIGH  SCHOOL RAIPALPUR",575,488,0,1063,361,292,0,653,653,0,334,283,14,9,0,0,2,0,1,0,0,0,0,0,3,4,3,0,0,653
87,"JUNIYAR HIGH  SCHOOL RAIPALPUR",288,229,0,517,137,83,0,220,220,0,67,121,7,16,0,1,0,0,0,0,0,0,0,0,0,0,3,3,2,220
88,"PRIMARY SCHOOL CHAMPATPUR HAMLET RAIPALPUR",315,258,0,573,211,151,0,362,362,0,127,97,17,107,1,0,0,0,0,0,0,8,0,1,1,1,1,0,1,362
89,"PRIMARY SCHOOL AHIRANI HAMLET RAIPALPUR",346,272,0,618,234,173,0,407,407,0,64,245,77,14,1,0,0,0,0,0,0,0,1,1,2,0,0,2,0,407
90,"PRIMARY SCHOOL SABALPUR BITHUR",249,195,0,444,193,143,0,336,327,0,227,53,7,28,0,0,0,0,0,1,0,1,0,1,5,5,7,0,1,336
91,"PRIMARY SCHOOL RAMPUR GAJRA",424,341,0,765,310,230,0,540,468,0,180,335,6,12,0,0,0,0,1,0,0,0,0,3,1,1,1,0,0,540
92,"PRIMARY SCHOOL ANT",415,339,0,754,240,162,0,402,397,0,41,180,142,7,0,1,2,3,0,1,1,1,1,3,8,5,2,3,1,402
93,"PRIMARY SCHOOL BHAGVANTPUR HAMLET ANT",239,170,0,409,86,46,0,132,132,0,1,14,6,110,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,132
94,"PRIMARY SCHOOL ANT",377,276,0,653,192,114,0,306,262,0,43,229,4,23,0,0,1,0,0,0,0,0,0,0,1,1,1,2,1,306
95,"PRIMARY SCHOOL PITARAPUR",810,602,0,1412,501,304,0,805,804,0,277,236,23,229,4,3,1,1,2,1,1,0,3,1,5,11,6,1,0,805
96,"PRIMARY SCHOOL GADRIYANPURVA HAMLET PITRAPUR",211,186,0,397,142,112,0,254,241,0,12,14,202,10,0,0,0,0,0,0,1,0,0,1,3,0,3,2,6,254
97,"PRIMARY SCHOOL SINGHPUR DIVANI",461,369,0,830,276,206,0,482,482,0,227,208,8,15,0,0,0,1,1,0,1,1,3,1,2,7,3,2,2,482
98,"PRIMARY SCHOOL RANJEETPUR",677,551,0,1228,382,353,0,735,733,0,102,366,19,228,1,1,0,0,0,0,0,7,0,3,4,1,2,0,1,735
99,"PRIMARY SCHOOL BHAUPUR KI MADAIYAN",219,172,0,391,135,102,0,237,237,0,36,155,20,22,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,237
100,"PRIMARY SCHOOL BHIKHAR",448,374,0,822,295,247,0,542,535,0,175,256,35,58,1,0,1,0,0,1,2,0,0,2,2,5,2,1,1,542
101,"PRIMARY SCHOOL MOHANPUR HAMLET  BHIKHAR",291,259,0,550,202,175,0,377,377,0,127,19,172,45,2,0,0,0,0,1,1,1,1,2,1,3,0,0,2,377
102,"PRIMARY SCHOOL NOUBASTA",517,428,0,945,321,231,0,552,552,0,81,333,90,32,1,0,0,0,0,2,1,0,3,2,0,1,3,3,0,552
103,"PRIMARY SCHOOL BHANGAPURVA HAMLET NOUBASTA",272,214,0,486,245,180,0,425,425,0,11,8,3,402,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425
104,"PRIMARY SCHOOL BASEHI HAMLET NOUBASTA",185,155,0,340,123,113,0,236,236,0,69,24,131,2,0,0,0,0,2,0,1,0,0,2,0,0,4,1,0,236
105,"PRIMARY SCHOOL SHAHPUR HAMLET BHIKHAR",413,341,0,754,266,205,0,471,471,0,146,150,6,153,1,0,0,0,0,0,0,7,1,0,2,2,2,0,1,471
106,"PRIMARY SCHOOL BHATUVAMAU",228,194,0,422,158,121,0,279,268,0,83,137,4,48,0,1,0,0,0,0,0,0,0,1,3,2,0,0,0,279
107,"PRIMARY SCHOOL BALUVAPUR",660,536,0,1196,453,334,0,787,786,0,448,242,49,21,1,0,1,0,2,1,0,1,0,1,4,3,6,4,3,787
108,"PRIMARY SCHOOL  SANGRAMPURHAMLET BALUWAPUR",226,188,0,414,171,138,0,309,309,0,96,40,9,161,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,309
109,"PRIMARY SCHOOL  JURAVARPUR HAMLET BALUWAPUR",280,227,0,507,172,121,0,293,293,0,179,51,29,16,0,2,0,0,0,0,0,0,0,0,0,4,7,3,2,293
110,"PRIMARY SCHOOL  LALPUR SHIVRAJPUR",788,643,0,1431,476,354,0,830,830,0,72,573,11,129,1,3,0,2,0,1,1,0,1,1,2,1,6,19,7,830
111,"PRIMARY SCHOOL  LALPUR SHIVRAJPUR",491,413,0,904,331,244,0,575,421,0,202,299,6,41,0,0,1,0,0,0,0,1,0,2,8,8,2,3,2,575
112,"JUNIYAR HIGH SCHOOL SARAIYANHAMLET LALPUR SHIVRAJPUR",503,380,0,883,327,259,0,586,586,0,225,309,4,25,1,0,1,0,1,3,1,0,2,1,2,0,5,5,1,586
113,"JUNIYAR HIGH SCHOOL NOUGANV HAMLET LALPUR SHIVRAJPUR",250,171,0,421,200,142,0,342,342,0,19,32,3,277,3,0,1,0,0,0,0,0,7,0,0,0,0,0,0,342
