"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - IMRAN MASOOD","2 - JAGDISH SINGH RANA","3 - RAGHAV LAKHANPAL","4 - SHAZAN MASOOD URF SHADAN MASOOD","5 - YOGESH KUMAR","6 - RATAN SINGH","7 - RAJENDER KUMAR","8 - SHAHANAVAJ","9 - SHIV KUMAR","10 - MOHD. FIROZ AFTAB","11 - RAGHUVEER SINGH BODH","12 - CP VERMA","13 - SESHRAJ","14 - HANSRAJ SAINI","15 - None of the Above","Total Votes Secured"
24,"PRATHMIC VIDHALYA  UTTARI BHAG ROOM NO-4,SHAKLAPURI",440,387,0,827,377,351,0,728,694,0,524,50,102,42,1,0,0,0,0,0,0,0,2,1,6,728
25,"PRATHMIC VIDHALYA  DAXANI BHAG ROOM NO-2 ,SHAKLAPURI",127,105,0,232,99,81,0,180,160,0,5,129,45,0,0,0,0,0,0,0,0,1,0,0,0,180
26,"PRATHMIC VIDHALYA  DAXANI BHAG ROOM NO-1  ,SHAHAPUR KADEEM",257,221,0,478,220,199,0,419,406,0,216,60,128,4,0,0,1,0,0,0,0,0,4,2,4,419
27,"PRATHMIC VIDHALYA  ROOM NO-1  MANSHAPUR",273,240,0,513,266,215,0,481,481,0,2,425,50,0,0,0,0,0,0,0,0,1,1,1,1,481
28,"PRATHMIC VIDHALYA  ROOM NO-1  SULTANPUR",709,611,0,1320,599,515,0,1114,1114,0,110,756,198,16,2,6,2,3,1,0,1,2,3,5,9,1114
29,"PURV MADHAYMIC VIDHAYAL UTTARIBHAG ROOM NO-1  DATOLI RANGHAD",627,531,0,1158,489,412,0,901,873,0,116,255,481,24,0,8,0,3,0,1,0,1,7,3,2,901
30,"PURV MADHAYMIC VIDHAYAL DAXANI BHAG ROOM NO-1  DATOLI RANGHAD",607,501,0,1108,472,406,0,878,865,0,454,16,195,198,0,0,1,1,0,0,0,0,2,1,10,878
31,"PRATHMIC VIDHALYA   ROOM NO-1 DAMAKADI",613,466,1,1080,520,387,0,907,907,0,189,360,329,10,2,1,0,0,1,1,0,2,5,5,2,907
32,"PRATHMIC VIDHALYA     ROOM NO-1  ATTARGADH",397,315,0,712,322,261,0,583,581,0,397,136,14,33,0,0,0,0,0,0,0,0,0,0,3,583
33,"PRATHMIC VIDHALYA  NEW BUILDING ROOM NO-1 HOGKHEDI",795,649,0,1444,688,588,0,1276,1205,0,699,528,32,12,1,0,1,0,0,0,0,0,1,1,1,1276
34,"PRATHMIC VIDHAYALYA   UTTARIBHAG ROOM NO-1  DABKI GUJAR",823,646,0,1469,664,488,0,1152,1099,0,161,637,325,7,1,0,1,0,1,1,1,2,5,3,7,1152
35,"PRATHMIC VIDHAYALYA   UTTARIBHAG ROOM NO-2 DABKI GUJAR",700,592,0,1292,498,394,0,892,882,0,455,108,201,122,1,0,0,0,2,0,0,0,0,2,1,892
36,"PRATHMIC VIDHAYALYA UTTARI BHAG ROOM NO-1  ,BOUPUR",743,599,0,1342,612,437,0,1049,856,0,529,60,329,93,9,1,0,1,4,0,5,1,6,3,8,1049
37,"PRATHMIC VIDHAYALYA UTTARI BHAG ROOM NO-2, BOUPUR",569,483,0,1052,453,373,0,826,825,0,122,562,59,66,0,0,0,0,0,0,0,1,3,3,10,826
38,"PRATHMIC VIDHALYA ROOM NO-1    ISHMILEPUR",771,612,0,1383,597,491,0,1088,1078,0,229,396,436,10,1,0,0,1,1,0,1,4,2,5,2,1088
39,"PRATHMIC VIDHALYA   PURVI BHAG ROOM NO-1 RUPDI GUJAR",543,484,0,1027,426,413,0,839,196,0,261,243,323,0,2,1,0,0,0,0,1,2,1,1,4,839
40,"PRATHMIC VIDHALYA PASCHAMI BHAG ROOM NO-1 RUPDI GUJAR",522,459,0,981,440,379,0,819,2,0,168,288,351,4,0,1,0,0,0,0,0,2,2,1,2,819
41,"PRATHMIC VIDHALYA NEW BUILDING ROOM NO-2 EGHARI",647,537,0,1184,515,430,0,945,4,0,542,200,76,103,4,3,0,0,1,0,0,1,0,6,9,945
42,"PRATHMIC VIDHALYA  ROOM NO- 1 NAGLAKHARI",372,297,0,669,298,255,0,553,553,0,29,383,129,0,0,0,0,0,0,0,0,3,2,5,2,553
43,"PRATHMIC VIDHALYA UTTARI BHAG ROOM NO-1  UNALI",750,651,0,1401,564,496,0,1060,942,0,185,355,491,9,0,0,0,0,1,0,4,3,4,5,3,1060
44,"PRATHMIC VIDHALYA UTTARI BHAG ROOM NO-2  UNALI",362,275,0,637,261,212,0,473,465,0,47,306,104,6,0,0,0,0,1,0,0,0,3,3,3,473
45,"PRATHMIC VIDHALYA  ROOM NO -1 KHATRIWALA",218,170,0,388,163,131,0,294,229,0,1,259,29,0,2,0,0,0,0,0,0,0,1,2,0,294
46,"GRAM PANCHAYAT BHAWAN  ROOM NO -1 KAMBOHMAZAR",268,233,0,501,209,195,0,404,389,0,12,263,121,1,0,2,0,0,2,0,0,0,2,1,0,404
47,"PRATHMIC VIDHALYA  ROOM NO -1  KAKRALA",768,605,0,1373,658,474,0,1132,1132,0,504,281,288,25,2,2,0,0,4,2,2,1,3,6,12,1132
48,"PRATHMIC VIDHALYA DAXANI BHAG  ROOM NO -2  KAKRALA",334,294,0,628,274,247,0,521,521,0,0,461,52,1,2,0,0,0,0,0,0,0,1,2,2,521
49,"PRATHMIC VIDHALYA   ROOM NO -1   PHATEHPURJUT",559,504,0,1063,478,422,0,900,416,0,301,302,216,64,1,2,0,0,3,0,3,3,3,2,0,900
50,"PRATHMIC VIDHALYA ROOM NO -1   GAWALIRA",846,720,0,1566,584,493,0,1077,915,0,14,527,497,3,5,11,1,2,9,0,0,2,3,2,1,1077
51,"PRATHMIC VIDHALYA ROOM NO -2  GAWALIRA",376,334,0,710,255,219,0,474,446,0,16,192,254,0,9,0,0,0,1,0,0,0,0,0,2,474
52,"GORI SANKAR INDERPAL SINGH INTER COLLEGE  HASANPUR ROOM NO -2",801,697,0,1498,490,420,0,910,890,0,81,218,580,9,8,1,0,0,1,0,1,2,2,1,6,910
53,"GORI SANKAR INDERPAL SINGH INTER COLLEGE  HASANPUR ROOM NO -3",777,613,0,1390,394,378,0,772,755,0,65,167,518,5,4,1,0,0,0,0,0,2,3,3,4,772
54,"GORI SANKAR INDERPAL SINGH INTER COLLEGE  HASANPUR ROOM NO -4",789,697,0,1486,520,460,0,980,972,0,107,369,474,2,10,1,0,1,2,1,2,2,2,1,6,980
55,"GORI SANKAR INDERPAL SINGH INTER COLLEGE  HASANPUR ROOM NO -9",195,180,0,375,120,123,0,243,219,0,0,46,192,0,4,0,0,0,0,0,0,0,1,0,0,243
56,"GORI SANKAR INDERPAL SINGH INTER COLLEGE  HASANPUR ROOM NO -5",698,538,0,1236,422,337,0,759,747,0,130,128,482,1,8,0,1,0,1,0,0,1,1,2,4,759
57,"GORI SANKAR INDERPAL SINGH INTER COLLEGE HASANPUR ROOM NO 6",538,451,0,989,321,297,0,618,608,0,88,136,383,1,6,0,0,0,1,0,0,0,0,0,3,618
58,"PRATHMIC VIDHALYA  ROOM NO-3 MANOHARPUR",709,599,0,1308,509,438,0,947,929,0,9,144,771,5,6,1,0,1,1,0,0,0,6,3,0,947
59,"PRATHMIC VIDHALYA  ROOM NO-1 MANOHARPUR",520,406,0,926,249,194,0,443,423,0,27,87,322,2,0,1,0,0,1,0,1,0,0,1,1,443
60,"PRATHMIC VIDHALYA  ROOM NO-2 MANOHARPUR",841,677,0,1518,599,511,0,1110,853,0,25,106,899,5,6,10,0,0,2,1,0,0,3,51,2,1110
61,"PURV MADHAYMIC VIDHYALYA E.C.C.E ROOM MANOHARPUR",626,571,0,1197,460,395,0,855,855,0,26,30,756,13,5,1,0,0,5,2,2,0,5,8,2,855
62,"PURV MADHAYMIC VIDHYALYA  ROOM NO -5 MANOHARPUR",558,463,0,1021,346,295,0,641,600,0,16,27,583,3,1,0,1,1,1,0,1,1,1,2,3,641
63,"PRATHMIC VIDHALYA  ROOM NO-  1 PINJORA",784,680,0,1464,665,451,0,1116,1081,0,348,330,331,83,0,4,1,0,3,1,2,5,2,6,0,1116
64,"PRATHMIC VIDHALYA   ROOM NO -2 PINJORA",789,672,0,1461,510,445,0,955,243,0,110,306,487,30,2,9,0,1,0,0,0,0,2,4,4,955
65,"SUNSHINE INTER COLLEGE ROOM- 5 DARA SHIVIPURI",596,440,0,1036,473,348,0,821,802,0,443,184,138,35,4,1,1,0,2,1,1,4,2,0,5,821
66,"SUNSHINE INTER COLLEGE ROOM- 6 DARA SHIVIPURI",547,453,0,1000,388,307,0,695,598,0,81,41,554,5,3,0,1,1,4,0,1,0,0,1,3,695
67,"SUNSHINE INTER COLLEGE ROOM- 1 DARA SHIVIPURI NAWADA ROAD",813,720,0,1533,533,440,0,973,923,0,203,179,560,15,4,1,0,1,1,1,1,2,1,1,3,973
68,"SUNSHINE INTER COLLEGE ROOM- 2 DARA SHIVIPURI  NAWADA ROAD",416,316,0,732,275,210,0,485,483,0,51,23,402,5,0,0,1,0,1,0,0,0,0,1,1,485
69,"SUNSHINE INTER COLLEGE ROOM- 2 DARA SHIVIPURI  NAWADA ROAD",813,636,0,1449,578,441,0,1019,970,0,53,211,726,2,5,1,3,0,1,0,1,2,3,5,6,1019
70,"PRATHMIC VIDHALYA  KAJIPURA NEW BUILDING ROOM NO-  3 DARASHIVPURI",670,561,0,1231,391,307,0,698,689,0,78,143,451,2,11,1,2,0,0,1,2,1,5,1,0,698
71,"PRATHMIC VIDHALYA  KAJIPURA NEW BUILDING ROOM NO- 4 DARASHIVPURI",370,316,0,686,224,199,0,423,263,0,40,85,273,7,2,9,0,0,2,0,0,1,1,0,3,423
72,"PRATHMIC VIDHALYA  KAJIPURA NEW BUILDING ROOM NO- 2  DARASHIVPURI",609,537,0,1146,389,369,0,758,753,0,26,418,286,3,6,1,0,0,1,0,2,5,2,4,4,758
73,"PRATHMIC VIDHALYA  KAJIPURA NEW BUILDING ROOM NO- 1  DARASHIVPURI",434,343,0,777,303,221,0,524,404,0,24,110,367,6,5,0,0,1,3,1,3,0,2,0,2,524
74,"PRATHMIC VIDHALYA  ROOM NO -1 MANAKMAU",769,657,1,1427,515,417,0,932,820,0,457,311,50,97,3,0,1,0,1,0,1,1,3,3,4,932
75,"PRATHMIC VIDHALYA  ROOM NO -4 MANAKMAU",711,570,0,1281,460,378,0,838,744,0,312,120,368,24,0,0,0,0,3,0,1,1,4,2,3,838
76,"PRATHMIC VIDHALYA  ROOM NO -2  MANAKMAU",699,583,0,1282,505,407,0,912,864,0,36,693,139,6,1,1,0,0,1,0,3,7,2,6,17,912
77,"PRATHMIC VIDHALYA  ROOM NO -5 MANAKMAU",706,601,0,1307,500,463,0,963,486,0,552,297,71,27,0,0,0,0,0,0,0,2,3,1,10,963
78,"PRATHMIC VIDHALYA  ROOM NO- 3 MANAKMAU",871,708,0,1579,553,480,0,1033,1030,0,792,6,82,144,2,1,0,0,0,0,0,0,0,1,5,1033
79,"PRATHMIC VIDHALYA  ROOM NO- 6  MANAKMAU",744,548,0,1292,457,339,0,796,796,0,707,10,11,58,1,0,0,0,0,0,2,1,2,1,3,796
80,"AMAR SHAHID INGTER COLLEGE ROOM NO-4 MANAKMAU",675,590,0,1265,428,372,0,800,685,0,409,4,317,59,3,0,0,0,2,0,0,1,0,1,4,800
81,"AMAR SHAHID INGTER COLLEGE ROOM NO-6 MANAKMAU",788,560,0,1348,486,362,0,848,842,0,715,10,42,73,2,0,1,2,0,0,0,1,0,0,2,848
82,"PRATHMIC VIDHALYA ROOM NO-1 HABIBGADH",831,590,0,1421,613,418,0,1031,767,0,663,225,74,32,0,2,1,2,0,3,7,4,5,4,9,1031
83,"PRATHMIC VIDHALYA ROOM NO-2 HABIBGADH",754,556,0,1310,528,362,0,890,890,0,721,62,24,66,2,1,0,0,1,0,0,1,3,2,7,890
84,"PRATHMIC VIDHALYA ROOM NO-3 HABIBGADH",373,263,0,636,257,190,0,447,447,0,396,3,5,39,1,0,0,0,1,0,0,1,0,0,1,447
85,"PRATHMIC VIDHALYA POST AND TELEGRAPH CENTER ROOM NO-1 MEGHCHHAPAR",631,472,0,1103,447,330,0,777,682,0,403,178,146,40,3,1,0,1,0,0,0,3,0,1,1,777
86,"PRATHMIC VIDHALYA UTTARI BHAG  ROOM NO-1 RAMGADH MAJARA DARAALI",284,226,0,510,269,220,0,489,488,0,2,466,14,0,0,0,0,0,0,0,0,0,0,6,1,489
87,"PRATHMIC VIDHALYA ROOM NO-1  KAJIWALA",532,428,0,960,417,319,0,736,690,0,106,258,346,12,1,0,0,0,3,0,0,2,3,3,2,736
88,"PRATHMIC VIDHALYA ROOM NO-2  KAJIWALA",975,754,0,1729,640,490,0,1130,1029,0,677,231,50,144,3,2,2,0,0,4,0,4,2,1,10,1130
89,"PRATHMIC VIDHALYA ROOM NO-1  CHAKADAMPUR",874,633,0,1507,695,503,0,1198,1180,0,510,540,93,23,9,1,2,0,1,1,1,0,2,5,10,1198
90,"PRATHMIC VIDHALYA ROOM NO-1 UTTARI BHAG HALALPUR",853,671,0,1524,686,564,0,1250,1242,0,298,623,295,9,0,0,1,1,3,2,0,0,3,6,9,1250
91,"PRATHMIC VIDHALYA ROOM NO-2 DAKSHINI BHAG HALALPUR",757,639,0,1396,608,541,0,1149,1149,0,324,225,563,13,3,0,1,0,0,0,0,3,4,3,10,1149
92,"PRATHMIC VIDHALYA ROOM NO-3 PURVI BHAG HALALPUR",479,393,0,872,336,325,0,661,467,0,320,178,146,7,1,0,0,0,1,1,0,0,2,1,4,661
93,"PRATHMIC VIDHALYA ROOM NO-1 BALPUR",397,361,0,758,368,332,0,700,685,0,3,219,461,4,0,0,0,0,1,1,0,1,3,5,2,700
94,"PRATHMIC VIDHALYA ROOM NO-1 HAKIMPURA",333,280,0,613,276,229,0,505,505,0,18,397,76,0,0,1,1,2,1,2,0,1,0,3,3,505
95,"PRATHMIC VIDHALYA NEW BUILDING PURVI BHAG ROOM NO-1 RAMJANPURA MAJARA DARAKOTTALA",802,527,0,1329,507,293,0,800,797,0,631,64,59,36,3,4,0,0,1,0,1,0,0,0,1,800
96,"PRATHMIC VIDHALYA NEW BUILDING DAXANI BHAG ROOM NO-2 RAMJANPURA MAJARA DARAKOTTALA",953,726,0,1679,580,451,0,1031,1031,0,886,38,39,53,0,0,0,0,0,0,3,1,1,1,9,1031
97,"PRATHMIC VIDHALYA NEW BUILDING PURVI BHAG ROOM NO-2 RAMJANPURA MAJARA DARAKOTTALA",736,616,0,1352,488,395,0,883,879,0,693,53,66,65,0,0,0,0,0,0,0,1,0,3,2,883
98,"PRATHMIC VIDHALYA NEW BUILDING DAXANI BHAG ROOM NO-4 RAMJANPURA MAJARA DARAKOTTALA",770,580,0,1350,490,380,0,870,868,0,430,172,220,38,0,0,2,1,1,1,0,1,2,0,2,870
99,"PRATHMIC VIDHALYA NEW BUILDING UTTARI BHAG ROOM NO-3 RAMJANPURA MAJARA DARAKOTTALA",442,363,0,805,336,257,0,593,593,0,423,66,82,15,1,0,1,0,0,0,0,0,2,0,3,593
100,"PRATHMIC VIDHALYA  UTTARI BHAG ROOM NO-1 GYANGADH  MAJARA DARAKOTTALA",598,471,0,1069,431,337,0,768,766,0,13,444,288,3,0,1,0,0,2,0,3,3,2,5,4,768
101,"PRATHMIC VIDHALYA  DAKSHINI  BHAG ROOM NO-2 GYANGADH  MAJARA DARAKOTTALA",493,403,0,896,396,340,0,736,735,0,178,162,296,70,0,0,0,1,2,1,5,3,5,6,7,736
102,"PRATHMIC VIDHALYA UTTARI BHAG ROOM NO-1 CHAKHARETI",693,544,0,1237,491,410,0,901,807,0,383,64,433,8,3,0,0,0,3,0,2,0,2,1,2,901
103,"PRATHMIC VIDHALYA UTTARI BHAG NEW BUILDING ROOM NO-1 CHAKHARETI",729,613,0,1342,578,372,0,950,248,0,234,309,379,10,2,0,1,1,1,0,0,2,3,3,5,950
104,"PRATHMIC VIDHALYA DAXANI BHAG NEW BUILDING ROOM NO-3 CHAKHARETI",770,638,0,1408,575,467,0,1042,871,0,196,478,341,2,2,0,1,0,3,1,0,2,1,6,9,1042
105,"PRATHMIC VIDHALYA  NEW BUILDING ROOM NO-7 CHAKHARETI",811,623,1,1435,578,451,0,1029,1028,0,168,151,680,13,1,2,1,2,3,1,1,1,1,1,3,1029
106,"PRATHMIC VIDHALYA ROOM NO -1 SADAK DUDHALI",539,396,0,935,425,310,0,735,735,0,410,134,173,7,0,0,2,0,2,0,3,1,0,1,2,735
107,"PRATHMIC VIDHALYA ROOM NO -4 SADAK DUDHALI",530,440,0,970,370,313,0,683,510,0,504,53,99,20,1,0,0,0,0,0,0,1,2,0,3,683
108,"PRATHMIC VIDHALYA ROOM NO -2  SADAK DUDHALI",685,575,0,1260,578,473,0,1051,909,0,734,64,173,53,4,1,0,1,3,3,1,1,1,2,10,1051
109,"PRATHMIC VIDHALYA ROOM NO -3 SADAK DUDHALI",515,426,0,941,387,306,0,693,690,0,565,22,82,17,0,0,0,0,1,0,0,0,0,1,5,693
110,"PRATHMIC VIDHALYA ROOM NO -1 KUMARHEDA",319,312,0,631,251,240,0,491,491,0,10,329,143,1,1,1,0,0,0,0,0,0,2,1,3,491
111,"PRATHMIC VIDHALYA ROOM NO -1 MOHAMANDPUR GADA",873,678,0,1551,670,569,0,1239,1172,0,956,182,74,17,1,1,0,0,0,0,1,0,1,3,3,1239
112,"PRATHMIC VIDHALYA ROOM NO -1 , PADLIKHUSHALPUR",493,411,0,904,426,350,0,776,776,0,524,50,160,23,0,0,1,1,4,0,0,0,2,2,9,776
113,"PANCHAYATGHAR  CHAK SARAY BHARTICHAND",377,294,0,671,339,280,0,619,612,0,318,257,25,15,0,0,0,0,0,0,1,0,1,1,1,619
114,"PRATHMIC VIDHALYA ROOM NO -1 DHAMOLA",375,330,0,705,327,278,0,605,605,0,377,86,10,124,1,0,0,0,2,0,0,0,0,2,3,605
115,"PRATHMIC VIDHALYA  ROOM NO -1 MADH",591,512,0,1103,465,416,0,881,853,0,134,247,445,34,2,0,0,2,1,1,1,4,4,3,3,881
116,"PRATHMIC VIDHALYA  ROOM NO -1 KHURD",511,341,0,852,445,307,0,752,745,0,674,8,13,51,0,1,0,0,0,0,0,1,1,1,2,752
117,"PRATHMIC VIDHALYA  ROOM NO 4 KHURD",540,457,0,997,469,399,0,868,868,0,466,114,252,28,0,0,0,0,1,0,0,2,4,0,1,868
118,"PRATHMIC VIDHALYA PUVI  BHAG ROOM NO-1 JAMALPUR",479,360,0,839,371,299,0,670,637,0,329,248,69,18,0,0,0,0,0,0,0,0,2,0,4,670
119,"PRATHMIC VIDHALYA  UTTARI BHAG ROOM NO-2 JAMALPUR",464,370,0,834,357,296,0,653,635,0,331,153,152,7,1,0,0,1,0,0,0,0,1,3,4,653
120,"PRATHMIC VIDHALYA  PURVI BHAG ROOM NO-3 JAMALPUR",404,366,0,770,345,299,0,644,626,0,594,31,6,12,0,0,0,0,0,0,0,0,0,0,1,644
121,"PRATHMIC VIDHALYA  ROOM NO-1 SHAMBHALKI SHEKH",558,449,0,1007,472,408,0,880,880,0,651,129,74,16,1,0,0,0,0,0,0,0,0,1,8,880
122,"PRATHMIC VIDHALYA ROOM NO-1 SARGATHALHAMID",318,247,0,565,275,220,0,495,441,0,14,445,25,0,0,1,0,0,0,1,1,1,0,4,3,495
123,"PRATHMIC VIDHALYA  ROOM NO-1 CHATKA",865,654,0,1519,674,540,0,1214,1000,0,1035,70,21,66,2,1,0,0,1,1,1,0,3,4,9,1214
124,"PRATHMIC VIDHALYA   ROOM NO- 1 UTTARI BHAG SARKADI SHEKH",776,659,0,1435,610,560,0,1170,1170,0,378,654,110,17,1,0,1,1,0,0,0,0,2,3,3,1170
125,"PRATHMIC VIDHALYA   ROOM NO- 2 DAKSHINI BHAG SARKADI SHEKH",404,353,0,757,308,288,0,596,596,0,525,15,6,39,1,1,1,1,0,1,1,2,0,0,3,596
126,"AGANVADI KENDRA GOKALPUR",459,351,0,810,381,308,0,689,618,0,417,67,144,48,2,0,1,0,2,1,0,2,1,2,2,689
127,"PRATHMIC  VIDHALYA  DAXANI BHAG ROOM NO -1, DEVLA",596,438,0,1034,476,361,0,837,773,0,329,388,99,5,2,0,1,0,2,0,1,1,1,6,2,837
128,"PRATHMIC VIDHALYA, PASCHAMI BHAG ROOM NO -2 DEVLA",409,395,0,804,284,267,0,551,484,0,252,192,95,0,3,0,0,1,0,0,0,1,1,0,6,551
129,"PRATHMIC VIDHALYA  ROOM NO -1 MIRJAPUR PIKI",299,249,0,548,261,215,0,476,300,0,9,43,405,4,0,0,0,0,2,0,0,1,3,6,3,476
130,"PRATHMIC VIDHALYA PURVI DAXANI BHAG ROOM NO -1 SALEMPUR BHUKDI",562,461,0,1023,455,375,0,830,776,0,140,415,237,19,1,3,1,0,0,0,0,3,2,5,4,830
131,"PRATHMIC VIDHALYA PURVI DAXANI BHAG  ROOM NO -2 SALEMPUR BHUKADI",710,590,0,1300,569,450,0,1019,1003,0,505,70,228,196,3,0,0,0,3,0,1,1,3,4,5,1019
132,"PRATHMIC VIDHALYA ROOM NO-1 TELIPURA",459,349,0,808,369,285,0,654,596,0,223,139,250,23,0,1,0,0,0,0,3,1,5,0,9,654
133,"PRATHMIC VIDHALYA ROOM NO- 2 TELIPURA",438,392,0,830,318,309,0,627,617,0,65,461,91,2,0,0,0,0,0,0,2,1,1,2,2,627
134,"PRATHMIC VIDHALYA ROOM NO- 1 WAZIDPUR MAZARA PIKI",170,155,0,325,143,125,0,268,265,0,60,5,166,36,1,0,0,0,0,0,0,0,0,0,0,268
135,"PRATHMIC VIDHALYA  ROOM NO- 1 PIKI",793,683,0,1476,558,595,0,1153,1070,0,621,72,409,24,0,0,0,0,4,0,0,2,8,4,9,1153
136,"PRATHMIC VIDHALYA  ROOM NO- 2 PIKI",352,276,0,628,288,228,0,516,514,0,113,375,25,1,0,0,0,0,0,0,0,0,0,0,2,516
137,"PRATHMIC VIDHALYA ASHANWALI",778,644,0,1422,615,479,0,1094,1090,0,182,594,261,23,1,3,1,1,1,1,0,1,8,13,4,1094
138,"PRATHMIC VIDHALYA PURVI BHAG ROOM NO-1 CHANDROLI",843,681,0,1524,715,609,0,1324,1314,0,1116,109,66,27,0,1,1,0,0,0,0,0,1,2,1,1324
139,"PRATHMIC VIDHALYA PASHCMI BHAG ROOM NO-2 CHANDROLI",781,621,0,1402,625,455,0,1080,1060,0,729,275,24,36,3,0,0,1,0,0,1,1,0,4,6,1080
