"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - LALITESH PATI TRIPATHI","2 - SAMUDRA BIND","3 - SURENDRA SINGH PATEL","4 - ANUPRIYA SINGH PATEL","5 - AJAD","6 - JITTOO RAM RATNA","7 - JEERA BHARTI","8 - BRIJESH KUMAR RAI","9 - BHAGWAN DAS","10 - RADHESHYAM INSAN","11 - VINEET SAHAI","12 - SHIVRAJ SAHNI","13 - SANTOSH KUMAR","14 - SARVESH DUBEY","15 - SUKCHARA NAND URF AALOO BABA","16 - ASHOK KUMAR","17 - ADESH TYAGI","18 - DR. KARNAIL SINGH","19 - GIRJA SHANKAR URF CHUNMUN","20 - DEVI","21 - RAJA RAM","22 - RAM MURAT","23 - HINCHH LAL","24 - None of the Above","Total Votes Secured"
1,NARAYANPUR,822,633,0,1455,583,440,0,1023,72,0,31,61,95,746,10,6,2,6,3,3,1,4,4,1,2,3,3,3,4,7,4,19,1,4,1023
2,NARAYANPUR,675,536,0,1211,454,377,0,831,40,0,22,177,39,548,2,2,0,2,1,2,2,4,4,2,0,1,4,3,0,5,0,6,3,2,831
3,JAMUA,531,415,0,946,309,236,0,545,545,0,62,23,81,352,4,4,0,1,0,0,2,0,3,0,0,2,1,2,0,1,2,4,1,0,545
4,JAMUA,413,355,0,768,292,200,0,492,492,0,7,2,32,418,5,2,2,1,1,0,1,1,2,3,0,2,0,1,0,2,0,10,0,0,492
5,JAMUA,838,661,0,1499,495,402,0,897,1,0,63,75,60,655,4,3,1,5,0,1,4,4,1,0,3,6,0,0,1,3,2,3,1,2,897
6,KOHARIYA,450,362,0,812,314,223,0,537,1,0,25,159,92,211,2,6,0,1,1,1,2,2,5,2,5,4,1,2,1,2,2,3,4,4,537
7,HEERAPUR,246,202,0,448,181,157,0,338,324,0,22,5,26,277,2,1,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,338
8,"JAMUA SATHIT GORAHI",692,565,1,1258,455,372,0,827,826,0,26,215,20,498,7,4,2,3,1,3,2,1,4,3,3,2,3,3,1,2,2,17,3,2,827
9,DUNAI,427,374,0,801,241,191,0,432,432,0,59,12,33,313,1,2,0,0,1,2,1,0,3,0,1,2,1,0,0,0,0,0,0,1,432
10,DUNAI,463,403,0,866,286,259,0,545,345,0,28,255,46,176,6,5,0,2,2,0,5,6,0,7,1,2,0,1,0,0,0,2,0,1,545
