"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - JITENDRA KUMAR SINGH BABLU BHAIYA","2 - NIRMAL KHATRI","3 - MITRASEN YADAV","4 - LALLU SINGH","5 - JAI RAM SINGH JAI","6 - NASREEN BANO","7 - MAKASUD ALI","8 - MAYURI TIWARI","9 - RADHIKA PRASAD","10 - RAM JANAM","11 - SHAILENDRA KUMAR SHUKLA","12 - None of the Above","Total Votes Secured"
44,"PS KOTDEEH - EAST",508,440,0,948,249,251,0,500,25,0,87,49,172,180,0,2,2,1,2,3,1,1,500
45,"PS KOTDEEH - WEST",492,436,0,928,222,218,0,440,430,0,149,29,105,143,3,0,6,1,1,0,1,2,440
46,"PS MAUGHANSHYAMPUR",216,178,0,394,122,129,0,251,251,0,62,16,32,134,2,3,1,0,0,0,1,0,251
47,"PS DHOLI ASKARAN",696,630,0,1326,401,358,0,759,759,0,95,33,380,206,3,0,4,4,9,3,3,19,759
48,"PS JAFARNAGAR",243,241,0,484,143,173,0,316,311,0,86,10,147,67,0,0,1,0,1,1,1,2,316
49,"PS JAGDISHPUR",471,420,1,892,306,278,0,584,584,0,77,13,188,269,3,1,8,3,14,2,1,5,584
50,"PS GADDOPUR",784,659,0,1443,431,337,0,768,10,0,60,41,248,385,9,1,3,5,7,3,2,4,768
51,"PS BHAVANNAGAR",476,406,0,882,249,219,0,468,468,0,145,27,101,179,1,0,0,3,5,2,1,4,468
52,"PS JAIRAJPUR",262,228,0,490,167,144,0,311,309,0,17,25,118,146,0,0,0,1,2,0,0,2,311
53,"PS BARIYARPUR",344,285,0,629,186,211,0,397,395,0,90,26,94,177,2,1,0,1,2,0,2,2,397
54,"PS TULAPUR",442,401,0,843,356,221,0,577,563,0,40,34,114,376,3,2,1,2,5,0,0,0,577
55,"PS PANDKIYA",411,386,0,797,217,219,0,436,435,0,120,7,61,230,2,0,0,3,7,2,0,4,436
56,"PS TALDHOLI",583,494,0,1077,325,253,0,578,578,0,221,13,83,219,7,1,3,5,9,3,2,12,578
57,"PS RAMPUR GAUHANIYA",531,518,0,1049,400,335,0,735,722,0,55,42,428,187,1,2,0,0,8,6,1,5,735
58,"PS MANJHANPUR",617,534,0,1151,371,325,0,696,695,0,103,97,167,282,4,1,0,5,16,10,6,5,696
59,"PS MAHUA",595,527,0,1122,322,322,0,644,644,0,34,58,185,326,5,2,1,4,8,6,3,12,644
60,"PS TULAPUR SARAULI",522,467,0,989,280,282,0,562,545,0,89,48,45,350,4,2,0,4,5,1,7,7,562
61,"PS DHARAULI - EAST",653,572,0,1225,332,291,0,623,348,0,162,32,164,225,5,3,12,3,3,6,0,8,623
62,"PS DHAROULI WEST",212,194,0,406,123,122,0,245,245,0,42,15,32,147,0,0,0,0,7,0,0,2,245
63,"PS MANUDIH",495,442,0,937,326,274,0,600,550,0,32,82,54,411,5,1,1,2,6,5,1,0,600
64,"PS NARSADA",243,240,0,483,132,174,0,306,300,0,52,24,59,157,2,1,1,1,5,1,1,2,306
65,"JHS SAHJANMAU",224,186,0,410,113,107,0,220,220,0,11,34,84,85,2,0,0,0,0,0,0,4,220
66,"PS MISHRAULI",347,323,0,670,194,215,0,409,6,0,92,38,137,129,3,0,0,3,2,1,1,3,409
