"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - JITENDRA KUMAR SINGH BABLU BHAIYA","2 - NIRMAL KHATRI","3 - MITRASEN YADAV","4 - LALLU SINGH","5 - JAI RAM SINGH JAI","6 - NASREEN BANO","7 - MAKASUD ALI","8 - MAYURI TIWARI","9 - RADHIKA PRASAD","10 - RAM JANAM","11 - SHAILENDRA KUMAR SHUKLA","12 - None of the Above","Total Votes Secured"
191,"DARBARI LAL JANSAHYOGI INTER COLLEGE KALUWAMAU ANJRAULI-3",737,641,0,1378,365,289,0,654,653,0,243,14,199,142,4,5,4,2,10,12,6,13,654
192,"PS DILI GIRIDHAR",465,475,0,940,309,308,0,617,617,0,83,58,84,359,5,2,4,2,6,5,1,8,617
193,"VIDYA MANDIR INTER COLLAGE MILKIPUR",847,728,0,1575,514,434,0,948,943,0,64,36,199,615,1,3,2,3,4,5,1,15,948
194,"SHAHEED R. A. SMARAK PM BALIKA VIDYALAY INTGAON I",541,441,0,982,333,267,0,600,115,0,133,34,205,178,7,1,3,3,12,13,5,6,600
195,"SHAHEED R. A. SMARAK PM BALIKA VIDYALAY INTGAON 2",507,498,0,1005,248,234,0,482,180,0,61,42,142,218,1,2,1,1,3,4,0,7,482
196,"PS SARIYAVAN",433,379,0,812,258,240,0,498,494,0,106,19,197,151,2,1,2,4,8,3,0,5,498
197,"JHS MUNGISPUR",389,373,0,762,252,205,0,457,455,0,65,39,171,161,6,2,2,1,1,3,1,5,457
198,"PS GUJRAMAU",551,529,0,1080,417,377,0,794,750,0,124,33,143,454,2,1,0,15,12,3,2,5,794
199,"PS KUNDHANAKHURDA",242,212,0,454,140,147,0,287,286,0,11,8,190,72,0,0,0,1,0,3,0,2,287
200,"PS MAHULARA - EAST",595,506,0,1101,319,288,0,607,601,0,92,34,235,212,3,0,2,3,10,9,3,4,607
201,"PS MAHULARA - WEST",610,540,0,1150,293,241,0,534,230,0,47,29,254,181,0,1,3,6,4,4,2,3,534
202,"PS PARSAVAN KHURD - EAST",612,514,0,1126,344,292,0,636,635,0,141,148,174,146,1,2,1,4,2,8,3,6,636
203,"PS PARSAVAN KHURD - WEST",621,525,0,1146,327,266,0,593,592,0,16,43,244,253,3,3,2,2,7,8,2,10,593
204,"PS SIRSIR - NORTH",449,371,0,820,235,209,0,444,443,0,65,29,205,119,4,0,2,3,4,4,2,7,444
205,"PS SIRSIR - SOUTH",722,580,0,1302,419,395,0,814,814,0,110,58,281,297,4,1,17,9,11,5,5,16,814
206,"PS DHAURHARA KALICHARAN",244,203,0,447,129,103,0,232,232,0,30,4,67,125,1,0,0,1,0,3,0,1,232
207,"PS KAHUA  NORTH",495,414,0,909,256,251,0,507,507,0,46,84,89,253,2,0,0,3,6,6,6,12,507
208,"PS KAHUA  SOUTH",416,367,0,783,245,205,0,450,442,0,27,112,85,204,0,1,0,3,4,6,2,6,450
209,"PS TIKRA",236,214,0,450,160,156,0,316,116,0,13,8,119,165,1,0,0,2,4,0,1,3,316
210,"PS TULAPUR",478,448,0,926,285,288,0,573,573,0,104,53,184,199,4,0,7,9,4,1,2,6,573
211,"PS BASAVAN",387,344,0,731,230,185,0,415,385,0,36,18,77,250,5,0,1,4,4,6,3,11,415
212,"PS INAYATNAGAR - EAST",515,464,0,979,304,274,0,578,576,0,43,37,223,250,1,1,4,5,2,7,2,3,578
213,"PS INAYATNAGAR WEST",521,436,0,957,298,222,0,520,518,0,29,40,138,286,3,2,5,2,7,1,3,4,520
214,"PS INAYATNAGAR - NORTH",455,397,0,852,250,234,0,484,220,0,18,16,324,108,2,1,0,3,3,4,3,2,484
215,"JHS KINAULI-1",609,557,0,1166,331,280,0,611,458,0,72,30,233,242,8,3,1,4,8,4,3,3,611
216,"JHS KINAULI-2",546,450,0,996,299,270,0,569,564,0,90,36,242,174,3,2,5,0,5,3,5,4,569
217,"BALDEV VIDYAPEETH INTER COLLAGE SEVRA-1",695,614,0,1309,385,368,0,753,703,0,135,44,310,230,1,2,1,2,7,6,8,7,753
218,"BALDEV VIDYAPEETH INTER COLLAGE SEVRA-2",496,456,0,952,302,276,0,578,552,0,81,23,197,251,4,0,1,4,3,4,6,4,578
219,"PS AGARBA",787,658,0,1445,417,391,0,808,808,0,101,87,174,396,4,3,3,11,8,5,7,9,808
220,"PS ALIPUR KHAJURI-1",788,642,0,1430,399,355,0,754,752,0,102,64,116,432,3,4,2,6,2,6,4,13,754
221,"PS ALIPUR KHAJURI-2",509,419,0,928,322,205,0,527,527,0,29,109,184,163,4,1,21,4,2,5,4,1,527
222,"DEV VIDYAPEETH IC TARDEEH URF TARAULI",743,569,0,1312,305,267,0,572,570,0,111,172,139,129,1,1,1,3,4,5,1,5,572
223,"JHS TAEDEEH URF TAROULI",448,338,0,786,245,195,0,440,440,0,56,21,97,235,4,3,0,4,7,1,4,8,440
224,"PS ASTHANA - NORTH",792,707,0,1499,424,365,0,789,789,0,114,81,293,238,7,3,1,9,11,9,5,18,789
225,"PS ASTHANA - SOUTH",464,369,0,833,225,216,0,441,438,0,80,22,118,202,3,2,2,0,4,0,2,6,441
226,"PS DASAULI",389,341,0,730,199,246,0,445,445,0,132,17,94,192,3,0,0,1,3,2,0,1,445
227,"PS BISAHI",725,622,0,1347,373,312,0,685,585,0,107,33,190,329,6,0,2,3,5,2,2,6,685
228,"PS KUMBHI",455,385,0,840,246,222,0,468,468,0,59,66,124,198,1,2,1,3,2,6,3,3,468
229,"PS AGHIYARI",553,479,0,1032,313,283,0,596,590,0,60,31,101,376,5,1,0,4,8,3,3,4,596
230,"PS CHIRAULI - EAST",805,649,0,1454,433,350,0,783,783,0,94,169,182,272,9,6,2,3,13,9,7,17,783
231,"PS CHIRAULI - WEST",294,287,1,582,156,172,0,328,328,0,95,48,29,141,2,2,0,0,4,1,1,5,328
232,"PS AGHIYAUNA",195,191,0,386,131,139,0,270,269,0,131,5,20,102,3,1,0,3,1,2,0,2,270
233,"JHS SAIDKHANPUR",279,283,0,562,193,180,0,373,358,0,177,5,18,154,3,0,0,3,3,4,3,3,373
234,"PS PARAKHANAI",477,440,0,917,290,275,0,565,500,0,253,26,100,167,1,1,0,2,6,2,1,6,565
235,"JHS KURAVAN-1",775,689,0,1464,453,386,0,839,613,0,252,38,126,381,6,1,2,5,6,3,4,15,839
236,"JHS KURAVAN-2",781,695,0,1476,453,410,0,863,853,0,158,73,180,403,3,4,9,18,7,5,0,3,863
237,"PS DHAURHARA MUKUNDHA",710,583,0,1293,385,304,0,689,689,0,75,17,74,480,6,1,3,3,8,2,4,16,689
238,"PS KINHUPUR - EAST",570,456,0,1026,302,266,0,568,566,0,112,9,63,341,6,1,0,7,14,4,2,9,568
239,"PS KINHUPUR - WEST",348,300,0,648,192,182,0,374,373,0,106,16,53,172,4,0,1,2,7,2,2,9,374
240,"PS BARIYANISARU",210,183,0,393,123,122,0,245,235,0,98,20,42,69,0,1,0,1,2,3,3,6,245
241,"PS KHANPUR",665,552,0,1217,363,305,0,668,667,0,53,64,108,411,6,1,3,2,7,0,1,12,668
242,"PS MAJNAI - EAST",692,601,0,1293,370,314,0,684,644,0,106,36,294,222,6,0,0,3,6,3,3,5,684
243,"PS MAJNAI - WEST",786,664,0,1450,417,373,0,790,773,0,43,109,206,401,2,0,19,0,6,0,2,2,790
244,"JHS MAJNAI - EAST",653,527,0,1180,336,248,0,584,583,0,25,17,311,207,8,0,1,2,4,4,1,4,584
245,"JHS MAJNAI WEST",387,314,1,702,216,161,0,377,354,0,11,12,126,222,1,0,1,0,1,2,0,1,377
246,"JHS NAUADHANK-1",715,588,1,1304,463,400,0,863,862,0,71,21,163,581,5,1,1,1,10,3,1,5,863
247,"JHS NAUADHANK-2",677,580,0,1257,401,365,0,766,763,0,81,29,398,210,2,2,3,6,9,9,8,9,766
248,"PS SONDHIYAVAN",539,471,0,1010,314,289,0,603,600,0,34,61,167,312,2,1,3,1,5,2,7,8,603
249,"PS TARMA",474,404,0,878,305,287,0,592,592,0,79,9,189,291,2,1,0,0,8,4,1,8,592
250,"PS PARSAULI",258,237,0,495,150,168,0,318,275,0,60,55,75,115,2,0,1,0,3,4,2,1,318
251,"PS ARMARUPIPUR",486,385,0,871,243,224,0,467,260,0,31,120,109,187,2,2,4,3,4,0,4,1,467
252,"PS DEVARIA (BHULNAPUR)",679,606,0,1285,440,397,0,837,800,0,233,41,315,220,0,3,0,5,6,6,3,5,837
253,"PS BARUN - EAST",632,567,0,1199,448,355,0,803,800,0,36,32,108,603,4,1,2,2,7,2,3,3,803
254,"PS BARUN - WEST",365,322,0,687,251,226,0,477,476,0,36,10,35,359,4,0,1,19,4,3,0,6,477
255,"PS RAJAUPUR",316,290,0,606,193,187,0,380,380,0,56,24,70,199,5,1,2,3,2,9,9,0,380
256,"PANCHAYAT BHAVAN  MEHDAUNA",758,627,0,1385,411,389,0,800,799,0,53,187,160,220,5,4,127,5,16,5,8,10,800
257,"PS BUDHANPUR - NORTH",507,416,0,923,244,219,0,463,460,0,10,72,90,137,2,2,132,8,5,2,2,1,463
258,"PS BUDHANPUR - WEST",460,465,0,925,244,239,0,483,481,0,125,48,72,191,3,0,16,3,7,2,4,12,483
259,"PS BUDHANPUR - SOUTH",653,578,0,1231,372,324,0,696,696,0,54,106,198,266,2,1,47,3,7,6,1,5,696
260,"PS TAKSARA - EAST",671,572,0,1243,406,333,0,739,531,0,12,97,169,413,9,2,3,2,14,6,5,7,739
261,"PS TAKASARA WEST",594,524,0,1118,383,322,0,705,621,0,82,74,154,356,5,1,2,6,8,6,2,9,705
262,"PS PALIYAMAFI NORTH",583,514,0,1097,294,292,0,586,586,0,115,76,164,192,5,2,4,13,1,4,0,10,586
263,"PS PALIYAMAPHI - SOUTH",307,262,0,569,202,191,0,393,380,0,49,9,45,266,3,0,1,3,8,3,2,4,393
264,"PS RAMPURVA",421,389,0,810,248,276,0,524,524,0,91,71,74,249,4,3,1,9,6,2,4,10,524
265,"PS DOBHIYARA",585,522,0,1107,351,344,0,695,648,0,52,78,182,350,7,2,0,5,6,6,4,3,695
266,"PS KARAMDANDA NORTH",741,627,0,1368,428,366,0,794,744,0,72,177,63,428,6,5,15,3,5,3,7,10,794
267,"PS KARAMDAMDA - SOUTH",712,613,0,1325,400,338,0,738,600,0,58,81,156,411,1,2,2,7,4,6,2,8,738
268,"PS KHIHARAN - EAST",395,358,0,753,249,207,0,456,454,0,4,50,195,188,2,1,4,2,3,2,0,5,456
269,"PS KHIHARAN - WEST",734,653,0,1387,446,456,0,902,902,0,281,133,91,326,4,4,6,7,7,21,5,17,902
270,"PS SAFDALBHARI",388,323,0,711,226,200,0,426,426,0,28,16,95,252,5,2,1,1,1,18,2,5,426
271,"PS SURWARA",467,453,0,920,282,283,0,565,540,0,64,74,97,294,3,1,7,2,5,5,3,10,565
272,"PS GAUHANNAKANOONGO",215,221,0,436,139,124,0,263,258,0,47,16,40,135,2,1,0,5,6,2,1,8,263
273,"PS PALIYA JAGMOHAN",652,582,0,1234,373,356,0,729,721,0,114,48,342,199,3,0,3,4,5,7,2,2,729
274,"PS BARIYADAI",199,180,0,379,148,127,0,275,275,0,22,6,108,128,0,1,0,0,3,2,0,5,275
275,"JHS KUCHERA - EAST",715,628,0,1343,426,337,0,763,761,0,83,44,179,430,1,2,2,3,5,5,3,6,763
276,"JHS KUCHERA - WEST",436,370,0,806,276,227,0,503,387,0,24,49,108,296,4,1,0,4,7,3,2,5,503
277,"JHS KUCHERA - SOUTH",486,428,0,914,303,240,0,543,535,0,56,27,88,355,3,2,1,2,4,1,2,2,543
278,"PS KUCHERA",446,390,0,836,274,242,0,516,516,0,66,30,70,332,6,1,0,3,1,5,2,0,516
279,"PS MITHEGAON",708,638,0,1346,454,426,0,880,880,0,196,115,176,374,2,1,1,4,2,2,0,7,880
280,"PS SARI 1 NORTH",477,416,0,893,270,240,0,510,510,0,16,103,40,334,0,0,1,3,5,1,2,5,510
281,"P S SARI PRATHAM- SOUTH",678,566,0,1244,427,341,0,768,715,0,140,159,78,337,6,4,3,1,6,7,5,22,768
282,"PS KHAJURI MIRJAPUR",290,260,0,550,161,145,0,306,303,0,12,130,85,68,2,1,0,2,2,2,1,1,306
283,"PANCHAYAT BHAVAN AHIRAULI SALONI",559,509,0,1068,321,315,0,636,633,0,136,24,88,346,3,1,1,4,8,4,4,17,636
284,"PS SARAINAMU",270,232,0,502,197,156,0,353,352,0,14,29,118,175,1,1,0,5,6,0,1,3,353
285,"JHS SHEKHANPUR",263,230,0,493,182,166,0,348,348,0,43,23,77,194,2,0,0,0,5,2,0,2,348
286,"PS MUBARAKPUR UMARNI",256,233,0,489,154,140,0,294,288,0,24,11,90,157,2,5,2,1,1,0,0,1,294
287,"PS DEVANPARA",363,312,0,675,214,206,0,420,420,0,62,19,136,191,0,1,0,1,6,1,2,1,420
288,"PS HARINATHPUR",320,262,0,582,169,158,0,327,186,0,21,10,123,153,3,0,1,2,4,5,0,5,327
289,"PS JAMUA",726,645,0,1371,429,401,0,830,766,0,114,69,92,515,7,2,3,2,10,2,7,7,830
290,"PS UCHAHPALI - NORTH",702,607,0,1309,441,368,0,809,806,0,94,45,247,401,2,1,4,4,4,6,0,1,809
291,"PS UCHAHPALI - SOUTH",534,493,0,1027,311,255,0,566,565,0,73,39,102,326,4,1,1,1,5,4,3,7,566
292,"PS PARA BRAMHNAN",648,612,0,1260,407,413,0,820,176,0,139,33,116,478,3,5,1,10,14,4,6,11,820
293,"PS BHAGIPUR",497,436,0,933,346,330,0,676,670,0,61,14,350,227,1,2,1,2,5,3,4,6,676
294,"JHS MAVAIKALA",599,543,0,1142,342,331,0,673,670,0,15,62,181,386,4,2,2,3,5,4,2,7,673
295,"PS KADANPUR - NORTH",522,492,0,1014,312,307,0,619,590,0,14,28,419,142,2,0,0,5,1,3,1,4,619
296,"PS KADANPUR - SOUTH",543,472,0,1015,326,278,0,604,602,0,75,23,339,141,3,0,1,3,7,4,1,7,604
297,"P S RANAPUR",778,704,0,1482,490,446,0,936,936,0,162,33,324,402,0,0,0,1,3,4,1,6,936
298,"PS ACHORA I - EAST",426,382,0,808,256,213,0,469,200,0,21,31,99,295,2,1,0,2,6,3,2,7,469
299,"PS ACHORA I - WEST",699,615,0,1314,396,320,0,716,716,0,132,65,218,262,8,4,0,6,7,5,2,7,716
300,"PS ACHORA I - EXTRA ROOM",483,439,0,922,243,211,0,454,454,0,45,27,193,176,0,1,1,2,3,1,2,3,454
301,"PS PARASPUR SATHRA",792,731,0,1523,454,469,0,923,923,0,72,27,292,491,4,2,2,8,8,5,5,7,923
302,"PS HARI RAMPUR",545,468,0,1013,288,243,0,531,380,0,58,35,114,291,3,2,0,3,9,6,1,9,531
303,"PS MAWAI KHURD",629,559,0,1188,360,347,0,707,700,0,62,37,138,438,6,0,1,5,11,2,1,6,707
304,"PS ASTIKAN - EAST",614,550,0,1164,357,342,0,699,699,0,124,32,219,302,2,3,3,0,6,5,2,1,699
305,"PS ASTIKAN WEST",348,290,0,638,184,177,0,361,360,0,65,28,116,134,2,1,2,1,1,5,2,4,361
306,"PS GANGA SARAI",328,273,0,601,224,176,0,400,399,0,43,40,83,205,5,2,3,4,5,3,2,5,400
307,"PS GHUREHTA - EAST",704,641,0,1345,456,355,0,811,809,0,188,61,325,190,3,4,2,5,12,8,5,8,811
308,"PS GHUREHTA - WEST",710,584,0,1294,401,368,0,769,766,0,117,57,208,341,7,1,1,5,9,5,5,13,769
309,"PS GHUREHTA - EXTRA ROOM",454,404,0,858,228,246,0,474,234,0,43,25,98,267,8,4,0,5,6,7,2,9,474
310,"PS BARDANDA",299,276,0,575,216,199,0,415,415,0,100,22,93,186,1,1,0,4,2,2,0,4,415
311,"PS JAKHA",188,174,0,362,119,120,0,239,239,0,25,41,21,141,3,0,0,1,1,0,1,5,239
312,"PS ADILPUR - NORTH",521,405,0,926,297,203,0,500,315,0,49,58,46,310,7,4,1,2,10,0,7,6,500
313,"PS ADILPUR - SOUTH",354,308,0,662,212,158,0,370,370,0,50,41,86,180,0,0,1,0,1,3,3,5,370
314,"PS ADILPUR - EXTRA ROOM",498,445,0,943,302,222,0,524,340,0,63,70,131,227,3,2,2,4,5,5,3,9,524
315,"PS BANSWARKALA- NORTH",492,345,0,837,256,208,0,464,463,0,33,17,85,306,3,0,1,1,5,5,1,7,464
316,"PS BANSWARKALA- EXTRA ROOM",421,355,0,776,242,205,0,447,428,0,80,18,87,235,4,1,0,2,4,6,2,8,447
317,"PS BANSWARKALA - SOUTH",413,349,0,762,227,236,0,463,461,0,42,20,277,109,2,1,1,1,2,2,1,5,463
318,"PS BASWAR KHURD",546,519,0,1065,322,285,0,607,607,0,129,39,72,331,6,0,4,3,8,4,4,7,607
319,"PS PALIA LOHANI - EAST",476,406,0,882,324,210,0,534,530,0,73,22,74,330,1,0,1,7,12,3,3,8,534
320,"PS PALIA LOHANI EXTRA ROOM- 1",470,409,0,879,268,232,0,500,500,0,115,37,98,235,2,1,0,1,3,2,2,4,500
321,"PS PALIA LOHANI - WEST",526,478,0,1004,290,289,0,579,194,0,86,34,85,331,7,2,4,1,11,4,2,12,579
322,"PS PALIA LOHANI - EXTRA ROOM-2",346,298,0,644,203,177,0,380,152,0,22,20,202,120,1,3,0,1,2,3,3,3,380
323,"PS URVA VAISHYA - NORTH",633,521,0,1154,369,286,0,655,375,0,68,20,142,385,5,4,2,9,10,1,1,8,655
324,"PS URVA VAISHYA - SOUTH",639,506,0,1145,355,257,0,612,612,0,39,13,295,233,4,1,0,4,8,2,4,9,612
325,"P S SONBARSA 1",293,255,0,548,184,134,0,318,316,0,42,41,64,158,0,1,1,2,3,0,1,5,318
326,"PS SONBARSA 2",595,531,0,1126,379,295,0,674,670,0,139,44,152,314,3,4,0,3,8,1,1,5,674
327,"P S GAYASUDDINPUR",711,645,0,1356,390,412,0,802,802,0,126,120,187,314,5,2,1,7,14,6,13,7,802
328,"PS SENDHUTARA",527,446,0,973,284,262,0,546,546,0,64,32,214,203,3,1,0,5,8,9,4,3,546
329,"P S CHAMAILA",596,560,0,1156,386,360,0,746,746,0,94,104,223,291,3,1,1,5,9,6,0,9,746
330,"PS PARATAJPUR I - EAST",572,553,0,1125,302,375,0,677,675,0,131,41,151,301,4,3,1,1,11,9,2,22,677
331,"PS PARATAJPUR I - WEST",325,304,0,629,175,161,0,336,211,0,13,9,134,168,2,1,0,2,0,3,1,3,336
332,"PS PARATAJPUR I - EXTRA ROOM",647,544,0,1191,358,293,0,651,651,0,24,26,339,238,2,0,0,2,5,1,0,14,651
333,"PS MALETHU KHURD",625,578,0,1203,393,378,0,771,285,0,90,43,194,400,5,2,0,2,12,7,5,11,771
334,"P S CHIKHDI",533,466,0,999,370,332,0,702,98,0,72,18,207,352,7,1,2,9,9,10,4,11,702
335,"P S SEMRA",574,471,0,1045,401,271,0,672,671,0,23,30,93,512,2,0,1,2,6,1,1,1,672
336,"P S SAGAR PATTI",801,765,0,1566,524,435,0,959,957,0,65,45,243,564,2,1,2,5,8,5,5,14,959
337,"PS SARAI MAJRA",319,289,0,608,187,174,0,361,361,0,14,17,176,129,2,1,0,8,9,4,1,0,361
338,"PS SAHIJAUNA EAST",545,498,0,1043,317,295,0,612,592,0,113,51,74,336,6,1,2,7,6,4,3,9,612
339,"PS SAHIJAUNA WEST",632,578,0,1210,357,344,0,701,689,0,47,36,262,322,5,0,0,4,5,3,6,11,701
340,"P S BHAUPUR EXTRA ROOM",273,250,0,523,161,169,0,330,330,0,30,42,10,224,5,0,1,3,5,4,1,5,330
341,"PS SHAHBABAD GRANT",421,378,0,799,256,238,0,494,492,0,0,14,349,115,1,2,0,2,0,5,1,5,494
342,"P S DIH BHARTI",286,260,0,546,163,170,0,333,329,0,47,5,114,144,2,4,1,2,3,2,0,9,333
343,"PS MAKETHU BUJURG I - NORTH",626,544,0,1170,376,358,0,734,663,0,100,28,162,410,8,0,0,5,6,4,7,4,734
344,"PS MAKETHU BUJURG I - SOUTH",621,543,0,1164,341,380,0,721,720,0,151,12,290,235,2,1,2,4,8,5,4,7,721
345,"PS JAGDISHPUR - EAST",534,408,0,942,277,253,0,530,500,0,52,28,189,248,4,1,0,1,4,2,0,1,530
346,"PS JAGDISHPUR - WEST",373,364,0,737,192,208,0,400,400,0,66,17,142,140,3,2,1,3,8,6,2,10,400
347,"PS VIJAINPUR",361,330,0,691,209,210,0,419,345,0,57,34,211,109,1,1,0,1,1,3,0,1,419
348,"P S RAMPUR JOHAN",830,711,0,1541,433,406,0,839,170,0,182,24,278,297,6,3,4,1,9,12,2,21,839
