"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANJU URF MUSKAN","2 - KAMLESH","3 - PRADEEP KUMAR JATAV","4 - BHOLA SINGH","5 - PYARE LAL","6 - RAGHURAJ PRATAP SINGH","7 - DR. RAHUL DIPANKAR","8 - VIJAI PAL","9 - SURESH","10 - HARVIR","11 - None of the Above","Total Votes Secured"
1,"KHEDI PRIMARY SCHOOL",705,545,0,1250,359,252,0,611,611,0,10,35,191,363,0,0,2,1,4,1,4,611
2,"BAUNDRA PRIMARY SCHOOL",474,397,0,871,246,210,0,456,456,0,97,4,145,203,2,3,0,1,1,0,0,456
3,"BEEHARA PRIMARY SCHOOL ROOM NO.1",447,370,0,817,233,168,0,401,401,0,19,52,67,242,2,0,6,4,1,4,4,401
4,"BEEHARA PRIMARY SCHOOL ROOM NO. 2",400,297,0,697,204,156,0,360,360,0,13,76,164,91,3,0,2,4,3,2,2,360
5,"TOMDI PRIMARY SCHOOL",785,649,0,1434,411,387,0,798,798,0,58,35,431,262,3,0,3,0,4,0,2,798
6,"PIPALA IKHLASPUR PRIMARY SCHOOL ROOM N0.1",691,533,0,1224,355,203,0,558,558,0,140,54,20,330,3,3,3,0,0,3,2,558
7,"PIPALA IKHLASPUR PRIMARY SCHOOL ROOM NO.2",732,531,0,1263,400,212,0,612,612,0,56,24,137,378,3,0,4,3,2,2,3,612
8,"MOHAMMADPUR  PANAHPUR SAINGLI PRIMARY SCHOOL",404,304,0,708,205,158,0,363,363,0,28,2,45,280,0,0,5,0,0,3,0,363
9,"BAHADURPUR  MAHESHPUR  PRIMARY  SCHOOL",531,427,0,958,400,232,0,632,632,0,3,11,90,497,8,3,0,9,1,2,8,632
10,"BAHADURPUR PASAULI PRIMARY  SCHOOL",673,522,0,1195,526,322,0,848,848,0,4,10,68,759,2,0,2,0,0,2,1,848
11,"RAHEEMPUR ALAWA PRIMARY  SCHOOL",587,548,0,1135,347,364,0,711,711,0,4,4,332,343,2,0,2,2,7,6,9,711
12,"NASEERABAD  POOTHI  PRIMARY  SCHOOL",381,359,0,740,260,239,0,499,499,0,2,61,57,364,2,0,4,2,2,1,4,499
13,"SHEKHPUR  GARHWA  JUNIOR  HIGH  SCHOOL",529,417,0,946,297,205,0,502,502,0,58,29,9,371,0,1,20,2,3,4,5,502
14,"SHEKHPUR GARHWA PRIMARY  SCHOOL  ROOM  NO .  1",757,642,1,1400,459,347,0,806,806,0,51,74,18,643,5,1,1,1,0,9,3,806
15,"SHEKHPUR GARHWA PRIMARY  SCHOOL  ROOM  NO .  2",633,520,0,1153,397,301,0,698,698,0,11,30,301,335,1,0,1,5,3,8,3,698
16,"DAULTABAD  PRIMARY SCHOOL",329,269,0,598,272,116,0,388,388,0,28,90,53,211,1,0,5,0,0,0,0,388
17,"RAMGARH  PRIMARY SCHOOL",308,249,0,557,196,162,0,358,358,0,5,66,142,141,1,0,1,0,0,1,1,358
18,"LAKHAVATI  PRIMARY SCHOOL   ROOM  NO.1",569,511,0,1080,301,233,0,534,534,0,16,98,90,319,2,1,4,1,0,3,0,534
19,"LAKHAVATI  PRIMARY SCHOOL   ROOM  NO.2",603,466,0,1069,306,205,0,511,511,0,58,115,6,316,1,0,6,5,0,0,4,511
20,"MOODHI BAKAPUR PRIMARY SCHOOL  ROOM  NO .1",330,270,0,600,181,146,0,327,327,0,5,9,176,126,2,0,0,1,3,2,3,327
21,"MOODHI BAKAPUR PRIMARY SCHOOL  ROOM  NO .2",612,532,0,1144,343,300,0,643,643,0,38,25,31,513,2,1,18,4,0,4,7,643
22,"MOODHI BAKAPUR JUNIOR HIGH SCHOOL  ROOM  NO .1",437,324,1,762,291,177,0,468,468,0,2,36,1,415,3,1,2,0,0,4,4,468
23,"MOODI BAKAPUR JUNIOR HIGH SCHOOL  ROOM  NO .2",459,390,0,849,331,252,0,583,583,0,5,45,3,505,5,0,4,3,0,5,8,583
