"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - BAL KUMAR PATEL ALIAS RAJKUMAR","2 - BHAIRON PRASAD MISHRA","3 - RAMCHANDRA SARAS","4 - VIVEK KUMAR SINGH","5 - R. K. SINGH PATEL","6 - AMAR SINGH RATHAUR","7 - PAPPU YADAV","8 - PRABHAKAR PRASAD","9 - VISHVAMBHAR NATH","10 - MO. SAGEER","11 - SUSHEELA SINGH","12 - NARENDRA KUMAR SHRIVASTAVA","13 - VIJAY PRAKASH","14 - None of the Above","Total Votes Secured"
1,"PR.VI. MORWAN ROOM NO. 1",498,395,0,893,288,255,0,543,20,0,17,383,12,20,86,2,2,2,5,1,7,1,3,2,543
2,"PR.VI.MORWAN ROOM NO.2",517,438,0,955,309,226,0,535,535,0,26,285,12,21,145,5,0,2,13,3,1,5,9,8,535
3,"PR.VI.HUSENPUR KALAN",597,499,0,1096,316,253,0,569,373,0,84,206,11,70,153,9,0,5,1,2,3,9,4,12,569
4,"BEEJGODAM KA BARAMDA HUSENPUR KHURD",549,484,0,1033,308,286,0,594,589,0,221,185,12,6,145,3,0,1,3,0,2,3,3,10,594
5,PR.VI.KOLAWALRAYPUR,373,298,0,671,220,141,0,361,353,0,250,68,6,5,20,0,1,0,3,2,0,2,1,3,361
6,POORV.MA.VI.MAU.(G),603,478,0,1081,395,279,0,674,644,0,330,230,12,5,79,3,0,2,3,1,0,0,3,6,674
7,PR.VI.BANSI,744,608,0,1352,435,306,0,741,741,0,88,371,20,35,186,4,2,3,9,1,4,5,7,6,741
8,PR.VI.DEVRAR,701,618,0,1319,374,436,0,810,10,0,149,437,21,8,166,5,3,2,4,1,0,4,3,7,810
9,PR.VI.TARKHARI,602,491,0,1093,386,316,0,702,702,0,35,421,19,31,154,2,0,2,3,1,2,6,9,17,702
10,PR.VI.PAHADPUR,580,498,0,1078,376,283,0,659,300,0,78,299,13,15,213,4,2,3,3,1,1,4,11,12,659
11,"KISAN U.M.V.NOHAI ROOM NO.-1",660,601,0,1261,442,351,0,793,783,0,139,379,13,23,194,1,4,0,1,4,4,2,15,14,793
12,"KISAN U.M.V.NOHAI ROOM NO. 2",724,627,0,1351,482,362,0,844,662,0,120,519,18,22,120,9,1,1,3,0,3,1,9,18,844
13,"PR.VI.NANDWARA ROOM NO.1",540,518,0,1058,362,295,0,657,657,0,190,299,15,12,97,4,0,2,2,3,0,5,7,21,657
14,"PR.VI.NANDWARA ROOM NO.2",583,519,0,1102,378,285,0,663,602,0,217,303,10,20,71,2,0,1,2,2,5,6,4,20,663
15,"POORV MA.VI.BAHERI ROOM NO.1",524,425,0,949,283,228,0,511,507,0,124,280,10,26,38,2,1,4,1,0,5,7,8,5,511
16,"POORV MA.VI.BAHERI ROOM NO. 2",691,626,1,1318,370,387,0,757,559,0,58,146,3,14,491,10,3,1,2,5,4,3,5,12,757
17,PR.VI.BAHERI,181,147,0,328,90,70,0,160,13,0,39,56,1,4,58,0,0,0,0,0,0,0,1,1,160
18,"PR.VI.HAJARIPURWA ANS BADEHA SYODHA",407,350,0,757,229,195,0,424,422,0,71,210,6,10,108,1,0,0,9,0,0,1,4,4,424
19,PR.VI.REEGA,337,291,0,628,186,163,0,349,315,0,103,140,7,6,80,0,0,1,4,0,1,2,1,4,349
20,PR.VI.GOKHIYA,402,342,1,745,239,196,0,435,435,0,108,212,6,9,95,3,0,1,0,1,0,0,0,0,435
21,"POORV MA.VI.GOKHIYA ROOM NO.1",604,525,0,1129,360,288,0,648,647,0,68,351,8,32,155,11,1,1,0,1,1,3,2,14,648
22,"POORV MA.VI.GOKHIYA ROOM NO.2",681,621,0,1302,350,306,0,656,653,0,103,195,6,56,260,6,0,1,15,2,0,7,3,2,656
23,"PR.VI.PACHOKHAR ROOM NO.1",848,733,0,1581,469,381,0,850,845,0,142,375,18,11,234,9,3,6,11,5,4,6,9,17,850
24,"PR.VI.PACHOKHAR ROOM NO.2",486,401,0,887,198,137,0,335,334,0,60,121,6,12,122,3,0,1,4,0,1,3,2,0,335
25,"PR.VI.PACHOKHAR ROOM NO.3",461,413,0,874,193,179,0,372,354,0,76,79,3,4,170,3,0,2,3,1,3,6,2,20,372
26,PR.VI.KALHARA,438,362,0,800,262,243,0,505,502,0,263,90,14,25,81,1,0,2,12,5,2,1,2,7,505
27,"PR.VI.HADHA ROOM ROOM -1",616,526,0,1142,449,329,0,778,750,0,586,9,1,12,158,3,1,0,0,0,0,1,1,6,778
28,"PR.VI.HADHA ROOM ROOM -2",503,452,0,955,272,296,0,568,550,0,473,2,5,21,62,0,1,1,0,0,0,0,0,3,568
29,"PR.VI.KABOULI ROOM NO.1",439,389,0,828,299,290,0,589,580,0,535,12,1,2,31,2,0,0,0,0,0,3,0,3,589
