"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - TUFANI","2 - TUFANI NISHAD","3 - BHOLANATH ALIAS B.P. SAROJ","4 - RAM CHARITRA NISHAD","5 - SUBAS CHANDRA","6 - RAJ ALIAS VIRENDRA KUMAR SONKAR","7 - RAJESH","8 - LALJI","9 - SIKANDAR","10 - SURESH GAUTAM","11 - HARI","12 - OMPRAKASH ALIAS AMBEDKAR","13 - RAJESH SONKAR","14 - SHRAVAN KUMAR PASWAN","15 - HARINATH","16 - None of the Above","Total Votes Secured"
37,"K.P.P. MACHHLISHAHR",323,266,0,589,169,138,0,307,105,0,61,0,135,104,2,2,0,0,0,1,1,0,0,0,1,0,307
38,"K P S MACHHLISHAHAR",444,363,0,807,309,205,0,514,298,0,63,9,84,348,4,2,0,0,0,0,0,0,1,1,2,0,514
39,"K P S MACHHLISHAHAR",207,166,0,373,171,98,0,269,134,0,18,2,47,199,0,2,0,0,0,0,0,0,0,1,0,0,269
40,"P S MACHHLISHAR",613,577,0,1190,306,255,0,561,415,0,193,9,262,84,1,4,0,0,0,0,1,0,0,1,2,4,561
41,"P S MACHHLISHAHAR",322,284,0,606,154,125,0,279,250,0,33,4,56,169,5,1,1,0,0,0,1,0,1,0,5,3,279
42,"P S MACHHLI SHAHAR",801,624,0,1425,416,310,0,726,126,0,79,24,127,472,11,2,0,0,0,1,1,0,0,5,2,2,726
43,"P.S. MACHHLISHAHAR",260,260,0,520,88,96,0,184,74,0,20,5,93,58,1,0,2,0,0,0,0,0,2,2,1,0,184
44,"BIHARI MAHILA MAHAVIDYALAY MACHHLISHAHAR",636,578,0,1214,230,214,0,444,144,0,72,16,250,94,4,2,1,0,1,0,0,1,0,1,2,0,444
45,"BIHARI MAHILA MAHAVIDYALAY MACHHLISHAHAR",178,171,0,349,59,54,0,113,65,0,49,4,45,8,1,0,1,0,0,0,0,0,0,0,2,3,113
46,"P S JAMALPUR NORTH SIDE",503,392,0,895,210,182,0,392,133,0,217,7,22,125,5,1,0,0,0,0,3,2,0,1,3,6,392
47,"P S JAMALPUR NORTH SIDE",517,396,0,913,222,219,0,441,231,0,94,20,194,97,4,7,0,0,0,0,2,1,3,5,2,12,441
48,"P S JAMALPUR SOUTH SIDE",542,471,0,1013,276,243,0,519,219,0,282,15,24,175,9,1,1,0,0,0,0,1,1,1,3,6,519
49,"P S JAMALPUR SOUTH SIDE",348,272,0,620,143,118,0,261,142,0,100,3,38,107,2,1,2,0,1,0,0,0,2,2,0,3,261
50,"P S DEWARIYA",652,526,0,1178,370,257,0,627,315,0,464,12,8,123,8,1,0,0,0,0,0,0,1,1,1,8,627
51,"P S MUZAR",585,482,0,1067,226,234,0,460,157,0,75,19,249,91,6,1,0,0,1,1,0,1,4,6,4,2,460
