"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - REKHA","2 - ANAND BHADAURIYA","3 - AJAY VERMA","4 - ANAND KUMAR","5 - KIRTI SINGH","6 - SWAMI DAYAL","7 - DAUD AHMAD","8 - KUWAR JITIN PRASAD","9 - LEKHRAJ","12 - RAM BALI","13 - RAJENDRA KUMAR SINGH","14 - SUKHVINDRA SINGH","15 - VIVEK MISHRA","16 - VIJAY KUMAR TIWARI","17 - MALA DEVI","18 - None of the Above","Total Votes Secured"
1,"JHS TIHAR",704,668,0,1372,536,460,0,996,399,0,324,40,3,5,0,5,383,200,8,2,4,10,3,4,1,4,996
2,"PS NAURANGPUR",600,538,0,1138,459,358,0,817,817,0,99,212,4,5,1,4,208,252,5,2,5,5,4,6,2,3,817
3,"PS HATHURI",349,302,0,651,302,249,0,551,550,0,111,258,2,10,1,3,115,38,2,1,1,3,1,0,1,4,551
4,"PS SHEKHAPUR",326,302,0,628,279,238,0,517,2,0,196,60,7,3,0,0,109,128,7,0,0,2,1,2,1,1,517
5,"PS MUSTAFABAD",899,802,1,1702,641,546,0,1187,597,0,275,121,2,2,1,5,284,473,7,0,0,2,1,6,3,5,1187
6,"PS JAGNA",672,601,0,1273,528,426,0,954,950,0,374,36,5,2,3,2,125,368,11,3,1,2,2,6,3,11,954
7,"PS SAHROI SIKTIHA",584,510,0,1094,427,354,0,781,123,0,89,131,1,15,0,3,252,260,9,2,3,3,4,1,2,6,781
8,"PS SAHADAT NAGAR EAST",968,816,0,1784,591,411,0,1002,410,0,162,188,6,4,2,2,284,319,4,1,4,5,2,6,4,9,1002
9,"PS SAHADAT NAGAR WEST",808,718,0,1526,503,326,0,829,20,0,161,114,2,9,1,4,457,57,5,3,3,5,1,1,0,6,829
10,"PS NAUWA",520,469,0,989,372,340,0,712,31,0,261,39,4,3,3,0,76,305,6,1,2,3,1,4,1,3,712
11,"PS KAIMA",273,210,1,484,190,119,1,310,309,0,30,65,3,3,0,1,64,136,0,0,0,1,0,1,1,5,310
12,"PS NARVAHANPUR",352,318,0,670,280,201,0,481,10,0,140,88,1,7,1,4,188,28,3,3,0,2,2,0,0,14,481
13,"PS UMARSA",530,445,0,975,399,290,0,689,9,0,157,160,1,5,1,4,203,105,14,3,1,2,3,7,4,19,689
14,"PS KUSUMA R.N. 1",653,566,0,1219,499,336,0,835,26,0,165,199,5,8,3,4,227,194,2,0,4,4,3,8,1,8,835
15,"PS KUSUMA R.N. 2",247,220,0,467,204,167,0,371,11,0,107,19,3,0,3,0,124,108,1,0,0,1,2,1,1,1,371
16,"PANCHAYAT GHAR PAREWA",212,186,0,398,170,134,0,304,35,0,159,16,1,6,0,0,56,53,2,0,1,1,1,0,1,7,304
17,"PS DHENAPUR",192,179,0,371,168,140,0,308,308,0,160,79,2,0,1,1,13,45,4,0,0,2,0,0,1,0,308
18,"PS BIBIPUR",699,633,0,1332,536,369,0,905,800,0,482,39,3,2,1,2,264,83,10,0,0,3,3,1,0,12,905
19,"PS DAHELYA H/O BIBIPUR",601,532,0,1133,460,316,0,776,14,0,198,51,3,7,5,2,353,72,12,2,1,5,5,2,3,55,776
20,"PS PARAI RAIPUR",608,482,0,1090,415,294,0,709,709,0,173,198,4,4,2,2,176,146,2,1,0,0,0,0,0,1,709
21,"PS ANDAULI",282,259,0,541,256,220,0,476,9,0,357,23,3,2,1,0,34,47,3,0,0,0,0,1,1,4,476
22,"PS KAURAYYA UDAYPUR R.N. 1",648,516,0,1164,453,277,0,730,14,0,318,113,7,1,0,5,63,197,4,0,1,1,5,8,1,6,730
23,"PS KAURAYYA UDAYPUR R.N. 2",671,553,1,1225,480,317,0,797,148,0,333,47,2,4,2,2,213,163,3,3,1,6,3,2,5,8,797
24,"PS ROJHA",325,250,0,575,245,163,0,408,408,0,73,245,2,7,0,0,39,32,3,0,0,1,0,1,2,3,408
25,"PS ATARYA KIRATPUR",250,219,0,469,216,142,0,358,2,0,103,80,4,2,1,0,91,55,2,0,3,2,1,3,1,10,358
26,"JHS DHAUREMAU",751,629,0,1380,525,435,0,960,8,0,176,160,2,7,1,1,197,385,6,1,7,5,4,3,2,3,960
27,"PS DEVAI",860,654,0,1514,610,433,0,1043,13,0,157,241,6,7,1,4,361,244,2,3,2,2,0,3,2,8,1043
28,"PS IMLIYA SULTANPUR R.N. 1",536,496,1,1033,355,363,0,718,530,0,81,175,1,1,1,1,159,287,2,3,2,2,0,1,0,2,718
29,"PS IMLIYA SULTANPUR R.N. 2",566,504,0,1070,403,370,0,773,98,0,87,88,4,5,1,2,320,254,0,1,1,1,3,0,1,5,773
30,"PS RAMPUR NAWAGOAN",463,387,0,850,354,288,0,642,325,0,150,136,4,2,0,3,302,28,4,0,3,3,1,3,1,2,642
31,"PS BHOGIPUR",357,303,0,660,267,190,0,457,81,0,140,27,2,3,1,1,188,72,7,1,2,7,2,1,0,3,457
32,"BAJRANG JHS ALIYA R.N.1",635,562,0,1197,426,268,0,694,332,0,330,28,6,4,1,0,178,121,6,2,1,3,3,2,3,6,694
33,"BAJRANG JHS ALIYA R.N.2",312,269,0,581,219,170,0,389,302,0,157,72,3,7,2,3,88,32,3,0,0,0,0,1,0,21,389
34,"PS BASETI R.N.1",589,520,0,1109,451,374,0,825,824,0,291,180,3,3,5,0,224,78,13,1,1,7,4,1,0,14,825
35,"PS BASETI R.N.2",586,490,0,1076,473,351,0,824,824,0,41,207,2,5,1,0,307,256,1,0,0,2,0,0,0,2,824
