"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - JAIVEER SINGH","2 - MUKESH RAJPUT","3 - RAMESHWAR SINGH YADAV","4 - SALMAN KHURSHID","5 - ANJU","6 - KRISHAN KUMAR DIXIT ALIAS K. K. DIXIT","7 - MO. TAMAJID","8 - TARIK PARVEZ","9 - DAYA SHANKAR","10 - RAMNIWAS KATHERIA","11 - ANURAG RAJPUT","12 - ANOKHEY LAL","13 - IMAMUDDIN HUSAIN HUSAIN","14 - ANSHU MAHAN","15 - KISHAN PAL SINGH","16 - MALIKHAN SINGH ADVOCATE","17 - MUKESH RAJPUT","18 - RAM KISHORE DIWEDI","19 - VIMLA DEVI","20 - VRAHMA SARAN JATAV","21 - SACHIN SINGH YADAV","22 - SURESH SARASWAT ALAIS ILLAYCHIWALA","23 - None of the Above","Total Votes Secured"
1,"MOHAN SINGH U.M.V. MANDIR GAHRI MADSUA R.N.1",510,371,0,881,468,307,0,775,1,0,2,6,757,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,775
2,"P.P. JAGPURA",642,471,0,1113,466,294,0,760,390,0,80,174,479,2,1,0,0,0,2,0,0,0,2,0,2,5,1,3,1,5,3,0,0,760
3,"P.P. PACHIM NAGLA AJIT",676,568,0,1244,603,432,0,1035,1,0,0,3,1029,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1035
4,"P.P. PURSARI",636,513,0,1149,425,230,0,655,165,0,59,476,94,2,1,1,1,0,1,0,0,0,0,2,3,1,4,7,2,0,0,0,1,655
5,"P.P. SUKTIKHEDA",426,330,0,756,314,245,0,559,4,0,1,2,392,12,1,0,4,0,3,1,0,2,0,2,0,1,0,1,2,1,131,0,3,559
6,"P.P. PATSUA",323,263,0,586,287,215,0,502,4,0,21,1,437,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,39,0,0,502
7,"P.P. SAHORI",623,489,0,1112,376,272,0,648,450,0,14,239,307,22,1,0,1,0,0,1,1,3,1,4,2,5,2,19,9,6,6,2,3,648
8,"SHREE MEKU SINGH I.C. MUSEPURA MAJRA SAHORI R.N.1",630,435,0,1065,147,394,0,541,1,0,6,130,337,18,2,3,2,1,1,0,1,0,0,1,1,3,0,3,1,1,30,0,0,541
9,"P.P. NAGLA MANIKA",422,434,0,856,369,357,0,726,1,0,23,14,667,7,0,0,0,0,0,0,0,0,0,1,1,1,0,1,8,1,1,1,0,726
10,"SHREE MEKU SINGH I.C. MUSEPURA MAJRA SAHORI R.N.2",677,519,0,1196,510,328,0,838,3,0,119,22,535,36,0,2,5,0,2,0,0,3,1,3,1,4,6,5,6,3,84,1,0,838
11,"P.P. BAGOLI",536,387,0,923,291,227,0,518,355,0,106,102,288,6,1,1,0,0,0,0,3,1,0,0,0,2,1,1,1,2,1,0,2,518
12,"P.P. NAGLA DANDA M. VAGHAULI",275,226,0,501,262,213,0,475,50,0,0,0,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,475
13,"U.P.V. BAGHAULI SITHTI CHILAULI",379,303,0,682,228,178,0,406,5,0,22,226,122,5,1,1,1,0,1,0,0,0,0,2,1,2,1,10,3,1,7,0,0,406
14,"SHRI  GANDHI SMARK I.C MOHKAMPUR",619,439,0,1058,561,390,0,951,400,0,0,3,943,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,951
15,"P.P. SAHADATNAGAR",463,411,0,874,373,301,0,674,1,0,43,12,617,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,674
16,"J.H.S AHMADPUR",357,271,0,628,180,129,0,309,1,0,3,112,180,1,0,0,0,0,0,0,1,0,0,2,1,0,0,4,2,1,2,0,0,309
17,"P.P. NAGLA AMARSINGH",403,384,0,787,291,197,0,488,5,0,5,8,376,68,2,2,1,1,0,1,1,1,1,6,1,5,0,2,2,2,2,0,1,488
18,"P.P. BANIYA DAHRA R.N.-1",521,390,0,911,296,224,0,520,344,0,113,181,195,9,0,1,0,0,0,0,7,1,4,1,2,0,1,3,1,0,0,0,1,520
19,"JANTA PREM J.H.S. GOSHALPURA",554,422,0,976,337,215,0,552,23,0,97,141,251,23,0,0,4,0,0,1,4,3,2,8,5,4,1,1,2,2,1,2,0,552
20,"P.P. GUHATIYA KHURD",238,204,0,442,153,134,0,287,1,0,232,7,34,1,0,0,0,0,0,0,1,0,0,1,2,4,2,0,0,0,3,0,0,287
21,"P.P. GUHTIYA KALAN",331,259,1,591,292,239,0,531,20,0,0,7,476,47,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,531
22,"P.P. PRAHLADPURA MAJRA GUHATIYA KHURD",717,614,0,1331,675,479,0,1154,3,0,2,5,1132,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,0,0,1154
