"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - CHANDAN SINGH","2 - JAYANT CHAUDHARY","3 - PT. YOGESH KUMAR DWIVEDI","4 - HEMA MALINI","5 - ANUJ KUMAR GARG","6 - PT. UDYAN SHARMA","7 - PARSOTTAM","8 - BHUPENDRA KUMAR  DHANGAR","9 - MAHARAM SINGH","10 - MAHESH PRATAP SHARMA","11 - MOHAN SHYAM","12 - THAKUR HEMENDRA VEER SINGH","13 - OM PRAKASH","14 - PRAMOD KRISHNA","15 - FAKKAR BABA RAMAYANI","16 - BHUDEV","17 - RADHACHARAN","18 - RAM BABU SAINI","19 - SATISH CHANDRA SHARMA","20 - HEMA MALINI","21 - None of the Above","Total Votes Secured"
1,"J.H.S. JAANU K.N.1",633,511,0,1144,423,277,0,700,699,0,39,196,48,361,4,0,2,3,0,4,2,3,2,1,2,1,6,0,0,20,6,700
2,"J.H.S. JAANU K.N.2",666,529,0,1195,425,231,0,656,570,0,28,154,132,296,4,1,5,2,2,5,0,2,0,0,4,1,9,1,1,7,2,656
3,"J.H.S DAULATPUR",752,616,0,1368,415,334,0,749,367,0,405,151,145,27,1,0,1,0,1,1,1,4,1,2,2,5,1,1,0,0,0,749
4,"PRIMARY SCHOOL MUDSERAS K.N.1",677,578,0,1255,510,350,0,860,860,0,32,25,2,778,3,0,0,0,1,1,0,1,1,0,0,1,1,0,1,13,0,860
5,"PRIMARY SCHOOL MUDSERAS K.N.2",603,500,0,1103,449,313,0,762,762,0,8,17,131,581,6,1,0,0,0,0,0,2,2,0,0,3,0,0,4,6,1,762
6,"PRIMARY SCHOOL NAGLA  AKATIYA",87,79,0,166,66,63,0,129,129,0,1,115,2,2,0,0,0,0,0,0,1,0,0,1,3,0,2,1,1,0,0,129
7,"PRIMARY SCHOOL DEVSERAS PRATHAM",821,622,0,1443,499,285,0,784,784,0,326,158,14,245,4,2,0,0,0,4,1,2,2,0,3,6,8,3,1,3,2,784
8,"PRIMARY SCHOOL DEVSERAS IIND K.N..1",806,609,0,1415,535,295,0,830,830,0,249,55,45,452,0,0,0,0,0,0,0,0,2,0,4,2,4,0,1,16,0,830
9,"PRIMARY SCHOOL DEVSERAS IIND K.N.2",602,493,0,1095,314,218,0,532,532,0,145,22,289,48,2,1,0,0,1,1,0,1,5,1,0,6,2,0,6,2,0,532
10,"PRIMARY SCHOOL SEENH K.N.1",532,416,0,948,398,274,0,672,100,0,3,2,79,564,2,1,0,0,0,0,0,2,2,1,1,2,3,0,0,10,0,672
11,"PRIMARY SCHOOL SEENH K.N.2",543,398,0,941,365,237,0,602,400,0,3,30,194,358,3,0,0,1,0,0,0,1,2,2,0,1,1,0,1,5,0,602
12,"SHANKAR  INTER COLLEGE PALSON K.N.1",768,545,0,1313,551,353,0,904,5,0,13,9,224,605,8,0,2,0,0,0,0,1,3,0,0,0,2,1,11,19,6,904
13,"SHANKAR  INTER COLLEGE PALSON K.N.2",185,135,0,320,172,108,0,280,280,0,0,1,84,187,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,4,0,280
14,"SHANKAR  INTER COLLEGE PALSON K.N.3",897,666,0,1563,578,391,0,969,500,0,16,31,262,622,6,0,1,2,1,0,1,4,4,2,3,1,0,0,4,9,0,969
15,"PRIMARY SCHOOL PALSON",785,572,0,1357,454,340,0,794,494,0,20,38,159,535,2,1,7,2,1,2,1,1,1,5,1,4,3,1,1,7,2,794
16,"PRIMARY SCHOOL NAGLA RAM KISHAN",176,136,0,312,94,83,0,177,177,0,144,19,3,2,0,0,0,0,0,0,0,0,0,1,0,3,2,1,2,0,0,177
17,"PRIMARY SCHOOL MAHRAULI K.N. 1",720,546,0,1266,474,322,0,796,600,0,31,24,15,688,25,1,0,0,1,0,0,0,0,0,1,2,1,0,2,5,0,796
18,"PRIMARY SCHOOL MAHRAULI K.N. 2",596,430,0,1026,389,235,0,624,429,0,42,74,14,481,2,0,0,0,0,1,0,0,0,0,0,0,0,1,3,5,1,624
