"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DR. ARVIND KUMAR SINGH","2 - ZAFAR ALAM","3 - BIJENDRA SINGH","4 - SATISH KUMAR","5 - AMITA SINGH JAT","6 - DURGESH CHANDRA GAUTAM","7 - DEVANAND","8 - PRADEEP KUMAR","9 - BADSHAH","10 - RAKESH CHANDRA RAWAT","11 - VINOD KUMAR BAGHEL","12 - MOHD. SABIR RAHI","13 - NATTHI LAL SHARMA","14 - SANJAY KUMAR","15 - None of the Above","Total Votes Secured"
1,"P.P VAHARPUR",761,658,0,1419,470,387,0,857,832,0,389,19,19,411,1,1,0,1,0,0,1,8,4,1,2,857
2,"P.P BHOJPUR",580,497,0,1077,367,281,0,648,638,0,229,8,64,335,1,1,0,0,0,1,0,0,6,2,1,648
3,"P.P GAIYANPUR",214,183,1,398,165,137,0,302,200,0,61,1,7,229,0,1,0,0,0,0,1,2,0,0,0,302
4,"P.P BHOGPUR",682,601,0,1283,467,352,0,819,36,0,85,4,10,705,2,1,1,2,0,0,1,3,3,0,2,819
5,"P.P BHAGATPUR",468,407,0,875,225,179,0,404,304,0,81,1,45,266,3,0,0,0,0,0,0,2,2,0,4,404
6,"P.P ROOM NO 1 TAJPUR",543,474,0,1017,2,1,0,3,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3
7,"P.P ROOM NO 2 TAJPUR",495,427,0,922,2,1,0,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3
8,"P.P ROOM NO 1 KINHUA",443,393,0,836,271,216,0,487,50,0,145,73,46,202,3,2,0,2,0,0,2,3,5,0,4,487
9,"P.P ROOM NO. 2 KINHUA",485,426,0,911,285,235,0,520,220,0,60,91,26,319,3,4,0,0,0,0,1,4,6,2,4,520
10,"P.P JAHRANA",388,339,0,727,249,201,0,450,282,0,323,1,4,105,0,2,1,0,1,0,2,0,5,1,5,450
11,"J.H.S JAHRANA",533,461,0,994,335,281,0,616,616,0,54,1,5,537,4,0,0,1,0,1,2,6,2,0,3,616
12,"P.P PAHAWATI",789,699,0,1488,506,387,0,893,15,0,414,5,13,445,3,1,0,1,1,0,0,3,5,0,2,893
13,"P.P NURULLAPUR",384,307,0,691,221,187,0,408,408,0,90,0,14,289,0,0,0,0,0,0,0,5,1,0,9,408
14,"P.P BHAGWANPUR",111,103,0,214,83,75,0,158,158,0,65,0,0,88,1,1,0,0,0,0,0,1,1,0,1,158
15,"P.P ROOM NO 1 AMRATPUR BAKHATPUR",573,521,0,1094,334,248,0,582,582,0,208,11,20,320,2,2,1,0,0,1,0,6,3,0,8,582
16,"P.P ROOM 2 AMRATPUR BAKHATPUR",521,486,0,1007,339,297,0,636,460,0,35,0,8,586,0,2,0,0,0,1,0,1,1,0,2,636
17,"P.P ROOM NO 1 OGIPUR",433,371,0,804,289,244,0,533,533,0,125,1,31,367,3,1,0,0,0,0,0,2,2,1,0,533
18,"P.P ROOM NO 2 OGIPUR",381,336,0,717,241,202,0,443,223,0,91,37,20,282,4,1,0,0,0,0,1,1,1,1,4,443
19,"P.P SINGHPUR",187,147,0,334,105,92,0,197,197,0,117,2,4,69,0,1,0,0,0,0,0,1,1,0,2,197
20,"P.P RAMNAGAR",470,427,0,897,357,315,0,672,672,0,244,0,5,408,3,0,0,0,0,0,2,2,2,0,6,672
21,"P.P CHIWANPUR",542,473,0,1015,328,277,0,605,586,0,202,0,9,375,2,2,0,0,1,0,1,2,2,2,7,605
