"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKHILESH","2 - KASHI NATH SHUKLA","3 - PANKAJ","4 - HARSH VARDHAN","5 - ARAT KHARVAR","6 - KAVILAS","7 - MUMMATAJ","8 - MANGAL LAL","9 - PASHUPATI NATH GUPTA","10 - RADHEYSHYAM","11 - RAMSAMUJH","12 - VIMLESH TRIPATHI","13 - SHIVCHARAN","14 - SHREE AKHILESH KUMAR","15 - AJAYDHAR","16 - ANIL KUMAR SHAHANI","17 - GOVIND DAS","18 - TEJ PRATAP","19 - DAYARAM NISHAD","20 - DINESH KUMAR","21 - DINANATH","22 - RAKESH KUMAR GIRI","23 - RAKESH KUMAR GUPTA","24 - None of the Above","Total Votes Secured"
1,"P.V. KAMHARIYA BUJURG",722,591,0,1313,350,383,0,733,680,0,175,225,269,34,0,0,3,1,1,2,3,1,0,2,3,8,3,1,0,0,0,0,0,2,733
2,"P.V. KAMHARIYA BUJURG",707,579,0,1286,335,335,0,670,670,0,133,262,188,69,0,0,5,0,3,2,3,1,0,0,1,1,0,1,0,0,0,0,0,1,670
3,"P.V. KAMHARIYA BUJURG",756,605,0,1361,370,351,0,721,680,0,251,206,174,51,4,7,8,0,2,1,1,1,0,2,3,2,2,1,1,0,0,1,2,1,721
4,"P.V. PARASAUNA",519,471,0,990,309,274,0,583,565,0,60,167,263,70,2,0,0,0,0,3,1,2,1,0,2,3,0,4,1,0,1,1,1,1,583
5,"P.V. BADAHARAINDRA DATT",526,445,0,971,265,293,0,558,558,0,317,102,59,46,0,1,3,0,1,0,3,2,0,0,3,2,6,5,3,2,1,1,1,0,558
6,"P.V. GURACHIHA",669,609,0,1278,402,407,0,809,300,0,228,90,385,23,2,1,2,1,1,0,3,2,5,9,2,11,7,8,9,4,3,3,3,7,809
7,"P.V. KOLHUI ROOM NO.1",674,534,0,1208,374,286,0,660,660,0,120,104,401,18,0,0,1,0,4,0,0,0,1,1,2,0,1,2,4,0,0,0,0,1,660
8,"P.V. KOLHUI ROOM NO.2",686,564,0,1250,462,353,0,815,815,0,318,150,301,27,1,0,2,0,2,1,4,0,0,0,2,2,2,0,1,0,1,1,0,0,815
9,"PURV M.V. KOLHUI",721,591,0,1312,498,280,0,778,778,0,190,195,306,42,3,0,1,2,5,1,6,1,1,5,3,10,1,0,1,0,1,0,1,3,778
10,"P.V. BADIHARI ROOM NO.1",523,452,0,975,346,285,0,631,631,0,91,145,346,14,3,1,1,0,3,0,3,1,4,0,5,6,2,1,1,0,2,0,0,2,631
11,"P.V. BADIHARI ROOM NO 2",434,369,0,803,265,214,0,479,479,0,51,160,196,17,1,3,0,0,0,2,5,2,2,1,3,2,8,9,4,1,6,2,0,4,479
12,"P.V. MAHDEVA",163,153,0,316,127,116,0,243,243,0,0,197,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,243
13,P.V.KUSHAHA,558,456,0,1014,345,282,0,627,627,0,37,162,380,15,1,2,1,0,1,1,1,2,0,5,3,5,0,2,2,2,2,0,1,2,627
14,"PRIMARY VIDYALAY PIPARI PERSAUNI",411,386,0,797,203,199,0,402,402,0,153,64,141,15,0,3,2,1,4,1,2,1,0,2,0,3,2,2,3,1,0,2,0,0,402
15,"PRIMARY VIDYALAY PIPARI PERSAUNI",411,364,0,775,157,148,0,305,304,0,145,40,92,14,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,0,2,5,1,0,305
16,"PRIMARY VIDYALAY PIPARI PERSAUNI",331,333,0,664,190,185,0,375,375,0,65,103,172,14,0,0,0,0,1,0,0,2,0,1,2,1,2,4,1,1,0,1,1,4,375
17,"P.V.PIPRA PARASUNI",431,430,0,861,219,215,0,434,434,0,232,26,152,11,0,0,2,0,2,0,0,0,1,1,0,1,1,0,3,0,1,0,0,1,434
18,P.V.LALPUR,834,774,0,1608,492,465,0,957,957,0,229,275,357,19,2,4,0,0,1,7,12,1,4,9,3,11,3,4,6,0,1,2,2,5,957
19,P.V.BELAUHI,396,405,0,801,238,263,0,501,501,0,130,153,188,4,0,0,2,0,0,0,2,1,1,3,2,2,4,3,1,0,2,1,0,2,501
20,"P.V.RAIPUR PANDIT",544,453,0,997,285,266,0,551,430,0,103,137,262,16,0,1,2,1,0,1,2,2,1,0,2,5,3,4,3,1,0,0,1,4,551
21,P.V.BADGO,679,592,0,1271,416,360,0,776,430,0,35,316,299,74,3,3,3,2,0,0,1,2,1,0,2,13,6,4,2,0,4,0,2,4,776
22,"P.V.NAYA BHAWAN BADGO",598,426,0,1024,272,271,0,543,543,0,290,74,42,31,4,2,75,0,3,1,3,0,0,3,3,4,2,0,3,0,0,1,0,2,543
23,"P.V.NAYA BHAWAN BADGO PASCHIM",614,467,0,1081,280,242,0,522,522,0,145,84,91,39,2,4,130,3,1,1,5,1,2,1,1,6,2,1,2,0,1,0,0,0,522
24,"P.V. NAVADIH KALA",254,207,0,461,154,132,0,286,286,0,55,97,101,20,1,0,0,0,0,0,1,1,0,2,0,3,0,2,0,0,1,2,0,0,286
25,"P.V. KESHAULI PURAB",698,620,0,1318,398,398,0,796,796,0,84,195,442,18,0,2,3,0,0,4,3,1,4,15,4,8,0,4,4,0,1,1,1,2,796
26,"P.V. KESHAULI PASHIM",167,152,0,319,93,100,0,193,193,0,51,43,39,40,0,1,8,0,0,0,0,0,0,1,1,2,1,1,3,1,0,1,0,0,193
27,P.V.LAVDAHA,412,383,0,795,182,245,0,427,427,0,125,85,32,18,0,0,142,2,1,0,1,0,2,0,0,0,5,2,2,1,4,3,0,2,427
28,P.V.MANGALPUR,462,371,0,833,237,217,0,454,445,0,117,199,111,15,2,0,2,1,1,1,0,1,0,3,0,0,0,0,0,0,0,0,1,0,454
29,P.V.DAKAHI,328,287,0,615,186,172,0,358,358,0,15,206,91,19,2,0,0,2,0,0,1,0,0,1,2,1,1,6,6,0,1,0,0,4,358
30,"P.V.RAJMANDIR KALA",343,308,0,651,192,181,0,373,362,0,70,149,129,10,0,1,0,0,0,1,1,0,0,1,0,6,0,1,2,0,1,1,0,0,373
31,"P.V.RAJMANDIR KALA",680,599,0,1279,410,343,0,753,753,0,108,194,379,32,2,0,0,1,2,1,4,0,0,1,2,7,4,4,2,1,1,0,2,6,753
32,P.V.KASTKHAIR,692,558,0,1250,394,368,0,762,405,0,281,189,176,56,3,5,27,3,1,1,1,0,0,0,0,0,4,6,1,0,1,3,2,2,762
33,"P.V. EKDENGWA",306,243,0,549,154,138,0,292,275,0,108,72,57,42,1,0,0,0,0,0,1,0,0,0,3,3,1,0,0,0,2,0,0,2,292
34,"P.V.GULRIHA KALA",488,413,0,901,276,255,0,531,528,0,100,123,275,19,0,0,3,0,0,0,0,0,0,0,1,0,2,8,0,0,0,0,0,0,531
35,"P.V.SONPAPRI BUJURG",259,235,0,494,158,180,0,338,338,0,48,76,133,67,0,0,2,0,0,1,1,1,0,0,1,2,0,2,1,0,0,2,1,0,338
36,"P.V.SONPAPRI KHURD",507,368,0,875,236,203,0,439,439,0,197,142,12,63,3,0,9,0,3,0,0,0,0,0,1,1,1,4,1,0,0,1,0,1,439
37,"P.V.SONPAPRI KHURD",444,376,0,820,185,211,0,396,396,0,127,173,42,39,4,0,4,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,1,396
38,"P.V.BABHANI BUJURG",558,471,0,1029,367,313,0,680,680,0,84,184,351,35,2,0,0,1,1,1,1,1,3,4,0,2,3,1,3,0,2,0,0,1,680
39,"P.V.BABHANI KHURD",438,349,0,787,210,254,0,464,452,0,125,56,104,134,1,0,23,0,1,0,3,0,0,3,1,2,3,3,1,1,1,1,0,1,464
40,P.V.KHARHARVA,443,351,0,794,221,293,0,514,514,0,55,149,125,138,2,1,14,2,3,0,3,0,0,2,2,13,0,1,0,0,0,1,1,2,514
41,P.V.KHARHARVA,420,347,1,768,199,192,0,391,391,0,44,77,139,92,1,1,15,0,1,1,2,1,1,1,2,8,0,1,0,2,0,1,0,1,391
42,"PRIMARY VIDYALAYPARASKHAR ROOM NO 1",725,680,0,1405,423,450,0,873,863,0,229,211,338,48,1,1,4,0,0,1,2,1,0,0,2,3,11,9,4,1,0,5,0,2,873
43,"PRIMARY VIDYALAYPARASKHAR ROOM NO 3",523,429,1,953,271,238,0,509,508,0,62,101,268,64,2,0,0,0,0,1,1,1,0,2,0,1,3,1,0,0,0,0,1,1,509
44,"PRIMARY VIDYALAY SONCHIRAIA",682,606,0,1288,397,327,0,724,717,0,138,221,303,22,3,1,2,0,0,1,6,2,2,3,0,12,1,1,0,0,2,3,1,0,724
45,"PRIMARY VIDYALAY SONCHIRAIA NEW BILDING",379,328,0,707,238,201,0,439,439,0,95,124,128,17,1,0,0,0,0,3,3,0,2,0,3,7,8,13,8,12,4,1,2,8,439
46,"PRIMARY VIDYALAY SHIKARGARHA EAST",638,640,0,1278,386,356,0,742,742,0,71,219,357,54,1,1,3,0,7,0,2,2,0,1,4,9,1,4,3,1,2,0,0,0,742
47,"PRIMARY VIDYALAY SHIKARGARHA WEST",359,287,0,646,191,194,0,385,385,0,63,75,171,42,0,0,2,1,0,2,1,2,0,1,0,6,3,3,3,2,0,0,0,8,385
48,"PRIMARY VIDYALAY BHANDHA",441,339,0,780,245,232,0,477,477,0,71,70,308,10,0,1,0,0,1,0,1,0,0,0,0,0,3,0,6,0,3,2,0,1,477
49,"PRIMARY VIDYALAY HARAIA PANDIT",627,546,0,1173,342,380,0,722,588,0,234,171,232,32,5,2,2,3,0,2,5,0,2,7,5,11,2,1,0,1,3,1,0,1,722
50,"PRIMARY VIDYALAY DHARAICHA",754,650,0,1404,421,439,0,860,860,0,333,211,208,38,4,2,5,1,0,0,9,1,0,5,5,12,5,6,2,1,4,2,2,4,860
51,P.V.DHARAICHI,832,657,0,1489,369,388,0,757,757,0,261,96,293,47,0,0,6,0,1,2,4,0,0,0,1,1,13,8,9,1,2,4,0,8,757
52,"K.P.M. VIDYALAY DHARAICHI",490,442,0,932,222,236,0,458,458,0,267,59,100,5,3,1,9,0,0,0,2,1,1,3,2,0,0,1,0,0,1,1,0,2,458
53,"PRIMARY VIDYALAY RAJPUR BUZURG",381,363,0,744,236,206,0,442,442,0,64,116,198,18,1,0,1,0,3,0,6,2,2,4,1,6,2,7,3,1,1,1,4,1,442
54,"PRIMARY VIDYALAY JIGINIHA",526,448,0,974,331,297,0,628,628,0,199,84,283,33,4,2,5,1,1,0,1,0,0,1,1,5,2,2,0,0,0,1,2,1,628
55,"PRIMARY VIDYALAY MAHUAWA RAJA",318,289,0,607,151,179,0,330,329,0,135,106,53,16,1,0,5,0,0,0,2,2,0,2,2,2,0,0,0,0,2,0,1,1,330
56,"PRIMARY VIDYALAY KHANAKHORI",689,548,0,1237,328,362,0,690,690,0,362,109,131,42,1,2,14,0,1,1,4,3,3,3,1,4,2,2,0,1,0,1,0,3,690
57,"PRIMARY VIDYALAY LAUKAHA",171,153,0,324,116,95,0,211,209,0,29,30,149,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,211
58,"PRIMARY VIDYALAY KHARKHORA",507,395,0,902,250,257,0,507,507,0,191,91,186,10,0,1,7,1,0,0,1,0,1,3,0,9,0,2,1,0,2,0,0,1,507
