"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKMAL KHAN URF CHAMAN","2 - DHARMENDRA YADAV","3 - VAGISH PATHAK","4 - AJEET PAL SINGH","5 - ANIL KUMAR SHARMA","6 - PAGLANAND","7 - MADAN LAL","8 - MAHENDRA PAL","9 - REENA","10 - VIRENDRA PAL GUPTA","11 - SANTOSH KUMAR GUPTA SATYMARGI","12 - HEMA MEHRA","13 - ATUL KUMAR","14 - MUNSHI LAL","15 - HAR BHAGWAN","16 - None of the Above","Total Votes Secured"
1,"B.D.O.OFFOCE ISLAMNAGAR ROOM NO.1",846,705,0,1551,422,344,0,766,51,0,215,453,64,2,1,1,0,0,1,0,5,3,2,8,4,7,766
2,"B.D.O.OFFICE ISLAMNAGAR ROOM NO.2",741,646,0,1387,355,312,0,667,188,0,204,422,30,1,2,0,0,0,0,0,1,2,0,1,2,2,667
3,"JR.H.SCHOOL ISLAMNAGARROOM NO.1",612,587,0,1199,333,279,0,612,1,0,95,209,301,1,0,0,1,0,0,0,0,1,3,0,0,1,612
4,"JR.H.SCHOOL ISLAMNAGARROOM NO.2",587,484,1,1072,307,222,0,529,513,0,32,379,106,2,2,0,0,0,0,0,1,0,0,2,1,4,529
5,"JR.H.SCHOOL ISLAMNAGARROOM NO.3",338,281,0,619,174,154,0,328,328,0,83,141,96,1,1,0,0,0,1,0,1,1,0,2,0,1,328
6,"JR.H.SCHOOL ISLAMNAGARROOM NO.4",705,604,0,1309,333,360,0,693,1,0,138,348,193,0,2,0,0,0,0,1,1,1,2,2,4,1,693
7,"PR.SCHOOL ISLAMNAGAR ROOM NO. 1",590,506,0,1096,359,316,0,675,675,0,29,600,32,1,1,0,0,0,1,0,1,0,4,3,0,3,675
8,"PR.SCHOOL ISLAMNAGAR ROOM NO. 2",702,518,0,1220,364,219,0,583,583,0,26,531,12,2,1,0,0,0,0,1,1,4,1,0,2,2,583
9,"K.M.I.COLLEGE NORTH PART ISLAMNAGAR ROOM NO.1",840,654,1,1495,483,309,0,792,792,0,46,565,145,3,18,1,0,1,0,0,1,1,0,1,4,6,792
10,"K.M.I.COLLEGE NORTH PART ISLAMNAGAR ROOM NO.2",592,461,0,1053,257,188,0,445,420,0,26,261,143,0,7,0,0,0,0,0,0,2,1,0,2,3,445
11,"K.M.I.COLLEGE NORTH PART ISLAMNAGAR ROOM NO.3",533,362,0,895,179,107,0,286,89,0,12,186,78,1,1,1,0,0,2,0,0,3,0,0,1,1,286
12,"K.M.I.COLLEGE SOUTH PART ISLAMNAGAR ROOM NO.4",677,474,0,1151,320,300,0,620,320,0,29,470,88,1,13,0,0,0,1,0,0,1,1,4,4,8,620
13,"K.M.I.COLLEGE SOUTH PART ISLAMNAGAR ROOM NO.5",594,465,0,1059,255,236,0,491,1,0,17,329,120,3,7,3,0,0,2,0,2,0,1,2,4,1,491
14,"K.M.I.COLLEGE SOUTH PART ISLAMNAGAR ROOM NO.6",779,673,0,1452,420,365,0,785,400,0,30,453,284,2,0,1,0,0,0,0,1,7,2,3,0,2,785
15,"NAVIN PR.SCHOOL ISLAMNAGAR ROOM NO. 1",772,657,0,1429,461,367,0,828,828,0,55,755,8,2,3,0,0,0,1,0,0,0,0,3,1,0,828
16,"NAVIN PR.SCHOOL ISLAMNAGAR ROOM NO. 2",497,419,0,916,303,212,0,515,1,0,0,161,344,1,0,0,0,0,0,1,0,0,2,4,0,2,515
17,"S.S.SAMITI NAGAR KHAS ISLAMNAGAR",396,377,0,773,199,166,0,365,11,0,21,113,224,2,0,0,0,0,0,0,0,0,3,0,1,1,365
18,"PR.SCHOOL URDO MIDIYAM ISLAMNAGAR ROOM NO.1",689,619,0,1308,426,360,0,786,210,0,2,329,446,3,1,1,0,0,0,0,0,1,1,0,0,2,786
19,"PR.SCHOOL URDO MIDIYAM ISLAMNAGAR ROOM NO.2",581,534,0,1115,310,280,0,590,590,0,21,475,82,1,1,1,0,0,0,0,1,3,0,1,0,4,590
20,"PR.SCHOOL URDO MIDIYAM ISLAMNAGAR ROOM NO.3",478,406,0,884,309,215,0,524,4,0,87,120,307,1,1,0,0,0,1,0,0,2,1,3,1,0,524
21,"PR.SCHOOL URDO MIDIYAM ISLAMNAGAR ROOM NO.4",449,404,0,853,207,182,0,389,389,0,135,58,181,1,0,1,0,1,1,1,1,0,2,5,0,2,389
22,"NAVIN PR.SCHOOL KUNDAWALI MUSIYA NAGLA ROOM NO.1",546,471,0,1017,314,287,0,601,601,0,357,104,112,0,1,1,1,0,0,1,0,1,1,3,7,12,601
23,"NAVIN PR.SCHOOL KUNDAWALI MUSIYA NAGLA ROOM NO.2",400,380,0,780,214,209,0,423,1,0,19,178,195,1,1,1,2,0,2,1,1,4,3,5,7,3,423
24,"PR.SCHOOL RAPUR RAUSHAN NAGAR ROOM NO.1",420,338,1,759,301,238,0,539,1,0,69,257,187,2,5,1,1,0,2,0,1,3,2,6,1,2,539
25,"PR.SCHOOL MAYE KALA ROOM NO.",540,475,0,1015,333,304,0,637,1,0,70,322,222,2,1,1,2,0,1,1,0,1,2,8,2,2,637
26,"PR.SCHOOL MAYE KHURD ROOM NO.1",354,297,0,651,212,162,0,374,6,0,57,145,161,2,0,0,0,0,1,0,0,2,2,3,0,1,374
27,"NEHRU INTER COLLEGE RUDAYAN ROOM NO.1",866,700,0,1566,406,342,0,748,1,0,259,170,293,3,0,5,1,0,0,1,1,4,0,5,2,4,748
28,"NEHRU INTER COLLEGE RUDAYAN ROOM NO.2",889,693,0,1582,458,363,0,821,821,0,83,310,391,1,4,0,9,0,2,0,2,1,4,3,6,5,821
29,"NEHRU INTER COLLEGE RUDAYAN ROOM NO.3",477,398,0,875,246,196,0,442,37,0,6,122,275,1,1,2,0,1,2,1,1,2,6,13,4,5,442
30,"NEHRU INTER COLLEGE SOUTH PART RUDAYAN ROOM NO.4",474,415,0,889,221,189,0,410,15,0,13,121,259,3,1,0,0,0,0,0,1,0,3,6,3,0,410
31,"NEHRU INTER COLLEGE SOUTH PART RUDAYAN ROOM NO.5",858,646,0,1504,374,312,0,686,686,0,302,140,209,4,0,1,0,0,1,1,2,1,4,3,4,14,686
32,"PR.SCHOOL GANDHRAULI ROOM NO.1",555,394,0,949,327,285,0,612,286,0,337,166,91,0,3,0,1,2,1,0,1,0,2,1,1,6,612
33,"PR.SCHOOL GANDHRAULI ROOM NO.2",408,353,0,761,282,243,0,525,525,0,18,266,223,0,2,0,2,0,1,1,1,0,4,6,0,1,525
34,"PR.SCHOOL GOVINDPUR SHIVNAGAR ROOM NO.1",689,557,0,1246,480,393,0,873,842,0,131,105,594,7,4,0,0,0,4,1,2,4,2,9,4,6,873
35,"PR.SCHOOL CHANI ROOM NO.1",508,383,1,892,290,216,0,506,506,0,37,120,327,2,0,1,2,3,3,0,1,1,3,3,0,3,506
36,"PR.SCHOOL CHANI ROOM NO.2",487,384,0,871,266,218,0,484,1,0,104,185,184,3,0,0,0,0,0,1,0,0,2,0,3,2,484
37,"PR.SCHOOL SADARUDDIN NAGAR ROOM NO.1",592,511,0,1103,436,321,0,757,305,0,424,80,229,3,0,2,1,0,0,1,0,0,3,5,4,5,757
38,"PR.SCHOOL RATANPUR KOT ROOM NO.1",525,394,0,919,390,193,0,583,580,0,197,152,218,2,0,1,0,0,1,0,0,0,3,2,0,7,583
39,"PR.SCHOOL FIROZPUR ROOM NO.1",617,507,1,1125,430,347,0,777,777,0,368,79,313,3,2,0,0,0,2,0,0,1,0,3,1,5,777
40,"PR.SCHOOL KOT ROOM NO.1",709,547,0,1256,474,369,0,843,843,0,151,267,365,3,8,38,1,0,0,1,0,0,2,4,1,2,843
41,"PR.SCHOOL SWAROOPPUR ROOM NO.1",889,670,0,1559,660,420,0,1080,1080,0,125,748,172,2,3,21,0,0,1,0,0,1,2,0,3,2,1080
42,"PR.SCHOOL PALIYA ROOM NO.1",362,273,0,635,224,180,0,404,404,0,68,61,265,1,0,0,0,0,0,0,0,0,3,4,0,2,404
43,"PR.SCHOOL SARAIRA ROOM NO.1",678,547,0,1225,446,347,0,793,793,0,125,272,384,5,3,0,0,1,0,0,0,0,1,0,1,1,793
44,"PR.SCHOOL DHARAMPUR MAJRA SARAIRA ROOM NO.1",543,419,0,962,357,290,0,647,647,0,118,139,367,1,0,1,1,0,2,0,0,7,0,4,2,5,647
45,"PR.SCHOOL CCHIWAO KALA ROOM NO.1",702,533,0,1235,378,270,0,648,648,0,133,349,147,3,2,1,1,0,0,0,0,0,1,3,5,3,648
46,"PR.SCHOOL SUDESHPUR ROOM NO.1",420,343,0,763,289,202,0,491,491,0,160,150,155,4,1,0,0,0,0,0,0,1,4,4,5,7,491
47,"PR.SCHOOL CCHIWAO KHURD ROOM NO.1",204,169,0,373,119,92,0,211,211,0,48,62,90,2,1,0,0,1,1,0,0,0,0,4,1,1,211
48,"PR.SCHOOL BUDHNAGAR ROOM NO.1",285,229,0,514,188,155,0,343,343,0,81,59,183,1,1,1,1,0,0,0,0,2,4,8,1,1,343
49,"PR.SCHOOL NAAGAR PUKHRA ROOM NO.1",462,400,0,862,317,280,0,597,597,0,171,137,252,6,2,0,0,0,3,0,2,3,6,7,2,6,597
50,"PR.SCHOOL NAAGAR PUKHRA ROOM NO.2",524,387,0,911,338,251,0,589,589,0,45,207,304,4,2,1,5,2,1,0,0,2,1,8,5,2,589
51,"PR.SCHOOL EAKH KHERA ROOM NO.1",659,524,0,1183,395,306,0,701,701,0,74,196,383,6,1,12,1,0,1,0,2,3,3,8,6,5,701
52,"PR.SCHOOL GOPALPUR MAJRA EAKH KHERA ROOM NO.1",267,201,0,468,202,149,0,351,351,0,1,86,245,5,1,0,0,0,0,1,0,5,0,6,0,1,351
53,"PR.SCHOOL ALLIPUR CHACHIPUR ROOM NO.1",620,446,0,1066,332,266,0,598,598,0,305,110,173,1,0,0,0,0,0,1,0,1,0,1,0,6,598
