"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ATIQ AHMAD","2 - DADDAN MISHRA","3 - LAL JI VERMA","4 - VINAY KUMAR PANDEY","5 - PRAKSH CHANDRA MISHRA","6 - RATNESH","7 - RAM SUDHI","8 - RIZWAN ZAHEER","9 - SAXEN","10 - ARJUN YADAV","11 - ARUN KUMAR","12 - TEJ BAHADUR","13 - RAM ADHAR","14 - VIJAY KUMAR","15 - None of the Above","Total Votes Secured"
1,"P.P. BAGHELKHAND",778,631,0,1409,478,299,0,777,777,0,322,185,152,17,2,2,3,75,3,3,7,0,3,2,1,777
2,"P.P. BANGAI",691,499,0,1190,411,214,0,625,325,0,215,220,77,12,5,4,5,62,2,4,10,1,1,2,5,625
3,"P.P. BANGAI EXTRA ROOM",365,298,0,663,186,80,0,266,256,0,85,68,28,3,2,1,2,62,0,1,4,2,2,1,5,266
4,"P.P. VISHARAMPUR",772,667,0,1439,374,285,0,659,659,0,370,71,53,13,3,1,1,99,7,5,6,3,3,5,19,659
5,"P.P. BHAGVANPUR ROOM NO 1",658,570,0,1228,355,274,0,629,575,0,119,88,58,49,3,0,6,281,1,3,6,2,5,4,4,629
6,"P.P. MADARHVA ROOM NO1",412,386,0,798,232,172,0,404,378,0,145,88,17,3,0,1,2,133,2,1,5,1,0,2,4,404
7,"P.P. LAOKIKHUDRA EAST BHAG",572,460,0,1032,365,234,0,599,508,0,124,191,155,8,2,1,1,90,4,3,10,2,0,4,4,599
8,"P.P. LAOKIKHUDRA WEST BHAG",340,308,0,648,197,145,0,342,342,0,50,95,36,1,0,0,3,145,2,0,0,1,1,4,4,342
9,"P.P. NAGAI",524,385,0,909,345,270,0,615,430,0,101,147,122,5,3,0,1,222,4,0,5,2,1,0,2,615
10,"P.P. CHHAPIYA SUKHRAMPUR ROOM NO 1",531,529,0,1060,296,262,0,558,558,0,65,286,70,6,8,4,2,83,4,3,8,3,4,5,7,558
11,"J.H.SCHOOL EAST BHAG SHITLAPUR",411,355,0,766,240,210,0,450,102,0,108,205,27,4,0,0,5,77,2,5,2,0,2,1,12,450
12,"J.H.SCHOOL.EXTRA ROOM SHITLAPUR",492,372,0,864,287,224,0,511,225,0,128,219,23,6,3,3,3,105,1,3,10,0,2,1,4,511
13,"J.H.SCHOOL WEST BHAG SHITLAPUR",758,618,0,1376,398,285,0,683,184,0,116,238,65,16,2,0,0,234,3,2,5,0,0,1,1,683
14,"P.P. MADHAVDEEH",417,301,0,718,258,190,0,448,401,0,118,172,84,6,2,2,1,47,0,3,5,1,1,1,5,448
15,"P.P. MADHAVDEEH EXTRA ROOM",564,457,0,1021,335,279,0,614,525,0,295,77,60,3,1,0,1,161,1,0,2,2,5,1,5,614
16,"P.P. PARASPUR KARAONDA EAST BHAG",552,493,0,1045,295,240,0,535,480,0,58,120,77,10,3,3,2,249,5,2,1,2,2,0,1,535
17,"P.P. PARASPUR KARAONDA WEST BHAG",539,485,0,1024,308,214,0,522,519,0,123,118,89,6,7,3,5,144,1,5,10,2,4,2,3,522
18,"P.P. RAMVAPUR EAST BHAG",679,598,0,1277,375,351,0,726,726,0,32,355,53,6,4,3,3,241,6,1,8,2,3,2,7,726
19,"P.P. RAMVAPUR WEST BHAG",643,583,0,1226,375,315,0,690,300,0,95,334,65,7,2,1,1,178,1,1,2,1,0,1,1,690
20,"P.P. MADHAYA NAGAR",789,745,0,1534,527,388,0,915,915,0,134,323,164,19,5,1,7,201,8,7,11,3,8,6,18,915
21,"PANCHYAT BHAWAN CHARAN GAHIYA",794,641,0,1435,464,325,0,789,788,0,92,444,71,9,2,6,2,110,4,3,14,5,3,8,16,789
22,"P.P.MANKUORA KASHIRAM NORTH",426,371,0,797,228,145,0,373,289,0,62,94,47,0,2,0,4,150,2,0,1,1,1,2,7,373
23,"P.P. MANKUORA KASHIRAM  SOUTH",509,422,0,931,295,157,0,452,305,0,86,124,87,6,1,1,1,118,1,2,7,1,3,1,13,452
24,"P.P. SEMRI",844,710,0,1554,510,346,0,856,646,0,219,132,266,3,6,2,4,178,3,4,9,3,10,5,12,856
25,P.P.HALOURA,534,480,0,1014,376,297,0,673,673,0,83,144,105,3,2,0,3,304,2,1,5,5,6,4,6,673
26,"P.P. GANESHPUR",581,468,0,1049,394,310,0,704,54,0,197,120,95,7,3,3,4,259,0,1,10,1,1,0,3,704
27,"P.P. PIPRA DURGA NAGAR",523,468,0,991,337,269,0,606,30,0,70,320,159,9,3,3,1,5,2,3,10,5,1,3,12,606
28,"P.P. CHAINPUR EAST BHAG",440,366,0,806,261,226,0,487,365,0,214,45,78,16,2,0,3,111,2,1,3,0,5,1,6,487
29,"P.P. CHAINPUR WEST BHAG",374,337,0,711,231,215,0,446,390,0,225,92,31,11,2,1,0,63,0,0,2,3,1,3,12,446
30,"P.P. JANAKPUR",745,656,0,1401,471,415,0,886,886,0,367,132,84,7,12,4,4,253,7,1,5,0,1,2,7,886
31,"P.P. NEVALGARH",411,366,0,777,284,190,0,474,474,0,198,113,110,13,0,2,1,6,1,2,2,2,5,2,17,474
32,"P.P. LOHTI",308,314,0,622,250,168,0,418,360,0,117,113,119,5,5,0,2,35,2,2,5,2,5,2,4,418
33,"BHARTIYA LAGHU M.V. RATANPUR JHHINGHAHA (BALAPUR) NORTH BHAG",571,515,0,1086,374,284,0,658,594,0,140,143,74,10,4,2,7,253,5,3,4,3,2,1,7,658
