"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - IMRAN MASOOD","2 - JAGDISH SINGH RANA","3 - RAGHAV LAKHANPAL","4 - SHAZAN MASOOD URF SHADAN MASOOD","5 - YOGESH KUMAR","6 - RATAN SINGH","7 - RAJENDER KUMAR","8 - SHAHANAVAJ","9 - SHIV KUMAR","10 - MOHD. FIROZ AFTAB","11 - RAGHUVEER SINGH BODH","12 - CP VERMA","13 - SESHRAJ","14 - HANSRAJ SAINI","15 - None of the Above","Total Votes Secured"
1,"LOARD MAHAVIRA ACADEMYKAMRANO. 1,  CHILKANA ROAD",1033,715,0,1748,839,535,0,1374,1363,0,890,6,450,18,1,0,0,0,0,0,0,0,0,1,8,1374
2,"LOARD MAHAVIRA ACADEMY KAMRANO. 2,  CHILKANA ROAD",890,702,0,1592,679,535,0,1214,1207,0,335,23,831,12,2,1,1,0,2,0,1,1,1,2,2,1214
3,"MAHROOFUL QURAAN MADRASA MUZFFRAHAL KAMRA NO 1 , GOTESHAH",801,584,0,1385,559,368,0,927,924,0,838,5,2,68,1,0,1,1,1,0,1,2,1,1,5,927
4,"MAHROOFUL QURAAN MADRASA MUZFFRAHAL KAMRA NO 2, GOTESHAH",633,433,0,1066,478,301,0,779,695,0,716,12,6,36,2,0,0,0,0,0,1,0,1,1,4,779
5,"MAHROOFUL QURAAN MADRASA MUZFFRAHAL KAMRA NO 3, GOTESHAH",680,560,0,1240,556,416,0,972,968,0,920,4,10,29,4,0,1,0,0,0,0,0,1,0,3,972
6,"MAHROOFUL QURAAN MADRASA MUZFFRAHAL KAMRA NO 4 ,GOTESHAH",348,262,0,610,240,176,0,416,411,0,352,12,2,48,0,0,0,0,0,0,0,0,1,0,1,416
7,"MAHROOFUL QURAAN MADRASA MUZFFRAHAL KAMRA NO 5 ,GOTESHAH",647,518,1,1166,413,322,0,735,654,0,668,1,5,54,1,0,0,0,0,0,0,0,1,1,4,735
8,"ISHAT UL QURAAN MADRSA INDRACHOWK KAMRA NO 1 ,INDRACHOWK",806,589,0,1395,565,390,0,955,955,0,892,5,3,44,2,1,0,0,0,0,1,2,1,0,4,955
9,"ISHAT UL QURAAN MADRSA INDRACHOWK KAMRA NO 6 ,INDRACHOWK",197,143,0,340,143,96,0,239,237,0,218,1,3,17,0,0,0,0,0,0,0,0,0,0,0,239
10,"ISHAT UL QURAAN MADRSA INDRACHOWK KAMRA NO 2, INDRACHOWK",766,552,0,1318,498,325,0,823,823,0,758,7,3,45,2,0,1,0,0,0,0,1,0,0,6,823
