"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - BHAL CHANDRA YADAV","2 - BHISM SHANKAR ALIAS KUSHAL TIWARI","3 - ROHIT KUMAR PANDEY","4 - SHARAD TRIPATHI","5 - AFTAB ALAM KHAN","6 - JANTRI LAL CHAUHAN","7 - JYOTI SINGH","8 - PREM PRAKASH","9 - SANT SIROMANI BABOOLAL YADAV MAHARAJ JI","10 - MOHAMMAD ALI","11 - RAVIKANT","12 - RAJMANI","13 - RAJARAM","14 - RAJENDRA KUMAR","15 - LOTAN URF LAUTAN PRASAD","16 - SHABBEER HUSEN","17 - APARNA","18 - AMIT","19 - KRIPANARAYAN RAI","20 - KAILASH NATH BELDAR","21 - JAIYANTRI PRASAD","22 - MOHAMMAD IRFAN","23 - SHAYAM LAL","24 - SUBODH CHANDRA","25 - SURENDRA KUMAR CHAUDHARY","26 - None of the Above","Total Votes Secured"
1,"MAQTAB SCHOOL PURAINA",500,401,0,901,170,239,0,409,225,0,105,69,2,18,1,0,0,1,0,0,1,2,205,0,0,1,1,1,1,0,0,0,0,1,0,0,409
2,"P.S. RUDHAULI",459,373,0,832,200,237,0,437,412,0,134,127,7,61,0,0,0,0,0,0,0,0,104,0,0,0,2,0,0,0,0,0,0,1,0,1,437
3,"P.S. RUDHAULI",514,416,0,930,225,265,0,490,490,0,117,165,3,62,0,2,1,0,2,0,0,1,128,0,0,0,0,1,0,1,0,1,0,3,1,2,490
4,"P.S. DANOKUIYA",763,663,0,1426,338,418,0,756,756,0,46,183,5,23,3,2,0,1,0,1,1,0,465,6,0,0,2,2,1,2,0,2,0,7,3,1,756
5,"P.S. DANOKUIYA",620,609,0,1229,333,253,0,586,586,0,71,15,9,45,1,4,1,2,0,0,0,1,414,0,0,1,5,2,0,2,0,4,0,5,2,2,586
6,"P.S. RAKSHA KALA",794,709,0,1503,312,366,0,678,678,0,95,265,6,1,3,1,0,0,3,2,0,2,276,3,0,2,1,1,0,1,2,0,0,5,4,5,678
7,"P.S. KANPARA",238,210,0,448,102,105,0,207,207,0,30,26,2,52,4,0,0,0,0,1,1,1,66,3,0,0,1,1,2,2,0,1,0,5,4,5,207
8,"P.S. KANPARA",662,547,0,1209,247,300,0,547,547,0,57,134,9,199,2,3,1,0,0,2,0,1,105,1,3,8,0,3,0,1,2,1,0,4,6,5,547
9,"P.S. PIDWA",427,329,0,756,220,212,0,432,432,0,43,79,6,78,3,0,1,0,0,2,2,5,174,3,2,10,1,1,0,4,1,3,0,1,8,5,432
10,"J.H.S. KARMAKHAN",562,505,0,1067,305,290,0,595,595,0,109,182,12,216,2,0,1,0,2,3,0,48,0,0,6,2,8,0,2,0,0,0,1,0,0,1,595
11,"P.S. KARMAKHAN",562,402,0,964,154,207,0,361,360,0,114,116,3,10,1,1,1,2,1,1,0,0,103,0,0,2,0,1,1,1,0,0,0,1,1,1,361
12,"P.S. KARMAKHAN",422,425,0,847,141,203,0,344,344,0,73,94,23,10,1,0,0,1,1,2,0,1,127,0,0,0,1,0,0,0,0,1,0,2,2,5,344
13,"P.S. RAKSHA  DEVAI",560,462,0,1022,177,230,0,407,407,0,223,92,7,6,2,0,1,1,0,3,3,1,55,1,2,3,2,2,0,2,0,0,0,0,0,1,407
14,"P.S. RAKSHA  DEVAI",308,231,0,539,166,159,0,325,325,0,100,33,8,171,1,0,0,2,1,1,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,1,325
15,"P.S. MANGUA",243,190,0,433,154,100,0,254,254,0,51,98,2,91,1,0,0,1,0,1,0,0,1,0,1,2,0,2,0,0,1,0,0,0,1,1,254
