"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - JAIVEER SINGH","2 - MUKESH RAJPUT","3 - RAMESHWAR SINGH YADAV","4 - SALMAN KHURSHID","5 - ANJU","6 - KRISHAN KUMAR DIXIT ALIAS K. K. DIXIT","7 - MO. TAMAJID","8 - TARIK PARVEZ","9 - DAYA SHANKAR","10 - RAMNIWAS KATHERIA","11 - ANURAG RAJPUT","12 - ANOKHEY LAL","13 - IMAMUDDIN HUSAIN HUSAIN","14 - ANSHU MAHAN","15 - KISHAN PAL SINGH","16 - MALIKHAN SINGH ADVOCATE","17 - MUKESH RAJPUT","18 - RAM KISHORE DIWEDI","19 - VIMLA DEVI","20 - VRAHMA SARAN JATAV","21 - SACHIN SINGH YADAV","22 - SURESH SARASWAT ALAIS ILLAYCHIWALA","23 - None of the Above","Total Votes Secured"
1,"JAJPUR BANJARA",655,571,0,1226,394,307,0,701,701,0,138,243,85,90,3,1,4,3,2,4,3,1,1,2,4,2,0,2,1,2,110,0,0,701
2,"JAJPUR GOA",562,482,0,1044,415,332,0,747,747,0,11,16,420,1,2,1,3,1,3,0,0,0,1,0,0,4,1,1,4,3,270,4,1,747
3,SHEKHPUR,352,279,0,631,275,201,0,476,476,0,71,341,12,2,2,0,2,0,0,1,0,0,0,3,5,0,0,3,0,2,28,1,3,476
4,KHAJURI,313,301,0,614,257,237,0,494,494,0,38,424,5,4,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,16,0,2,494
5,"NAGALA BAHADUR",292,232,0,524,196,155,0,351,351,0,0,16,121,1,2,0,4,1,3,0,0,0,1,0,1,1,0,0,1,0,197,1,1,351
6,MOHMMADABAD,661,495,0,1156,344,208,0,552,552,0,27,251,80,116,4,3,3,0,1,0,1,1,1,1,1,4,0,1,1,2,54,0,0,552
7,MOHMMADABAD,418,360,0,778,191,180,0,371,371,0,48,207,55,19,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,37,0,0,371
8,KILMAPUR,646,531,0,1177,488,241,0,729,729,0,199,350,78,6,0,2,0,1,0,1,1,0,1,1,1,9,6,11,3,4,49,1,5,729
9,"NAGLA KISHANAN",344,286,0,630,224,205,0,429,429,0,55,308,35,4,3,1,0,0,0,0,2,0,0,0,0,1,0,2,1,1,15,1,0,429
10,MOHMMADABAD,721,563,0,1284,439,302,0,741,741,0,381,231,74,18,0,1,0,3,0,1,0,0,0,0,1,3,3,2,0,0,20,1,2,741
11,ROHILA,663,587,0,1250,388,260,0,648,648,0,15,103,303,15,1,1,8,4,3,1,0,4,3,2,1,3,0,1,2,1,174,3,0,648
12,ROHILA,585,447,0,1032,273,160,0,433,433,0,0,25,187,3,1,0,2,1,4,0,0,0,1,1,0,1,0,0,0,1,205,0,1,433
13,ROHILA,523,395,0,918,286,204,0,490,490,0,101,49,180,5,3,0,3,1,0,0,2,0,1,2,2,0,1,1,0,0,135,3,1,490
14,ROHILA,501,416,0,917,281,179,0,460,460,0,3,55,152,5,2,0,8,1,1,0,1,0,1,1,0,0,0,0,1,1,227,0,1,460
15,ROHILA,480,385,0,865,254,152,0,406,406,0,4,42,141,4,2,0,6,0,2,1,0,1,2,1,2,2,3,0,1,1,190,1,0,406
16,MOHMMADABAD,556,491,0,1047,346,286,0,632,632,0,55,271,82,153,2,5,2,3,1,1,4,0,0,2,2,4,2,2,2,1,37,0,1,632
17,MOHMMADABAD,706,593,0,1299,398,299,0,697,697,0,14,409,48,138,3,2,1,0,0,0,1,0,0,0,3,1,0,3,0,1,73,0,0,697
18,MOHMMADABAD,560,499,0,1059,325,302,0,627,627,0,22,444,55,10,1,1,1,1,0,0,0,0,0,0,2,1,0,6,0,1,82,0,0,627
19,MOHMMADABAD,634,538,0,1172,432,309,0,741,741,0,15,575,32,65,2,0,3,0,0,1,2,1,0,0,2,2,0,4,0,2,33,0,2,741
20,MOHMMADABAD,530,433,0,963,352,214,0,566,566,0,6,325,72,50,2,2,1,1,1,0,1,0,2,2,1,5,2,2,2,3,86,0,0,566
21,MOHMMADABAD,556,418,0,974,306,195,0,501,501,0,57,271,55,16,1,2,1,0,2,1,0,2,2,1,2,3,1,2,0,0,78,0,4,501
22,HAMEERPUR,583,497,0,1080,400,300,0,700,700,0,81,374,20,20,3,1,2,0,2,0,0,1,4,1,6,0,12,17,1,3,148,2,2,700
23,"RASULAPUR @ BHARATPUR",549,496,0,1045,296,235,0,531,531,0,141,258,33,7,3,1,1,2,3,3,0,2,1,2,3,2,1,4,0,0,62,1,1,531
24,ALAWALPUR,598,484,0,1082,365,240,0,605,605,0,136,307,70,10,1,3,4,0,1,1,1,0,2,3,0,4,0,1,0,0,60,0,1,605
25,PASNINGPUR,552,476,0,1028,489,347,0,836,836,0,113,688,9,1,1,1,2,0,0,0,0,1,0,0,1,2,0,6,0,0,10,0,1,836
26,"NAGALA GHURUAA MAJRA NAGLA BAG RATHUARA",295,236,0,531,236,166,0,402,402,0,2,5,259,3,3,0,5,1,1,0,0,0,1,2,0,0,1,0,1,0,117,0,1,402
27,"NAGLA BAG RATHUARA",738,582,1,1321,418,283,0,701,701,0,41,406,89,40,1,1,4,0,0,5,3,1,0,4,2,8,2,6,1,1,82,0,4,701
28,"NAGLA BAG RATHUARA",523,410,0,933,286,211,0,497,497,0,218,74,122,11,1,0,4,1,2,0,0,0,0,1,0,3,1,0,0,1,55,2,1,497
29,"NAGLA BAG RATHUARA",614,511,0,1125,399,315,0,714,714,0,54,424,97,74,2,0,1,1,1,1,0,0,1,1,2,3,0,1,0,1,48,0,2,714
30,"NAGLA MOTI MAJRA BHATKURRI",537,385,0,922,319,160,0,479,479,0,11,26,63,2,6,3,2,1,2,0,0,0,0,1,1,1,1,0,0,1,357,1,0,479
31,BHATKURRI,438,309,0,747,244,172,0,416,416,0,162,192,17,3,0,1,0,0,0,0,0,0,0,3,2,6,5,4,0,1,18,0,2,416
32,BANKATI,427,337,0,764,224,177,0,401,401,0,127,252,3,1,0,1,1,0,1,0,0,0,0,1,2,2,2,5,0,0,3,0,0,401
33,"GARHI MAJRA BANKATI",248,187,0,435,131,180,0,311,311,0,132,158,11,1,1,1,0,0,0,0,0,0,0,1,0,0,3,1,0,0,1,0,1,311
34,GURUSHADINAGAR,646,551,0,1197,386,322,0,708,708,0,27,402,35,10,4,1,1,0,6,6,2,0,1,3,1,2,1,3,2,0,200,0,1,708
35,"NAGLA NARAYAN",541,408,0,949,402,263,0,665,665,0,1,6,119,3,2,0,6,2,3,0,1,1,2,1,1,4,1,0,0,2,502,3,5,665
36,"NAGLA NARAYAN",366,286,0,652,202,124,0,326,326,0,13,194,19,0,1,2,4,2,4,0,1,0,0,0,2,2,0,1,0,2,77,1,1,326
37,"SULTAN NAGAR",387,309,0,696,289,225,0,514,514,0,3,472,9,10,2,0,1,0,0,0,0,0,0,0,1,3,0,3,0,0,8,0,2,514
38,CHAUKHADIYA,162,126,0,288,107,79,0,186,186,0,72,89,16,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,186
39,BIHAR,474,361,0,835,209,171,0,380,380,0,104,163,23,22,1,1,1,0,0,1,2,0,0,0,3,2,1,1,1,2,51,1,0,380
40,BIHAR,420,316,0,736,210,159,0,369,369,0,31,166,24,33,4,0,2,2,3,1,1,0,0,3,0,0,0,1,2,3,92,1,0,369
41,BIHAR,521,389,0,910,269,204,0,473,473,0,127,141,21,3,10,3,7,2,8,1,5,0,4,3,1,7,3,4,0,2,114,3,4,473
42,"DARIYAPURMASMULE HUSSAINPUR",418,341,0,759,253,205,0,458,458,0,48,121,59,122,2,0,3,0,1,1,2,0,0,0,0,2,0,1,0,1,91,3,1,458
43,"KATTINA MANIKPUR",476,378,0,854,267,207,0,474,474,0,162,153,55,20,2,4,2,0,0,0,0,0,0,3,2,6,0,1,1,2,61,0,0,474
44,"KATTINA MANIKPUR",441,313,0,754,205,111,0,316,316,0,35,108,39,7,2,1,2,0,1,2,2,0,0,1,0,0,0,0,0,0,115,1,0,316
45,"KATTINA MANIKPUR",604,471,0,1075,339,202,0,541,541,0,38,100,26,17,3,1,4,3,1,4,1,0,1,0,1,0,1,1,0,1,337,1,0,541
46,"HARSINGHPUR SHAHI",269,210,0,479,134,98,0,232,232,0,33,115,28,2,1,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,47,1,0,232
47,"NAGLA MALU",388,287,0,675,232,179,0,411,411,0,0,4,122,1,1,0,2,1,2,0,1,0,0,0,0,0,2,1,0,1,273,0,0,411
48,BEEGHAMAU,598,507,1,1106,335,253,0,588,588,0,41,49,257,61,12,0,6,2,2,0,1,2,0,1,2,1,2,1,0,2,144,0,2,588
49,KANHEPUR,544,426,0,970,312,222,0,534,534,0,64,219,145,14,2,2,4,1,2,0,0,0,1,3,1,2,1,2,0,1,68,2,0,534
50,"DAUDPUR MAJRA NAGLA BAG RATHUARA",426,327,0,753,242,171,0,413,413,0,130,101,83,34,1,2,2,2,4,0,4,2,0,2,3,5,2,0,0,1,33,0,2,413
51,NANDSA,576,469,1,1046,251,202,0,453,453,0,75,219,96,5,0,1,2,1,2,2,0,1,0,2,1,2,1,2,2,2,35,1,1,453
52,"DAUDPUR MAJRA NANDSA",440,374,0,814,237,199,0,436,436,0,62,165,52,9,2,2,3,0,2,0,2,1,1,1,6,4,0,2,3,3,113,2,1,436
53,KHIMSEPUR,699,595,0,1294,369,296,0,665,665,0,163,407,29,6,0,2,1,0,0,1,2,1,1,1,7,5,1,6,0,1,29,2,0,665
54,KHIMSEPUR,683,583,0,1266,400,338,0,738,738,0,75,491,98,7,0,2,3,0,2,1,0,1,1,1,3,2,0,5,1,1,43,0,1,738
55,KHIMSEPUR,621,517,0,1138,294,231,0,525,525,0,18,365,29,8,2,0,3,2,4,0,2,1,2,1,6,2,1,8,1,0,68,2,0,525
56,MADANPUR,421,286,0,707,227,104,0,331,331,0,17,41,161,3,1,1,3,2,3,2,1,1,0,2,3,6,0,3,2,2,77,0,0,331
57,"NAGLA TABALDAR MAJRA MADANPUR",237,154,0,391,176,117,0,293,293,0,1,6,25,1,3,0,2,0,3,2,0,0,0,0,0,4,1,0,0,5,239,0,1,293
58,MADANPUR,469,345,0,814,241,171,0,412,412,0,26,300,15,37,1,1,1,0,1,0,0,1,0,0,3,4,0,6,0,0,15,0,1,412
59,MADANPUR,405,284,0,689,205,124,0,329,329,0,11,77,83,5,2,0,3,2,4,0,0,1,4,0,0,2,0,1,1,1,129,1,2,329
60,MADANPUR,485,403,0,888,247,191,0,438,438,0,128,183,57,18,0,3,2,1,0,0,1,0,2,1,4,4,2,0,0,1,29,0,2,438
61,"SANTOSHPUR MAJRA MADANPUR",795,570,0,1365,615,206,0,821,821,0,235,505,43,11,1,1,0,1,0,0,3,0,2,0,3,2,2,2,3,0,7,0,0,821
62,"SANTOSHPUR MAJRA MADANPUR",466,307,0,773,307,183,0,490,490,0,9,454,2,1,0,1,1,0,0,1,1,1,0,0,4,4,1,5,0,1,0,1,3,490
63,MADANPUR,409,302,0,711,142,75,0,217,217,0,21,142,35,3,2,0,0,0,1,0,2,2,2,1,0,1,0,0,0,0,4,0,1,217
64,MADANPUR,189,138,0,327,73,45,0,118,118,0,9,51,7,17,0,0,2,0,0,0,2,0,0,0,0,1,1,2,0,0,26,0,0,118
65,"BAIRAM NAGAR MAJRA MADANPUR",642,526,0,1168,338,192,0,530,530,0,124,42,84,3,2,2,2,2,5,0,2,1,3,2,2,10,6,5,0,3,224,3,3,530
66,MADANPUR,338,256,0,594,170,123,0,293,293,0,29,247,2,1,1,0,2,0,0,0,0,0,0,0,1,2,0,0,0,1,7,0,0,293
67,DHEERPUR,510,344,0,854,286,172,0,458,458,0,35,110,107,2,5,3,4,2,3,1,1,0,2,3,1,3,3,5,2,5,160,0,1,458
68,DHEERPUR,319,232,0,551,184,125,0,309,309,0,113,125,49,2,0,0,0,0,0,0,1,2,1,0,1,3,4,1,0,0,4,0,3,309
69,DHEERPUR,649,454,0,1103,440,262,0,702,702,0,49,116,295,5,0,0,4,0,1,0,1,0,1,1,0,0,3,3,1,2,217,2,1,702
70,GANESHPUR,482,386,0,868,201,157,0,358,358,0,116,120,41,31,0,0,3,0,1,0,0,0,1,0,0,1,0,1,0,0,42,0,1,358
71,"SINAUDA ISHWARI",289,231,0,520,166,118,0,284,284,0,25,189,12,0,0,2,2,0,2,1,1,0,0,0,0,0,0,7,0,1,42,0,0,284
72,"SINAUDA PRATHVI",517,361,0,878,308,194,0,502,502,0,130,276,64,9,2,0,3,0,0,0,0,1,1,1,2,3,3,1,2,2,2,0,0,502
73,SAHASPUR,619,464,0,1083,482,295,0,777,777,0,721,46,4,2,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,777
74,"KUBERPUR DUNGRASI",653,472,1,1126,360,257,0,617,617,0,193,332,65,2,2,0,0,1,2,0,1,0,0,0,3,2,1,4,0,0,9,0,0,617
75,"GANPATPUR BUDANPUR",538,384,0,922,456,284,0,740,740,0,38,646,5,1,0,0,2,0,0,1,0,0,1,1,2,2,3,3,0,0,33,0,2,740
76,"JYONA TAJPUR",343,294,0,637,215,190,0,405,405,0,69,288,13,0,0,1,0,0,0,0,0,0,0,0,0,0,6,8,1,0,19,0,0,405
77,ISEPUR,655,561,0,1216,308,272,0,580,580,0,93,265,202,3,0,0,2,0,0,1,1,0,1,0,5,0,0,1,0,1,3,1,1,580
78,"NAWADA DOYAM",421,340,0,761,197,170,0,367,367,0,152,184,24,1,0,0,0,0,0,0,0,0,2,0,1,2,0,1,0,0,0,0,0,367
79,MAHOI,466,351,0,817,236,132,0,368,368,0,72,211,35,22,2,0,0,0,1,0,0,1,0,0,1,4,2,5,1,4,6,0,1,368
80,MAHOI,341,259,0,600,183,125,0,308,308,0,38,236,6,1,1,1,1,2,0,1,0,0,0,0,1,0,0,5,0,0,14,0,1,308
81,RAISEPUR,642,560,0,1202,391,331,0,722,722,0,188,483,16,8,0,2,0,0,1,0,1,1,1,0,0,6,1,5,0,0,8,0,1,722
82,"KARANPUR MAJRA JYONTA",407,298,0,705,261,173,0,434,434,0,154,247,8,0,0,0,0,0,1,1,1,0,0,0,2,3,2,5,0,0,10,0,0,434
83,BARARIKH,490,383,0,873,297,198,0,495,495,0,20,288,54,64,3,2,0,0,1,0,0,0,1,1,2,4,2,6,1,1,42,0,3,495
