"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - GIRISH CHANDRA","2 - YASHWANT SINGH","3 - YASHVIR SINGH","4 - OMPRAKASH RAVI","5 - TEJ SINGH","6 - BHAGWAN DASS RATHOR","7 - MANJU DEVI","8 - VINOD KUMAR","9 - SHARISHTHA KUMAR SINGH","10 - SHEESHRAM SINGH RAVI","11 - SARIKA","12 - ASARPAT SINGH","13 - SHAMSHER","14 - SUNIL","15 - None of the Above","Total Votes Secured"
1,"P.V. FARIDPUR MAN KAKSH 1",467,420,0,887,360,313,0,673,668,0,362,278,14,0,1,1,2,0,0,0,1,0,2,4,8,673
2,"P.V. FARIDPUR MAN KAKSH 2",351,317,0,668,229,213,0,442,442,0,28,328,66,1,1,2,0,0,0,1,1,0,8,3,3,442
3,"P.V. ILAYACHIPUR KHADAGU KAKSH 1",492,444,0,936,338,328,0,666,644,0,255,365,26,3,1,1,0,3,1,0,0,0,0,3,8,666
4,"P.V. ILAYACHIPUR KHADAGU KAKSH 2",380,346,0,726,289,245,0,534,514,0,19,465,34,2,0,1,1,1,0,1,1,1,1,6,1,534
5,"P.V. AASPUR NAWADA",518,435,0,953,428,353,0,781,740,0,301,424,39,0,5,1,3,2,0,0,1,2,0,1,2,781
6,"P.V. KASAMPUR KRIPARAM URF SUNDARPUR",507,455,0,962,369,356,0,725,719,0,107,401,180,5,4,4,0,1,0,3,7,1,2,5,5,725
7,"P.V. GOPALPUR",633,549,0,1182,573,473,0,1046,1044,0,223,799,19,0,0,0,0,0,0,0,0,0,2,1,2,1046
8,"P.M.V. SIROHA GIRDHAR",329,285,0,614,263,215,0,478,478,0,125,341,3,0,0,0,0,0,1,0,1,1,2,2,2,478
9,"P.V. ABDULPUR MUNNA",470,416,0,886,416,391,0,807,769,0,90,629,68,1,0,2,1,0,1,4,2,1,2,4,2,807
10,"P.M.V. FARIDPUR SANSARU URF DHOKALPUR KAKSH 1",600,543,0,1143,410,389,0,799,799,0,142,577,52,0,3,3,3,2,0,1,1,1,2,7,5,799
11,"P.M.V. FARIDPUR SANSARU URF DHOKALPUR KAKSH 2",451,395,0,846,320,261,0,581,579,0,94,452,20,1,2,2,1,0,0,2,0,1,1,1,4,581
12,"P.V. FARIDPUR DARGA",627,550,1,1178,476,435,0,911,911,0,315,482,87,1,0,1,1,1,1,0,5,2,2,8,5,911
13,"P.V. ISLAMPUR THAMBUCHAU",380,335,0,715,257,244,0,501,501,0,148,270,77,1,0,1,0,0,0,0,1,0,0,2,1,501
14,"P.V. BARUKI PRATHAM KAKSH 1",529,473,0,1002,352,279,0,631,630,0,19,268,328,2,1,1,0,1,0,1,0,0,3,4,3,631
15,"P.V. BARUKI PRATHAM KAKSH 2",417,356,0,773,263,232,0,495,487,0,8,200,265,3,1,0,3,0,0,0,0,2,7,3,3,495
16,"P.V. BARUKI PRATHAM KAKSH 3",836,780,0,1616,558,490,0,1048,1043,0,347,635,13,3,1,6,1,0,1,2,0,2,6,8,23,1048
17,"P.V. ISLAMPUR LALU",466,421,0,887,354,351,0,705,705,0,31,4,640,3,6,0,0,1,0,2,0,1,12,1,4,705
18,"P.V. FATEHPUR ASAL",361,330,0,691,226,208,0,434,434,0,129,293,3,0,0,0,0,0,1,0,0,0,1,5,2,434
19,"P.V. MUZAFFARABAD",252,254,1,507,214,228,0,442,441,0,238,182,5,1,1,0,1,0,0,1,0,1,1,5,6,442
20,"P.V. GANGODA SHEKH",812,760,0,1572,497,493,0,990,988,0,350,17,588,2,1,0,0,1,0,3,12,3,7,3,3,990
21,"P.V. AHMADPUR CHANDRU URF GADANA",454,375,2,831,320,267,0,587,587,0,169,382,6,1,4,12,0,0,0,0,3,0,0,3,7,587
22,"P.V. KANHA NAGLA",243,229,0,472,233,207,0,440,437,0,12,405,6,1,0,3,2,0,0,0,0,0,3,6,2,440
23,"P.V. RUKANPUR",230,199,0,429,194,165,0,359,359,0,214,132,3,0,1,0,0,0,0,0,0,1,0,5,3,359
24,"P.V. IBRAHIMPUR KHANDSAL",579,511,0,1090,450,409,0,859,850,0,178,657,14,0,0,0,1,0,0,0,0,0,0,2,7,859
25,"P.V. BAKAR NAGLA",365,333,1,699,248,250,0,498,498,0,167,275,48,1,0,0,0,0,0,0,0,0,1,2,4,498
26,"P.V. SHAHPUR SAIDU",313,281,0,594,248,246,0,494,492,0,93,372,17,1,1,0,0,0,0,1,0,1,2,2,4,494
27,"P.V. FARIDPUR NIZAM",483,427,0,910,400,346,0,746,742,0,54,665,22,0,0,0,0,0,0,0,0,0,0,2,3,746
28,"P.V. GUJARPUR JASPAL",236,179,0,415,174,156,0,330,320,0,134,170,2,2,1,3,1,0,0,0,2,0,2,11,2,330
29,"P.M.V. GANGODA JAT KAKSH 1",658,612,0,1270,444,420,0,864,862,0,350,359,121,2,2,0,0,0,0,5,2,0,7,9,7,864
30,"P.M.V. GANGODA JAT KAKSH 2",459,425,0,884,318,316,0,634,593,0,44,451,76,1,2,8,2,1,3,13,2,2,4,15,10,634
