"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DR. ARVIND KUMAR SINGH","2 - ZAFAR ALAM","3 - BIJENDRA SINGH","4 - SATISH KUMAR","5 - AMITA SINGH JAT","6 - DURGESH CHANDRA GAUTAM","7 - DEVANAND","8 - PRADEEP KUMAR","9 - BADSHAH","10 - RAKESH CHANDRA RAWAT","11 - VINOD KUMAR BAGHEL","12 - MOHD. SABIR RAHI","13 - NATTHI LAL SHARMA","14 - SANJAY KUMAR","15 - None of the Above","Total Votes Secured"
31,"VAYAPAR KAR KARYALAY, MARIS ROAD,R.NO.-1",674,559,0,1233,399,256,0,655,365,0,19,565,48,5,1,1,0,0,0,0,3,8,0,2,3,655
32,"VAYAPAR KAR KARYALAY, MARIS ROAD,R.NO.-2",399,350,0,749,145,188,0,333,327,0,5,292,21,5,0,0,0,0,0,0,0,6,2,1,1,333
33,"DR. BHIMRAO AMVEDKAR, VIDYALAY, VEGPUR, R.NO.-1",972,793,0,1765,536,414,0,950,946,0,40,835,36,7,1,0,0,0,0,0,2,14,2,2,11,950
34,"DR. BHIMRAO AMVEDKAR, VIDYALAY, VEGPUR, R.NO.-2",584,491,0,1075,336,249,0,585,581,0,16,532,35,1,0,0,0,0,0,0,0,1,0,0,0,585
35,"CHILDRAN ACCEDMI SCHOL, MARIS ROAD, R.NO.-1",691,598,0,1289,402,250,0,652,600,0,19,502,103,5,1,0,0,1,0,1,2,11,0,1,6,652
36,"CHILDRAN ACCEDMI SCHOL, MARIS ROAD, R.NO.-2",719,562,0,1281,395,255,0,650,650,0,19,507,91,5,1,0,1,0,0,1,1,16,0,3,5,650
37,"CHILDRAN ACCEDMI SCHOL, MARIS ROAD, R.NO.-3",579,458,0,1037,275,156,0,431,422,0,33,303,77,5,0,0,0,0,0,1,0,0,10,1,1,431
38,"CHILDRAN ACCEDMI SCHOL, MARIS ROAD, R.NO.-4",754,622,0,1376,415,235,0,650,620,0,33,508,78,4,1,1,0,0,1,0,0,14,1,2,7,650
39,"CHILDRAN ACCEDMI SCHOL, MARIS ROAD, R.NO.-5",749,640,0,1389,349,208,0,557,245,0,30,473,46,1,0,0,0,0,0,0,0,4,0,0,3,557
40,"RASHTRIY PRATIDARSH SARWEXAN SANGTHAN MARIS ROAD, R.NO.-1",703,619,0,1322,372,245,0,617,607,0,43,513,42,3,2,0,0,2,0,0,1,3,0,0,8,617
41,"RASHTRIY PRATIDARSH SARWEXAN SANGTHAN MARIS ROAD, R.NO.-2",892,733,1,1626,472,302,0,774,510,0,15,665,68,2,0,1,1,2,0,1,1,13,2,1,2,774
42,"RASHTRIY PRATIDARSH SARWEXAN SANGTHAN MARIS ROAD, R.NO.-3",300,269,0,569,184,135,0,319,319,0,17,247,28,4,0,0,0,0,0,1,0,20,0,1,1,319
43,"INCOME TEX OFFICE MARIS ROAD, R.NO.-1",355,306,0,661,170,109,0,279,271,0,19,203,46,4,0,0,0,0,0,0,0,6,0,0,1,279
44,"INCOME TEX OFFICE MARIS ROAD, R.NO.-2",578,496,0,1074,321,213,0,534,519,0,23,437,58,1,2,0,0,1,0,0,0,12,0,0,0,534
45,"KARYALAY NICHLI GANGA NAHAR DODPUR, R.NO.-1",845,751,0,1596,447,364,0,811,499,0,74,534,159,5,1,0,1,0,0,0,0,30,0,2,5,811
46,"KARYALAY NICHLI GANGA NAHAR DODPUR, R.NO.-2",863,777,0,1640,497,402,0,899,704,0,223,358,137,124,5,1,0,0,0,0,0,26,4,9,12,899
