"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DR.MURLI MANOHAR JOSHI","2 - SALEEM AHMAD","3 - SURENDRA MOHAN AGARWAL","4 - SRIPRAKASH JAISWAL","5 - ANIL AWASTHI","6 - ANAND MEHROTRA","7 - DEVENDRA KUMAR SHARMA","8 - MOHD.NASIR KHAN","9 - DR.NIKHIL GUPTA","10 - MAHMOOD HUSAIN RAHMANI","11 - MOHAMMAD ATEEQ","12 - RAMESH KUMAR GUPTA","13 - VINAYAK RAO TOPE","14 - HIMMAT LAL","15 - ASHOK PASWAN ADVOCATE","16 - KISHOR BAJPAI","17 - PREM CHANDRA PANDEY","18 - BETALAL DIWAKAR","19 - MUZAFFAR HUSAIN KHAN","20 - VISHWANATH KATARIA","21 - KUMARI SARASWATI","22 - None of the Above","Total Votes Secured"
24,"N.M.P. GANDHI SMARAK INTER COLLEGE ROOM NO 4 125 GOVIND NAGAR",549,484,0,1033,287,240,0,527,52,0,438,6,6,59,1,0,0,0,0,8,0,0,0,0,1,0,1,1,1,0,0,5,527
25,"N.M.P. GANDHI SMARAK INTER COLLEGE  ROOM NO 5 125 GOVIND NAGAR",617,519,0,1136,325,252,0,577,348,0,409,47,11,89,0,0,0,0,0,12,1,0,0,0,0,1,6,0,0,0,0,1,577
26,"N.M P GANDHI SMARAK INTETR COLLEGE ROOM NO 5 125 GOVIND NAGAR",605,493,0,1098,320,231,0,551,237,0,451,3,2,79,1,0,0,0,0,7,0,0,0,1,1,0,2,0,0,0,0,4,551
27,"N.M.P. GANDHI SMARAK INTER COLLEGE  ROOM NO 6 125 GOVIND NAGAR",342,285,0,627,188,152,0,340,340,0,266,4,11,39,1,0,0,0,0,14,0,0,0,1,0,0,0,1,1,0,0,2,340
28,"STEPPING STONE INTER COLLEGE  GOVIND NAGAR, ROOM NO. 1",400,366,0,766,289,214,0,503,492,0,342,50,6,87,1,1,0,0,0,8,0,0,0,0,1,5,1,0,0,0,0,1,503
29,"STEPPING STONE INTER COLLEGE GOVIND NAGAR, ROOM NO. 2",477,412,0,889,301,246,0,547,540,0,433,16,13,77,1,0,0,0,1,4,0,0,0,0,0,1,1,0,0,0,0,0,547
30,"STEPPING STONE INTER COLLEGE GOVIND NAGAR, ROOM NO. 3",528,437,0,965,390,270,0,660,509,0,504,19,13,96,2,1,0,0,3,18,0,0,0,0,0,1,1,0,0,0,0,2,660
31,"N.M.P. GIRLS JR. H. SCHOOLROOM NO 1. 126 J BLOCK GOVIND NAGAR",769,638,0,1407,480,321,0,801,403,0,411,265,11,84,2,0,0,0,1,5,0,1,0,2,5,5,1,2,2,0,0,4,801
32,"N.M.P. GIRLS JR. H. SCHOOLROOM NO 2 .126 J BLOCK GOVIND NAGAR",643,494,0,1137,322,216,0,538,380,0,310,131,31,55,0,1,0,0,0,4,0,1,0,0,0,1,0,0,0,0,1,3,538
33,"N.M.P. GIRLS JR. H. SCHOOLROOM NO 3. 126  J BLOCK  GOVIND NAGAR",521,439,1,961,324,277,0,601,511,0,519,3,12,51,1,0,0,1,0,10,0,0,0,0,0,0,1,0,0,0,0,3,601
34,"NATIVELAND CONVENT H. SCHOOL ROOM NO 1  O BLOCK GOVIND NAGAR",752,731,0,1483,549,483,0,1032,980,0,837,10,10,139,1,0,0,0,0,26,0,0,0,0,0,2,0,1,2,0,0,4,1032
35,"VIMAL JR. HIGH SCHOOLROOM NO 1  JUHI LAL COLONEY",652,551,0,1203,417,305,0,722,35,0,338,18,23,328,1,0,1,0,0,1,1,0,0,0,1,4,4,0,1,0,1,0,722
36,"VIMAL JR. HIGH SCHOOL ROOM NO 2  JUHI LAL COLONEY",274,256,0,530,159,121,0,280,280,0,34,7,2,233,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,280
37,"VIMAL JR. HIGH SCHOOL ROOM NO 3  JUHI LAL COLONEY",838,749,0,1587,525,317,0,842,81,0,384,24,15,391,3,0,0,1,1,14,0,0,0,1,0,0,2,1,1,1,0,3,842
38,"KANYA PR. SCHOOL JUHI KALA JUHI DEPO KE PASS, ROOM NO. 1",569,513,0,1082,402,223,0,625,615,0,436,13,9,158,2,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,1,625
39,"KANYA PR. SCHOOL JUHI KALA JUHI DEPO KE PASS, ROOM NO. 2",310,274,0,584,178,135,0,313,25,0,183,12,13,98,1,0,0,0,0,3,0,0,0,1,0,0,2,0,0,0,0,0,313
40,"RAJKEEYA SHRAM HITKARI KENDRA, ROOM NO 1.127 JUHI LABOUR  COLONEY",631,574,1,1206,357,319,0,676,94,0,481,33,14,128,2,0,0,0,0,10,1,0,0,0,0,2,3,0,0,0,0,2,676
41,"RAJKEEYA SHRAM HITKARI KENDRA, ROOM NO 2.127 JUHI LABOUR  COLONEY",263,219,0,482,142,139,0,281,281,0,220,1,6,47,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,1,281
42,"RAJKEEYA SHRAM HITKARI KENDRA, ROOM NO 3. 127 JUHI LABOUR  COLONEY",753,641,0,1394,438,346,0,784,702,0,323,18,19,399,1,2,0,0,0,15,0,0,0,0,0,1,1,0,0,0,0,5,784
43,"RAJKEEYA SHRAM HITKARI KENDRA, ROOM NO 4. 127 JUHI LABOUR  COLONEY",732,654,0,1386,430,386,0,816,810,0,504,9,21,262,1,0,0,0,0,12,0,0,0,0,1,1,3,0,1,0,0,1,816
44,"RAJKEEYA SHRAM HITKARI KENDRA, ROOM NO 5 .127 JUHI LEBA RCOLONEY",652,624,0,1276,459,422,0,881,5,0,462,11,20,372,1,0,0,0,0,10,0,0,0,0,0,0,1,1,0,1,1,1,881
45,"RAJKEEYA SHRAM HITKARI KENDRA, ROOM NO 6 127 JUHI LABOUR  COLONEY",613,545,0,1158,341,272,0,613,213,0,450,2,6,147,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,3,613
46,"RAJKEEYA SHRAM HITKARI KENDRA, ROOM NO 7 .127 JUHI LABOUR  COLONEY",189,197,0,386,130,116,0,246,15,0,174,2,6,57,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,246
47,"RAJKEEYA SHRAM HITKARI KENDRA, ROOM NO  8. 127 JUHI LABOUR  COLONEY",673,585,0,1258,452,375,0,827,33,0,572,18,6,210,2,0,1,0,0,9,0,1,0,0,1,1,5,0,0,1,0,0,827
48,"RAJKIYA KARAMCHARI BEEMA HOSPITAL, BINOVA NAGAR, ROOM NO. 1",582,493,0,1075,261,200,0,461,454,0,150,104,10,157,4,2,0,1,1,0,2,0,0,3,2,6,8,6,1,0,4,0,461
49,"RAJKIYA KARAMCHARI BEEMA HOSPITAL, BINOVA NAGAR, ROOM NO. 2",349,308,0,657,166,145,0,311,306,0,93,50,2,158,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,2,1,0,311
50,"RAJKIYA KARAMCHARI BEEMA HOSPITAL, BINOVA NAGAR, ROOM NO. 3",505,415,0,920,297,216,0,513,437,0,316,31,10,147,2,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,513
51,"RAJKIYA KARAMCHARI BEEMA HOSPITAL, BINOVA NAGAR, ROOM NO. 4",576,534,0,1110,378,303,0,681,646,0,306,25,18,317,0,0,0,0,3,4,0,0,0,0,0,2,3,0,2,0,0,1,681
52,"KANYA PR. SCHOOL JUHI KALA JUHI DEPO KE PASS, ROOM NO. 3",783,624,0,1407,498,224,0,722,72,0,277,40,17,364,1,0,0,1,1,20,0,0,0,0,0,0,0,0,0,0,0,1,722
