"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - NAFISUDDIN","2 - BEGUM NOOR BANO URF MEHTAB","3 - HAJI MOHD YAQOOB","4 - KUNWER SARVESH KUMAR","5 - DR S T HASAN","6 - AMIT KUMAR","7 - KAMAR ALAM","8 - JAIPAL SINGH SAINI","9 - MOHD ZAFAR IQBAL","10 - TEAJ SINGH SAINI","11 - ENGINEER MOHAMMAD IRFAN","12 - VIMAL KUMAR","13 - SATISH CHANDRA SHARMA","14 - SANDEEP KUMAR","15 - SAURABH PRATAP SINGH","16 - HARIOM","17 - RAJ KUMAR GUPTA","18 - ROOPA CHANDRA SINGH","19 - None of the Above","Total Votes Secured"
31,"NAGAR NIGAM OFFICE ROOM 1",670,605,0,1275,365,248,0,613,613,0,0,8,20,104,474,1,0,0,0,0,2,2,0,0,0,1,0,1,0,613
32,"NAGAR NIGAM OFFICE ROOM 2",649,552,0,1201,307,220,0,527,520,0,0,7,26,32,452,2,0,0,0,0,1,4,0,0,2,0,0,0,1,527
33,"TEHSIL COMPOUND TEEN SHAD ROOM 1",490,361,0,851,278,163,0,441,405,0,0,10,74,18,332,1,0,0,0,0,4,1,0,0,1,0,0,0,0,441
34,"TEHSIL COMPOUND TEEN SHAD ROOM 2",452,388,1,841,232,138,0,370,370,0,1,4,43,11,302,3,0,1,0,0,2,0,0,0,0,1,0,0,2,370
35,"BAL VIKAS VIDYALAYA DINDARPURA ROOM 1",441,389,0,830,255,171,0,426,405,0,0,11,11,150,247,1,0,0,0,0,0,3,0,0,0,0,0,0,3,426
36,"BAL VIKAS VIDYALAYA DINDARPURA ROOM 2",499,402,0,901,317,184,0,501,481,0,1,5,10,30,450,2,0,0,0,0,0,1,0,0,0,0,0,0,2,501
37,"TEHSIL OFFICE BUILDING ROOM 3",375,372,0,747,228,167,0,395,395,0,1,10,6,366,9,0,0,0,0,0,0,2,0,0,1,0,0,0,0,395
38,"TEHSIL OFFICE BUILDING ROOM 4",497,389,0,886,258,162,0,420,403,0,0,20,20,38,339,1,0,0,0,0,0,1,0,1,0,0,0,0,0,420
39,"IMDADIYA GIRLS SCHOOL CHAURAHA GALI ROOM 2",560,523,0,1083,414,320,0,734,720,0,1,16,2,640,64,0,0,1,0,0,0,2,1,0,1,1,0,0,5,734
40,"ABDUL SALAM GIRLS INTER COLLEGE MADHYA WING ROOM 2",627,468,0,1095,372,176,0,548,509,0,0,11,23,7,494,1,0,0,1,0,2,7,0,0,1,0,1,0,0,548
41,"ABDUL SALAM GIRLS INTER COLLEGE MADHYA WING ROOM 3",308,245,0,553,176,102,0,278,194,0,0,7,6,3,256,0,1,0,0,0,0,3,0,0,1,1,0,0,0,278
42,"ABDUL SALAM GIRLS INTER COLLEGE MADHYA WING ROOM 4",625,503,0,1128,322,167,0,489,477,0,1,5,9,6,459,0,0,0,0,0,2,0,0,2,1,1,0,0,3,489
43,"ABDUL SALAM GIRLS INTER COLLEGE PASHCHIM WING ROOM 1",495,392,0,887,297,184,0,481,474,0,0,4,37,6,430,1,0,0,0,0,1,1,0,0,0,1,0,0,0,481
44,"ABDUL SALAM GIRLS INTER COLLEGE PASHCHIM WING ROOM 5",490,416,0,906,286,171,0,457,440,0,2,6,23,8,393,5,0,0,0,0,20,0,0,0,0,0,0,0,0,457
45,"ABDUL SALAM GIRLS INTER COLLEGE PASHCHIM WING ROOM 2",602,550,0,1152,389,268,0,657,592,0,5,24,16,122,469,3,0,0,1,1,1,7,1,1,3,1,0,1,1,657
46,"ABDUL SALAM GIRLS INTER COLLEGE PASHCHIM WING ROOM 3",633,544,0,1177,430,292,0,722,722,0,0,6,24,29,650,1,0,0,0,0,5,5,0,0,0,1,0,0,1,722
47,"TEHSIL OFFICE BUILDING ROOM 4",719,575,0,1294,413,206,0,619,204,0,0,4,60,22,516,2,0,0,0,0,3,7,0,0,2,1,1,0,1,619
48,"EDAM AND EBZE CONVENT SCHOOL ROOM 5",479,354,0,833,329,211,0,540,537,0,0,4,13,1,513,2,0,0,0,1,3,0,0,0,0,3,0,0,0,540
49,"EDAM AND EBZE CONVENT SCHOOL ROOM 9",454,379,0,833,332,224,0,556,545,0,1,3,8,3,519,4,0,0,0,0,5,0,1,2,1,1,2,1,5,556
50,"EDAM AND EBZE CONVENT SCHOOL ROOM 1",795,683,1,1479,468,265,0,733,733,0,2,8,38,3,668,0,0,0,0,0,9,0,0,3,0,2,0,0,0,733
51,"EDAM AND EBZE CONVENT SCHOOL ROOM 2",510,437,0,947,307,206,0,513,513,0,0,7,11,3,482,0,0,0,0,1,9,0,0,0,0,0,0,0,0,513
52,"EDAM AND EBZE CONVENT SCHOOL ROOM 6",498,442,0,940,301,200,0,501,500,0,2,12,10,5,451,2,0,0,0,0,11,4,0,1,0,1,0,0,2,501
53,"EDAM AND EBZE CONVENT SCHOOL ROOM 3",471,413,0,884,252,122,0,374,369,0,0,1,6,2,357,2,0,0,0,0,5,0,0,0,0,1,0,0,0,374
54,"EDAM AND EBZE CONVENT SCHOOL ROOM 7",483,389,0,872,300,146,0,446,446,0,0,12,4,4,412,2,0,0,0,0,2,0,0,2,1,2,1,0,4,446
55,"EDAM AND EBZE CONVENT SCHOOL ROOM 4",460,401,0,861,305,164,0,469,464,0,0,8,10,5,418,1,1,0,0,0,19,1,1,0,1,0,2,1,1,469
56,"EDAM AND EBZE CONVENT SCHOOL ROOM 8",450,381,0,831,301,180,0,481,474,0,2,6,8,4,438,2,0,1,2,0,11,4,0,0,1,0,1,0,1,481
57,"ASIM BIHARI JUNIOR HIGH SCHOOL ROOM 1",831,740,0,1571,569,353,0,922,666,0,1,23,37,3,820,5,0,1,1,0,22,1,0,2,4,1,0,0,1,922
58,"ASIM BIHARI JUNIOR HIGH SCHOOL ROOM 2",583,516,0,1099,362,194,0,556,415,0,0,12,36,5,484,0,0,0,0,0,17,1,0,1,0,0,0,0,0,556
59,"ASIM BIHARI JUNIOR HIGH SCHOOL ROOM 3",580,493,0,1073,368,202,0,570,566,0,0,6,8,1,535,1,0,0,0,0,13,1,0,0,1,3,0,0,1,570
60,"CHAUDHARY BANQUET HALL  KATAR SHAHEED ROOM 1",754,617,0,1371,439,235,0,674,658,0,0,17,19,2,620,3,0,0,0,0,4,1,2,1,1,1,0,0,3,674
61,"DHAUDHARY BANQUET HALL  KATAR SHAHEED ROOM 2",537,460,0,997,362,217,0,579,579,0,1,8,21,13,525,3,0,0,0,0,4,1,0,0,0,1,1,0,1,579
62,"DHAUDHARY BANQUET HALL  KATAR SHAHEED ROOM 4",447,376,0,823,270,173,0,443,440,0,0,2,11,5,415,2,0,0,0,0,0,0,0,0,1,4,0,0,3,443
63,"CHAUDHARY BANQUET HALL  KATAR SHAHEED ROOM 3",502,350,0,852,308,143,0,451,410,0,0,5,11,7,420,0,0,0,0,0,1,0,1,1,0,3,1,0,1,451
64,"CHAUDHARY BANQUET HALL  KATAR SHAHEED ROOM 5",500,407,0,907,309,173,0,482,481,0,0,2,9,5,455,0,0,0,0,0,6,2,0,0,0,1,0,0,2,482
65,"JUNIOR HIGH SCHOOL JANTULNISHA ROOM 1",407,337,0,744,306,177,0,483,231,0,0,17,14,5,436,3,1,0,0,0,0,1,1,0,0,2,1,0,2,483
66,"JUNIOR HIGH SCHOOL JANTULNISHA ROOM 2",697,581,0,1278,477,289,0,766,670,0,0,7,18,11,705,2,0,0,0,0,4,0,0,3,0,10,1,1,4,766
67,"KANYA JUNIOR HIGH SCHOOL GUIYAN BAGHROOM 1",798,723,0,1521,474,285,0,759,747,0,0,12,49,3,684,1,0,0,0,0,5,1,0,0,0,0,1,0,3,759
68,"KANYA JUNIOR HIGH SCHOOL GUIYAN BAGHROOM 3",441,362,0,803,278,145,0,423,419,0,0,7,13,0,397,0,0,0,0,1,3,0,0,0,2,0,0,0,0,423
69,"KANYA JUNIOR HIGH SCHOOL GUIYAN BAGHROOM 4",434,371,0,805,249,152,0,401,394,0,0,6,15,5,368,2,0,0,0,0,4,1,0,0,0,0,0,0,0,401
70,"KANYA JUNIOR HIGH SCHOOL GUIYAN BAGHROOM 2",751,599,0,1350,512,297,0,809,495,0,0,10,33,8,738,1,0,0,0,2,8,5,0,1,0,2,0,1,0,809
71,"ANSAR INTER COLLEGE UTTRI WING ROOM 1",575,484,0,1059,463,282,0,745,741,0,1,6,7,77,638,4,0,0,0,1,2,3,0,1,2,1,1,0,1,745
72,"ANSAR INTER COLLEGE UTTRI WING ROOM 2",363,309,0,672,240,135,0,375,366,0,0,3,4,4,360,1,0,0,0,0,0,1,0,0,0,1,0,1,0,375
73,"ANSAR INTER COLLEGE UTTRI WING ROOM 3",492,423,0,915,324,158,0,482,65,0,1,5,4,29,428,2,0,0,0,0,7,0,0,1,0,1,0,0,4,482
74,"ANSAR INTER COLLEGE UTTRI WING ROOM 5",570,457,0,1027,344,170,0,514,512,0,0,4,13,3,465,1,0,0,0,0,27,0,0,0,0,1,0,0,0,514
75,"ANSAR INTER COLLEGE UTTRI WING ROOM 4",815,702,0,1517,565,361,0,926,579,0,1,2,18,72,821,2,0,0,0,0,3,3,0,1,1,0,0,0,2,926
76,"GOVT. INTER COLLEGE ROOM 7",724,632,0,1356,486,318,0,804,695,0,0,12,15,10,763,1,2,0,0,0,0,0,0,0,0,1,0,0,0,804
77,"GOVT. INTER COLLEGE ROOM 8",760,687,0,1447,531,326,0,857,852,0,2,7,21,7,815,0,0,0,0,0,1,0,0,1,0,1,0,1,1,857
78,"GOVT. INTER COLLEGE ROOM 9",746,653,0,1399,484,308,0,792,788,0,0,5,37,3,727,1,1,0,1,0,3,4,0,1,2,3,0,0,4,792
79,"ANSAR INTER COLLEGE DAKSHIN WING ROOM 1",540,443,0,983,349,214,0,563,563,0,1,6,23,7,518,0,0,0,0,0,6,0,0,0,1,0,0,0,1,563
80,"ANSAR INTER COLLEGE DAKSHIN WING ROOM 4",517,529,0,1046,358,248,0,606,605,0,0,6,21,10,565,0,0,0,0,0,0,0,0,0,1,3,0,0,0,606
81,"SARASWATI VIDYA MANDIR KATGHAR ROOM 1",760,635,0,1395,528,391,0,919,507,0,5,12,25,841,12,3,0,2,1,3,1,4,1,0,4,3,0,0,2,919
82,"SARASWATI VIDYA MANDIR KATGHAR ROOM 2",787,616,0,1403,540,346,0,886,872,0,1,5,12,786,39,0,1,0,4,3,0,2,5,3,11,2,1,2,9,886
83,"SARASWATI VIDYA MANDIR KATGHAR ROOM 3",678,557,0,1235,469,261,0,730,726,0,14,8,18,80,590,4,1,1,0,0,6,1,0,2,1,1,0,1,2,730
84,"LAXMI NARAYAN GIRLS INTER COLLEGE ROOM 1",695,613,0,1308,430,296,0,726,702,0,1,14,17,81,596,3,0,0,0,0,5,1,1,1,0,3,2,0,1,726
85,"LAXMI NARAYAN GIRLS INTER COLLEGE ROOM 2",644,547,0,1191,423,270,0,693,692,0,0,11,17,3,636,2,0,0,0,0,20,0,0,0,1,2,0,0,1,693
86,"LAXMI NARAYAN GIRLS INTER COLLEGE ROOM 3",458,395,0,853,337,235,0,572,572,0,0,12,4,289,261,1,0,0,0,0,1,1,0,0,1,0,0,0,2,572
87,"LAXMI NARAYAN GIRLS INTER COLLEGE ROOM 4",468,439,0,907,327,274,0,601,592,0,0,17,6,553,19,0,0,1,0,0,0,2,0,1,0,1,0,0,1,601
88,"PHOOLWATI GIRLS INTER COLLEGE ROOM 1",535,466,0,1001,362,289,0,651,648,0,2,8,6,601,25,0,1,0,0,0,0,1,1,1,3,0,0,1,1,651
89,"PHOOLWATI GIRLS INTER COLLEGE ROOM 2",726,596,0,1322,506,381,0,887,877,0,0,15,22,687,127,1,1,0,1,2,0,4,5,2,8,6,1,0,5,887
90,"PHOOLWATI GIRLS INTER COLLEGE ROOM 3",658,550,0,1208,384,266,0,650,639,0,0,15,12,579,23,1,1,0,1,0,1,1,0,2,6,6,0,1,1,650
91,"SHYAMLAL JUNIOR HIGH SCHOOL ROOM 1",633,547,0,1180,460,325,0,785,781,0,1,7,12,730,7,0,0,1,3,0,1,3,2,1,3,2,3,2,7,785
92,"SHYAMLAL JUNIOR HIGH SCHOOL ROOM 3",601,525,0,1126,435,331,0,766,762,0,2,8,16,710,11,0,0,0,2,2,0,2,2,2,4,0,1,0,4,766
93,"SHYAMLAL JUNIOR HIGH SCHOOL ROOM 2",677,584,0,1261,442,322,0,764,722,0,0,10,3,588,148,1,0,0,1,0,1,2,4,1,1,2,0,1,1,764
94,"SEEMA CONVENT SCHOOL MAKBARA ROOM 1",230,191,0,421,157,107,0,264,264,0,0,4,2,42,208,1,1,0,1,0,2,0,0,0,1,1,0,0,1,264
95,"SEEMA CONVENT SCHOOL MAKBARA ROOM 2",611,501,0,1112,384,201,0,585,582,0,0,5,6,11,529,4,0,0,0,1,21,2,0,0,1,4,0,0,1,585
96,"SEEMA CONVENT SCHOOL MAKBARA ROOM 3",459,386,0,845,253,132,0,385,377,0,1,1,12,4,356,4,0,0,1,0,3,2,0,0,1,0,0,0,0,385
97,"HAVIT MUSLIM PRIMARY SCHOOL ROOM 1",540,442,0,982,376,253,0,629,620,0,1,20,11,261,321,0,0,0,0,1,0,0,0,0,3,9,0,0,2,629
98,"HAVIT MUSLIM PRIMARY SCHOOL ROOM 2",572,557,0,1129,399,346,0,745,735,0,2,9,2,693,24,0,0,0,0,0,0,5,1,1,1,0,0,3,4,745
99,"HAVIT MUSLIM PRIMARY SCHOOL ROOM 3",606,550,0,1156,412,312,0,724,398,0,0,8,7,553,138,0,0,0,0,0,0,2,1,1,7,3,1,1,2,724
100,"KANYA PRIMARY SCHOOL KATGHAR PURVI",326,310,0,636,295,196,0,491,491,0,1,2,2,248,233,0,0,0,0,0,0,0,1,0,1,1,0,0,2,491
101,"HAVIT MUSLIM INTER COLLEGE  ROOM 8",696,569,0,1265,421,306,0,727,709,0,3,6,5,639,57,1,1,0,0,0,1,3,2,0,1,3,1,2,2,727
102,"HAVIT MUSLIM INTER COLLEGE  ROOM 9",713,571,0,1284,431,291,0,722,560,0,1,11,8,250,440,1,0,0,0,0,5,1,1,0,3,0,0,0,1,722
103,"HAVIT MUSLIM INTER COLLEGE  ROOM 10",508,428,0,936,296,191,0,487,466,0,1,7,4,110,355,1,1,0,0,0,0,0,0,0,0,5,0,1,2,487
104,"HAVIT MUSLIM INTER COLLEGE ROOM 12",491,400,0,891,320,205,0,525,517,0,0,5,4,66,442,2,0,0,0,0,0,0,1,2,1,1,0,0,1,525
105,"HAVIT MUSLIM INTER COLLEGE  ROOM 11",668,608,0,1276,433,359,0,792,788,0,1,7,6,478,283,1,0,2,2,0,0,1,2,1,5,2,0,0,1,792
106,"MORADABAD MUSLIM DEGREE COLLEGE ROOM 1",473,348,0,821,353,170,0,523,520,0,1,10,4,2,479,4,0,0,0,1,15,2,0,1,1,2,0,1,0,523
107,"MORADABAD MUSLIM DEGREE COLLEGE ROOM 6",568,465,0,1033,361,194,0,555,550,0,3,12,12,3,510,1,0,0,0,0,6,3,0,0,2,2,0,0,1,555
108,"MORADABAD MUSLIM DEGREE COLLEGE ROOM 2",641,487,0,1128,339,201,0,540,520,0,0,8,9,0,515,4,0,0,0,0,2,2,0,0,0,0,0,0,0,540
109,"MORADABAD MUSLIM DEGREE COLLEGE ROOM 7",442,335,0,777,250,132,0,382,381,0,1,6,2,3,365,0,0,0,0,0,1,2,0,0,0,2,0,0,0,382
110,"MORADABAD MUSLIM DEGREE COLLEGE ROOM 3",559,442,0,1001,361,174,0,535,509,0,0,12,9,3,495,4,0,0,0,0,7,0,0,0,0,3,0,0,2,535
111,"MORADABAD MUSLIM DEGREE COLLEGE ROOM 8",499,464,0,963,288,199,0,487,484,0,0,6,16,9,428,0,0,0,0,1,23,1,0,0,0,1,1,0,1,487
112,"MORADABAD MUSLIM DEGREE COLLEGE ROOM 4",533,412,0,945,286,186,0,472,368,0,0,10,3,11,435,1,0,0,0,0,9,0,0,0,1,0,0,1,1,472
113,"MORADABAD MUSLIM DEGREE COLLEGE ROOM 9",576,454,0,1030,344,173,0,517,402,0,1,3,10,8,476,4,0,0,0,0,6,4,0,1,1,2,1,0,0,517
114,"MORADABAD MUSLIM DEGREE COLLEGE ROOM 5",663,521,0,1184,359,213,0,572,564,0,0,5,13,189,355,2,0,0,0,0,1,1,0,1,1,0,0,1,3,572
115,"MORADABAD MUSLIM DEGREE COLLEGE ROOM 10",474,506,0,980,294,222,0,516,508,0,0,2,9,381,100,2,0,1,0,1,0,6,1,0,4,6,2,0,1,516
116,"JILA SAJAM KALYAN JUNIOR HIGH SCHOOL ROOM 1",631,481,0,1112,264,199,0,463,403,0,0,13,16,399,24,1,0,0,0,2,0,4,1,0,1,1,0,0,1,463
117,"JILA SAJAM KALYAN JUNIOR HIGH SCHOOL ROOM 2",926,596,0,1522,266,278,0,544,519,0,3,14,54,417,47,0,0,0,0,0,1,0,0,1,2,2,1,0,2,544
118,"JILA SAJAM KALYAN JUNIOR HIGH SCHOOL ROOM 3",869,690,0,1559,284,281,0,565,36,0,0,7,55,470,25,0,0,0,0,0,0,4,0,0,3,0,0,0,1,565
119,"JILA SAJAM KALYAN JUNIOR HIGH SCHOOL ROOM 4",824,688,0,1512,633,434,0,1067,1046,0,1,11,23,995,21,0,0,1,0,0,0,1,2,0,6,0,0,1,5,1067
120,"JILA SAJAM KALYAN JUNIOR HIGH SCHOOL ROOM 5",654,596,0,1250,316,292,0,608,574,0,2,233,68,261,14,0,0,0,1,0,3,4,1,4,8,4,1,0,4,608
121,"JILA SAJAM KALYAN JUNIOR HIGH SCHOOL ROOM 6",690,653,0,1343,302,288,0,590,341,0,3,227,33,287,18,0,1,1,0,2,0,4,1,2,7,2,0,0,2,590
122,"GREEN MEADOWS SCHOOL ROOM 1",573,468,0,1041,232,193,0,425,420,0,1,19,43,311,39,0,0,0,0,0,0,5,0,0,2,2,0,0,3,425
123,"GREEN MEADOWS SCHOOL ROOM 2",560,534,0,1094,207,208,0,415,405,0,1,15,71,290,30,1,0,0,1,0,0,2,1,0,2,0,0,0,1,415
124,"R.N. INTER COLLEGE ROOM 1",733,665,0,1398,459,360,0,819,719,0,1,33,12,717,30,0,0,0,0,0,0,17,0,0,2,2,0,0,5,819
