"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAUSHAL KISHORE","2 - R.K CHAUDHARY","3 - NARENDRA GAUTAM","4 - SUSHILA SAROJ","5 - AMIT RAWAT","6 - OM PRAKASH","7 - GOPAL KANAUJIYA","8 - GAUTAM BHARTI","9 - JAGDISH PRASAD GAUTAM","10 - BRIJLAL","11 - MAHENDRA KUMAR RAWAT","12 - MEENA RAWAT","13 - MEERA DEVI","14 - SANTOSH KUMAR DHARKAR","15 - SUNIL GAUTAM","16 - MAHESH KUMAR","17 - REENA CHAUDHARY","18 - SHATROHANLAL RAWAT","19 - None of the Above","Total Votes Secured"
34,"P.S. KHURDA",370,324,0,694,308,222,0,530,478,0,168,182,7,145,2,0,0,0,1,0,1,0,2,5,1,7,5,3,1,530
35,"J.H.S.PURAINA MO KHURDA",364,321,0,685,263,211,0,474,1,0,118,166,9,169,2,0,1,1,0,0,0,0,1,1,0,2,2,0,2,474
36,"P.S. JODAURA KAMRA NO 1",385,329,0,714,308,250,0,558,429,0,90,285,11,162,1,0,1,2,2,0,0,0,1,0,0,1,0,1,1,558
37,"P.S. JODAURA KAMRA NO 2",511,432,0,943,376,323,0,699,528,0,100,162,16,396,2,2,1,4,0,1,1,0,0,1,2,5,1,0,5,699
38,"P.S. KURSANDA",434,386,0,820,357,280,0,637,1,0,131,323,10,149,0,1,1,1,2,2,0,1,2,6,3,2,2,0,1,637
39,"P.S. PALIYA MO SARAIYABALDEV SINGH",599,470,0,1069,451,332,0,783,18,0,169,240,18,315,5,1,3,0,1,0,1,4,4,3,3,9,5,1,1,783
40,"P.S.  NAVIN NYORAJAPUR",561,495,0,1056,396,324,0,720,124,0,272,219,22,174,6,1,2,1,2,1,1,0,2,2,5,3,1,2,4,720
41,"J.H.S. KAMHARIYA M0 JAGADISHAPUR KAMRA NO 1",374,294,0,668,283,206,0,489,308,0,110,152,18,168,7,1,1,1,1,1,0,2,1,2,2,7,8,4,3,489
42,P.S.JAGADISHAPUR,604,474,0,1078,416,308,0,724,1,0,296,228,10,152,3,0,1,2,0,1,1,2,0,1,1,7,11,5,3,724
43,"P.S. DAULATPUR MO KAIMA   UATTAR KAMRA",513,410,0,923,379,258,0,637,421,0,106,292,9,206,3,1,0,0,0,1,1,0,1,2,2,8,0,2,3,637
44,"P.S. DAULATPUR MO KAIMA  MADHY  KAMRA",656,567,0,1223,478,355,0,833,108,0,161,522,16,61,4,1,4,1,1,0,1,0,6,1,2,5,12,28,7,833
45,"P.S. SARAVAJALALAPUR  KAMRA NO 1",452,344,0,796,319,216,0,535,13,0,44,180,14,254,2,2,2,0,1,2,0,2,3,3,2,8,1,7,8,535
46,"P.S. SARAVAJALALAPUR  KAMRA NO 2",457,362,0,819,327,234,0,561,246,0,309,95,10,130,5,0,0,0,0,0,2,0,1,2,1,2,1,2,1,561
47,"P.S. PALIYA",510,411,0,921,410,298,0,708,534,0,151,295,29,194,4,0,4,3,0,1,2,1,2,5,2,5,3,2,5,708
48,"P.S. SHIVRA",446,350,0,796,382,262,0,644,1,0,69,208,4,317,3,1,0,0,0,1,2,1,4,2,2,8,6,7,9,644
49,"P.S. FARIDAPUR MAHIPAT SINGH",497,402,0,899,353,243,0,596,7,0,192,210,5,161,7,0,3,3,0,0,0,1,2,1,2,3,4,2,0,596
50,"P.S. MALETHU  KAMRA NO 1",409,345,0,754,338,253,0,591,479,0,108,204,8,248,3,0,0,1,1,1,0,0,1,1,4,6,2,1,2,591
51,"P.S. MALETHU  KAMRA NO 2",557,463,0,1020,391,356,0,747,730,0,118,375,3,229,3,1,0,1,0,1,0,1,0,2,0,3,3,6,1,747
52,"P.S. KANDHAIMAHIMAPUR",615,486,0,1101,474,333,0,807,807,0,127,349,16,266,6,4,2,3,1,0,1,1,1,5,3,7,3,8,4,807
53,"P.S. LACHCHIPUR MO RAMAPURKALA",325,272,0,597,233,187,0,420,5,0,105,178,6,110,4,0,2,1,0,0,2,0,0,1,1,4,5,1,0,420
54,"J.H.S. RAMAPURKALA  KAMRA NO 1",369,307,0,676,252,202,0,454,11,0,165,82,21,160,1,1,2,2,2,1,1,2,6,1,1,3,0,1,2,454
55,"J.H.S. RAMAPURKALA KAMRA NO 1",442,374,0,816,292,222,0,514,296,0,319,91,7,87,0,0,1,2,0,1,0,0,0,2,0,2,2,0,0,514
56,"PANCHYATGHAR BANBEERPUR MO RAMAPURKALA",249,218,0,467,187,164,0,351,40,0,74,198,7,58,0,0,0,0,1,0,0,0,0,3,2,5,0,3,0,351
57,"P.S. MAJHIYA",886,721,0,1607,607,456,0,1063,25,0,270,539,15,164,10,3,5,3,4,1,1,4,1,8,7,14,3,5,6,1063
58,"P.S. SARAIYASHANKAR BAKSH",726,596,0,1322,504,350,0,854,215,0,393,130,8,279,4,2,1,3,2,0,0,0,4,4,1,9,6,6,2,854
59,"P.S. SANDAUR",612,522,0,1134,471,339,0,810,9,0,229,304,4,241,2,1,1,2,0,0,0,1,1,3,12,4,2,3,0,810
60,"P.S. DUDHRA  KAMRA NO 1",671,543,0,1214,503,386,0,889,15,0,293,316,10,195,10,2,5,4,0,0,4,3,1,6,5,11,10,6,8,889
61,"P.S. LAKHAVAPUR MO BERASAPUR",427,341,0,768,342,286,0,628,4,0,113,299,6,189,1,0,0,0,2,0,2,1,0,3,4,3,1,2,2,628
62,"P.S. MAVAIYA",360,319,0,679,283,259,0,542,513,0,162,231,5,123,5,0,0,1,1,2,0,1,1,0,0,3,4,1,2,542
63,"P.S. CHAUDIYABHAJJUPUR",627,496,0,1123,458,353,0,811,22,0,359,197,5,222,2,0,1,1,0,2,0,0,1,3,1,1,11,0,5,811
64,"P.S. PIPRA MO BAHATUTAPUR",631,588,0,1219,474,431,0,905,19,0,77,483,13,294,4,0,2,2,0,0,1,2,0,4,3,3,5,10,2,905
65,"P.S. SEMRA",516,440,0,956,362,270,0,632,9,0,130,302,21,140,3,4,2,1,2,0,1,2,0,2,3,2,9,5,3,632
66,"P.S.TEWARIPUR MO DAHAIYA",947,806,0,1753,693,540,0,1233,639,0,172,728,13,257,6,2,3,4,5,0,1,0,1,3,4,11,9,6,8,1233
67,"P.S. DAHAVA PURAB KAMRA",603,499,0,1102,370,327,0,697,9,0,249,245,24,145,5,0,0,1,1,0,1,1,0,0,2,13,6,2,2,697
68,"P.S.DAHAVA  PASHIM KAMRA",407,304,0,711,313,200,0,513,161,0,81,115,7,276,5,2,0,2,1,0,0,1,2,1,1,5,6,4,4,513
69,"P.S. BARETHI",748,640,0,1388,517,430,0,947,147,0,142,439,9,324,5,2,1,1,3,1,2,0,3,4,2,3,1,2,3,947
70,"P.S. SANDHANA KAMRA NO 1",494,398,0,892,337,238,0,575,65,0,190,110,16,239,6,0,1,0,1,0,0,0,1,2,1,3,2,1,2,575
71,"P.S. SANDHANA KAMRA NO 2",405,309,0,714,285,187,0,472,3,0,92,134,3,235,1,1,0,0,0,1,0,0,0,0,1,0,2,1,1,472
72,"P.S. CHHANJAN",703,561,0,1264,508,371,0,879,16,0,244,445,16,140,2,0,2,2,2,1,1,2,3,2,4,6,3,3,1,879
73,"P.S. SITARASOI UATTARI KAMRA",674,584,0,1258,459,342,0,801,1,0,228,295,22,211,5,3,1,3,1,2,0,2,3,2,6,8,6,0,3,801
74,"P.S. SITARASOI MADHY KAMRA",278,233,0,511,202,136,0,338,225,0,27,237,11,36,0,0,1,1,0,0,0,0,0,2,1,2,1,13,6,338
75,"P.S. SONARI  M0 SITARASOI  KAMRA NO 1",487,405,0,892,343,288,0,631,50,0,325,269,5,8,1,0,0,0,0,1,0,0,1,3,8,4,3,3,0,631
76,"P.S. SONARI  M0 SITARASOI  KAMRA NO 2",369,328,0,697,285,239,0,524,15,0,109,204,5,187,0,0,0,0,3,0,1,2,0,4,1,4,3,0,1,524
77,"P.S. VISHUNADASAPUR",320,254,0,574,274,214,0,488,63,0,107,207,7,129,4,0,2,1,1,0,3,5,0,4,1,6,5,4,2,488
78,"P.S. KANHAMAU",799,656,0,1455,509,414,0,923,804,0,273,193,30,371,9,3,3,5,1,0,4,0,2,3,3,11,6,1,5,923
79,"P.S. HANUMANAPUR",274,212,0,486,204,151,0,355,4,0,79,72,2,196,0,0,1,0,1,0,0,0,0,0,1,1,0,0,2,355
80,"P.S. MAANAPARA",274,238,0,512,228,183,0,411,2,0,75,270,9,42,1,0,0,0,0,0,0,0,2,2,4,2,1,2,1,411
81,"P.S. CHAUDIYA M0  MAANAPARA",765,648,0,1413,551,445,0,996,996,0,293,512,20,124,4,2,0,0,0,2,0,4,7,5,5,5,4,5,4,996
82,"P.S. PURNAPUR",442,376,0,818,340,283,0,623,1,0,145,271,5,175,1,0,2,0,1,2,1,1,3,3,3,2,3,2,3,623
83,"J.H.S. HIRAPUR",409,333,0,742,296,245,0,541,10,0,163,111,13,239,1,3,2,0,1,1,1,0,0,1,2,1,0,1,1,541
84,"P.S. SINGHAPUR",677,570,0,1247,444,378,0,822,69,9,161,421,27,186,2,0,1,1,1,2,1,3,0,1,2,5,2,3,3,822
85,"P.S. PAISIYA",516,460,1,977,365,304,0,669,23,0,143,415,18,72,0,0,0,2,0,0,1,0,2,1,2,2,5,3,3,669
86,"P.S. KINDHAULIYA",310,274,0,584,194,176,0,370,250,0,95,100,13,158,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,370
87,"P.S. REVRI  KAMRA NO 1",580,480,0,1060,457,322,0,779,19,0,174,458,6,116,1,0,0,1,1,0,2,1,1,1,3,7,3,3,1,779
