"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKHILESH","2 - KASHI NATH SHUKLA","3 - PANKAJ","4 - HARSH VARDHAN","5 - ARAT KHARVAR","6 - KAVILAS","7 - MUMMATAJ","8 - MANGAL LAL","9 - PASHUPATI NATH GUPTA","10 - RADHEYSHYAM","11 - RAMSAMUJH","12 - VIMLESH TRIPATHI","13 - SHIVCHARAN","14 - SHREE AKHILESH KUMAR","15 - AJAYDHAR","16 - ANIL KUMAR SHAHANI","17 - GOVIND DAS","18 - TEJ PRATAP","19 - DAYARAM NISHAD","20 - DINESH KUMAR","21 - DINANATH","22 - RAKESH KUMAR GIRI","23 - RAKESH KUMAR GUPTA","24 - None of the Above","Total Votes Secured"
31,"P.P.POKHARBHINDA URF BANARAHAWA",492,429,0,921,284,283,0,567,567,0,225,139,141,28,0,2,8,0,0,0,3,0,2,2,0,10,2,1,1,1,0,0,1,1,567
32,P.P.PURAINIYA,829,719,1,1549,470,431,0,901,901,0,189,196,389,30,2,0,1,1,6,3,8,3,3,14,5,10,8,14,5,2,4,0,3,5,901
33,"P.P KUNSHERAWA K.N.1",853,776,0,1629,558,537,0,1095,1095,0,389,189,436,21,0,1,0,0,0,0,2,0,0,1,0,0,12,23,4,3,1,3,3,7,1095
34,"P.P. KUMSERAWA K.N.2",244,209,0,453,180,154,0,334,334,0,82,96,133,5,0,0,1,0,2,0,0,0,0,0,2,7,1,3,0,0,0,2,0,0,334
35,P.P.MAHUAWA,520,454,0,974,335,305,0,640,640,0,235,52,301,10,2,0,0,0,0,0,1,0,3,2,0,17,1,5,3,1,5,0,1,1,640
36,"P.P. SUKRAULI URF ARGHA",417,365,0,782,265,231,0,496,496,0,313,53,92,11,1,1,0,0,0,0,0,0,0,1,0,7,8,5,3,0,0,1,0,0,496
37,"P.P. BARAGADAWA URF GANWARIYA",429,395,0,824,304,252,0,556,556,0,230,82,213,11,2,1,0,0,0,1,1,1,1,2,2,0,3,3,1,0,0,0,0,2,556
38,"P.P.KAITHAWALIYA URF BARGADAHI",587,498,0,1085,329,326,0,655,655,0,169,142,296,21,0,0,1,1,2,1,2,0,0,1,1,3,1,5,5,1,1,0,1,1,655
39,"P.P. HARDIDALI UTTAR",733,654,0,1387,446,410,0,856,856,0,263,171,332,27,2,1,1,1,5,0,2,2,2,1,2,1,6,12,5,3,6,9,0,2,856
40,"P.P. HARDIDALI DASHIN",500,366,0,866,277,262,0,539,539,0,218,80,198,15,2,0,2,0,0,0,0,0,1,2,0,0,2,9,5,1,0,3,1,0,539
41,"BHU.PU.SAINIK SCHOOL K.N.2",536,481,0,1017,298,248,0,546,546,0,187,85,240,17,1,0,0,0,0,1,1,0,0,1,1,4,0,3,1,0,1,0,0,3,546
42,"BHU.PU.SAINIK SCHOOL K.N.3",533,477,1,1011,319,285,0,604,604,0,280,14,274,13,0,1,4,0,4,0,1,0,0,1,0,0,3,4,0,1,1,0,0,3,604
43,"RA.K.I.KA. NAUTANWA PURANA BHAWAN K.N.1",556,499,0,1055,297,324,0,621,621,0,229,44,304,17,1,0,0,0,1,2,1,1,1,1,0,5,3,3,3,0,0,0,4,1,621
