"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KALRAJ MISHRA","2 - NIYAJ AHMAD","3 - BALESHWAR YADAV","4 - SABHA KUNWAR","5 - AROON KUMAR TRIPATHI","6 - AWADH KISHOR NIGAM","7 - INTZARUL","8 - UMESH","9 - RAJU","10 - RAM PRAVESH","11 - RAM PREET","12 - VED PRAKASH MALL","13 - SHYAM SUNDAR","14 - BARKHA KINNAR","15 - HEMANT KISHOR SRIVASTAVA","16 - None of the Above","Total Votes Secured"
33,"PRIMARY  SCHOOL PIPARAHI  N.  KHAND",732,533,0,1265,373,280,0,653,5,0,248,152,148,17,14,0,1,1,8,14,3,2,7,8,9,21,653
34,"PRIMARY  SCHOOL PIPARAHI  S.  KHAND",961,679,0,1640,456,383,0,839,300,0,478,103,54,133,7,4,2,2,1,10,4,3,6,6,10,16,839
35,"PANCHAYT BHAVAN PIPARAHI",665,462,0,1127,290,234,0,524,419,0,191,191,28,74,3,1,2,2,6,5,1,1,6,4,4,5,524
36,"GIRLS PRIMARY SCHOOL GOBARAHA  N. KHAND",677,498,0,1175,303,242,0,545,535,0,362,86,50,23,2,0,1,4,3,3,0,2,1,3,1,4,545
37,"GIRLS PRIMARY SCHOOL GOBARAHA  S. KHAND",474,339,0,813,116,79,0,195,35,0,100,43,11,33,0,1,0,2,0,0,0,0,4,0,1,0,195
38,"GIRLS PRIMARY SCHOOL GOBARAHA  ATRICAT KAKSH",619,426,0,1045,158,87,0,245,96,0,149,59,6,16,0,0,0,1,0,5,1,0,0,1,2,5,245
39,"PRIMARY  SCHOOL BARAWA PATTI",133,75,0,208,11,1,0,12,12,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12
40,"PRIMARY  SCHOOL BICHAPTAWA",559,453,0,1012,328,278,0,606,400,0,316,129,115,12,3,2,1,0,0,2,0,0,15,1,4,6,606
41,"PRIMARY  SCHOOL AMAWA DIGAR   N.  KHAND",742,552,0,1294,387,330,0,717,100,0,440,85,66,104,2,0,3,3,1,3,2,0,1,1,2,4,717
42,"PRIMARY  SCHOOL AMAWA DIGAR   S.  KHAND",588,443,0,1031,328,261,0,589,380,0,251,126,111,61,1,0,0,0,2,2,1,4,4,7,2,17,589
43,"PRIMARY  SCHOOL MADUADIH ROOM NO.1",877,673,0,1550,430,345,0,775,600,0,400,168,58,65,6,0,2,2,5,10,2,9,1,1,9,37,775
44,"PRIMARY  SCHOOL MADUADIH ROOM NO.2",595,523,0,1118,262,238,0,500,430,0,161,117,154,19,0,0,1,3,2,4,1,4,3,6,8,17,500
45,"PRIMARY  SCHOOL LAKSHMIPUR ROOM NO.1",615,478,0,1093,327,281,0,608,605,0,152,65,324,9,2,3,0,3,3,7,3,5,9,7,4,12,608
46,"PRIMARY  SCHOOL LAKSHMIPUR ROOM NO.2",610,489,0,1099,244,173,0,417,417,0,94,133,160,6,3,0,0,2,5,3,1,1,1,5,1,2,417
47,"J.H.SCHOOL RAMPUR BARAHAN  ROOM NO.2",660,460,0,1120,327,239,0,566,561,0,183,86,222,34,2,0,2,2,3,4,2,1,3,2,5,15,566
48,"J.H.SCHOOL RAMPUR BARAHAN ROOM NO.2",455,302,0,757,231,192,0,423,6,0,211,72,49,54,0,1,0,0,3,4,0,3,1,4,9,12,423
49,"J.H.SCHOOL RAMPUR BARAHAN  ROOM NO.3",458,397,0,855,191,168,0,359,75,0,216,39,30,54,1,0,1,1,1,2,1,1,3,1,4,4,359
50,"PRIMARY  SCHOOL KHANGI ROOM NO.1",431,344,0,775,200,174,0,374,374,0,184,22,98,34,1,0,1,3,4,6,1,5,1,1,4,9,374
51,"PRIMARY  SCHOOL KHANGI ROOM NO.2",525,403,0,928,190,142,0,332,332,0,178,48,60,20,1,1,0,2,1,2,1,1,4,4,2,7,332
52,"PRIMARY  SCHOOL KHANGI  ROOM NO.3",744,569,0,1313,427,347,0,774,773,0,262,282,143,41,1,1,1,0,10,8,1,2,4,4,5,9,774
53,"PRIMARY  SCHOOL CHAUBEYA PATKHAULI",648,593,0,1241,344,330,0,674,8,0,285,249,63,29,0,1,1,1,4,5,2,1,4,5,9,15,674
54,"J.H.SCHOOL  CHAUBEYA PATKHAULI",656,496,2,1154,336,330,0,666,8,0,233,282,37,47,0,0,0,2,7,10,3,0,6,7,12,20,666
55,"PRIMARY  SCHOOL GAURI SHUKLA",461,370,0,831,282,235,0,517,514,0,169,88,201,12,1,0,0,2,2,3,2,1,2,8,9,17,517
56,"PRIMARY  SCHOOL RAMPUR JAMUNIYA",620,463,0,1083,372,315,0,687,9,0,259,220,138,18,3,1,1,0,6,5,4,3,9,1,5,14,687
57,"PRIMARY  SCHOOL RAMPUR  PATTI ROOM NO.1",909,668,0,1577,490,400,0,890,880,0,354,246,128,95,3,1,1,5,11,10,3,2,8,4,4,15,890
58,"PRIMARY  SCHOOL RAMPUR  PATTI ROOM NO.2",390,360,0,750,193,181,0,374,374,0,97,168,76,12,0,2,1,3,4,3,0,0,0,3,2,3,374
59,"PRIMARY  SCHOOL GAURI JAGADISH ROOM NO .1",451,367,0,818,260,257,0,517,517,0,238,107,47,81,4,0,4,3,7,6,4,0,5,3,6,2,517
60,"PRIMARY  SCHOOL GAURI JAGADISH ROOM NO.2",505,374,0,879,228,250,0,478,8,0,194,163,21,57,2,2,4,3,4,4,3,0,4,3,8,6,478
61,"PRIMARY  SCHOOL GAURI JAGADISH ROOM NO.3",777,584,0,1361,405,409,0,814,300,0,264,226,218,37,2,1,1,1,9,13,3,1,2,8,6,22,814
62,"PRIMARY  SCHOOL GAURI JAGADISH ATRIKIT ROOM",796,630,0,1426,418,421,0,839,9,0,397,216,95,88,3,0,2,1,5,8,0,1,2,4,5,12,839
63,"J.H.SCHOOL TIWARI PATTI ROOM NO.1",419,326,0,745,208,195,0,403,11,0,206,76,32,57,5,0,1,2,6,4,3,0,0,3,3,5,403
64,"J.H.SCHOOL TIWARI PATTI ROOM NO.2",490,364,0,854,254,219,0,473,273,0,271,86,37,47,4,0,1,1,2,3,1,0,2,1,8,9,473
65,"J.H.SCHOOL TIWARI PATTI ROOM NO.3",822,604,0,1426,420,378,0,798,16,0,373,230,40,93,8,2,3,4,2,6,1,4,6,5,5,16,798
66,"PRIMARY  SCHOOL RAKAWA DULAMA PATTI ROOM 1",839,672,0,1511,479,466,0,945,145,0,266,183,164,248,32,1,4,3,9,4,0,2,22,2,3,2,945
67,"PRIMARY  SCHOOL RAKAWA DULAMA PATTI ROOM NO.2",773,628,0,1401,440,413,0,853,6,0,242,202,92,214,11,2,2,3,9,11,5,2,38,2,9,9,853
68,"PRIMARY  SCHOOL RAKAWA DULAMA PATTI ROOM NO.3",793,629,0,1422,454,406,0,860,360,0,363,204,94,148,7,2,0,2,6,8,0,7,5,4,3,7,860
69,"PRIMARY  SCHOOL SARGATIYA KARAN PATTI ROOM NO.1",806,612,0,1418,395,382,0,777,60,0,419,154,52,80,8,3,2,2,5,15,3,1,1,2,3,27,777
70,"PRIMARY  SCHOOL SARGATIYA KARAN PATTI ROOM NO. 2",740,608,0,1348,386,338,0,724,46,0,315,249,29,74,4,2,4,2,8,13,2,3,2,1,8,8,724
71,"PRIMARY  SCHOOL BABHANAULI ROOM NO.1",935,765,2,1702,448,442,0,890,880,0,309,440,19,43,1,0,2,6,6,10,6,2,12,6,15,13,890
72,"PRIMARY  SCHOOL BABHANAULI ROOM NO.2",752,598,0,1350,387,374,0,761,400,0,499,139,40,26,2,1,3,3,9,6,3,3,2,4,6,15,761
73,"PRIMARY  SCHOOL BANRAHA PURAB PATTI ROOM NO.1",657,521,6,1184,353,325,0,678,15,0,300,271,45,15,2,1,3,0,5,4,2,4,11,3,3,9,678
74,"PRIMARY  SCHOOL PAKADIYAR  PURAB PATTI ROOM NO.1",606,471,1,1078,290,248,0,538,300,0,237,129,119,20,6,1,0,0,3,3,1,1,2,4,3,9,538
75,"PRIMARY  SCHOOL PAKADIYAR  PURAB PATTI ROOM NO.2",638,501,2,1141,300,267,0,567,16,0,228,236,43,26,2,0,3,1,6,4,2,1,3,1,4,7,567
76,"PRIMARY  SCHOOL PAKADIYAR  PURAB PATTI ROOM NO.3",786,569,5,1360,363,306,0,669,669,0,402,192,39,24,2,0,0,0,1,2,0,0,3,1,0,3,669
77,"PRIMARY  SCHOOL PAKADIYAR  PURAB PATTI ATRIKIT ROOM",551,397,0,948,292,285,0,577,16,0,301,203,18,28,1,0,1,0,6,0,2,1,8,2,3,3,577
78,"PRIMARY  SCHOOL PAKADIYAR  PURAB PATTI ATRIKIT ROOM NO. 2",794,585,8,1387,355,250,0,605,100,0,356,87,61,61,2,1,2,0,5,5,2,0,5,3,4,11,605
79,"PRIMARY  SCHOOL KATAURA",593,490,0,1083,293,242,0,535,16,0,281,111,36,64,5,1,0,2,3,3,1,4,2,3,5,14,535
80,"SANSKRIT SCHOOL SEORHI ROOM NO.1",604,481,2,1087,267,231,0,498,498,0,298,111,26,42,2,1,2,0,3,2,1,2,3,3,1,1,498
81,"SANSKRIT SCHOOL SEORHI ROOM NO.2",394,285,0,679,138,121,0,259,237,0,199,37,12,9,0,0,0,0,1,0,0,0,0,0,0,1,259
82,"SANSKRIT SCHOOL SEORHI ROOM NO.3",654,510,0,1164,341,220,0,561,16,0,379,118,14,30,3,0,0,0,1,2,0,0,10,0,1,3,561
83,"SANSKRIT SCHOOL SEORHI ROOM NO.4",847,648,2,1497,426,285,0,711,388,0,560,67,22,40,6,0,1,0,1,0,0,0,9,0,1,4,711
