"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASHOK SINGH","2 - RAKESH PANDEY","3 - RAM MURTI VERMA","4 - HARI OM PANDEY","5 - GOPAL NISHAD","6 - JAHAR SINGH KASHYAP","7 - BALMUKUND DHURIYA","8 - BRIJESH KUMAR","9 - RAM BAHAL VERMA","10 - SREERAM","11 - SURENDRA KUMAR","12 - SURESH KUMAR BAUDDH","13 - TIGER RAMNIHOR PATEL","14 - VINOD KUMAR TIWARI","15 - None of the Above","Total Votes Secured"
1,"P.P. SISARA PURVI",633,586,0,1219,376,390,0,766,760,0,10,295,97,301,5,15,2,1,2,3,2,6,10,5,12,766
2,"P.P. BARAULI PASHCHIMI",445,386,0,831,290,288,0,578,578,0,3,165,116,268,1,2,1,13,0,1,0,1,2,2,3,578
3,"P.P. SULEMPUR GAYASPUR PURVI",656,605,0,1261,437,364,0,801,801,0,5,298,178,296,4,1,1,1,1,1,1,5,4,1,4,801
4,"P.P.SULEMPUR GAYASPUR PASHCHIMI",585,495,0,1080,360,328,0,688,688,0,7,292,70,280,3,10,0,2,0,2,2,5,7,3,5,688
5,"P.P. GOLPUR PURVI",479,419,0,898,320,295,0,615,615,0,6,160,202,231,2,1,1,0,0,2,1,4,3,0,2,615
6,"P.P. GOLPUR PASHCHIMI",466,380,0,846,272,255,0,527,511,0,10,251,137,116,5,1,0,0,0,1,0,3,0,3,0,527
7,"P.P. JEEVAT UTTARI",404,372,0,776,234,242,0,476,476,0,8,231,8,211,1,5,0,0,0,0,0,0,4,5,3,476
8,"P.P. JEEVAT DAKSHINI",695,652,0,1347,497,358,0,855,850,0,12,213,173,418,5,19,1,2,0,2,2,2,2,0,4,855
9,"P.P.BARAUNA UTTARI",557,527,0,1084,339,344,0,683,683,0,3,219,126,310,1,7,1,1,0,0,2,3,5,0,5,683
10,"P.P. BARAUNA PASHCHIMI",376,317,0,693,240,205,0,445,445,0,3,113,133,178,2,5,2,0,0,0,0,1,5,3,0,445
11,"P.P. MANDAHA PURVI",626,550,0,1176,378,307,0,685,685,0,20,221,59,357,1,7,1,1,1,6,2,1,3,1,4,685
12,"P.P. JAGDEESHPUR KAPILESHWAR PURVI",801,681,0,1482,472,433,0,905,905,0,12,251,59,513,8,2,0,4,3,8,2,12,15,7,9,905
13,"P.P. TANDVA MAULAI UTTARI",181,182,0,363,114,121,0,235,235,0,1,42,70,111,0,1,1,2,0,1,1,2,1,0,2,235
14,"P.P. REVAI PURVI",515,467,0,982,330,292,0,622,622,0,8,330,15,239,3,4,1,2,1,0,0,3,5,7,4,622
15,"P.P. SOHAGUPUR PURVI",769,624,0,1393,541,346,0,887,887,0,14,373,153,292,3,10,1,3,2,2,20,6,5,1,2,887
16,"P.P. KARAUDI UTTARI",263,251,0,514,174,176,0,350,346,0,3,81,96,134,0,1,0,3,0,27,0,0,1,0,4,350
17,"J.H.S FATEHPUR MOHIBPUR PURVI KAKSH",502,445,0,947,308,320,0,628,599,0,8,70,209,322,3,15,0,1,0,0,0,0,0,0,0,628
18,"J.H.S FATEHPUR MOHIBPUR MADHYA KAKSH",614,595,0,1209,379,417,0,796,796,0,20,246,75,323,32,84,0,2,1,0,2,4,4,1,2,796
19,"S.A.I.C. RUKUNPUR KASIMPUR PASHCHIMI",737,652,0,1389,489,439,0,928,928,0,13,110,183,539,7,19,3,5,1,7,11,10,11,1,8,928
20,"S.A.I.C. RUKUNPUR KASIMPUR MADHYA",740,678,0,1418,443,421,0,864,854,0,16,341,112,357,5,8,1,6,0,0,0,6,4,3,5,864
21,"BABA PREMDAS.J.H.S. KARMAINI UTTARI",377,347,0,724,278,248,0,526,523,0,2,219,51,244,1,0,0,2,0,1,2,3,0,0,1,526
