"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - MUKUL","2 - RAJ BABBAR","3 - VIJAY KUMAR SINGH","4 - SUDHAN KUMAR","5 - NARESH GAUTAM","6 - SHAZIA ILMI MALIK","7 - SURESH PAL","8 - KESHAV CHOUDHARY","9 - NITIN","10 - RAMPHAL SHAKYA","11 - RINKU KUMAR TYAGI","12 - VINOD KUMAR TYAGI","13 - SALEEM MALIK","14 - SABIR","15 - SANJEEV KUMAR","16 - None of the Above","Total Votes Secured"
1,"PRIMARY SCHOOL MANDAULA-1Room no.1",472,372,0,844,380,259,0,639,616,0,16,24,558,15,1,9,0,0,1,1,0,0,1,6,4,3,639
2,"PRIMARY SCHOOL MANDAULA-1ROOM NO.2",384,335,0,719,322,229,0,551,333,0,26,51,457,10,0,5,0,0,0,0,0,0,0,1,0,1,551
3,"SHRI GHANDHI INTER COLLEGE MANDAULA ROOM NO.1",855,672,0,1527,630,424,0,1054,963,0,247,83,663,12,1,24,0,0,1,1,1,1,4,5,8,3,1054
4,"SHRI GHANDHI INTER COLLEGE MANDAULA ROOM NO.2",409,336,0,745,306,235,0,541,476,0,20,64,428,5,0,8,0,1,2,0,0,8,0,1,3,1,541
5,"SHRI GHANDHI INTER COLLEGE MANDAULA ROOM NO.3",440,339,0,779,319,218,0,537,536,0,73,22,395,13,0,14,1,0,2,0,0,0,1,4,8,4,537
6,"PRIMARY SCHOOL PANCHLOK ROOM NO-1",828,605,0,1433,576,432,0,1008,1008,0,536,70,326,54,0,8,0,1,0,1,0,1,1,5,2,3,1008
7,"PRIMARY SCHOOL NANU ROOM NO-1",437,391,0,828,323,267,0,590,520,0,94,27,432,13,0,9,1,0,0,0,0,0,3,2,4,5,590
8,"PRIMARY SCHOOL NORASPUR ROOM NO-1",304,260,0,564,200,158,0,358,334,0,64,22,259,2,0,2,0,1,0,0,1,1,0,3,1,2,358
9,"PRIMARY SCHOOL HINDU ROOM NO-1",655,466,0,1121,506,323,0,829,696,0,80,26,668,38,0,10,0,0,0,0,0,1,1,2,0,3,829
10,"PRIMARY SCHOOL HINDU ROOM NO-2",500,384,0,884,404,268,0,672,665,0,121,52,292,160,3,26,0,3,1,0,0,5,1,5,1,2,672
11,"PRIMARY SCHOOL SUNGARPUR",169,134,0,303,147,110,0,257,212,0,2,0,224,19,2,6,0,0,0,0,1,1,0,2,0,0,257
