"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - NAFISUDDIN","2 - BEGUM NOOR BANO URF MEHTAB","3 - HAJI MOHD YAQOOB","4 - KUNWER SARVESH KUMAR","5 - DR S T HASAN","6 - AMIT KUMAR","7 - KAMAR ALAM","8 - JAIPAL SINGH SAINI","9 - MOHD ZAFAR IQBAL","10 - TEAJ SINGH SAINI","11 - ENGINEER MOHAMMAD IRFAN","12 - VIMAL KUMAR","13 - SATISH CHANDRA SHARMA","14 - SANDEEP KUMAR","15 - SAURABH PRATAP SINGH","16 - HARIOM","17 - RAJ KUMAR GUPTA","18 - ROOPA CHANDRA SINGH","19 - None of the Above","Total Votes Secured"
1,"PRIMARY SCHOOL DEVIPURA ROOM-1",780,604,0,1384,466,365,0,831,825,0,5,3,183,303,307,1,0,1,0,1,6,1,1,7,3,7,0,0,2,831
2,"PRIMARY SCHOOL DEVIPURA ROOM-2",782,582,0,1364,529,378,0,907,903,0,1,11,400,283,180,1,3,1,0,1,1,2,4,5,3,7,0,1,3,907
3,"PRIMARY SCHOOL JALPUR",426,326,0,752,273,213,0,486,486,0,2,1,377,82,2,1,0,0,0,0,2,1,6,0,0,0,0,1,11,486
4,"PRIMARY SCHOOL MAHESHPUR KHEM ROOM-1",532,447,0,979,386,325,0,711,711,0,0,1,71,347,268,1,1,0,0,0,0,3,2,1,7,4,1,2,2,711
5,"PRIMARY SCHOOL MAHESHPUR KHEM ROOM-2",545,348,0,893,330,218,0,548,547,0,2,3,36,163,313,9,0,1,1,0,1,0,1,4,0,3,0,3,8,548
6,"PRIMARY SCHOOL PASIYAPURA ROOM-1",495,403,0,898,346,298,0,644,644,0,5,3,127,334,163,2,1,1,0,1,1,1,1,2,1,0,0,0,1,644
7,"PRIMARY SCHOOL BADHPURA MAJHRA MAHESHPUR KHEM",573,475,0,1048,409,385,0,794,788,0,9,4,264,473,18,0,0,1,0,1,2,3,7,2,3,3,0,0,4,794
8,"PRIMARY SCHOOL KARIYA NAGLA SANI ROOM-1",666,450,0,1116,462,330,0,792,743,0,0,5,21,39,691,10,0,0,1,1,5,4,0,1,1,8,1,0,4,792
9,"PRIMARY SCHOOL KHAWADIAGHAT",585,470,0,1055,418,341,0,759,746,0,6,10,387,262,67,0,2,0,2,1,0,1,1,4,2,2,1,4,7,759
10,"PRIMARY SCHOOL MALHUPURA HARDODANDI",843,608,0,1451,644,440,0,1084,1070,0,3,264,26,164,598,3,2,1,1,1,3,1,2,0,7,5,0,1,2,1084
11,"PRIMARY SCHOOL NIWADKHAS ROOM-1",775,621,0,1396,655,465,0,1120,1045,0,0,4,9,1029,45,2,0,0,0,1,0,1,2,3,11,4,1,7,1,1120
12,"PRIMARY SCHOOL NIWADKHAS ROOM-2",764,570,0,1334,507,268,0,775,775,0,1,1,50,634,31,1,2,3,3,8,1,1,2,4,14,8,1,4,6,775
13,"PRIMARY SCHOOL BAHORANPUR KALA ROOM-1",494,421,0,915,328,309,0,637,632,0,0,3,7,566,25,0,1,0,0,2,0,15,2,1,9,2,0,1,3,637
14,"PRIMARY SCHOOL BAHORANPUR KALA ROOM-2",757,576,0,1333,564,398,0,962,512,0,2,12,76,430,393,3,0,2,0,2,9,7,5,8,7,4,0,0,2,962
15,"PRIMARY SCHOOL SHYAMPUR HADIPUR",877,677,0,1554,678,317,0,995,995,0,2,10,435,509,22,1,0,1,1,4,0,1,1,2,2,0,1,0,3,995
16,"GOVT. HYER SECONDRY SCHOOL ROOM-1",742,681,0,1423,496,320,0,816,800,0,1,68,23,96,602,3,0,1,1,0,4,1,3,3,1,8,1,0,0,816
17,"GOVT. HYER SECONDRY SCHOOL ROOM-2",733,581,0,1314,473,303,0,776,720,0,1,89,47,57,569,2,0,1,1,0,3,1,0,2,1,1,0,0,1,776
18,"GOVT. HYER SECONDRY SCHOOL ROOM-3",447,364,0,811,276,175,0,451,449,0,0,51,11,29,356,0,0,0,0,0,1,0,1,0,1,0,0,0,1,451
19,"GOVT. HYER SECONDRY SCHOOL ROOM-12",442,329,0,771,234,128,0,362,356,0,1,22,13,19,299,3,0,0,0,0,1,0,0,0,2,2,0,0,0,362
20,"GOVT. HYER SECONDRY SCHOOL BHOJPUR ROOM-4",578,402,0,980,374,222,0,596,596,0,5,61,139,172,206,0,0,0,0,0,2,2,0,1,3,2,0,1,2,596
21,"GOVT. HYER SECONDRY SCHOOL BHOJPUR ROOM-6",613,431,0,1044,397,236,0,633,631,0,0,28,25,78,497,0,0,0,0,0,1,0,0,0,3,0,0,0,1,633
22,"GOVT. HYER SECONDRY SCHOOL ROOM-5",544,414,0,958,306,150,0,456,456,0,1,46,64,48,286,1,0,1,0,0,4,0,0,0,1,0,0,0,4,456
23,"GOVT. HYER SECONDRY SCHOOL ROOM-7",600,367,0,967,352,134,0,486,450,0,1,16,66,55,345,0,0,0,0,0,0,1,0,0,1,0,0,0,1,486
24,"PRIMARY SCHOOL ROOM-1",527,378,0,905,346,199,0,545,540,0,1,14,36,61,418,2,0,1,2,0,4,0,0,1,1,2,1,0,1,545
25,"PRIMARY SCHOOL ROOM-3",510,419,0,929,286,205,0,491,487,0,2,26,45,28,379,2,0,0,1,1,0,0,0,1,2,2,0,1,1,491
26,"PRIMARY SCHOOL ROOM-2",827,607,0,1434,510,408,0,918,976,0,0,62,33,122,680,5,1,0,0,1,5,0,1,2,1,2,0,0,3,918
27,"KANYA PATHSHALA HARWOLA WALA ROOM-1",651,465,0,1116,358,227,0,585,577,0,0,69,12,37,422,3,1,0,0,2,26,1,1,2,0,0,3,3,3,585
28,"KANYA PATHSHALA HARWOLA WALA ROOM-2",540,414,0,954,259,191,0,450,444,0,2,77,1,25,318,0,0,0,0,1,11,1,2,0,1,7,1,1,2,450
29,"MADARSA FAIZGANJ CHAUDHARIYAN NAKKALAN ROOM-1",413,346,0,759,292,101,0,393,390,0,0,56,84,4,241,1,0,0,0,1,1,1,0,0,1,0,0,2,1,393
30,"MADARSA FAIZGANJ ROOM-2",486,403,0,889,260,114,0,374,350,0,0,24,126,17,201,1,0,0,0,0,3,0,0,1,1,0,0,0,0,374
31,"GOVT. HYER SECONDRY SCHOOL NAGAR PALIKA BHOJPUR ROOM-13",497,388,0,885,340,182,0,522,522,0,1,25,71,59,341,0,1,2,0,0,4,0,1,0,8,6,0,1,2,522
32,"GOVT. HYER SECONDRY SCHOOL NAGAR PALIKA BHOJPUR ROOM-14",522,434,0,956,320,217,0,537,536,0,1,42,30,40,420,0,0,0,0,0,1,1,0,0,1,1,0,0,0,537
33,"GOVT. HYER SECONDRY SCHOOL NAGAR PALIKA BHOJPUR ROOM-10",456,345,0,801,283,142,0,425,431,0,2,66,39,19,290,0,0,1,1,0,2,0,0,1,0,2,0,0,2,425
34,"GOVT. HYER SECONDRY SCHOOL NAGAR PALIKA BHOJPUR ROOM-11",469,323,0,792,295,131,0,426,426,0,0,98,55,33,234,1,0,0,0,0,1,1,0,0,0,2,0,1,0,426
35,"PRIMARY SCHOOL GANESHPUR DEVI",745,660,0,1405,508,478,0,986,986,0,3,18,36,25,882,4,1,1,0,0,13,0,1,1,0,1,0,0,0,986
36,"PRIMARY SCHOOL SHAHPUR ROOM-1",575,439,0,1014,343,233,0,576,459,0,1,25,138,56,298,3,1,0,0,2,41,0,0,1,2,3,0,0,5,576
37,"PRIMARY SCHOOL SHAHPUR ROOM-4",592,414,0,1006,237,151,0,388,388,0,1,7,51,15,184,0,0,1,1,3,117,0,0,0,3,3,0,2,0,388
38,"PRIMARY SCHOOL SHAHPUR ROOM-2",819,630,0,1449,509,365,0,874,862,0,0,60,20,60,700,8,0,1,0,0,14,0,1,1,3,4,1,0,1,874
39,"PRIMARY SCHOOL SHAHPUR ROOM-3",637,488,0,1125,407,270,0,677,668,0,1,80,4,6,569,3,1,1,2,1,2,0,0,2,1,3,1,0,0,677
40,"PRIMARY SCHOOL SIHALI ROOM-4",440,384,0,824,327,263,0,590,590,0,4,5,129,233,188,1,0,0,0,3,2,0,1,0,7,2,0,2,13,590
41,"PRIMARY SCHOOL SIHALI ROOM-3",587,485,0,1072,456,340,0,796,750,0,0,11,49,23,600,1,3,1,1,1,88,1,1,5,1,6,0,1,3,796
42,"JUNIOR HIGH SCHOOL PEEPALSANA ROOM-1",664,455,0,1119,384,180,0,564,437,0,2,32,118,34,360,2,2,2,0,0,3,1,0,1,2,1,0,1,3,564
43,"JUNIOR HIGH SCHOOL PEEPALSANA ROOM-5",600,415,0,1015,385,211,0,596,596,0,1,35,291,24,235,2,0,1,0,0,0,1,0,3,1,2,0,0,0,596
44,"JUNIOR HIGH SCHOOL PEEPALSANA ROOM-2",505,391,0,896,318,193,0,511,510,0,2,32,42,6,419,2,0,0,0,0,2,0,0,1,2,1,1,1,0,511
45,"JUNIOR HIGH SCHOOL PEEPALSANA ROOM-6",506,349,0,855,210,123,0,333,322,0,2,57,13,31,227,0,0,0,0,0,1,1,0,0,0,1,0,0,0,333
46,"JUNIOR HIGH SCHOOL PEEPALSANA ROOM-3",781,554,0,1335,484,207,0,691,689,0,0,98,102,14,458,0,0,0,0,1,2,1,0,3,3,4,2,2,1,691
47,"JUNIOR HIGH SCHOOL PEEPALSANA ROOM-4",664,462,0,1126,295,161,0,456,456,0,1,92,71,8,271,2,0,1,0,1,0,1,1,3,0,0,2,1,1,456
48,"PRIMARY SCHOOL PEEPALSANA ROOM1",526,443,0,969,318,197,0,515,500,0,1,137,25,48,293,2,0,0,0,0,2,4,0,0,1,0,0,0,2,515
49,"PRIMARY SCHOOL PEEPALSANA ROOM-2",488,448,0,936,276,184,0,460,457,0,0,75,31,32,316,0,0,0,1,0,1,1,1,0,0,0,0,1,1,460
50,"PRIMARY SCHOOL PEEPALSANA ROOM-4",853,622,0,1475,435,276,0,711,709,0,2,350,28,21,292,2,0,0,0,1,2,8,0,1,1,1,0,1,1,711
51,"PRIMARY SCHOOL PEEPALSANA ROOM-3",700,474,0,1174,332,239,0,571,569,0,1,296,17,45,188,1,0,0,0,1,9,8,0,0,0,2,2,0,1,571
