"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - MULAYAM SINGH YADAV","2 - SHATRUGHAN SINGH CHAUHAN","3 - DR. SANGHMITRA MAURYA","4 - ABU NASIM PATHAN","5 - BABA HARDEV SINGH","6 - SHISHUPAL SINGH","7 - SATENDRA VEER SINGH CHAUHAN","8 - ASHOK KUMAR","9 - ALOK NANDAN","10 - MUKESH KUMAR","11 - MUKESH KUMAR SHAKYA","12 - RAJESHWARI","13 - HAKIM SINGH","14 - None of the Above","Total Votes Secured"
1,"PRIMARY SCHOOL MAHAMAI",626,518,0,1144,348,297,0,645,630,0,166,84,366,1,1,0,1,1,0,1,12,3,2,7,645
2,"PRIMARY SCHOOL NAGARI",429,345,0,774,295,195,0,490,490,0,376,51,56,1,0,0,0,0,1,0,4,0,1,0,490
3,"PRIMARY SCHOOL JONAI",577,478,0,1055,404,277,0,681,645,0,631,44,0,0,1,0,0,0,0,0,0,1,0,4,681
4,"PRIMARY SCHOOL DHOLPUR",574,438,0,1012,460,267,0,727,727,0,560,138,11,0,0,0,0,0,3,0,1,0,4,10,727
5,"PRIMARY SCHOOL NAGLA KHERA",400,343,0,743,246,208,0,454,454,0,349,96,3,0,0,0,0,0,1,0,0,0,1,4,454
6,"PRIMARY SCHOOL DHARWAR ROOM-1",504,398,0,902,345,236,0,581,581,0,400,90,75,1,1,0,0,0,3,1,1,0,1,8,581
7,"PRIMARY SCHOOL DHARWAR ROOM-2",372,282,0,654,251,170,0,421,421,0,342,65,3,1,0,0,1,1,4,0,0,0,0,4,421
8,"JUNIOR HIGH SCHOOL DHARWAR NORTH",682,536,0,1218,406,266,0,672,672,0,370,196,81,0,0,0,1,0,7,0,4,4,1,8,672
9,"JUNIOR HIGH SCHOOL DHARWAR SOUTH",333,263,0,596,203,138,0,341,341,0,296,32,8,0,1,0,0,1,0,0,1,0,1,1,341
10,"PRIMARY SCHOOL KURAKHAR",771,603,0,1374,454,318,0,772,772,0,388,239,126,0,4,0,0,0,4,0,2,1,1,7,772
11,"PRIMARY SCHOOL FULRAI",592,479,0,1071,345,248,0,593,593,0,477,77,26,0,2,1,2,0,0,0,2,0,1,5,593
12,"PRIMARY SCHOOL MEERAKHPUR PUTIYA",544,482,0,1026,402,284,0,686,686,0,635,39,8,0,1,0,0,0,0,0,1,2,0,0,686
13,"PRIMARY SCHOOL NAGLA JULA",214,186,0,400,209,172,0,381,381,0,376,3,2,0,0,0,0,0,0,0,0,0,0,0,381
14,"PRIMARY SCHOOL AALAI",421,335,0,756,312,186,0,498,498,0,460,30,3,1,0,0,0,0,1,0,0,0,2,1,498
15,"PRIMARY SCHOOL MADANPURA",233,173,0,406,230,165,0,395,395,0,380,13,1,0,0,0,0,0,0,0,0,0,0,1,395
16,"PRIMARY SCHOOL GHANSHYAMPURA",207,181,0,388,191,162,0,353,353,0,352,1,0,0,0,0,0,0,0,0,0,0,0,0,353
