"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KARTAR SINGH BHADANA","2 - KANWAR HASAN","3 - NAHID HASAN","4 - HUKUM SINGH","5 - DIVAKAR KASHYAP","6 - PARDIP","7 - RAMKARAN KASHYAP","8 - SUNITA","9 - SUNIL KUMAR KASANA","10 - KRISHANPAL","11 - MOHANLAL","12 - None of the Above","Total Votes Secured"
1,"PRAIMARI PATHSHLA N0 1 ROOM NO-1KHEDI KARMU",451,390,0,841,357,270,0,627,260,0,122,9,34,454,2,0,0,0,0,0,1,5,627
2,"PRAIMARI PATHSHALA N0 1 ROOM NO-2 KHEDI KARMU",525,429,0,954,375,354,0,729,729,0,87,9,87,529,4,0,1,0,5,1,2,4,729
3,"PRAIMARI PATHSHALA N0 2 ROOM NO-1KHEDI KARMU",653,515,0,1168,430,356,0,786,667,0,19,11,444,274,6,1,2,2,5,10,2,10,786
4,"PRAIMARI PATHSHALA N0 2 ROOM NO-2 KHERI KARMU",581,494,0,1075,321,448,0,769,759,0,33,8,228,476,5,2,2,0,1,1,2,11,769
5,"PANCHAYATGHAR HARIJAN CHAUPAL ROOM NO -1 KHERI KARMU",487,424,0,911,308,285,0,593,591,0,3,229,4,337,12,0,1,2,0,0,2,3,593
6,"PANCHAYATGHAR HARIJAN CHAUPAL ROOM NO -2 KHERI KARMU",664,556,0,1220,460,402,0,862,862,0,3,435,44,361,5,3,1,1,0,3,3,3,862
7,"PRAIMARI PATHSHAALA N0 1 UTTARI KA PHELA ROOM SHAMLI",552,422,0,974,382,260,0,642,572,0,5,29,535,65,3,1,1,0,1,2,0,0,642
8,"PRAIMARI PATHSHAALA N0 1 UTTARI KA PHELA ROOM SHAMLI",522,411,0,933,371,303,0,674,670,0,3,15,611,37,1,0,1,0,0,3,0,3,674
9,"PRAIMARI PATHSHAALA N0 1 UTTARI KA DHUSHRA ROOM SHAMLI",687,577,0,1264,502,356,0,858,857,0,4,66,415,356,3,1,1,0,1,7,0,4,858
10,"PRAIMARI PATHSHAALA N0 1 PURVI KA PHELA ROOM SHAMLI",917,697,0,1614,621,469,0,1090,1086,0,23,107,284,644,16,1,0,0,6,3,2,4,1090
11,"PRAIMARI PATHSHAALA N0 1 HALL  ROOM SHAMLI",797,600,0,1397,528,396,0,924,924,0,16,15,799,87,3,0,0,0,0,1,1,2,924
12,"PRAIMARI PATHSHAALA N0 1 UTTARI KA PHELA ROOM SHAMLI",564,454,0,1018,407,318,0,725,722,0,3,60,527,130,0,1,0,0,1,1,0,2,725
13,"PRAIMARI PATHSHAALA N0 1 PASCHIMI BHAG KA PHELA ROOM SHAMLI",514,449,0,963,383,327,0,710,704,0,5,17,434,244,5,0,0,1,1,2,1,0,710
14,"JUNIOR HIGH SCHOOL GUJRATIYAN ROOM NO.1 SHAMLI",436,395,0,831,374,308,0,682,558,0,24,3,42,607,3,0,0,0,2,0,0,1,682
15,"JUNIOR HIGH SCHOOL ROOM NO-2 GUJRATIYAN SHAMLI",600,522,0,1122,504,411,0,915,915,0,22,52,3,832,3,0,0,0,0,1,1,1,915
16,"JUNIOR HIGH SCHOOLGUJRATIYAN  ROOM NO-3   SHAMLI",532,448,0,980,409,309,0,718,717,0,12,27,89,582,2,1,1,0,0,2,0,2,718
17,"JUNIOR HIGH SCHOOL ROOM NO-4	 GUJRATIYAN SHAMLI",694,602,0,1296,532,393,0,925,848,0,13,5,90,812,3,0,0,0,2,0,0,0,925
18,"JAIN KANYA INTER COLLEGE ROOM NO -1SHAMLI",625,477,0,1102,450,326,0,776,776,0,34,11,440,283,2,0,0,0,3,0,1,2,776
19,"JAIN KANYA INTER COLLEGE ROOM NO - 6 SHAMLI",465,347,0,812,311,232,0,543,538,0,13,6,127,379,5,1,1,1,0,2,2,6,543
20,"JAIN KANYA INTER COLLEGE ROOM NO -2 SHAMLI",732,621,1,1354,549,440,0,989,989,0,0,12,755,202,3,0,0,0,1,7,5,4,989
21,"JAIN KANYA INTER COLLEGE ROOM NO -3 SHAMLI",687,587,0,1274,497,488,0,985,982,0,4,8,430,528,5,0,0,1,4,0,2,3,985
22,"JAIN KANYA INTER COLLEGE PURVI BHAG  ROOM NO - 1 SHAMLI",473,372,0,845,360,277,0,637,633,0,0,72,246,315,4,0,0,0,0,0,0,0,637
23,"JAIN KANYA INTER COLLEGE PURVI BHAG  MAI JEENE KE NEECHE KE DAKSHIN WALA ROOM NO - 1 SHAMLI",451,407,0,858,320,266,0,586,585,0,4,8,109,460,2,0,0,1,2,0,0,0,586
24,"JAIN KANYA INTER COLLEGE PURVI DHKSHIN KI OR ROOM NO - 1 SHAMLI",707,621,0,1328,560,468,0,1028,1027,0,6,24,41,946,3,0,0,0,6,2,0,0,1028
25,"RASHTRIYA KISAN INTER COLLEGE KA  UTTARI MAI ROOM NO.13 SHAMLI",627,565,0,1192,507,456,0,963,942,0,83,2,2,861,4,0,1,0,8,0,0,2,963
26,"RASHTRIYA KISAN INTER COLLEGE KA  UTTARI MAI ROOM NO.14 SHAMLI",637,558,0,1195,488,427,0,915,890,0,41,7,5,853,2,0,1,0,2,1,2,1,915
27,"RASHTRIYA KISAN INTER COLLEGE KA  DHKSHINI  MAI ROOM NO.11 SHAMLI",748,654,0,1402,570,509,0,1079,1074,0,68,7,5,990,5,0,1,0,3,0,0,0,1079
28,"RASHTRIYA KISAN INTER COLLEGE KA  DHKSHINI  MAI ROOM NO.12 SHAMLI",573,507,0,1080,415,371,0,786,270,0,43,12,5,709,4,0,0,1,9,0,0,3,786
29,"PRAIMARI PATHSHAALA N0 15 SHAMLI",745,660,0,1405,402,318,0,720,498,0,29,12,187,485,1,0,0,0,3,1,0,2,720
30,"MADARSA IMDADIYA RASHIDIYA DEHLI ROAD  PASCHIMI BHAG MAI ROOM NO.1 SHAMLI",591,475,0,1066,438,321,0,759,752,0,5,35,630,86,0,0,0,0,0,2,1,0,759
31,"MADARSA IMDADIYA RASHIDIYA DEHLI ROAD  PASCHIMI BHAG MAI ROOM NO.3 SHAMLI",496,340,0,836,348,224,0,572,563,0,6,35,468,61,0,0,0,0,2,0,0,0,572
32,"MADARSA IMDADIYA RASHIDIYA DEHLI ROAD  PASCHIMI BHAG MAI ROOM NO.2 SHAMLI",575,462,0,1037,486,364,0,850,850,0,3,33,756,51,1,1,0,0,2,1,0,2,850
33,"MADARSA IMDADIYA RASHIDIYA DEHLI ROAD  SHAMLI ARD ASHTIYA",374,324,0,698,292,259,0,551,550,0,5,6,513,21,0,0,0,0,0,1,1,4,551
34,"MADARSA IMDADIYA RASHIDIYA DEHLI ROAD  PURVI  BHAG MAI ROOM NO.4 SHAMLI",751,571,1,1323,587,386,0,973,966,0,2,28,882,52,2,0,0,0,3,3,0,1,973
35,"MADARSA IMDADIYA RASHIDIYA DEHLI ROAD  PURVI  BHAG MAI ROOM NO.2 SHAMLI",729,566,0,1295,639,454,0,1093,1093,0,2,24,1055,5,0,0,0,0,1,3,0,3,1093
36,"VYAPARI VARG INTER COLLEGE PASCHIMI BHAG ROOM NO 1 SHAMLI",825,727,0,1552,670,502,0,1172,1104,0,23,27,15,1093,3,0,1,0,4,0,1,5,1172
37,"VYAPARI VARG INTER COLLEGE PASCHIMI BHAG ROOM NO 2 SHAMLI",717,626,0,1343,520,399,0,919,911,0,25,45,86,755,3,0,0,0,2,0,0,3,919
38,"VYAPARI VARG INTER COLLEGE PASCHIMI BHAG ROOM NO 5 SHAMLI",919,702,0,1621,644,474,0,1118,1010,0,3,20,1044,44,0,0,0,0,2,2,1,2,1118
39,"VYAPARI VARG INTER COLLEGE PASCHIMI BHAG ROOM NO 6 SHAMLI",658,564,0,1222,426,351,0,777,710,0,7,120,28,615,3,2,0,0,1,0,0,1,777
40,"VYAPARI VARG INTER COLLEGE PORVI BHAG ROOM NO 2 SHAMLI",442,407,0,849,339,299,0,638,400,0,1,9,253,367,4,1,0,0,1,1,0,1,638
41,"VYAPARI VARG INTER COLLEGE PURVI BHAG ROOM NO. 3 SHAMLI",387,361,0,748,307,274,0,581,281,0,7,5,52,507,2,0,0,0,5,0,0,3,581
42,"VYAPARI VARG INTER COLLEGE PURVI BHAG ROOM NO. 4 SHAMLI",714,598,0,1312,583,472,0,1055,875,0,1,27,921,100,0,1,1,0,1,2,0,1,1055
43,"VYAPARI VARG INTER COLLEGE PORV BHAG ROOM NO 5  SHAMLI",545,482,0,1027,386,342,0,728,130,0,25,11,214,469,4,0,0,0,1,0,0,4,728
44,"VAISHYA AGRWAL DHARMSHALA PURVI BHAG ROOM NO 1 SHAMIL",596,517,0,1113,462,377,0,839,797,0,12,22,90,704,3,1,0,1,0,2,0,4,839
45,"VAISHYA AGRWAL DHARMSHALA PURVI BHAG ROOM NO 2 SHAMIL",581,493,0,1074,418,338,0,756,754,0,10,189,20,528,3,1,1,0,1,1,2,0,756
46,"VAISHYA AGRWAL DHARMSHALA PASCHIMI  BHAG ROOM NO 1 SHAMIL",711,548,1,1260,517,383,0,900,900,0,13,41,292,543,6,0,0,1,2,0,0,2,900
47,"VAISHYA AGRWAL DHARMSHALA PURVI PSCHIMI BHAG ROOM NO 1 SHAMIL",740,626,0,1366,546,448,0,994,887,0,31,171,9,766,4,1,1,0,4,0,1,6,994
48,"VAISHYA AGRWAL DHARMSHALA PURVI PSCHIMI BHAG ROOM NO 2 SHAMIL",651,538,0,1189,541,360,0,901,901,0,44,174,4,669,6,0,0,0,2,1,1,0,901
49,"DAYANAND VAIDIK VIDYALAY PARDHANACHARYA ROOM SHAMLI",584,524,0,1108,414,378,0,792,670,0,22,0,24,736,3,0,1,0,5,0,1,0,792
50,"DAYANAND VAIDIK VIDYALAY PASCHIMI BHAG MAI UTTARI KA  ROOM SHAMLI",538,455,0,993,415,345,0,760,459,0,11,29,8,701,3,0,1,1,3,1,0,2,760
51,"DAYANAND VAIDIK VIDYALAY PASCHIMI BHAG MAI   ROOM NO 2 SHAMLI",469,384,0,853,331,259,0,590,456,0,9,11,24,535,6,0,0,0,3,1,0,1,590
52,"DAYANAND VAIDIK VIDYALAY PASCHIMI BHAG MAI   ROOM NO 3 SHAMLI",453,381,0,834,317,277,0,594,594,0,21,3,7,553,4,0,0,0,5,0,1,0,594
53,"DAYANAND VAIDIK VIDYALAY PURVI BHAG MAI   ROOM NO 1 SHAMLI",698,618,0,1316,498,412,0,910,906,0,32,13,4,841,5,0,1,0,9,0,0,5,910
54,"DAYANAND VAIDIK VIDYALAY PURVI BHAG MAI   ROOM NO 2 SHAMLI",642,563,0,1205,499,411,0,910,801,0,107,5,10,779,4,0,1,0,1,1,1,1,910
55,"BRIGEDIAR HOSHIYAR SIGNH INTER COLLEGE ROOM NO  SHAMLI",588,575,0,1163,467,401,0,868,868,0,110,2,10,735,7,0,0,0,3,0,0,1,868
56,"BRIGEDIAR HOSHIYAR SIGNH INTER COLLEGE ROOM NO 8  SHAMLI",558,458,0,1016,388,363,0,751,748,0,62,9,37,631,4,0,2,0,2,1,0,3,751
57,"BRIGEDIAR HOSHIYAR SIGNH INTER COLLEGE  ROOM NO 2  SHAMLI",602,463,0,1065,462,335,0,797,793,0,20,67,67,624,10,1,0,1,4,0,1,2,797
58,"BRIGEDIAR HOSHIYAR SIGNH INTER COLLEGE ROOM NO 6 SHAMLI",511,443,0,954,379,341,0,720,715,0,55,48,47,558,5,0,0,0,2,1,0,4,720
59,"SARTI DEVI RAJARAM INTER COLLEGE ROOM NO 1 SHAMLI",247,217,0,464,163,144,0,307,307,0,19,4,0,281,3,0,0,0,0,0,0,0,307
60,"SARTI DEVI RAJARAM INTER COLLEGE ROOM NO 2 SHAMLI",708,608,0,1316,471,440,0,911,480,0,86,33,3,782,2,1,0,0,3,0,0,1,911
61,"SARTI DEVI RAJARAM INTER COLLEGE ROOM NO 3 SHAMLI",439,378,0,817,253,220,0,473,423,0,40,2,1,426,1,0,0,0,2,0,1,0,473
62,"SARTI DEVI RAJARAM INTER COLLEGE ROOM NO 4 SHAMLI",471,418,0,889,305,249,0,554,484,0,26,10,1,515,0,0,0,0,1,0,0,1,554
63,"KISAN DHARMSHALA MO. RAILPAR UTTAR KA ROOM SHAMLI",479,412,0,891,350,290,0,640,612,0,27,6,12,578,5,0,1,0,7,2,2,0,640
64,"KISAN DHARMSHALA MO. RAILPAR UTTAR KI TARAF SE  ROOM NO. 2 SHAMLI",502,409,0,911,365,276,0,641,624,0,61,11,2,563,3,0,0,0,0,0,0,1,641
65,"PRAIMARI VIDHAYA NO. 13 MO. RAILPAR ROOM NO 1 SHAMLI",487,441,0,928,314,280,0,594,482,0,67,31,4,480,3,0,1,0,4,0,1,3,594
66,"PRAIMARI VIDHAYA NO. 13 MO. RAILPAR ROOM NO 2 SHAMLI",434,373,0,807,296,269,0,565,559,0,34,8,15,503,1,2,1,0,0,0,0,1,565
67,"KANYA JUNIOR HIGH SCHOOL MAJRA ROAD DKSHINI BHAG ROOM NO 1 SHAMLI",693,591,0,1284,488,377,0,865,862,0,105,28,3,711,6,1,0,1,8,0,0,2,865
68,"KANYA JUNIOR HIGH SCHOOL MAJRA ROAD UTTARI  BHAG ROOM NO 3 SHAMLI",458,390,0,848,290,253,0,543,528,0,50,25,1,457,3,0,0,0,5,1,1,0,543
69,"KANYA JUNIOR HIGH SCHOOL MAJRA ROAD UTTARI  BHAG ROOM NO 4 SHAMLI",451,430,0,881,328,292,0,620,544,0,21,16,2,577,2,0,0,0,1,0,0,1,620
70,"PRAIMARI VIDHYALA NO. 8 SHAMLI ROOM",429,367,1,797,260,225,0,485,485,0,63,13,4,396,3,0,0,1,1,1,1,2,485
71,"HINDU KANYA INTER COLLEGE MILL ROAD PASCHIMI BHAG ROOM NO1 SHAMLI",443,377,0,820,355,297,0,652,480,0,14,5,5,626,0,0,0,0,1,0,0,1,652
72,"HINDU KANYA INTER COLLEGE MILL ROAD PASCHIMI BHAG ROOM NO 2 SHAMLI",631,538,0,1169,491,409,0,900,720,0,37,122,6,724,4,0,1,0,2,1,0,3,900
73,"HINDU KANYA INTER COLLEGE MILL ROAD PASCHIMI BHAG ROOM NO 3 SHAMLI",406,353,0,759,324,267,0,591,591,0,11,18,19,533,4,2,1,0,2,0,0,1,591
74,"HINDU KANYA INTER COLLEGE MILL ROAD PASCHIMI BHAG ROOM NO 4 SHAMLI",509,443,0,952,394,326,0,720,720,0,13,13,5,680,3,0,1,1,0,0,0,4,720
75,"HINDU KANYA INTER COLLEGE MILL ROAD PASCHIMI BHAG ROOM NO 5 SHAMLI",509,412,0,921,398,286,0,684,684,0,44,23,6,607,1,0,0,0,1,1,0,1,684
76,"HINDU KANYA INTER COLLEGE MILL ROAD PURVI BHAG ROOM NO1 SHAMLI",558,463,0,1021,421,332,0,753,700,0,19,0,3,725,2,0,0,0,3,0,0,1,753
77,"HINDU KANYA INTER COLLEGE MILL ROAD DAKSHINI  BHAG ROOM NO 4 SHAMLI",552,444,0,996,365,271,0,636,634,0,20,4,3,604,2,1,0,0,1,0,0,1,636
78,"HINDU KANYA INTER COLLEGE MILL ROAD PURVI BHAG ROOM NO 2 SHAMLI",475,407,0,882,340,296,0,636,636,0,17,15,5,594,0,0,0,0,3,0,0,2,636
79,"HINDU KANYA INTER COLLEGE MILL ROAD PURVI BHAG ROOM NO 3 SHAMLI",759,559,0,1318,546,360,0,906,903,0,49,12,28,807,1,0,0,0,6,0,0,3,906
80,"HINDU KANYA INTER COLLEGE MILL ROAD PASCHIMI BHAG HALL ROOM  SHAMLI",605,456,0,1061,461,322,0,783,772,0,23,18,20,710,1,0,0,0,6,2,0,3,783
81,"HINDU KANYA INTER COLLEGE MILL ROAD HALL ROOM KE BARABAR KA UTTAR KA ROOM SHAMLI",540,493,0,1033,367,315,0,682,682,0,26,3,11,626,1,0,0,0,6,1,0,8,682
82,"JUNIOR HIGH SCHOOL  UTTARI BHAG BANAT",764,647,0,1411,525,480,0,1005,875,0,12,66,283,620,10,0,1,1,5,5,1,1,1005
83,"JUNIOR HIGH SCHOOL  UTTARI BHAG SE MILLA ROOM BANAT",634,543,0,1177,491,345,0,836,836,0,50,2,145,625,6,2,0,0,2,0,2,2,836
84,"JUNIOR HIGH SCHOOL BEECH KA ROOM   BANAT",819,655,0,1474,590,412,0,1002,976,0,144,24,29,780,10,0,0,1,10,1,2,1,1002
85,"JUNIOR HIGH SCHOOL  DHKSHINI  BHAG BANAT",829,661,0,1490,560,450,0,1010,965,0,70,32,362,518,9,0,1,2,3,7,1,5,1010
86,"NAGAR PANCHAYAT GUEST HOUSE BANAT",372,301,0,673,252,191,0,443,221,0,51,18,86,286,2,0,0,0,0,0,0,0,443
87,"NAGAR PANCHAYAT BANAT KA KARYALYA BANAT",653,565,0,1218,434,400,0,834,834,0,12,77,521,211,5,0,1,0,2,3,1,1,834
88,"PRAIMARI BATHSHALA  PURVI BHAG BANAT",669,583,0,1252,407,337,0,744,655,0,137,219,55,321,4,0,0,0,0,3,3,2,744
89,"PRAIMARI BATHSHALA ROOM NO 4 BANAT",791,657,0,1448,425,374,0,799,797,0,5,165,397,206,7,1,2,1,0,4,2,9,799
90,"PRAIMARI BATHSHALA  ROOM NO 5 BANAT",321,286,0,607,180,163,0,343,326,0,2,68,181,88,1,0,0,0,1,1,0,1,343
91,"PRAIMARI BATHSHALA  ROOM NO1  BANAT",705,587,0,1292,450,383,0,833,829,0,42,120,359,296,7,1,1,1,2,2,1,1,833
92,"PRAIMARI BATHSHALA ROOM NO 2  BANAT",650,547,0,1197,453,359,0,812,782,0,207,113,13,456,12,0,0,0,2,0,3,6,812
93,"PRAIMARI PATHSHALA SANHTA",194,170,0,364,169,138,0,307,304,0,2,2,0,297,4,1,0,0,0,1,0,0,307
94,"PRIMARY PATHSHALA PURVI BHAG MAI ROOM NO 1 KUDANA",382,314,0,696,317,237,0,554,554,0,98,9,27,414,1,0,0,0,2,2,0,1,554
95,"PRIMARY PATHSHALA PURVI BHAG MAI ROOM NO 2  KUDANA",440,348,0,788,367,265,0,632,626,0,107,2,30,487,1,0,0,1,1,0,0,3,632
96,"PRIMARY PATHSHALA PASCHIMI BHAG ROOM NO 1 KUDANA",709,648,0,1357,545,441,0,986,979,0,98,9,252,614,2,0,1,0,2,7,0,1,986
97,"PRIMARY PATHSHALA PASCHIMI BHAG ROOM NO 2  KUDANA",828,651,0,1479,610,425,0,1035,1000,0,196,80,30,714,6,0,0,0,5,1,1,2,1035
98,"CHOPAL KHUNI PATTI KUDANA",604,481,0,1085,472,301,0,773,723,0,153,58,73,461,8,3,1,1,5,3,1,6,773
99,"HARIJAN SARVJANIK DHARMSHALA HARIJAN MANDIR KE PAL KUDANA",667,532,0,1199,450,320,0,770,760,0,32,238,45,439,9,1,0,0,0,4,2,0,770
100,"HARIJAN CHOPAL KHASRA N0 1164 HARIJAN MANDIR KE PAS KUDANA",754,579,0,1333,461,370,0,831,821,0,34,146,240,390,8,1,1,0,3,1,5,2,831
101,"INTER COLLEGE ROOM NO - 1  KURMALI",680,517,0,1197,426,360,0,786,786,0,92,31,291,356,2,1,1,1,2,6,0,3,786
102,"INTER COLLEGE ROOM NO - 2  KURMALI",654,515,0,1169,466,312,0,778,758,0,42,3,201,524,3,0,0,1,0,3,0,1,778
103,"PRAIMARI PATHSHALA  ROOM NO - 1  KANJARHEDI",729,604,0,1333,403,326,0,729,644,0,208,30,39,426,11,1,2,0,2,1,2,7,729
104,"PRAIMARI PATHSHALA PURVI BHAG CHUNSA",545,438,0,983,361,273,0,634,634,0,208,10,70,337,4,0,2,0,0,0,0,3,634
105,"HARIJAN CHOPAL CHUNSA",676,529,0,1205,396,298,0,694,694,0,162,239,72,215,1,0,0,0,1,0,2,2,694
106,"PRATHMIK VIDYALAY ADAMPUR",709,571,0,1280,461,354,0,815,809,0,213,94,118,361,6,0,15,0,7,0,0,1,815
107,"JUNIOR HIGH SCHOOL  UTTARI BHAG BHAJU",554,467,0,1021,379,288,0,667,665,0,98,4,57,494,3,0,0,0,10,1,0,0,667
108,"JUNIOR HIGH SCHOOL DAKSHINI BHAG BHAJU",566,433,0,999,354,341,0,695,694,0,198,3,15,460,7,1,1,3,4,1,1,1,695
109,"PRAIMARI PATHSHALA PASCHIMI BHAG BHAJU",602,473,0,1075,466,313,0,779,779,0,62,2,4,677,14,2,2,8,2,2,0,4,779
110,"PRAIMARI PATHSHALA  PURVI BHAG BHAJU",551,441,0,992,391,285,0,676,674,0,74,1,37,557,2,2,1,0,0,1,0,1,676
111,"HARIJAN CHOPAL BHAJU",681,483,0,1164,448,235,0,683,683,0,26,298,1,326,14,1,1,2,5,2,4,3,683
112,"PRIMARY PATHSHALA KHEDI PATTI",547,425,0,972,263,204,0,467,467,0,154,1,4,303,4,0,0,1,0,0,0,0,467
113,"PRAIMARI PATHSHALA  ROOM NO 1 BHIKKA MAJRA",731,532,0,1263,431,490,0,921,900,0,77,15,8,816,2,0,0,1,0,0,2,0,921
114,"JUNIOR HIGH SCHOOL  PURVI BHAG   BAHAVDI",650,459,0,1109,203,183,0,386,385,0,24,0,1,354,3,0,0,0,2,0,0,2,386
115,"JUNIOR HIGH SCHOOL PASCHIMI BHAG BAHAVDI",703,526,0,1229,488,333,0,821,821,0,85,0,3,731,2,0,0,0,0,0,0,0,821
116,"PRIMARY PATHSHALA  PURVI BHAG  BAHAVDI",698,574,0,1272,514,427,0,941,941,0,153,1,1,774,4,2,0,1,2,0,1,2,941
117,"PRAIMARI KANYA PATHSHALA BAHAVDI",578,404,0,982,347,244,0,591,591,0,7,36,1,531,8,0,1,1,1,1,0,4,591
118,"KRISHNA VIDYA MANDIR JUNIOR HIGH SCHOOL ROOM NO 1  KABADAUT",681,514,0,1195,420,326,0,746,746,0,65,98,44,521,7,3,1,0,0,1,2,4,746
119,"KRISHNA VIDYA MANDIR JUNIOR HIGH SCHOOL ROOM NO 2 KABADAUT",553,454,0,1007,399,310,0,709,700,0,69,46,2,587,1,1,1,2,0,0,0,0,709
120,"PRIMARY ANYA PATHSHALA N0 1 ROOM NO 4 LANK",717,556,0,1273,436,306,0,742,740,0,100,14,2,616,6,0,0,1,1,1,0,1,742
121,"PRIMARY  PATHSHALA N0 1 ROOM NO 1  LANK",517,397,0,914,295,235,0,530,527,0,63,4,1,451,5,0,0,0,1,2,1,2,530
122,"PRIMARY  PATHSHALA N0 1 ROOM NO 2 LANK",432,352,0,784,274,201,0,475,475,0,133,82,1,257,0,0,1,0,1,0,0,0,475
123,"JUNIOR HIGH SCHOOL  PURVI BHAG ROOM NO 2 LANK",620,473,0,1093,427,297,0,724,700,0,67,8,29,611,3,0,1,1,0,1,0,3,724
124,"JUNIOR HIGH SCHOOL PURVI BHAG ROOM NO 3  LANK",692,522,0,1214,476,319,0,795,795,0,91,8,1,679,5,0,1,2,2,0,2,4,795
125,"JUNIOR HIGH SCHOOLPURVI BHAG ROOM NO 1 LANK",728,532,0,1260,529,392,0,921,850,0,55,24,4,816,8,2,0,0,1,0,2,9,921
126,"PRIMARY PATHSHALA N0 2 DKSHINI BHAG ROOM NO 2 LANK",847,639,0,1486,496,429,0,925,870,0,50,1,1,861,8,2,0,1,1,0,0,0,925
127,"JAGDISH PRASHAD HAVALDAR MEMORIAL UCCH PRATHMIK VIDYALAY ROOM NO 1  BUTRKDI",694,524,0,1218,422,333,0,755,700,0,21,71,35,599,15,0,3,0,7,0,0,4,755
128,"JAGDISH PRASHAD HAVALDAR MEMORIAL UCCH PRATHMIK VIDYALAY ROOM NO 2  BUTRKDI",540,466,0,1006,346,276,0,622,527,0,128,17,13,456,5,2,0,0,0,0,0,1,622
129,"PRIMARY PATHSHALA  UTTARI BHAG  JHAL",720,579,0,1299,511,369,0,880,871,0,114,57,108,583,3,1,1,1,1,3,2,6,880
130,"PRIMARY PATHSHALA DAKSHINI BHAG JHAL",707,509,0,1216,392,357,0,749,742,0,235,104,48,342,3,1,3,1,3,1,3,5,749
131,"PRIMARY PATHSHALA BARLA JAT",697,581,0,1278,427,314,0,741,741,0,211,87,4,415,7,3,2,3,2,2,2,3,741
132,"JUNIOR HIGH SCHOOL ROOM NO 1 TAJPUR SIMBHALKA",638,524,0,1162,458,342,0,800,797,0,184,2,4,599,2,1,0,0,4,0,0,4,800
133,"JUNIOR HIGH SCHOOL ROOM NO 2  TAJPUR SIMBHALKA",589,463,0,1052,405,321,0,726,726,0,57,29,52,573,7,1,1,0,1,0,1,4,726
134,"RAIDAS BHAWAN TAJPUR SIMBHALAKA",809,597,0,1406,628,362,0,990,990,0,85,15,60,811,9,1,1,1,1,3,0,3,990
135,"PRAIMARI PATHSHALA  ROOM NO 1 BALWA",809,702,0,1511,721,586,0,1307,1263,0,4,174,1037,57,4,0,4,3,1,16,1,6,1307
136,"SINIAR BESIK VIDYALAY UTTARI BHAG ROOM NO 1 BALWA",706,596,0,1302,540,461,0,1001,1001,0,1,71,199,706,9,1,3,2,3,2,0,4,1001
137,"SINIAR BESIK VIDYALAY UTTARI BHAG  ROOM NO 2   BALWA",678,511,0,1189,597,414,0,1011,872,0,2,4,140,857,1,0,0,0,0,3,0,4,1011
138,"SINIAR BESIK VIDYALAY UTTARI BHAG ROOM NO 3   BALWA",669,507,0,1176,611,449,0,1060,1020,0,1,5,4,1045,1,1,1,0,0,1,0,1,1060
