"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASHOK SINGH","2 - RAKESH PANDEY","3 - RAM MURTI VERMA","4 - HARI OM PANDEY","5 - GOPAL NISHAD","6 - JAHAR SINGH KASHYAP","7 - BALMUKUND DHURIYA","8 - BRIJESH KUMAR","9 - RAM BAHAL VERMA","10 - SREERAM","11 - SURENDRA KUMAR","12 - SURESH KUMAR BAUDDH","13 - TIGER RAMNIHOR PATEL","14 - VINOD KUMAR TIWARI","15 - None of the Above","Total Votes Secured"
40,"PS BODAHRI",465,421,0,886,283,270,0,553,150,0,17,34,83,391,5,1,0,5,0,0,2,3,6,1,5,553
41,"PS KORORAGHAVPUR EAST",724,640,0,1364,432,386,0,818,662,0,25,223,22,486,2,1,3,1,1,6,2,18,11,9,8,818
42,"PS KORORAGHAVPUR WEST",806,643,0,1449,380,282,0,662,662,0,16,144,100,346,5,2,2,4,2,2,1,12,7,6,13,662
43,"PS MAU",622,532,0,1154,342,368,0,710,704,0,47,112,158,343,9,5,0,1,1,3,7,10,5,5,4,710
44,"PS RAMPUR AHRAULI",648,568,0,1216,366,346,0,712,700,0,26,81,188,366,7,1,2,1,1,2,2,5,9,7,14,712
45,"PS BENIGADDOPUR NORTH",488,418,0,906,279,238,0,517,445,0,25,115,109,239,0,2,1,0,1,1,3,5,8,4,4,517
46,"PS BENIGADDOPUR SOUTH",408,373,0,781,220,215,0,435,435,0,46,90,50,217,3,2,1,4,1,1,3,0,4,3,10,435
47,"PANCHAYAT BHAVAN BENIGADDOPUR",516,416,0,932,287,213,0,500,300,0,17,54,212,179,8,1,0,0,0,4,2,8,4,1,10,500
48,"PS RASOOLPUR AMAD SULTANPUR NORTH",119,106,0,225,67,74,0,141,132,0,3,38,5,80,3,0,0,2,0,2,0,2,2,3,1,141
49,"PS RASOOLPUR AMAD SULTANPUR SOUTH",487,385,0,872,193,221,0,414,398,0,41,100,160,93,1,0,0,4,0,0,1,3,5,2,4,414
50,"PS PRATAPPUR URF BARHUPUR",555,513,0,1068,302,298,0,600,30,0,31,148,33,349,7,2,2,3,0,2,1,6,5,5,6,600
51,"PS KHIDDIRPUR EAST",717,582,0,1299,359,276,0,635,630,0,30,144,81,359,1,1,1,1,0,3,3,0,4,3,4,635
52,"PS KHIDDIRPUR WEST",396,343,0,739,216,188,0,404,392,0,17,98,73,194,3,0,1,2,0,1,3,4,4,0,4,404
53,"PS PAROMA EAST",587,530,0,1117,307,279,0,586,500,0,19,56,253,217,6,4,4,6,1,0,1,7,4,1,7,586
54,"PS PAROMA WEST",600,504,0,1104,401,200,0,601,601,0,33,109,181,249,5,1,1,1,1,1,2,4,7,0,6,601
55,"PS SALHIPUR EAST",467,395,0,862,234,175,0,409,400,0,31,57,30,265,2,4,0,0,0,1,2,8,4,0,5,409
56,"PS SALHIPUR WEST",431,349,0,780,194,183,0,377,377,0,14,42,6,295,7,2,0,0,0,0,1,1,2,3,4,377
57,"PS SALHIPUR EXTRA ROOM",476,398,0,874,250,235,0,485,485,0,50,126,39,221,4,2,0,1,1,3,0,8,15,5,10,485
