"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAMLESH PASWAN","2 - GORAKH PRASAD PASWAN","3 - SADAL PRASAD","4 - SANJAI KUMAR","5 - ARJUN PRASAD RAW","6 - CHANDRIKA PRASAD BHARATI","7 - RAMNARESH","8 - RAMNIVAS  PASWAN","9 - RAMPRIT JAKHMEE","10 - LALCHAND PRASAD JATAV","11 - KUNJAWATI","12 - SHEO SHANKAR","13 - None of the Above","Total Votes Secured"
45,"P.P MALAV UTTAR",296,190,0,486,101,75,0,176,56,0,137,15,11,8,0,0,0,0,0,3,0,0,2,176
46,"P.P MALAV",504,359,0,863,166,127,0,293,105,0,131,89,44,10,0,0,0,3,2,2,1,1,10,293
47,"P.P MALAV D.",492,428,0,920,207,188,0,395,77,0,264,74,22,19,1,0,2,1,0,3,0,3,6,395
48,"P.P MALAV M.",468,380,0,848,195,182,0,377,12,0,281,12,50,11,0,0,3,3,2,0,1,1,13,377
49,"K. P.P MALAV P.",781,572,0,1353,292,362,0,654,394,0,212,36,358,10,3,0,5,2,2,4,7,2,13,654
50,"P.P RUDAIN URF MAJHGAWA",542,449,0,991,243,226,0,469,10,0,234,59,125,30,1,1,1,1,2,5,1,0,9,469
51,"P.P RUDAIN URF MAJHGAWA",464,366,0,830,223,192,0,415,1,0,152,48,160,32,1,1,1,3,9,1,0,1,6,415
52,"P.P KANAIL R.N 1",673,492,1,1166,316,268,0,584,15,0,321,9,194,21,0,1,2,3,3,8,2,4,16,584
53,"P.P KANAIL R.N 2",610,502,0,1112,287,228,0,515,22,0,327,56,90,18,0,2,2,1,2,6,0,2,9,515
54,"P.P JAYANTIPUR P.",582,474,0,1056,239,282,0,521,1,0,76,117,284,21,0,1,2,3,1,4,3,2,7,521
55,"P.P JAYANTIPUR",349,259,0,608,160,140,0,300,1,0,183,59,35,14,0,1,2,0,0,3,0,1,2,300
56,"P.P JAYANTIPUR",633,508,0,1141,287,246,0,533,527,0,159,135,165,44,1,1,2,0,1,2,3,4,16,533
57,"P.P MAHADEEH",356,323,0,679,208,204,0,412,6,0,41,68,274,16,0,0,3,0,1,0,3,3,3,412
58,"P.P MAHADEEH",379,309,0,688,202,145,0,347,1,0,248,71,11,13,0,0,0,1,0,0,0,0,3,347
59,"P.P PACHISI KHAS P.",682,610,0,1292,333,337,0,670,1,0,373,63,117,87,3,0,2,1,2,9,1,2,10,670
60,"S.B.V PACHISI KHAS UTTAR",571,441,0,1012,279,269,0,548,55,0,118,57,301,49,1,1,3,0,2,2,2,3,9,548
61,"S.B V PACHISI KHAS D.",740,576,0,1316,360,325,0,685,6,0,269,23,323,44,1,1,1,1,0,3,6,3,10,685
62,"P.P DHANUDA KHURD",670,586,0,1256,364,343,0,707,12,0,549,35,90,16,1,1,1,0,2,1,2,1,8,707
63,"P.P DHANUDA KHURD",710,571,0,1281,479,262,0,741,16,0,178,8,509,26,5,0,1,0,4,2,3,0,5,741
64,"P.P DHANUDA KHURD",229,175,0,404,92,98,0,190,28,0,6,4,176,0,0,0,0,0,2,0,1,0,1,190
65,"P.P DHASKI P.",556,480,0,1036,275,269,0,544,1,0,121,165,201,46,1,0,0,2,0,1,0,2,5,544
66,"P.P DHASKI P.",483,345,0,828,203,193,0,396,16,0,90,146,137,7,0,0,0,2,0,3,3,1,7,396
67,"A. H. K.I.C.DHANUDA BUJURG",394,327,0,721,238,224,0,462,1,0,199,77,163,12,1,1,0,0,2,2,1,1,3,462
68,"P.P DHASKA",897,670,0,1567,447,349,0,796,1,0,225,301,184,57,2,3,0,4,0,5,2,4,9,796
69,"P.P DHASKA",796,661,0,1457,392,401,0,793,304,0,206,68,417,70,2,0,3,1,1,3,7,1,14,793
70,"K.P.P RANIPUR",357,248,1,606,185,151,0,336,1,0,191,79,41,22,0,2,0,0,0,1,0,0,0,336
71,"K.P.P RANIPUR",878,571,0,1449,343,279,0,622,55,0,252,42,122,173,3,2,2,2,6,5,1,3,9,622
72,"P.B.V RANIPUR",900,665,0,1565,416,375,0,791,120,0,274,67,324,92,4,0,2,3,2,8,8,1,6,791
73,"P.P DEURBEER",786,661,0,1447,426,379,0,805,25,0,363,48,309,56,1,1,0,1,4,3,7,1,11,805
74,"P.P DEURBEER",329,282,0,611,196,164,0,360,9,0,115,41,176,10,0,0,0,4,1,2,4,2,5,360
75,"S.I.C KAURIRAM UTTAR",444,342,0,786,218,172,0,390,1,0,167,74,106,34,1,0,0,2,1,4,0,0,1,390
76,"S.I.C KAURIRAM D.",620,465,0,1085,301,215,0,516,58,0,384,52,48,25,0,0,0,0,2,2,0,0,3,516
77,"S.I.C KAURIRAM D.",647,475,0,1122,323,242,0,565,120,0,201,87,229,19,2,1,2,1,2,2,3,1,15,565
78,"S.I.C KAURIRAM P.",520,431,0,951,303,223,0,526,48,0,408,38,38,22,0,0,0,7,1,3,0,1,8,526
79,"P.P REVDADEEH",499,437,0,936,251,232,0,483,21,0,192,117,115,33,0,0,5,2,3,4,3,1,8,483
80,"P.P ITKAULI",526,417,0,943,276,289,0,565,198,0,184,44,213,104,1,0,0,6,0,4,2,1,6,565
81,"P.P KATHVALIYA",409,298,0,707,180,144,0,324,124,0,166,53,79,10,0,1,2,3,3,1,1,1,4,324
82,"P.P SOHGAURA",526,379,0,905,207,179,0,386,46,0,261,9,81,10,0,0,2,1,2,10,1,3,6,386
83,"P.P SOHGAURA",474,353,0,827,155,128,0,283,255,0,188,19,35,20,2,1,1,1,0,3,1,1,11,283
84,"P.P KALANI",466,347,0,813,200,186,0,386,11,0,101,14,239,13,0,0,4,1,4,2,2,1,5,386
85,"K.P.P TIKAR",602,416,1,1019,249,203,0,452,30,0,213,76,124,8,1,0,7,2,0,4,3,4,10,452
86,"K.P.P TIKAR",427,300,0,727,156,142,0,298,1,0,101,50,115,9,0,0,3,1,2,8,3,1,5,298
87,"P.P GURMHI",367,247,0,614,172,154,0,326,1,0,109,25,167,12,1,0,2,1,5,2,1,0,1,326
88,"P.P MALAULI",353,271,1,625,138,137,0,275,60,0,74,65,118,4,1,0,0,0,1,2,0,1,9,275
89,"P.P SONAI BUJURG",166,135,2,303,81,94,0,175,1,0,14,37,116,6,0,0,0,1,0,1,0,0,0,175
90,"P.P GURMHI R.N 1",367,251,0,618,186,127,0,313,190,0,55,66,177,8,0,0,0,0,1,0,2,3,1,313
91,"P.P SOMHAI",487,344,0,831,216,211,0,427,278,0,132,99,144,37,0,0,1,1,5,1,5,0,2,427
92,"P.P BASTUPAR UTTAR",549,411,1,961,209,199,0,408,1,0,253,5,116,16,0,1,0,3,2,1,4,1,6,408
93,"P.P BASTUPAR D.",203,168,0,371,91,99,0,190,21,0,66,24,62,20,0,0,1,6,5,2,2,0,2,190
94,"P.P PALHPUR",306,281,0,587,165,191,0,356,1,0,64,9,266,7,1,0,2,0,2,1,3,0,1,356
95,"P.P PANDEYPAR NEW BHAVAN P.",794,650,0,1444,426,387,0,813,438,0,431,148,163,31,1,0,2,4,6,12,1,6,8,813
96,"P.P PANDEYPAR NEW BHAVAN PURAB",388,333,0,721,195,188,0,383,15,0,128,8,221,8,0,1,0,2,2,4,2,2,5,383
97,"P.P DEURBEER",366,314,0,680,177,152,0,329,23,0,114,6,153,40,1,0,1,0,2,2,2,0,8,329
98,"P.P CHAVRIYA BUJURG",566,477,1,1044,246,213,0,459,32,0,273,111,16,48,1,0,1,0,1,0,0,2,6,459
99,"P.P CHAVRIYA BUJURG",821,681,0,1502,419,382,0,801,71,0,231,74,425,30,5,0,3,1,4,7,7,1,13,801
100,"P.P CHAVARIYA KHURD",846,663,0,1509,344,415,0,759,5,0,448,76,128,57,2,4,2,4,7,12,2,6,11,759
101,"P.P HARPUR",492,398,0,890,212,216,0,428,59,0,203,14,176,20,0,0,3,2,1,2,1,2,4,428
102,"P.P AHIRAULI",384,308,0,692,163,170,0,333,21,0,104,30,174,10,1,0,4,1,1,1,2,0,5,333
103,"J.H.S RAJGHAR",651,546,0,1197,323,281,0,604,1,0,67,395,92,10,1,0,1,7,2,3,2,8,16,604
104,"P.P BEDULI",442,318,0,760,176,165,0,341,1,0,181,36,88,21,2,1,0,3,0,5,1,1,2,341
105,"P.P JAGRNATHPUR",701,620,0,1321,344,379,0,723,1,0,198,65,397,48,3,0,1,2,0,7,1,0,1,723
106,"P.P KAIDHA BUJURG",304,257,0,561,123,123,0,246,1,0,82,62,82,15,0,1,0,0,0,1,1,0,2,246
107,"P.P KAIDHA KHURD",409,313,0,722,190,192,0,382,22,0,238,15,87,17,0,0,1,3,3,3,0,3,12,382
108,"P.P MAHOPAR UTTAR",497,376,0,873,216,192,0,408,5,0,262,66,37,15,1,0,3,1,1,6,2,4,10,408
109,"P.P MAHOPAR D.",359,251,0,610,144,96,0,240,28,0,133,46,43,13,0,0,0,0,1,1,0,2,1,240
110,"P.P KAUARAM KHURD",256,234,0,490,114,146,0,260,28,0,44,47,148,15,1,1,0,0,0,2,0,0,2,260
111,"P.P TIGHARA KHURD UTTAR",584,522,0,1106,291,276,0,567,1,0,164,105,243,28,3,0,3,0,2,8,3,3,5,567
112,"P.P TEVNA",522,375,0,897,271,212,0,483,1,0,174,130,147,9,2,0,3,1,3,4,3,2,5,483
113,"P.P HARIYA",704,502,0,1206,291,216,0,507,31,0,256,52,151,10,1,3,6,2,4,3,0,4,15,507
114,"P.P CHIUTHA BASVANPUR",366,306,0,672,136,116,0,252,203,0,187,22,26,13,1,0,0,0,0,1,0,1,1,252
115,"P.P CHIUTHA BASVANPUR",443,338,0,781,158,127,0,285,280,0,96,56,111,13,1,0,0,1,0,1,1,1,4,285
116,"HA.S.S GAJPUR R.N 1",742,524,0,1266,338,220,0,558,22,0,278,50,176,17,1,2,2,7,3,6,2,4,10,558
117,"HA.S.S GAJPUR R.N 2",646,477,0,1123,311,283,0,594,1,0,350,87,86,12,4,0,3,0,4,12,3,8,25,594
118,"HA. S.SCH. GAJPUR R.N 3",272,191,0,463,135,99,0,234,229,0,153,40,30,5,1,0,0,1,0,1,0,1,2,234
