"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - VIPNESH","2 - RAVI PRAKASH VERMA","3 - RAMGOPAL MISHRA","4 - AJAY KUMAR","6 - ARVIND GIRI","7 - ZAFAR ALI NAQVI","10 - DINESH KUMAR","11 - KRISHNA ADHIKARI","12 - ASHRAF ALI","14 - ASHOK","16 - RAMESHWARI","17 - None of the Above","Total Votes Secured"
1,BALLIPUR,566,484,0,1050,372,293,0,665,633,0,13,199,3,349,34,33,2,1,6,4,1,20,665
2,BALLIPUR,500,441,0,941,262,205,0,467,453,0,8,157,0,219,13,61,2,1,0,0,2,4,467
3,BALLIPUR,514,415,0,929,358,251,0,609,565,0,5,140,4,331,90,27,0,0,0,0,4,8,609
4,BALLIPUR,505,408,0,913,329,206,0,535,494,0,10,82,2,333,54,37,1,0,3,1,1,11,535
5,BALLIPUR,739,577,0,1316,486,279,0,765,760,0,26,99,1,161,136,316,2,2,2,5,5,10,765
6,MURGAHA,529,422,0,951,409,355,0,764,759,0,12,24,2,624,25,43,3,5,5,2,2,17,764
7,MURGAHA,482,383,0,865,334,259,0,593,593,0,14,133,0,335,87,13,1,0,1,0,3,6,593
8,CHHEDUIPATIA,637,557,0,1194,404,322,0,726,721,0,2,63,1,298,301,40,3,1,3,0,1,13,726
9,CHHEDUIPATIA,488,405,0,893,359,278,0,637,637,0,16,66,1,351,44,135,4,3,6,1,1,9,637
10,CHHEDUIPATIA,414,373,0,787,273,238,0,511,499,0,7,41,0,100,273,80,4,1,1,0,1,3,511
11,CHHEDUIPATIA,614,529,0,1143,444,344,0,788,688,0,24,51,2,80,371,253,0,2,1,2,0,2,788
12,CHHEDUIPATIA,600,493,0,1093,422,265,0,687,592,0,11,116,2,208,297,40,0,1,1,1,2,8,687
13,GANGABEHAD,532,477,1,1010,432,384,0,816,802,0,7,116,1,437,209,21,5,1,4,1,4,10,816
14,GANGABEHAD,515,466,0,981,338,300,0,638,620,0,2,91,0,71,410,55,3,0,0,0,4,2,638
15,"PIRTHIPURWA H/O GANGABEHAD",526,427,0,953,417,292,0,709,679,0,9,129,1,285,222,52,1,1,2,0,1,6,709
16,"PIRTHIPURWA H/O GANGABEHAD",448,423,0,871,356,229,0,585,578,0,16,44,5,357,70,78,1,0,0,0,0,14,585
17,"BAUDHIA KALAN",434,326,0,760,330,246,0,576,546,0,5,272,1,149,135,3,3,0,2,0,0,6,576
18,"BAUDHIA KALAN",419,333,0,752,323,205,0,528,528,0,2,252,0,123,125,11,1,0,2,1,0,11,528
19,"BAUDHIA KALAN",613,510,0,1123,372,322,0,694,687,0,9,274,2,287,70,37,1,1,2,2,2,7,694
20,KHAIRHANA,652,462,0,1114,448,241,0,689,679,0,12,50,1,424,94,78,1,3,2,2,5,17,689
21,"BAUDHIAKHURD H/O KHAIRHANA",550,439,0,989,443,313,0,756,689,0,7,132,1,289,219,87,1,0,2,2,0,16,756
22,"GADDIPURWA H/O KHAIRHANA",442,327,0,769,315,220,0,535,481,0,25,77,1,185,12,218,0,0,3,2,2,10,535
23,KHAIRHANA,504,348,0,852,363,205,0,568,558,0,17,76,1,209,52,197,2,3,2,1,2,6,568
24,BAMHANPUR,557,400,0,957,386,315,0,701,699,0,10,107,1,279,56,240,0,2,1,0,1,4,701
25,BAMHANPUR,459,471,0,930,298,302,0,600,597,0,16,47,1,239,40,241,3,1,4,1,3,4,600
26,KHAIRHANI,888,655,0,1543,627,460,0,1087,1085,0,7,50,2,845,111,41,4,4,5,2,10,6,1087
27,"TANDA H/O DHARMAPUR",664,533,0,1197,398,324,0,722,688,0,22,212,2,406,24,31,0,1,3,1,5,15,722
28,DHARMAPUR,410,366,0,776,320,240,0,560,549,0,8,59,0,278,117,88,0,0,1,1,2,6,560
29,DHARMAPUR,472,370,0,842,406,256,0,662,660,0,6,40,1,323,243,22,5,4,3,1,3,11,662
