"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DHARMENDRA PRATAP SINGH","2 - RAHUL GANDHI","3 - SMRITI ZUBIN IRANI","4 - GOPAL SWAROOP GANDHI","5 - CHHAYA SINGH","6 - ZAHIDA BEGAM","7 - BABU LAL","8 - C L MAURYA","9 - RAVI KUMAR","10 - RADHE MOHAN","11 - RAM ASREY","12 - RAM NEWAJ","13 - RAMSIDDH YADAV","14 - VASDEO","15 - DR. KUMAR VISHVAS","16 - VEDPAL SHASATRI","17 - MOHD HASAN LAHRI","18 - UMAKANT","19 - GIRIJA BAKS","20 - GANGESH KUMAR GUPTA","21 - JAGAT SINGH CHAUDHARY","22 - JITENDRA SINGH","23 - TULSIRAM","24 - DWARIKA PRASAD","25 - NARESH SINGH BHADAURIYA","26 - BHAGWAN DEEN","27 - MITHILESH KUMARI","28 - RAMESH CHANDRA","29 - RAM SAJIWAN","30 - LAL BAHADUR","31 - SHIV KUMAR","32 - SWAMINATH","33 - SONAM KINNAR","34 - SANJAY KUMAR","35 - None of the Above","Total Votes Secured"
1,KHARAWAN,555,469,0,1024,292,192,0,484,484,0,90,114,237,2,3,0,0,1,0,0,1,0,0,1,1,3,2,3,2,0,1,1,2,2,0,4,4,3,1,3,1,2,0,0,0,484
2,KHARAWAN,357,349,0,706,178,159,0,337,337,0,20,74,184,3,4,0,0,0,0,1,1,2,1,0,1,4,3,2,1,2,1,2,4,3,1,0,5,6,1,2,2,6,0,0,1,337
3,HATHAROHANA,506,460,0,966,354,260,0,614,614,0,40,130,346,6,4,1,0,1,2,2,1,2,12,2,9,4,4,0,1,1,1,4,5,3,2,2,3,5,2,4,2,2,4,1,6,614
4,NAGIYAMAU,242,225,0,467,176,129,0,305,305,0,69,77,110,3,3,1,0,0,0,0,2,1,1,1,11,5,2,1,0,0,1,0,2,2,1,0,2,4,0,0,0,2,2,0,2,305
5,"KUKAHA RAMPUR",581,516,0,1097,370,280,0,650,650,0,93,112,374,5,6,2,1,0,0,0,0,1,2,1,4,7,5,2,2,1,0,1,4,2,2,2,4,8,1,1,1,3,0,0,3,650
6,"KUKAHA RAMPUR",682,569,0,1251,364,318,0,682,682,0,67,221,306,4,8,3,2,2,0,0,1,1,2,2,6,4,2,2,3,0,1,5,13,2,4,1,4,4,2,1,2,5,0,0,2,682
7,KUSUMBHI,333,300,0,633,225,173,0,398,398,0,35,65,219,6,4,2,0,2,0,1,1,2,1,0,0,2,8,3,8,0,1,1,4,4,1,1,3,7,2,2,1,7,1,1,3,398
8,JAITPUR,696,666,0,1362,360,268,0,628,628,0,46,280,234,3,5,2,0,1,3,3,2,1,4,2,10,17,1,1,2,0,1,0,1,0,1,0,1,1,0,2,0,3,0,0,1,628
9,SAKATPUR,193,168,0,361,132,114,0,246,246,0,12,105,108,1,0,0,0,0,0,0,0,0,0,0,3,0,2,4,5,0,0,0,1,0,0,0,1,3,0,0,1,0,0,0,0,246
10,TIKARI,704,628,0,1332,333,303,0,636,636,0,53,187,236,9,10,4,2,6,3,4,1,2,2,3,9,9,7,11,6,6,0,3,13,5,5,4,4,8,1,2,1,15,1,0,4,636
