"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DR. AKHILESH KUMAR DWIVEDI","2 - RAKESH DHAR TRIPATHI","3 - VIRENDRA SINGH","4 - SARTAJ IMAM","5 - SEEMA MISHRA","6 - AJAY KUMAR MAURYA","7 - TEJ BAHADUR YADAV ADVOCATE","8 - RAJESH KUMAR ALIAS KHANNA MAURYA","9 - RAM SAGAR BIND","10 - CHANDRASHEKHAR","11 - JAGJEEVAN RAM","12 - JEEVAN KUMAR MALLAH","13 - RAM SAKHA TRIPATHI","14 - SANTRAJ SINGH","15 - None of the Above","Total Votes Secured"
1,"PRA.VIDY.KHEVKHAR R.NO.-1",489,404,1,894,185,195,0,380,134,0,2,84,71,3,147,2,62,0,2,2,0,2,1,1,1,380
2,"PRA.VIDY.KHEVKHAR R.NO.-4",498,437,0,935,227,230,0,457,7,0,5,159,156,16,99,4,3,1,0,0,0,5,2,5,2,457
3,"PRA.VIDY.KHEVKHAR R.NO.-2",384,338,0,722,172,159,0,331,331,0,3,92,136,5,81,1,2,1,0,0,0,1,0,2,7,331
4,"PRA.VIDY.KHEVKHAR R.NO.-3",464,392,0,856,225,215,0,440,17,0,5,245,90,2,87,1,4,0,0,2,0,1,1,2,0,440
5,"JU.HA. SCHOOL KHEVKHAR",121,94,0,215,45,36,0,81,39,0,0,7,36,0,35,1,1,0,0,0,0,0,1,0,0,81
6,"PRA.VIDY.MAKANPUR ROHI",725,617,0,1342,326,331,0,657,109,0,8,180,254,13,173,4,7,4,3,0,1,3,3,0,4,657
7,"PRA.VIDY.NAJARPUR R.NO.-1",891,700,0,1591,347,365,0,712,4,0,3,253,233,5,155,5,30,1,3,3,0,2,3,5,11,712
8,"PRA.VIDY.NAJARPUR R.NO.-2",841,740,0,1581,414,354,0,768,147,0,5,194,279,14,155,3,98,2,2,1,2,2,3,2,6,768
9,"PRA.VIDY.JAGATPUR R.NO.-1",696,591,0,1287,313,332,0,645,31,0,7,227,238,9,133,6,10,1,0,1,2,5,2,2,2,645
10,"PRA.VIDY.JAGATPUR R.NO.-2",423,337,0,760,215,207,0,422,415,0,5,120,98,1,125,1,62,1,1,2,0,0,1,4,1,422
