"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DR. AKHILESH KUMAR DWIVEDI","2 - RAKESH DHAR TRIPATHI","3 - VIRENDRA SINGH","4 - SARTAJ IMAM","5 - SEEMA MISHRA","6 - AJAY KUMAR MAURYA","7 - TEJ BAHADUR YADAV ADVOCATE","8 - RAJESH KUMAR ALIAS KHANNA MAURYA","9 - RAM SAGAR BIND","10 - CHANDRASHEKHAR","11 - JAGJEEVAN RAM","12 - JEEVAN KUMAR MALLAH","13 - RAM SAKHA TRIPATHI","14 - SANTRAJ SINGH","15 - None of the Above","Total Votes Secured"
11,"PRA.VIDY.MAURAMSHALA R.NO.-1",449,370,0,819,230,212,0,442,18,0,6,113,151,21,131,1,7,1,4,0,0,2,2,2,1,442
12,"PRA.VIDY.MAURAMSHALA R.NO.-2",505,415,0,920,259,194,0,453,40,0,2,136,122,13,166,1,0,0,1,0,1,3,2,2,4,453
13,"PRA.VIDY.MATETHU R.NO.-1",502,378,0,880,274,237,0,511,272,0,0,46,339,6,116,0,2,0,1,1,0,0,0,0,0,511
14,"PRA.VIDY.MATETHU R.NO.-3",438,343,0,781,234,173,0,407,348,0,2,26,166,2,201,2,2,0,0,0,0,0,0,1,5,407
15,"PRA.VIDY.MATETHU R.NO.-2",371,305,0,676,176,201,0,377,24,0,0,50,131,2,98,8,71,4,2,3,2,4,0,1,1,377
16,"PRA.VIDY.MATETHU R.NO.-4",518,433,0,951,256,284,0,540,320,0,9,213,152,3,75,0,64,4,4,2,2,1,1,4,6,540
17,SA.SAH.SMITI.BIRBHADRAPATTI,562,467,0,1029,373,255,0,628,627,0,1,84,277,4,195,37,11,0,2,2,1,3,3,2,6,628
18,"PRA.VIDY.BIRBHADRAPATTI SISTI GRAM PRATAP SINGHPATTI",269,236,0,505,122,155,0,277,25,0,1,90,115,1,41,1,19,1,0,0,0,0,3,2,3,277
19,"JU.HA. SCHOOL KANAKPUR R.NO.-1",468,376,0,844,245,236,0,481,14,0,4,225,75,1,117,10,37,2,2,0,1,1,0,2,4,481
20,"JU.HA. SCHOOL KANAKPUR R.NO.-2",474,375,0,849,210,206,0,416,52,0,4,58,183,3,61,3,92,1,0,4,1,1,0,4,1,416
21,PRA.VIDY.BHIKHAMAPUR,570,494,0,1064,370,305,0,675,90,0,8,176,260,10,102,65,40,1,4,0,1,1,1,3,3,675
22,"JU.HA. SCHOOL DANUPUR PATTI PASCHIM",789,682,0,1471,392,436,0,828,10,0,3,245,356,14,154,5,21,3,4,1,3,5,3,6,5,828
23,PRA.VIDY.JHODHAPUR,419,327,0,746,216,180,0,396,237,0,1,71,177,2,133,0,9,0,1,0,1,0,0,0,1,396
24,PRA.VIDY.ASAYIPUR,376,314,0,690,191,194,0,385,10,0,4,100,135,10,115,5,2,3,1,1,1,1,1,0,6,385
25,PRA.VIDY.DASVATPUR.NO.-1,825,663,0,1488,415,382,0,797,133,0,2,122,90,12,234,6,289,9,7,9,3,2,1,4,7,797
26,PRA.VIDY.DASVATPUR.NO.-2,361,298,0,659,203,119,0,322,266,0,6,156,43,2,55,2,52,1,0,2,0,2,0,1,0,322
27,PRA.VIDY.BIRAMPUR,846,688,0,1534,419,381,0,800,563,0,2,265,152,21,324,1,23,1,1,3,1,2,1,2,1,800
28,PRA.VIDY.MINAPUR,744,598,0,1342,336,344,0,680,291,0,4,196,301,36,129,2,9,0,0,0,0,1,0,1,1,680
29,"PRA.VIDY. LOAKMANPUR",329,252,0,581,167,160,0,327,14,0,0,22,222,7,60,1,2,0,0,1,0,4,5,1,2,327
30,PRA.VIDY.VIJAYIPUR,381,331,0,712,178,222,0,400,216,0,2,114,79,4,163,3,17,2,1,1,3,5,2,0,4,400
31,"PRA.VIDY. MINAPUR SISTI GRAM KANTIRAMPUR",447,379,0,826,200,226,0,426,93,0,1,26,237,7,103,2,30,1,2,5,0,1,0,4,7,426
32,"PRA.VIDY. AINACHH",608,500,0,1108,316,311,0,627,12,0,7,181,256,11,145,7,0,3,1,0,0,0,4,5,7,627
33,"DR.RAM MAN.LO.INTER.COLL.SAGARPUR BAVAI R.N.-1",777,630,0,1407,394,405,0,799,646,0,4,222,265,30,159,0,82,3,5,1,3,5,4,4,12,799
34,"DR.RAM MAN.LO.INTER.COLL.SAGARPUR BAVAI R.N.-2",563,498,0,1061,303,310,0,613,280,0,7,205,201,10,143,1,21,4,0,4,2,1,5,5,4,613
35,"PRA.VIDY. BAVAI SISTI GRAM SARAYRUDDI",479,349,0,828,221,185,0,406,2,0,4,86,133,6,47,6,93,0,3,9,4,2,2,4,7,406
36,"PRA.VIDY. ROHISHUKLAN",634,495,0,1129,274,273,0,547,382,0,2,143,221,16,145,0,6,1,1,0,0,4,2,1,5,547
37,"U.MA.VIDY. ROHI R.N.- 1",754,643,1,1398,371,366,0,737,350,0,15,257,230,37,146,3,31,6,2,2,0,2,2,4,0,737
38,"U.MA.VIDY. ROHI R.N.- 2",286,190,0,476,89,78,0,167,47,0,0,6,95,1,63,0,0,0,1,0,0,1,0,0,0,167
39,"PRA.VIDY. ROHI",757,663,0,1420,444,459,0,903,7,0,10,317,324,4,216,3,1,0,2,0,1,2,3,7,13,903
40,"PRA.VIDY. DASHRATHPUR",505,449,0,954,214,266,0,480,166,0,2,113,224,20,98,2,2,1,2,1,0,2,3,4,6,480
41,"PRA.VIDY. BAYAWAN",784,628,0,1412,392,390,0,782,780,0,7,95,413,12,233,4,5,2,1,0,1,3,0,1,5,782
42,"PRA.VIDY. CHAKSARANATH",687,555,0,1242,280,278,0,558,558,0,1,35,328,16,122,6,21,5,2,3,1,3,2,6,7,558
43,"PRA.VIDY. HARIHARPUR SANI",415,326,0,741,208,187,0,395,157,0,1,12,205,10,148,2,2,1,2,0,1,1,4,2,4,395
44,"PRA.VIDY. PILKHUNA R.N.- 1",467,389,0,856,264,230,0,494,10,0,5,149,96,2,99,14,106,1,0,8,5,0,1,5,3,494
45,"PRA.VIDY. PILKHUNA R.N.- 2",709,586,0,1295,307,320,0,627,105,0,7,84,349,7,114,5,38,3,3,0,3,1,2,1,10,627
46,"PRA.VIDY. SHREEKANTPUR",873,733,0,1606,421,480,0,901,748,0,7,173,333,28,302,5,35,1,1,2,2,5,2,4,1,901
47,"PRA.VIDY. SOVRI",715,604,0,1319,356,397,0,753,10,0,4,197,194,7,320,5,1,1,0,1,1,3,7,7,5,753
48,"JU.HA. SCHOOL SOVRI",281,204,0,485,144,157,0,301,9,0,1,39,121,5,123,3,1,0,0,0,0,0,2,1,5,301
49,"PRA.VIDY. MUNGARI",390,329,0,719,222,207,0,429,74,0,5,159,105,2,127,2,18,3,1,0,1,2,2,1,1,429
50,"PRA.VIDY. KUBIHARDOPATTI",359,283,0,642,172,194,0,366,156,0,5,139,114,7,85,1,7,0,1,0,0,0,2,3,2,366
51,"PANCHAYAT BHAWAN BHAIRO KA PURA",269,232,0,501,112,119,0,231,48,0,2,28,114,1,74,0,1,0,0,1,0,2,3,1,4,231
52,"PRA.VIDY. CHAURAKALA",555,431,0,986,279,231,0,510,31,0,4,142,242,3,102,1,1,0,0,0,1,2,1,4,7,510
53,"PRA.VIDY. JIYANPUR R.NO.-1",561,402,0,963,301,243,0,544,10,0,2,81,172,14,240,4,16,2,1,0,2,3,4,1,2,544
54,"PRA.VIDY. JIYANPUR R.NO.-2",545,456,0,1001,217,385,0,602,15,0,5,118,235,5,150,1,65,1,2,1,2,3,2,7,5,602
55,"PRA.VIDY. BAIRIPAWA R.NO.-1",452,380,0,832,245,253,0,498,41,0,5,164,176,13,96,2,26,1,0,0,0,2,2,4,7,498
56,"PRA.VIDY. BAIRIPAWA R.NO.-2",533,427,0,960,254,280,0,534,10,0,2,239,162,7,91,1,7,1,2,2,3,3,1,7,6,534
57,"PRA.VIDY. AMILHRA R.NO.-1",704,608,0,1312,371,372,0,743,10,0,4,182,273,18,178,5,42,1,5,2,4,6,2,8,13,743
58,"PRA.VIDY. AMILHRA R.NO.-2",507,439,0,946,310,337,0,647,237,0,6,149,260,11,150,2,44,1,7,1,4,3,3,3,3,647
59,"PRA.VIDY. KARIGAVAN R.NO.-1",795,650,0,1445,373,349,0,722,192,0,1,25,284,5,179,6,158,4,3,14,7,5,2,8,21,722
60,"PRA.VIDY. KARIGAVAN R.NO.-2",688,607,0,1295,370,379,0,749,365,0,17,310,245,14,98,3,40,3,3,8,1,5,1,0,1,749
61,"PRA.VIDY. KUSHAULI",710,547,0,1257,353,328,0,681,10,0,3,41,283,12,329,1,7,2,2,1,0,0,0,0,0,681
62,"JU.HA. SCHOOL NATHIPUR R.NO.-1",448,383,0,831,257,245,0,502,339,0,3,61,110,11,156,10,115,6,0,8,1,0,6,10,5,502
63,"JU.HA. SCHOOL NATHIPUR R.NO.-3",447,350,0,797,206,182,0,388,51,0,1,37,72,11,226,6,24,1,1,1,0,1,2,2,3,388
64,"JU.HA. SCHOOL NATHAIPUR R.NO.-2",514,389,1,904,251,197,0,448,299,0,2,139,181,20,77,2,10,3,2,2,1,5,2,0,2,448
65,"JU.HA. SCHOOL NATHIPUR R.NO.-4",397,331,1,729,195,160,0,355,140,0,3,194,92,7,32,0,12,0,1,0,1,2,3,4,4,355
66,"PRA.VIDY. SAGARRAYPUR R.NO.-1",714,556,0,1270,286,239,0,525,145,0,8,123,261,0,101,2,11,1,2,4,1,1,2,5,3,525
67,"PRA.VIDY. SAGARRAYPUR R.NO.-2",508,371,0,879,275,200,0,475,12,0,1,18,277,6,146,2,8,2,2,0,2,0,4,2,5,475
68,"JU.HA. SCHOOL SIKHAPUR",677,542,0,1219,385,338,0,723,10,0,5,241,324,6,125,0,2,0,1,1,0,3,2,4,9,723
69,"PRA.VIDY. PURE BAHURIYA",275,218,0,493,182,152,0,334,255,0,3,197,67,4,41,1,11,1,1,0,0,2,0,2,4,334
70,"PRA.VIDY. GANDHI R.NO.-1",771,582,0,1353,422,326,0,748,35,0,8,131,390,24,169,8,4,2,1,1,0,3,3,1,3,748
71,"PRA.VIDY. GANDHI R.NO.-2",636,511,0,1147,339,315,0,654,567,0,4,308,249,11,66,0,1,0,1,1,0,2,0,3,8,654
72,"PRA.VIDY. TULAPUR ROHI",207,174,0,381,114,116,0,230,10,0,4,167,14,1,36,1,0,0,0,0,1,2,0,1,3,230
73,"JU.HA. SCHOOL BHGWANPUR CHAUTHAR R.NO.-1",532,418,0,950,255,260,0,515,10,0,1,22,203,7,234,3,29,1,0,0,0,1,2,6,6,515
74,"JU.HA. SCHOOL BHGWANPUR CHAUTHAR R.NO.-2",563,471,0,1034,315,317,0,632,631,0,4,292,191,1,107,4,2,1,3,1,2,4,0,7,13,632
75,"PRA.VIDY. MADANPUR",350,296,1,647,272,227,0,499,362,0,1,69,192,5,210,6,8,0,2,1,1,0,1,0,3,499
76,"PRA.VIDY. HOLPUR",488,402,1,891,263,228,0,491,10,0,3,97,236,4,142,1,1,0,1,0,0,2,1,2,1,491
77,"PRA.VIDY. KAULAPUR R.N0.-1",332,252,0,584,176,129,0,305,30,0,0,25,128,2,69,2,65,3,2,0,0,0,4,0,5,305
78,"PRA.VIDY. KAULAPUR R.N0.-3",680,543,1,1224,394,296,0,690,25,0,3,125,285,4,216,5,42,1,1,2,0,1,1,1,3,690
79,"PRA.VIDY. KAULAPUR R.N0.-2",642,479,0,1121,295,248,0,543,535,0,5,119,214,5,165,3,13,1,1,8,0,5,4,0,0,543
80,"PRA.VIDY. PURE KANUNGOYAN",815,641,0,1456,350,294,0,644,272,0,5,36,242,8,320,5,12,0,0,1,0,3,3,5,4,644
81,"PRA.VIDY. KHANAPUR R.NO.-1",522,465,0,987,288,279,0,567,556,0,9,224,212,8,93,7,5,0,1,0,1,1,2,1,3,567
82,"PRA.VIDY. KHANAPUR R.NO.-2",741,578,0,1319,381,305,0,686,12,0,8,187,144,35,267,4,19,2,2,1,2,0,1,1,13,686
83,"PRA.VIDY. BALIPUR",532,453,0,985,298,297,0,595,210,0,3,27,450,19,84,2,1,0,0,0,0,5,3,0,1,595
84,"PANCHAYAT BHAWAN JANGALPUR",866,685,0,1551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,"PRA.VIDY. BADAGAVAN R.NO.-1",804,613,0,1417,323,297,0,620,26,0,3,91,219,11,284,5,1,0,0,1,0,4,1,0,0,620
86,"PRA.VIDY. BADAGAVAN R.NO.-2",621,478,0,1099,259,252,0,511,504,0,7,69,183,5,211,3,3,2,3,4,2,4,3,5,7,511
87,"JU.HA. SCHOOL BHARATPUR",706,590,0,1296,360,388,0,748,125,0,5,142,393,8,153,19,5,2,2,1,0,2,3,4,9,748
88,"PRA.VIDY. PARSHURAMPUR",272,244,0,516,144,170,0,314,6,0,3,152,29,0,71,1,56,0,0,0,1,0,0,0,1,314
89,"PRA.VIDY. KANCHYANPUR",426,395,1,822,268,261,0,529,29,0,9,87,261,7,145,3,11,2,1,0,1,1,1,0,0,529
90,"PRA.VIDY. TRIBHUWANPUR",741,642,0,1383,365,338,0,703,4,0,6,212,94,16,233,6,88,2,1,9,8,4,4,7,13,703
91,"JU.HA. SCHOOL KALA KA PURA R.NO.-1",544,520,0,1064,264,294,0,558,12,0,4,98,191,5,211,1,43,1,1,2,0,0,0,0,1,558
92,"JU.HA. SCHOOL KALA KA PURA R.NO.-2",531,448,0,979,286,230,0,516,480,0,4,274,133,16,68,4,5,1,1,0,1,1,3,0,5,516
93,"PRA.VIDY. KALA KA PURA",281,227,0,508,168,132,0,300,52,0,1,64,55,2,76,4,88,3,0,2,0,2,1,1,1,300
94,"PRA.VIDY. KALIPUR R.NO.-1",568,456,0,1024,247,262,0,509,13,0,5,73,267,9,102,5,41,3,0,2,0,0,1,1,0,509
95,"PRA.VIDY. KALIPUR R.NO.-2",545,443,1,989,235,220,0,455,451,0,4,66,141,1,150,5,63,1,4,3,1,3,3,3,7,455
96,"PRA.VIDY. RAGHURAMPUR",550,451,0,1001,312,271,0,583,28,0,6,264,121,3,113,1,66,3,0,0,0,1,0,3,2,583
97,SA.SAH.SMITI.RAMAIPUR,441,356,0,797,244,227,0,471,56,0,4,199,86,1,105,1,59,1,2,2,2,1,3,3,2,471
98,"PRA.VIDY. PUREVISHWNATH",759,576,0,1335,342,305,0,647,375,0,3,141,242,13,208,3,15,0,1,0,2,0,6,7,6,647
99,"PRA.VIDY. BICHHIYA R.NO.-1",610,534,0,1144,323,313,0,636,12,0,9,309,109,66,124,0,12,1,0,0,1,4,0,1,0,636
100,"PRA.VIDY. BICHHIYA R.NO.-2",97,91,0,188,46,32,0,78,60,0,0,10,32,1,34,0,1,0,0,0,0,0,0,0,0,78
101,"PRA.VIDY. BICHHIYA R.NO.-3",833,640,0,1473,411,395,0,806,97,0,5,236,337,4,199,3,2,0,1,3,2,1,0,7,6,806
102,"PRA.VIDY. SIKICHAURA",521,435,0,956,264,242,0,506,346,0,4,71,218,14,161,13,8,2,2,0,1,2,6,0,4,506
103,"PRA.VIDY. KURMAICHA R.NO.-1",417,337,0,754,197,183,0,380,360,0,3,162,81,8,107,13,3,1,0,1,0,0,0,0,1,380
104,"PRA.VIDY. KURMAICHA R.NO.-2",697,607,0,1304,366,446,0,812,227,0,9,229,244,40,218,39,9,2,3,5,1,4,0,5,4,812
105,"PRA.VIDY. KURMAICHA R.NO.-3",593,520,0,1113,398,311,0,709,601,0,12,140,137,26,338,28,11,1,4,0,2,6,3,0,1,709
106,"PRA.VIDY. NAUDHAN R.N.-1",451,386,0,837,308,276,0,584,6,0,5,379,97,3,84,2,0,0,0,1,0,6,1,2,4,584
107,"PRA.VIDY. NAUDHAN R.N.-3",457,367,0,824,227,188,0,415,358,0,1,86,176,15,89,5,29,2,2,1,0,2,1,0,6,415
108,"PRA.VIDY. NAUDHAN R.N.-2",841,718,0,1559,434,336,0,770,267,0,4,151,309,18,236,7,22,1,3,2,0,3,1,6,7,770
109,"PRA.VIDY. SUDHAVAI R.NO.-1",738,661,0,1399,404,369,0,773,234,0,5,219,223,22,290,1,3,0,0,0,0,3,1,1,5,773
110,"PRA.VIDY. SUDHAVAI R.NO.-2",716,627,0,1343,390,247,0,637,19,0,12,191,162,19,226,2,12,1,1,0,0,7,1,1,2,637
111,"PRA.VIDY. MANGAPATTI",375,342,0,717,209,203,0,412,5,0,0,65,149,4,151,4,19,4,2,1,1,5,0,2,5,412
112,"PRA.VIDY. GODHANA R.NO.- 1",755,600,0,1355,398,345,0,743,522,0,11,177,261,10,221,2,46,2,2,0,3,3,0,4,1,743
113,"PRA.VIDY. GODHANA R.NO.- 2",635,462,0,1097,281,222,0,503,33,0,3,67,197,32,164,1,30,2,0,0,0,2,1,2,2,503
114,"PRA.VIDY. GODHANA R.NO.- 3",392,304,0,696,178,136,0,314,175,0,1,4,149,5,101,3,38,1,2,4,2,0,0,1,3,314
115,"PRA.VIDY. DARVASHI R.NO.-1",453,390,0,843,219,205,0,424,6,0,1,32,219,35,119,3,1,0,3,2,2,1,0,1,5,424
116,"PRA.VIDY. DARVASHI R.NO.-3",446,372,0,818,179,188,0,367,3,0,3,110,105,20,113,3,0,0,0,2,2,0,1,5,3,367
117,"PRA.VIDY. DARVASHI R.NO.-2",765,617,0,1382,391,377,0,768,766,0,6,310,245,13,158,3,6,2,1,1,2,3,1,6,11,768
118,"PRA.VIDY. UNJMUGARAHA R.NO.-1",668,487,0,1155,364,229,0,593,39,0,5,160,215,7,117,12,66,2,1,3,2,1,0,1,1,593
119,"PRA.VIDY. UNJMUGARAHA R.NO.- 2",251,199,0,450,137,90,0,227,55,0,1,93,67,1,38,0,23,0,0,0,0,0,1,2,1,227
120,"PRA.VIDY. KHARGAPUR",453,367,0,820,228,207,0,435,90,0,3,98,233,5,59,2,25,3,2,0,0,3,2,0,0,435
121,"PRA.VIDY. RAMKISHUNPUR BASAHI",688,628,0,1316,357,337,0,694,10,0,10,127,342,6,154,7,12,3,2,3,2,3,6,5,12,694
122,"PANCHAYAT BHAWAN BHAVAPUR",231,204,0,435,127,135,0,262,15,0,2,111,47,6,75,3,14,2,0,1,0,0,0,1,0,262
123,"PRA.VIDY. MANSHAHPUR",261,243,0,504,144,163,0,307,8,0,7,142,82,1,56,2,4,2,0,0,0,1,3,2,5,307
124,"PRA.VIDY. GOLKHARA",567,522,0,1089,311,364,0,675,125,0,4,358,167,3,119,1,0,1,2,2,1,3,5,0,9,675
125,"PRA.VIDY. KEVTAHI R.NO.-1",541,442,0,983,298,267,0,565,58,0,2,120,210,9,210,2,3,0,0,2,1,1,2,0,3,565
126,"PRA.VIDY. KEVTAHI R.NO.-2",395,346,0,741,168,204,0,372,53,0,6,108,109,3,143,0,2,0,0,0,1,0,0,0,0,372
127,"PRA.VIDY. JHARIHAGPUR",394,332,0,726,149,181,0,330,229,0,0,54,98,3,104,5,41,2,1,2,1,4,4,6,5,330
128,"KANYA JU.HA. SCHOOL ARAI R.NO.-1",310,265,0,575,147,166,0,313,201,0,2,14,159,9,114,2,1,1,0,1,1,5,1,0,3,313
129,"KANYA JU.HA. SCHOOL ARAI R.NO.-2",277,202,0,479,148,136,0,284,10,0,2,33,175,4,59,1,2,0,1,2,0,2,1,0,2,284
130,"PRA.VIDY. KHEMAPUR",636,585,0,1221,346,257,0,603,34,0,5,195,105,3,278,0,1,0,0,3,1,1,2,5,4,603
131,"PRA.VIDY. KATRA",332,261,0,593,156,113,0,269,162,0,0,19,57,3,116,1,50,1,1,1,4,3,3,1,9,269
132,"PRA.VIDY. DUGUNA",787,569,0,1356,392,284,0,676,10,0,3,25,179,12,371,5,51,5,0,4,2,1,1,5,12,676
133,"PANCHAYAT BHAWAN PARSANI",313,245,0,558,148,148,0,296,172,0,3,133,55,2,83,2,1,1,2,1,0,2,0,7,4,296
134,"PRA.VIDY. BHATGAVAN",368,308,0,676,161,188,0,349,241,0,2,117,151,2,59,0,0,0,1,0,0,4,4,8,1,349
135,PRA.VIDY.KUDIKALA,685,606,0,1291,348,351,0,699,210,0,4,190,309,11,162,2,3,1,4,0,1,3,2,4,3,699
136,"PRA.VIDY. KUDIKHURDA",710,555,0,1265,295,328,0,623,408,0,4,110,314,7,155,4,6,0,1,6,2,5,3,2,4,623
137,"PRA.VIDY. SHERPUR",626,457,1,1084,299,206,0,505,9,0,9,69,214,6,184,2,3,0,2,3,2,2,3,1,5,505
138,"PU.MA.VIDY. TEDHI UPAWAR",572,478,0,1050,253,233,0,486,77,0,2,94,204,7,145,3,2,2,5,0,1,3,4,5,9,486
139,"PRA.VIDY. MAVAIYATHANSINGH",480,367,0,847,241,184,0,425,78,0,7,97,256,8,51,0,0,1,0,0,1,2,1,0,1,425
140,"PU.MA.VIDY. LAKHANPUR BADRAV",758,594,0,1352,342,283,0,625,25,0,8,55,339,6,126,5,54,2,3,3,2,1,7,4,10,625
141,"PRA.VIDY. BHABHAUREE R.NO.-1",680,532,0,1212,341,280,0,621,1,0,1,125,367,9,111,0,0,1,0,0,1,2,0,1,3,621
142,"PRA.VIDY. BHABHAUREE R.NO.-2",251,186,0,437,124,105,0,229,163,0,0,64,114,3,38,0,1,0,1,1,1,1,1,2,2,229
143,"JU.HA. SCHOOL TULSIKALA R.NO.-1",222,170,0,392,92,101,0,193,14,0,1,9,120,2,56,0,2,0,0,0,0,2,0,1,0,193
144,"JU.HA. SCHOOL TULSIKALA R.NO.-2",586,436,0,1022,280,250,0,530,130,0,6,67,311,6,129,1,1,2,0,1,0,2,1,2,1,530
145,"SREE NARAYAN I.C. DHANTULASI R.NO.-1",463,379,0,842,190,191,0,381,275,0,4,21,225,9,95,3,2,3,2,2,3,3,1,2,6,381
146,"SREE NARAYAN I.C. DHANTULASI R.NO.-2",463,392,0,855,218,217,0,435,25,0,7,15,310,9,76,2,0,0,2,0,2,4,4,2,2,435
147,"PRA.VIDY. GAJADHARPUR",723,547,0,1270,327,288,0,615,372,0,6,200,294,9,89,0,0,0,2,0,2,4,3,2,4,615
148,"PRA.VIDY. CHHECHHUWA R.NO.- 1",549,433,0,982,236,241,0,477,10,0,11,126,130,10,176,1,6,0,5,1,1,0,0,5,5,477
149,"PRA.VIDY. CHHECHUWA R.NO.- 2",416,307,0,723,200,180,0,380,32,0,0,7,311,3,53,0,0,0,0,0,0,2,1,1,2,380
150,"PRA.VIDY. KALIKMAVAIYA R.NO.-1",593,472,0,1065,296,257,0,553,8,0,1,31,285,9,215,1,0,1,0,0,0,2,2,0,6,553
151,"PRA.VIDY. KALIKMAVAIYA R.NO.-2",543,437,0,980,252,247,0,499,10,0,7,248,116,6,99,1,0,1,1,0,1,5,6,3,5,499
152,"S.SIV.U.MA.VIDY. ITAHARA R.NO.-1",525,420,0,945,263,214,0,477,110,0,5,33,275,8,144,0,0,1,0,0,1,1,3,1,5,477
153,"S.SIV.U.MA.VIDY.ITAHARA R.NO.-2",528,417,0,945,209,176,0,385,16,0,3,47,128,7,171,3,9,1,3,1,0,2,3,2,5,385
154,"S.SIV.U.MA.VIDY.ITAHARA R.NO.-3",398,338,0,736,195,207,0,402,67,0,2,243,55,2,76,3,0,4,0,1,1,2,2,2,9,402
155,"PRA.VIDY. DIGH R.NO.-1",809,625,0,1434,379,325,0,704,400,0,6,206,262,9,177,3,16,1,3,2,1,3,1,7,7,704
156,"PRA.VIDY. DIGH R.NO.-2",341,260,0,601,157,151,0,308,65,0,5,103,101,4,92,0,0,0,0,0,0,2,0,0,1,308
157,"PRA.VIDY. DIGH R.NO.-3",649,517,0,1166,305,304,0,609,54,0,3,84,279,7,208,2,2,0,2,0,0,3,1,5,13,609
158,"JU.HA. SCHOOL KATRA R.NO.-1",807,576,0,1383,355,307,0,662,662,0,8,171,214,13,184,5,21,2,3,5,2,7,8,6,13,662
159,"JU.HA. SCHOOL KATRA R.NO.-2",379,277,0,656,193,116,0,309,70,0,0,5,231,7,50,1,2,1,1,2,1,1,2,0,5,309
160,"PRA.VIDY. TALAVA (DIGH)",770,585,0,1355,318,263,0,581,13,0,1,66,145,6,268,4,50,4,1,8,2,4,5,3,14,581
161,"PRA.VIDY. CHAKIYA",309,269,0,578,161,155,0,316,151,0,3,40,162,6,92,0,3,2,1,0,1,2,1,1,2,316
162,"JU.HA. SCHOOL BANKAT R.NO.-1",704,506,0,1210,327,267,0,594,5,0,5,92,313,9,149,3,4,1,1,0,0,1,3,12,1,594
163,"JU.HA. SCHOOL BANKAT R.NO.-2",272,183,0,455,97,89,0,186,9,0,1,21,48,1,75,2,20,3,3,2,1,1,2,1,5,186
164,"PRA.VIDY. BANKAT",565,459,0,1024,259,232,0,491,268,0,6,141,144,3,122,4,40,1,2,4,2,4,5,7,6,491
165,"PRA.VIDY. BARIPUR R.NO.-1",760,643,0,1403,454,364,0,818,10,0,7,181,246,14,327,1,23,1,1,4,2,6,1,0,4,818
166,"PRA.VIDY. BARIPUR R.NO.-2",655,596,1,1252,398,333,0,731,722,0,8,277,273,8,145,3,1,3,4,2,1,3,0,3,0,731
167,"PRA.VIDY. NAREPAR",869,701,0,1570,496,405,0,901,117,0,5,94,525,18,220,3,7,3,4,1,4,4,3,5,5,901
168,"LAVKUSH I.COL. SITAMADHI R.NO.- 1",528,450,0,978,306,273,0,579,10,0,2,208,199,6,132,0,12,1,2,1,1,4,2,2,7,579
