"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANJU URF MUSKAN","2 - KAMLESH","3 - PRADEEP KUMAR JATAV","4 - BHOLA SINGH","5 - PYARE LAL","6 - RAGHURAJ PRATAP SINGH","7 - DR. RAHUL DIPANKAR","8 - VIJAI PAL","9 - SURESH","10 - HARVIR","11 - None of the Above","Total Votes Secured"
1,"KUCHESER R.R.K INTER COLLEGE  ROOM NO-1",583,515,0,1098,379,200,0,579,453,0,24,79,35,422,2,0,9,2,1,4,1,579
2,"KUCHESER R.R.K INTER COLLEGE  ROOM NO-2",602,465,0,1067,317,262,0,579,574,0,66,23,286,170,2,2,10,3,5,5,7,579
3,"KUCHESER R.R.K INTER COLLEGE  ROOM NO-3",615,473,0,1088,336,244,0,580,577,0,28,11,104,393,4,0,14,3,5,11,7,580
4,"KUCHESER R.R.K INTER COLLEGE  ROOM NO-4",723,565,0,1288,445,324,0,769,769,0,43,19,148,491,4,5,30,7,3,7,12,769
5,"LUDHPURA PRIMARY SCHOOL R.N- 1",798,660,0,1458,599,453,0,1052,1052,0,26,10,11,970,4,0,6,7,2,8,8,1052
6,"KUCHESER PRIMARY SCHOOL R.N- 1",599,517,0,1116,271,374,0,645,20,0,52,7,29,534,5,0,8,1,3,5,1,645
7,"SALABAD DHUMERHA PRIMARY SCHOOL R.N - 1",484,411,0,895,325,256,0,581,532,0,44,10,81,439,0,1,1,0,0,3,2,581
8,"SALABAD DHUMERHA  PRIMARY SCHOOL . R.N - 2",517,449,0,966,303,294,0,597,148,0,101,8,64,410,3,0,6,2,1,1,1,597
9,"TIWARHA PRIMARY SCHOOL R.N - 1",446,389,0,835,322,244,0,566,566,0,172,2,5,385,0,1,1,0,0,0,0,566
10,"BARKATPUR  PRIMARY SCHOOL R.N - 1",441,375,0,816,245,231,0,476,423,0,24,19,109,312,2,1,3,2,1,1,2,476
11,"DHAKOLI  PRIMARY SCHOOL R.N - 1",392,333,0,725,233,170,0,403,305,0,83,16,5,288,2,0,2,1,0,3,3,403
12,"DHAKOLI  PRIMARY SCHOOL R.N - 2",464,403,0,867,268,239,0,507,504,0,87,8,174,225,3,0,2,0,2,1,5,507
13,"KHARKALI  PRIMARY SCHOOL R.N - 1",522,452,0,974,333,262,0,595,595,0,25,10,52,496,1,2,2,2,0,3,2,595
14,"KHARKALI  PRIMARY SCHOOL R.N - 2",626,564,0,1190,461,412,0,873,873,0,8,9,64,778,3,2,1,3,1,0,4,873
15,"SEHRA  PRIMARY SCHOOL R.N - 1",668,579,0,1247,363,290,0,653,580,0,188,18,45,392,1,0,5,0,0,1,3,653
16,"BAINSAKHUR  PRIMARY SCHOOL R.N - 1",633,554,0,1187,364,287,0,651,418,0,124,12,144,342,2,2,10,2,2,8,3,651
17,"BAINSAKHUR PRIMARY SCHOOL R.N - 2",771,594,0,1365,405,321,0,726,616,0,38,5,381,299,0,0,0,1,0,2,0,726
18,"AKAPUR TIYANA PRIMARY SCHOOL R.N - 1",651,562,0,1213,343,251,0,594,589,0,7,10,198,357,3,0,7,3,2,3,4,594
19,"AKAPUR TIYANA PRIMARY SCHOOLR.N - 2",807,687,0,1494,448,367,0,815,691,0,0,6,107,676,3,1,7,1,1,6,7,815
20,"SAIDPUR  PRIMARY SCHOOL R.N - 1",508,453,0,961,320,276,0,596,588,0,61,3,10,504,0,3,6,3,0,3,3,596
