"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AMEETA SINGH","2 - PAWAN PANDEY","3 - FEROZE VARUN GANDHI","4 - SHAKEEL AHMED","5 - GIRISH LAL","6 - DR. NAFEES AHMAD","7 - PITAMBAR NISHAD","8 - RAM MILAN","9 - MOHD SHAMIM","10 - SHIV SHANKAR","11 - SHAILENDRA PRATAP SINGH","12 - SARTAJ KHAN","13 - BRIJESH KUMAR","14 - VARUN GANDHI","15 - VIJAY","16 - None of the Above","Total Votes Secured"
1,"P.S. PURE BHAWANI ATANAGAR R.NO. 1",432,421,0,853,260,289,0,549,549,0,68,85,253,107,1,3,0,0,2,1,3,0,3,17,2,4,549
2,"P.S. GOVINDPUR R.NO. 1",680,675,0,1355,359,329,0,688,688,0,43,77,360,175,1,2,2,1,1,1,3,3,5,12,0,2,688
3,"P.S. MAKHDUMPUR R.NO. 1",346,306,0,652,191,183,0,374,374,0,7,47,176,124,1,2,0,0,2,0,1,1,3,6,0,4,374
4,"P.S. SINGHANI",574,511,0,1085,330,303,0,633,633,0,75,151,319,44,3,3,1,4,2,1,2,2,9,11,4,2,633
5,"P.S. DEWARA R.NO. 1",705,615,0,1320,384,360,0,744,744,0,24,157,379,145,3,8,1,1,1,1,7,2,4,4,2,5,744
6,"P.S. BAHURAWAN PURBI BHAG",610,515,0,1125,340,297,0,637,637,0,10,166,284,146,0,3,1,3,0,0,5,2,7,4,4,2,637
7,"P.S. BAHURAWAN PACHMI BHAG",483,419,0,902,259,225,0,484,484,0,17,64,250,105,1,5,0,1,4,2,5,2,5,11,3,9,484
8,"P.S. HAIDHANA KHURD R.NO. 1",401,363,0,764,237,230,0,467,467,0,19,184,205,37,2,3,2,0,0,0,1,1,2,4,2,5,467
9,"P.S. NANDRAI R.NO. 1",401,337,0,738,196,203,0,399,399,0,24,130,174,31,3,2,0,1,0,1,1,3,2,18,6,3,399
10,"P.S. SUKHBADERI R.NO. 1",477,426,0,903,255,256,0,511,511,0,18,57,287,105,3,3,1,0,3,4,5,3,5,13,0,4,511
11,"P.S. RAMNAGAR R.NO. 1",382,345,0,727,198,220,0,418,418,0,11,74,85,230,3,2,1,0,0,2,1,1,2,3,1,2,418
12,"P.S. VIHINIDURA UTTARI BHAG",433,420,0,853,214,204,0,418,418,0,11,176,155,46,2,0,1,1,0,1,0,1,3,9,6,6,418
13,"P.S. VIHINIDURA DACHHARI BHAG",413,378,0,791,207,209,0,416,416,0,9,220,115,42,0,2,0,1,1,1,0,2,4,5,6,8,416
14,"SH0 INTER COLLAGE BIHINIDURA MADHAY BHAG",654,572,0,1226,347,300,0,647,647,0,23,182,336,61,1,5,2,0,0,1,0,2,10,21,1,2,647
15,"SH0 INTER COLLAGE BIHINIDURA PASCHIMI BHAG",721,616,0,1337,410,334,0,744,744,0,16,61,434,201,0,1,1,1,1,6,3,3,4,5,1,6,744
16,"P.S. BALDIRAI FAST BIHINIDURA",480,408,0,888,171,210,0,381,381,0,8,26,93,245,1,0,0,0,0,1,3,0,2,2,0,0,381
17,"P.S. ALALMAU R.NO. 1",535,433,0,968,326,235,0,561,561,0,8,80,65,395,2,1,0,0,0,3,1,3,1,1,0,1,561
18,"P.S. HAIDHANAKALAN PURBI BHAG",798,760,0,1558,329,419,0,748,748,0,20,138,386,114,1,6,1,5,1,6,11,6,10,23,8,12,748
19,"P.S. HAIDHANAKALAN PASCHIMI BHAG",343,340,0,683,185,196,0,381,381,0,15,101,229,24,3,1,0,2,0,0,2,0,2,1,0,1,381
20,"P.S. NANDAULI UTTARI BHAG",808,712,0,1520,354,381,0,735,735,0,13,28,133,537,4,0,1,0,3,3,4,0,3,2,1,3,735
21,"P.S. NANDAULI DACHHIRI BHAG",608,561,0,1169,340,266,0,606,603,0,6,59,120,380,1,5,0,1,1,2,4,4,13,0,5,5,606
22,"P.S. KHANOHA R.NO. 1",802,657,0,1459,408,368,0,776,408,0,65,81,182,419,2,2,0,0,0,0,4,1,5,10,2,3,776
23,"PACHAYATGHAR PARA R.NO. 1",600,541,0,1141,324,279,0,603,602,0,19,111,252,185,4,3,1,1,0,1,3,2,2,8,1,10,603
24,"P.S. VIRDHAURA R.NO. 1",777,655,0,1432,443,421,0,864,864,0,28,81,376,298,3,4,1,0,1,6,3,6,18,23,3,13,864
25,"P.S. BHAKHRI R.NO. 1",501,505,0,1006,332,293,0,625,555,0,23,151,385,36,0,6,2,0,1,3,4,1,3,6,2,2,625
26,"P.S. MAHULI UTTARI BHAG",461,437,0,898,246,234,0,480,480,0,17,187,194,36,2,1,0,2,0,23,2,0,4,10,0,2,480
27,"P.S. MAHULI DACHHIRI BHAG",456,382,0,838,205,215,0,420,420,0,24,111,202,49,0,0,0,0,3,5,1,3,7,7,1,7,420
28,"P.S. GAURA BARAMAU PURBI BHAG",738,647,0,1385,421,336,0,757,757,0,62,110,385,148,6,6,1,3,3,6,5,3,1,10,2,6,757
29,"P.S. GAURA BARAMAU PASCHIMI BHAG",475,399,0,874,247,276,0,523,397,0,18,61,146,244,3,4,2,0,1,7,3,1,9,12,2,10,523
30,"P.S. LOHARIYA R.NO. 1",316,281,0,597,155,150,0,305,303,0,16,132,84,54,2,2,0,1,1,1,0,1,1,7,1,2,305
31,"P.S. SAINI R.NO. 1",582,511,0,1093,349,299,0,648,175,0,78,155,333,34,1,1,4,1,2,1,4,4,6,16,4,4,648
32,"P.S. ARAWAL R.NO. 1",779,674,0,1453,407,384,0,791,791,0,28,92,433,171,2,5,0,0,1,3,9,3,4,32,5,3,791
33,"P.S. BHAWANISHIVPUR UTTARI BHAG",333,272,0,605,248,154,0,402,402,0,12,46,257,60,1,4,0,1,0,0,3,0,0,16,0,2,402
34,"P.S. BHAWANISHIVPUR DACHHIRI BHAG",496,398,0,894,251,223,0,474,474,0,16,120,228,67,1,2,1,1,0,0,3,2,6,20,3,4,474
35,"P.S. ASHRAFPUR R.NO. 1",475,434,0,909,204,305,0,509,509,0,23,62,162,192,3,3,10,2,3,6,9,3,11,19,0,1,509
36,"P.S. ASHRAFPUR R.NO. 2",383,348,0,731,187,175,0,362,362,0,21,12,161,144,1,2,0,0,1,0,2,1,2,11,1,3,362
37,"JUNIOR HIGH SCHOOL ISAULI DACHHIRI BHAG",704,560,0,1264,343,341,0,684,684,0,37,35,163,426,7,3,0,0,0,1,3,1,2,2,2,2,684
38,"JUNIOR HIGH SCHOOL ISAULI MADHAY BHAG",729,664,0,1393,380,402,0,782,782,0,49,170,205,327,5,1,4,2,1,0,4,0,0,10,1,3,782
39,"JUNIOR HIGH SCHOOL ISAULI MADHAY BHAG 2",533,414,1,948,260,246,0,506,400,0,8,80,203,192,2,2,0,0,3,0,0,0,7,5,3,1,506
40,"P.S. CHKKARIBHIT R.NO. 1",459,390,0,849,286,255,0,541,541,0,9,70,31,405,4,2,3,1,1,1,1,2,3,5,1,2,541
41,"P.S. SIKARA MAFIYAT R.NO. 1",681,572,1,1254,336,325,0,661,661,0,20,145,180,291,2,4,2,2,1,1,2,2,1,8,0,0,661
42,"P.S. ALIYABAD R.NO. 1",828,682,0,1510,387,398,0,785,775,0,21,64,149,516,7,1,0,2,0,0,4,2,5,11,1,2,785
43,"P.S. ADAMPUR R.NO. 1",577,513,0,1090,323,392,0,715,715,0,35,88,200,369,4,1,0,0,0,2,2,1,2,5,2,4,715
44,"P.S. SONBARASA R.NO. 1",695,594,0,1289,411,310,0,721,690,0,22,81,93,511,1,2,0,0,0,1,5,0,3,1,1,0,721
45,"P.S. SAIDULLAPUR R.NO. 1",500,438,0,938,279,276,0,555,500,0,31,55,109,345,4,0,0,1,1,0,1,1,1,5,1,0,555
46,"P.S. KALYANPUR R.NO. 1",261,241,1,503,132,142,0,274,266,0,5,26,85,138,2,0,0,0,2,2,2,5,4,3,0,0,274
47,"P.S. DURGAPUR R.NO. 1",767,663,0,1430,427,331,0,758,703,0,86,203,257,126,1,3,1,3,4,21,5,8,14,12,3,11,758
48,"P.S. NARASADA PURBI BHAG",645,573,0,1218,363,354,0,717,717,0,22,196,327,113,2,3,0,0,1,16,10,4,4,11,3,5,717
49,"P.S. NARASADA PASCHIMII BHAG",130,117,0,247,74,76,0,150,150,0,7,64,73,4,0,0,0,0,0,1,0,0,0,1,0,0,150
50,"P.S. BARSAWAN R.NO. 1",359,301,0,660,163,209,0,372,272,0,6,105,135,89,1,1,1,1,1,21,0,4,2,3,1,1,372
51,"PACHAYATGHAR GOPALPUR R.NO. 1",413,381,1,795,214,223,0,437,437,0,6,114,32,266,0,4,1,0,0,0,1,1,3,2,4,3,437
52,"P.S. BAGHAUNA FAST PURBI BHAG",518,459,0,977,239,236,0,475,475,0,45,84,127,181,1,3,0,0,4,2,7,5,3,6,0,7,475
53,"P.S. BAGHAUNA FAST PASCHIMI BHAG",517,461,0,978,220,171,0,391,391,0,21,120,48,193,2,0,0,0,1,0,3,1,1,1,0,0,391
54,"P.S. BAGHAUNA FAST ATRIKT ROOM",492,415,0,907,266,202,0,468,459,0,11,62,83,289,4,1,0,1,1,1,1,0,2,6,2,4,468
55,"P.S DAUNO R.NO. 1",441,410,0,851,245,225,0,470,470,0,8,101,204,138,0,2,0,0,2,1,1,0,3,6,3,1,470
56,"P.S. RAINA JAGDISHPUR R.NO. 1",391,355,0,746,244,239,0,483,362,0,14,44,351,50,3,2,0,0,0,0,3,1,3,12,0,0,483
57,"P.S. PURE BHOLAMAU R.NO. 1",762,653,0,1415,383,391,0,774,774,0,24,51,335,312,5,6,0,0,1,0,2,3,5,20,1,9,774
58,"P.S. ISMAILPUR R.NO. 1",392,346,0,738,231,193,0,424,414,0,22,109,237,35,3,3,0,0,0,1,2,0,1,6,2,3,424
59,"P.S. ISMAILPUR R.NO. 2",592,496,0,1088,317,282,0,599,592,0,10,97,340,111,2,1,1,1,0,2,5,2,5,11,2,9,599
60,"P.S. SAFLEPUR R.NO. 1",407,361,0,768,238,213,0,451,451,0,8,38,101,288,4,0,0,0,0,1,2,0,3,3,1,2,451
61,"P.S. CHHATAUNA, PURE TULSIRAM R.NO. 1",369,336,0,705,179,190,0,369,351,0,8,24,195,127,1,1,0,0,0,1,2,1,3,2,2,2,369
62,"P.S. RASOOLPUR R.NO. 1",578,499,0,1077,315,276,0,591,591,0,20,35,397,120,1,0,0,1,0,1,0,0,5,10,1,0,591
63,"P.S. NISASIN R.NO. 1",352,324,0,676,179,170,0,349,349,0,15,16,270,34,1,3,1,0,0,0,2,0,0,6,1,0,349
64,"P.S. PURE DARIYAVLAL VALLIPUR R.NO. 1",158,152,0,310,74,88,0,162,162,0,23,2,109,14,0,3,1,0,0,0,0,3,2,4,0,1,162
65,"P.S. VALIPUR PURE JODHI PURBI BHAG",818,661,0,1479,326,336,0,662,660,0,45,44,215,318,6,5,1,0,1,3,4,2,2,11,0,5,662
66,"P.S. VALIPUR PURE JODHI PASCHIMI BHAG",835,725,0,1560,394,337,0,731,715,0,18,14,427,223,0,9,0,2,1,1,2,2,4,22,2,4,731
67,"P.S. MOHAMMDPUR KAZI R.NO. 1",380,317,0,697,226,173,0,399,370,0,23,38,42,279,0,0,0,2,0,0,5,2,5,1,0,2,399
