"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - UPENDRA SINGH","2 - NARAYAN SINGH SUMAN","3 - MAHARAJ SINGH DHANGAR","4 - DR. RAM SHANKAR KATHERIA","5 - ANIL","6 - ANITA","7 - CHANDRA PAL","8 - PREM SINGH","9 - RAMESH","10 - RAVINDRA SINGH","11 - AMAR SINGH","12 - ASHOK KUMAR","13 - OM PRAKASH","14 - DINESH KUMAR GAUTAM","15 - VINOD KUMAR SINGH","16 - None of the Above","Total Votes Secured"
70,P.P.NAVLI,550,473,0,1023,390,312,0,702,702,0,0,1,611,88,0,0,0,0,0,0,0,0,2,0,0,0,702
71,"P.P.NAGLA RAJA",212,180,0,392,147,113,0,260,17,0,1,2,203,52,0,0,0,0,0,0,1,0,1,0,0,0,260
72,P.P.VRANDAVAN,226,214,0,440,150,120,0,270,12,0,0,0,159,110,0,0,0,0,0,1,0,0,0,0,0,0,270
73,P.P.SARKARI,314,255,0,569,191,153,0,344,262,0,2,162,6,162,1,0,0,0,0,1,0,2,1,1,3,3,344
74,J.N.M.V.NOOHKHAS,709,616,0,1325,440,330,0,770,200,0,7,219,358,176,1,0,0,0,0,0,1,1,5,0,2,0,770
75,"P.P.KHEDIYA SURJI",202,177,0,379,190,172,0,362,136,0,0,22,1,339,0,0,0,0,0,0,0,0,0,0,0,0,362
76,J.N.M.V.NOOHKHAS,669,569,0,1238,388,281,0,669,355,0,8,44,202,385,5,0,0,0,0,9,2,1,1,5,1,6,669
77,P.P.KHEDANOOH,569,513,0,1082,347,338,0,685,685,0,10,208,53,397,6,4,0,2,0,1,0,0,1,2,0,1,685
78,"P.P.NARHULI R.N.1",584,472,0,1056,267,199,0,466,149,4,4,45,139,256,0,0,0,1,0,2,3,1,5,1,3,6,466
79,"P.P.NARHULI R.N.2",502,408,0,910,285,195,0,480,480,0,4,345,73,51,0,0,0,0,0,3,0,2,1,0,0,1,480
80,P.P.BADHAWALI,563,483,0,1046,301,152,0,453,453,0,1,12,393,40,2,0,1,0,0,1,0,0,0,1,1,1,453
81,"P.P.NAGLA AHEER",747,660,0,1407,559,350,0,909,909,0,3,9,796,95,1,0,0,0,0,0,1,0,1,1,1,1,909
