"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - NAFISUDDIN","2 - BEGUM NOOR BANO URF MEHTAB","3 - HAJI MOHD YAQOOB","4 - KUNWER SARVESH KUMAR","5 - DR S T HASAN","6 - AMIT KUMAR","7 - KAMAR ALAM","8 - JAIPAL SINGH SAINI","9 - MOHD ZAFAR IQBAL","10 - TEAJ SINGH SAINI","11 - ENGINEER MOHAMMAD IRFAN","12 - VIMAL KUMAR","13 - SATISH CHANDRA SHARMA","14 - SANDEEP KUMAR","15 - SAURABH PRATAP SINGH","16 - HARIOM","17 - RAJ KUMAR GUPTA","18 - ROOPA CHANDRA SINGH","19 - None of the Above","Total Votes Secured"
1,"P.V AURANGZAEBPUR  SHAHLI",368,312,0,680,238,208,0,446,446,0,3,9,22,368,17,0,1,0,0,1,0,2,1,0,13,3,1,0,5,446
2,"PRIMARY SCHOOL TELIPARA",523,463,0,986,200,241,0,441,441,0,3,9,5,410,2,0,0,0,0,1,0,5,1,2,0,1,1,0,1,441
3,"PRIMARY SCHOOL SABUWALA",408,351,0,759,271,262,0,533,533,0,3,0,238,179,61,3,0,1,2,0,3,2,0,5,6,0,3,8,19,533
4,"PRIMARY SCHOOL AURANGABAD ROOM NO.1",692,565,0,1257,500,392,0,892,892,0,4,3,99,662,43,5,1,7,1,4,4,3,7,5,19,9,3,2,11,892
5,"J.H.S KANHADWALA",501,437,0,938,392,320,0,712,712,0,4,7,120,554,6,2,1,1,3,0,0,0,3,6,3,0,1,1,0,712
6,"P.V BABAN SARAI ROOM NO 1",505,454,0,959,399,320,0,719,719,0,11,15,63,493,45,3,5,3,3,8,5,1,6,13,21,12,2,2,8,719
7,"P.V BABAN SARAI ROOM NO 2",349,291,0,640,158,115,0,273,273,0,1,2,24,201,17,1,1,1,0,1,1,1,3,2,4,6,0,0,7,273
8,"P.V. SUNDARWALI",177,155,0,332,146,114,0,260,260,0,2,1,1,235,5,2,0,1,0,1,1,1,0,1,4,2,0,1,2,260
9,"P.V JAHANBAD  ROOM NO 1",667,601,0,1268,468,424,0,892,892,0,1,4,438,328,76,4,2,0,0,4,2,0,3,6,6,10,1,0,7,892
10,"P.V JAHANBAD  ROOM NO 2",475,419,0,894,264,203,0,467,467,0,2,6,27,346,25,1,3,0,3,5,2,3,7,4,21,9,1,1,1,467
11,"P.V TANDAMAIDAS ROOM NO 1",592,508,0,1100,365,350,0,715,715,0,4,8,228,345,44,4,1,2,3,2,24,2,2,3,4,4,3,7,25,715
12,"P.V TANDAMAIDAS ROOM NO 2",455,366,0,821,321,273,0,594,594,0,0,7,135,225,174,1,0,0,0,4,13,2,1,0,5,3,1,6,17,594
13,"P.M.V TANDAMAIDAS ROOM NO 1",543,429,0,972,346,306,0,652,652,0,2,1,302,247,63,1,0,1,2,2,2,0,0,7,9,9,1,1,2,652
14,"P.M.V TANDAMAIDAS ROOM NO 2",365,300,0,665,235,206,0,441,441,0,2,8,102,74,237,1,0,0,0,1,2,0,1,1,2,6,2,0,2,441
15,"P.M.V TANDAMAIDAS ROOM NO 3",816,673,0,1489,460,451,0,911,921,0,7,4,255,243,355,5,3,1,0,4,3,3,2,2,8,8,2,1,5,911
16,"P.V. AASAFPUR SAIDPEER",282,235,0,517,141,152,0,293,293,0,3,8,24,99,135,3,0,1,0,1,0,0,0,0,5,4,1,3,6,293
17,"P.V. SHARFUDDIN NAGAR ROOM NO 1",793,725,0,1518,456,452,0,908,908,0,3,22,260,119,348,5,2,1,1,1,101,6,3,4,8,17,1,2,4,908
18,"P.V. SHARFUDDIN NAGAR ROOM NO 2",648,604,1,1253,364,340,0,704,704,0,2,7,245,195,145,2,1,1,0,1,62,2,0,6,22,7,2,1,3,704
19,"P.V. SHARFUDDIN NAGAR ROOM NO 3",490,361,0,851,183,180,0,363,363,0,0,3,46,14,190,2,2,3,0,3,88,1,1,2,2,4,1,0,1,363
20,"P.V HAJI MUHMMADPUR URF KOTKADAR ROOM NO 1",432,367,0,799,236,247,0,483,483,0,6,13,40,274,113,0,1,1,0,1,30,0,2,0,2,0,0,0,0,483
21,"P.V HAJI MUHMMADPUR URF KOTKADAR ROOM NO 2",423,376,0,799,218,211,0,429,429,0,4,5,50,178,107,1,0,1,1,2,61,0,2,2,11,1,2,0,1,429
22,"P.V HAJI MUHMMADPUR URF KOTKADAR ROOM NO 3",443,394,0,837,207,239,0,446,446,0,3,10,133,10,142,1,2,1,3,4,111,3,3,7,5,3,1,1,3,446
23,"P.V HAJI MUHMMADPUR URF KOTKADAR ROOM NO 4",275,229,0,504,118,120,0,238,238,0,1,5,114,10,59,3,1,4,0,0,36,0,2,0,0,1,1,0,1,238
